"Citation"	"PMID"	"Year Published"	"Data Used"	"Process"	"Equation"	"Notes"
"http://www.horizonpress.com/cimb/v/v8/04.pdf"		2006	9	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.jbc.org/content/261/1/238.full.pdf"		1986	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.jbc.org/content/261/23/10936.full.pdf"		1986	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.jbc.org/content/272/20/13026.full.pdf"		1997	2	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.jbc.org/content/272/22/14257.long"		1997	2	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.jbc.org/content/272/27/16962.full.pdf"		1997	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.jbc.org/content/272/3/1440.long"		1997	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.jbc.org/content/273/50/33652.full.pdf"		1998	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.jbc.org/content/281/50/38189.full.pdf"		2006	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.jbc.org/content/282/22/16476.full.pdf"		2007	4	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.jbc.org/content/284/32/21218.full.pdf"		2009	2	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2373468/"		2002	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2435081/"		2008	2	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2561245/"		2008	2	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2655528/"		2009	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400900/pdf/emboj00127-0331.pdf"		1989	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pmc/articles/PMC94037/"		1999	4	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pubmed/15380549"		2004	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pubmed/17644067"		2007	3	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pubmed/18532985"		2008	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pubmed/22148640"		2012	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pubmed/23075318"		2013	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pubmed/23941567"		2013	2	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pubmed/24948475"		2014	3	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pubmed/25369000"		2014	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pubmed/8559067"		1995	3	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.ncbi.nlm.nih.gov/pubmed/9278422"		1997	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.pnas.org/content/101/33/12148.full.pdf"		2004	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.pnas.org/content/94/7/2957.full.pdf"		1997	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.pnas.org/content/96/17/9833.full.pdf"		1999	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.pnas.org/content/98/2/435.full.pdf"		2001	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.sciencedirect.com/science/article/pii/S0022283603002626"		2003	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.sciencedirect.com/science/article/pii/S2211546314000369"		2014	2	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.sciencedirect.com/science/bookseries/00702161"		1990	2	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.sciencemag.org/content/292/5526/2488.long#xref-ref-29-1"		2001	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://www.sciencemag.org/content/301/5638/1383.long"		2003	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
