"abbreviation"	"officialName"	"equation"	"reconstruction directionality"	"subSystem"	"proteinClass"	"geneAssociation"	"reaction with marvin charges (pH7)"	"reaction with marvin charges (pH 7.2)"	"delta G (pH 7)"	"mM delta G (pH 7)"	"min delta G (pH 7)"	"max delta G (pH 7)"	"delta G (pH 7.2)"	"uncertainty in delta G (pH 7 or pH 7.2)"	"mM delta G (pH 7.2)"	"min delta G (pH 7.2)"	"max delta G (pH 7.2)"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"	" "	" "	"reconstruction directionality"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"	
"DGSNt2pp"	"deoxyguanosine transport in via proton symport (periplasm)"	"dgsn[p] + h[p] --> dgsn[c] + h[c]"	"forward only"	"Transport, Inner Membrane"		"b2964"	"dgsn[p] + h[p] --> dgsn + h"	"dgsn[p] + h[p] --> dgsn + h"	0	-3.2	-8.6	1.3	0	1.5	-3.2	-8.6	1.3	"reversible"	"reversible"						
"DGSNtex"	"deoxyguanosine transport via diffusion (extracellular to periplasm)"	"dgsn[e] <==> dgsn[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"dgsn[e] <==> dgsn[p]"	"dgsn[e] <==> dgsn[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"DHAD1"	"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)"	"[c] : 23dhmb --> 3mob + h2o"	"forward only"	"Valine, Leucine, and Isoleucine Metabolism"	"4.2.1.9"	"b3771"	"23dhmb --> 3mob + h2o"	"23dhmb --> 3mob + h2o"	-6.9	-6.9	-11.4	-2.4	-6.9	2	-6.9	-11.4	-2.4	"forward only"	"forward only"						
"DHAD2"	"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)"	"[c] : 23dhmp --> 3mop + h2o"	"forward only"	"Valine, Leucine, and Isoleucine Metabolism"		"b3771"	"23dhmp --> 3mop + h2o"	"23dhmp --> 3mop + h2o"	-6.9	-6.9	-11.4	-2.4	-6.9	2	-6.9	-11.4	-2.4	"forward only"	"forward only"						
"DHAPT"	"Dihydroxyacetone phosphotransferase"	"[c] : dha + pep --> dhap + pyr"	"forward only"	"Alternate Carbon Metabolism"		"( b1200  and  b1199  and  b1198  and  b2415  and  b2416 )"	"dha + pep --> dhap + pyr"	"dha + pep --> dhap + pyr"	-9.1	-9.1	-18.1	-0.1	-9.1	1.8	-9.1	-18.2	-0.1	"forward only"	"reversible"						
"DHAtex"	"Dihydroxyacetone transport via diffusion (extracellular to periplasm)"	"dha[e] <==> dha[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"dha[e] <==> dha[p]"	"dha[e] <==> dha[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"DHAtpp"	"Dihydroxyacetone transport via facilitated diffusion (periplasm)"	"dha[p] <==> dha[c]"	"reversible"	"Transport, Inner Membrane"			"dha[p] <==> dha"	"dha[p] <==> dha"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"DHBD"	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"	"[c] : 23ddhb + nad <==> 23dhb + h + nadh"	"reversible"	"Cofactor and Prosthetic Group Biosynthesis"	"1.3.1.28"	"b0596"	"23ddhb + nad <==> 23dhb + h + nadh"	"23ddhb + nad <==> 23dhb + h + nadh"	-9.2	-9.2	-18.2	-0.2	-8.9	5.5	-8.9	-17.9	0.1	"reversible"	"reversible"						
"DHBS"	"2,3-dihydroxybenzoate adenylate synthase"	"[c] : 23dhb + atp + h --> 23dhba + ppi"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"2.7.7.58"	"b0594"	"23dhb + atp + h --> 23dhba + ppi"	"23dhb + atp + h --> 23dhba + ppi"	-2.1	-2.1	-11.1	6.9	-2.3	2	-2.3	-11.4	6.7	"reversible"	"reversible"						
"DHBSH"	"2,3-dihydroxybenzoylserine hydrolase"	"[c] : 23dhbzs + h2o --> 23dhb + ser-L"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"			"23dhbzs + h2o --> 23dhb + ser-L"	"23dhbzs + h2o --> 23dhb + ser-L"	-0.3	-4.4	-11.7	1.8	-0.4	2.5	-4.5	-11.7	1.8	"reversible"	"reversible"						
"DHCIND"	"2,3-dihydroxycinnamate dehydrogenase"	"[c] : cenchddd + nad --> dhcinnm + h + nadh"	"forward only"	"Alternate Carbon Metabolism"		"b2541"	"cenchddd + nad --> dhcinnm + h + nadh"	"cenchddd + nad --> dhcinnm + h + nadh"	-9.2	-9.2	-18.2	-0.2	-8.9	5.5	-8.9	-17.9	0.1	"reversible"	"reversible"						
"DHCINDO"	"2,3-dihydroxycinnamate 1,2-dioxygenase"	"[c] : dhcinnm + o2 --> h + hkntd"	"forward only"	"Alternate Carbon Metabolism"		"b0348"	"dhcinnm + o2 --> h + hkntd"	"dhcinnm + o2 --> h + hkntd"	-69.6	-63.9	-68.3	-54.2	-69.3	4.7	-63.6	-68.1	-53.9	"forward only"	"forward only"						
"DHDPRy"	"dihydrodipicolinate reductase (NADPH)"	"[c] : 23dhdp + h + nadph --> nadp + thdp"	"forward only"	"Threonine and Lysine Metabolism"	"1.3.1.26"	"b0031"	"23dhdp + (2) h + nadph --> nadp + thdp"	"23dhdp + h + nadph --> nadp + thdp"	-0.5	-0.5	-9.5	8.6	-1	3.7	-1	-10	8	"reversible"	"reversible"						
"DHDPS"	"dihydrodipicolinate synthase"	"[c] : aspsa + pyr --> 23dhdp + h + (2) h2o"	"forward only"	"Threonine and Lysine Metabolism"	"4.2.1.52"	"b2478"	"aspsa + pyr --> 23dhdp + h + (2) h2o"	"aspsa + pyr --> 23dhdp + h + (2) h2o"	-31.9	-27.8	-34.1	-20.5	-31.6	5	-27.5	-33.8	-20.3	"forward only"	"forward only"						
"DHFR"	"dihydrofolate reductase"	"[c] : dhf + h + nadph <==> nadp + thf"	"reversible"	"Cofactor and Prosthetic Group Biosynthesis"	"1.5.1.3"	"( b0048  or  b1606 )"	"dhf + (2) h + nadph <==> nadp + thf"	"dhf + h + nadph <==> nadp + thf"	-0.2	-0.2	-9.2	8.8	-0.7	4	-0.7	-9.7	8.3	"reversible"	"reversible"						
"DHFS"	"dihydrofolate synthase"	"[c] : atp + dhpt + glu-L --> adp + dhf + h + pi"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"6.3.2.12"	"b2315"	"atp + dhpt + glu-L --> adp + dhf + h + pi"	"atp + dhpt + glu-L --> adp + dhf + h + pi"	-6.3	-6.3	-19.9	7.2	-6.2	2.5	-6.2	-19.8	7.3	"reversible"	"reversible"						
"DHNAOT4"	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	"[c] : dhna + h + octdp --> 2dmmql8 + co2 + ppi"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"		"b3930"	"dhna + h + octdp --> 2dmmql8 + co2 + ppi"	"dhna + h + octdp --> 2dmmql8 + co2 + ppi"	-17.5	-21.6	-44.3	-12.4	-17.7	2.3	-21.8	-44.5	-12.6	"forward only"	"forward only"						
"DHNPA2"	"dihydroneopterin aldolase"	"[c] : dhnpt --> 6hmhpt + gcald"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"		"b3058"	"dhnpt --> 6hmhpt + gcald"	"dhnpt --> 6hmhpt + gcald"	2.4	-1.7	-8.9	4.6	2.4	1.1	-1.7	-8.9	4.6	"reversible"	"reversible"						
"DHORD2"	"dihydoorotic acid dehydrogenase (quinone8)"	"[c] : dhor-S + q8 --> orot + q8h2"	"forward only"	"Purine and Pyrimidine Biosynthesis"	"1.3.3.1"	"b0945"	"dhor-S + q8 --> orot + q8h2"	"dhor-S + q8 --> orot + q8h2"	-12.4	-12.4	-21.4	-3.4	-12.4	6.9	-12.4	-21.4	-3.4	"forward only"	"reversible"						
"DHORD5"	"dihydroorotic acid (menaquinone-8)"	"[c] : dhor-S + mqn8 --> mql8 + orot"	"forward only"	"Purine and Pyrimidine Biosynthesis"	"1.3.3.1"	"b0945"	"dhor-S + mqn8 --> mql8 + orot"	"dhor-S + mqn8 --> mql8 + orot"	-16.9	-16.9	-25.9	-7.9	-16.9	7.6	-16.9	-25.9	-7.9	"forward only"	"forward only"						
"DHORTS"	"dihydroorotase"	"[c] : dhor-S + h2o <==> cbasp + h"	"reversible"	"Purine and Pyrimidine Biosynthesis"	"3.5.2.3"	"b1062"	"dhor-S + h2o <==> cbasp + h"	"dhor-S + h2o <==> cbasp + h"	-5.6	-5.6	-10.1	-1.1	-5.3	4.4	-5.3	-9.8	-0.8	"forward only"	"reversible"						
"DHPPD"	"2,3-dihydroxyphenylpropionate dehydrogenase"	"[c] : cechddd + nad --> dhpppn + h + nadh"	"forward only"	"Alternate Carbon Metabolism"		"b2541"	"cechddd + nad --> dhpppn + h + nadh"	"cechddd + nad --> dhpppn + h + nadh"	-9.2	-9.2	-18.2	-0.2	-8.9	5.5	-8.9	-17.9	0.1	"reversible"	"reversible"						
"DHPPDA2"	"diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)"	"[c] : 25drapp + h + h2o --> 5apru + nh4"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"3.5.4.26"	"b0414"	"25drapp + h + h2o --> 5apru + nh4"	"25drapp + h + h2o --> 5apru + nh4"	-20.1	-24.2	-31.5	-17.9	-20.4	6.2	-24.5	-31.7	-18.2	"forward only"	"forward only"						
"DHPS2"	"dihydropteroate synthase"	"[c] : 4abz + 6hmhptpp --> dhpt + ppi"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"2.5.1.15"	"b3177"	"4abz + 6hmhptpp --> dhpt + ppi"	"4abz + 6hmhptpp --> dhpt + ppi"	-11.4	-11.4	-20.4	-2.4	-11.3	2.4	-11.3	-20.3	-2.3	"forward only"	"reversible"						
"DHPTDCs"	"4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)"	"[c] : dhptd --> h2o + hmfurn"	"forward only"	"Methionine Metabolism"		"s0001"	"dhptd --> h + h2o + hmfurn"	"dhptd --> h + h2o + hmfurn"	-9.2	-9.2	-13.7	-4.7	-8.9	5	-8.9	-13.4	-4.4	"forward only"	"reversible"						
"DHPTPE"	"dihydroneopterin triphosphate 2'-epimerase"	"[c] : ahdt <==> dhmptp"	"reversible"	"Cofactor and Prosthetic Group Biosynthesis"		"b2303"	"ahdt <==> dhmptp"	"ahdt <==> dhmptp"	0	0	-4.5	4.5	0	1.5	0	-4.5	4.5	"reversible"	"reversible"						
"DHQS"	"3-dehydroquinate synthase"	"[c] : 2dda7p --> 3dhq + pi"	"forward only"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"		"b3389"	"2dda7p --> 3dhq + h + pi"	"2dda7p --> 3dhq + h + pi"	-18.7	-22.8	-30	-16.5	-18.5	3.2	-22.6	-29.9	-16.3	"forward only"	"forward only"						
"DHQTi"	"3-dehydroquinate dehydratase, irreversible"	"[c] : 3dhq --> 3dhsk + h2o"	"forward only"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"4.2.1.10"	"b1693"	"3dhq --> 3dhsk + h2o"	"3dhq --> 3dhsk + h2o"	-8.5	-8.5	-13	-3.9	-8.5	2.8	-8.5	-13	-3.9	"forward only"	"forward only"						
"DIMPtex"	"dIMP transport via diffusion (extracellular to periplasm)"	"dimp[e] <==> dimp[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"dimp[e] <==> dimp[p]"	"dimp[e] <==> dimp[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"DINSt2pp"	"deoxyinosine transport in via proton symport (periplasm)"	"din[p] + h[p] --> din[c] + h[c]"	"forward only"	"Transport, Inner Membrane"		"b2964"	"din[p] + h[p] --> din + h"	"din[p] + h[p] --> din + h"	0	-3.2	-8.6	1.3	0	1.5	-3.2	-8.6	1.3	"reversible"	"reversible"						
"DINStex"	"deoxyinosine transport via diffusion (extracellular to periplasm)"	"din[e] <==> din[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"din[e] <==> din[p]"	"din[e] <==> din[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"DKGLCNR1"	"2,5-diketo-D-gluconate reductase"	"[c] : 25dkglcn + h + nadph --> 2dhguln + nadp"	"forward only"	"Alternate Carbon Metabolism"		"( b0207  or  b3012 )"	"25dkglcn + (2) h + nadph --> 2dhguln + nadp"	"25dkglcn + h + nadph --> 2dhguln + nadp"	-3.7	-3.7	-12.7	5.4	-4.2	3.1	-4.2	-13.2	4.8	"reversible"	"reversible"						
"DKGLCNR2x"	"2,5-diketo-D-gluconate reductase (NADH)"	"[c] : 25dkglcn + h + nadh --> 5dglcn + nad"	"forward only"	"Alternate Carbon Metabolism"		"b3553"	"25dkglcn + h + nadh --> 5dglcn + nad"	"25dkglcn + h + nadh --> 5dglcn + nad"	-6.1	-6.1	-15.2	2.9	-6.4	3.2	-6.4	-15.4	2.6	"reversible"	"reversible"						
"DKGLCNR2y"	"2,5-diketo-D-gluconate reductase (NADPH)"	"[c] : 25dkglcn + h + nadph --> 5dglcn + nadp"	"forward only"	"Alternate Carbon Metabolism"		"b3553"	"25dkglcn + (2) h + nadph --> 5dglcn + nadp"	"25dkglcn + h + nadph --> 5dglcn + nadp"	-6.1	-6.1	-15.2	2.9	-6.7	3.2	-6.7	-15.7	2.3	"reversible"	"reversible"						
"DKMPPD"	"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction"	"[c] : dkmpp + h2o + o2 --> 2kmb + for + (2) h + pi"	"forward only"	"Arginine and Proline Metabolism"			"dkmpp + h2o + o2 --> 2kmb + for + (3) h + pi"	"dkmpp + h2o + o2 --> 2kmb + for + (3) h + pi"	-124.9	-127.3	-137.3	-114.1	-124.2	3.1	-126.6	-136.6	-113.4	"forward only"	"forward only"						
"DKMPPD3"	"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction"	"[c] : dkmpp + (3) h2o + (2) nad --> 2kmb + for + (4) h + (2) nadh + pi"	"forward only"	"Arginine and Proline Metabolism"			"dkmpp + (3) h2o + (2) nad --> 2kmb + for + (5) h + (2) nadh + pi"	"dkmpp + (3) h2o + (2) nad --> 2kmb + for + (5) h + (2) nadh + pi"	-16.3	-24.5	-43.4	-7.4	-15	7.9	-23.2	-42.2	-6.1	"forward only"	"reversible"						
"D-LACt2pp"	"D-lactate transport via proton symport (periplasm)"	"h[p] + lac-D[p] <==> h[c] + lac-D[c]"	"reversible"	"Transport, Inner Membrane"		"( b3603  or  b2975 )"	"h[p] + lac-D[p] <==> h + lac-D"	"h[p] + lac-D[p] <==> h + lac-D"	0	0.3	-5.2	4.8	0	1.5	0.3	-5.2	4.8	"reversible"	"reversible"						
"D-LACtex"	"D-lactate transport via diffusion (extracellular to periplasm)"	"lac-D[e] <==> lac-D[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"lac-D[e] <==> lac-D[p]"	"lac-D[e] <==> lac-D[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"DM_4HBA"	"Sink needed to allow 4-hydroxy-benzoate to leave system"	"[c] : 4hba -->"	"forward only"				"[c] : 4hba -->"	"[c] : 4hba -->"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"DM_5DRIB"	"Sink needed to allow 5'-deoxyribose to leave system"	"[c] : 5drib -->"	"forward only"				"[c] : 5drib -->"	"[c] : 5drib -->"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"DM_AACALD"	"Sink needed to allow aminoacetaldehyde to leave system"	"[c] : aacald -->"	"forward only"				"[c] : aacald -->"	"[c] : aacald -->"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"DM_HMFURN"	"Sink needed to allow 4-hydroxy-5-methyl-3(2H)-furanone to leave system"	"[c] : hmfurn -->"	"forward only"				"[c] : hmfurn -->"	"[c] : hmfurn -->"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"DM_OXAM"	"Sink needed to allow oxamate to leave system"	"[c] : oxam -->"	"forward only"				"[c] : oxam -->"	"[c] : oxam -->"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"DMATT"	"dimethylallyltranstransferase"	"[c] : dmpp + ipdp --> grdp + ppi"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"2.5.1.1"	"b0421"	"dmpp + ipdp --> grdp + ppi"	"dmpp + ipdp --> grdp + ppi"	-13.4	-13.4	-22.4	-4.4	-13.3	2	-13.3	-22.3	-4.3	"forward only"	"forward only"						
"DMPPS"	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)"	"[c] : h + h2mb4p + nadh --> dmpp + h2o + nad"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"		"b0029"	"h + h2mb4p + nadh --> dmpp + h2o + nad"	"h + h2mb4p + nadh --> dmpp + h2o + nad"	-16.2	-16.2	-25.2	-7.1	-16.4	3.4	-16.4	-25.4	-7.4	"forward only"	"forward only"						
"DMQMT"	"3-Dimethylubiquinonol 3-methyltransferase"	"[c] : 2omhmbl + amet --> ahcys + h + q8h2"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"		"b2232"	"2omhmbl + amet --> ahcys + h + q8h2"	"2omhmbl + amet --> ahcys + h + q8h2"	-4.1	-4.1	-13.2	4.9	-3.9	6.5	-3.9	-12.9	5.1	"reversible"	"reversible"						
"DMSOR1"	"Dimethyl sulfoxide reductase (Menaquinol 8)"	"[c] : dmso + mql8 --> dms + h2o + mqn8"	"forward only"	"Oxidative Phosphorylation"		"( ( b1587  and  b1588  and  b1589  and  b1590 )  or  ( b0894  and  b0895  and  b0896 ) )"	"dmso + mql8 --> dms + h2o + mqn8"	"dmso + mql8 --> dms + h2o + mqn8"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"DMSOR1pp"	"Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm)"	"dmso[p] + mql8[c] --> dms[p] + h2o[p] + mqn8[c]"	"forward only"	"Oxidative Phosphorylation"		"( b1872  and  b1873 )"	"dmso[p] + mql8 --> dms[p] + h2o[p] + mqn8"	"dmso[p] + mql8 --> dms[p] + h2o[p] + mqn8"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"DMSOR2"	"Dimethyl sulfoxide reductase (Demethylmenaquinol 8)"	"[c] : 2dmmql8 + dmso --> 2dmmq8 + dms + h2o"	"forward only"	"Oxidative Phosphorylation"		"( b0894  and  b0895  and  b0896 )"	"2dmmql8 + dmso --> 2dmmq8 + dms + h2o"	"2dmmql8 + dmso --> 2dmmq8 + dms + h2o"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"DMSOR2pp"	"Dimethyl sulfoxide reductase (Demethylmenaquinol 8) (periplasm)"	"2dmmql8[c] + dmso[p] --> 2dmmq8[c] + dms[p] + h2o[p]"	"forward only"	"Oxidative Phosphorylation"		"( b1872  and  b1873 )"	"2dmmql8 + dmso[p] --> 2dmmq8 + dms[p] + h2o[p]"	"2dmmql8 + dmso[p] --> 2dmmq8 + dms[p] + h2o[p]"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"DMSOtex"	"Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)"	"dmso[e] <==> dmso[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"dmso[e] <==> dmso[p]"	"dmso[e] <==> dmso[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"DMStex"	"Dimethyl sulfide transport via diffusion (extracellular to periplasm)"	"dms[e] <==> dms[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"dms[e] <==> dms[p]"	"dms[e] <==> dms[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"DNMPPA"	"Dihydroneopterin monophosphate dephosphorylase"	"[c] : dhpmp + h2o --> dhnpt + pi"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"			"dhpmp + h2o --> dhnpt + h + pi"	"dhpmp + h2o --> dhnpt + h + pi"	-2.9	-7	-14.3	-0.7	-2.8	2.2	-6.9	-14.1	-0.6	"forward only"	"reversible"						
"DNTPPA"	"Dihydroneopterin triphosphate pyrophosphatase"	"[c] : ahdt + h2o --> dhpmp + h + ppi"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"		"( b1865  or  b0099 )"	"ahdt + h + h2o --> dhpmp + ppi"	"ahdt + h + h2o --> dhpmp + ppi"	-8	-12.1	-19.3	-5.8	-8.2	2.2	-12.3	-19.6	-6.1	"forward only"	"forward only"						
"DOGULNR"	"2,3 dioxo-L-gulonate reductase"	"[c] : 23doguln + h + nadh --> 3dhguln + nad"	"forward only"	"Alternate Carbon Metabolism"		"b3575"	"23doguln + h + nadh --> 3dhguln + nad"	"23doguln + h + nadh --> 3dhguln + nad"	-8.6	-8.6	-17.7	0.4	-8.9	3.3	-8.9	-17.9	0.1	"reversible"	"reversible"						
"DOPAtex"	"dopamine transport via diffusion (extracellular to periplasm)"	"dopa[e] <==> dopa[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"dopa[e] <==> dopa[p]"	"dopa[e] <==> dopa[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"DPCOAK"	"dephospho-CoA kinase"	"[c] : atp + dpcoa --> adp + coa + h"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"2.7.1.24"	"b0103"	"atp + dpcoa --> adp + coa"	"atp + dpcoa --> adp + coa"	-3.8	-3.8	-12.8	5.3	-3.8	0.7	-3.8	-12.8	5.2	"reversible"	"reversible"						
"DPR"	"2-dehydropantoate 2-reductase"	"[c] : 2dhp + h + nadph --> nadp + pant-R"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"1.1.1.169"	"( b0425  or  b3774 )"	"2dhp + (2) h + nadph --> nadp + pant-R"	"2dhp + h + nadph --> nadp + pant-R"	-6.1	-6.1	-15.2	2.9	-6.7	3.2	-6.7	-15.7	2.3	"reversible"	"reversible"						
"DRPA"	"deoxyribose-phosphate aldolase"	"[c] : 2dr5p --> acald + g3p"	"forward only"	"Alternate Carbon Metabolism"	"4.1.2.4"	"b4381"	"2dr5p --> acald + g3p"	"2dr5p --> acald + g3p"	1.2	-2.9	-10.2	3.3	1.2	3.6	-2.9	-10.2	3.3	"reversible"	"reversible"						
"DSBAO1"	"DsbA protein reoxidation reaction (aerobic)"	"dsbard[p] + q8[c] --> dsbaox[p] + q8h2[c]"	"forward only"	"Unassigned"		"( b3860  and  b1185 )"	"dsbard[p] + q8 --> dsbaox[p] + q8h2"	"dsbard[p] + q8 --> dsbaox[p] + q8h2"	-21.4	-21.4	-31.4	-11.5	-21.4	7.7	-21.4	-31.4	-11.5	"forward only"	"forward only"						
"DSBAO2"	"DsbA protein reoxidation reaction (anaerobic)"	"dsbard[p] + mqn8[c] --> dsbaox[p] + mql8[c]"	"forward only"	"Unassigned"		"( b3860  and  b1185 )"	"dsbard[p] + mqn8 --> dsbaox[p] + mql8"	"dsbard[p] + mqn8 --> dsbaox[p] + mql8"	-25.9	-25.9	-35.9	-15.9	-25.9	8.1	-25.9	-35.9	-15.9	"forward only"	"forward only"						
"DSBCGT"	"DsbC:glutathione thiotransferase"	"[p] : dsbcox + (2) gthrd --> dsbcrd + gthox"	"forward only"	"Unassigned"		"b2893"	"[p] : dsbcox[p] + (2) gthrd[p] --> dsbcrd[p] + gthox[p]"	"[p] : dsbcox[p] + (2) gthrd[p] --> dsbcrd[p] + gthox[p]"	7	11.1	-2.5	24.8	7	4.7	11.1	-2.5	24.8	"reversible"	"reversible"						
"DSBDR"	"DsbD reductase"	"[c] : dsbdox + trdrd --> dsbdrd + trdox"	"forward only"	"Unassigned"		"( ( b4136  and  b3781 )  or  ( b4136  and  b2582 ) )"	"dsbdox + trdrd --> dsbdrd + trdox"	"dsbdox + trdrd --> dsbdrd + trdox"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"DSBGGT"	"DsbG:glutathione thiotransferase"	"[p] : dsbgox + (2) gthrd --> dsbgrd + gthox"	"forward only"	"Unassigned"		"b0604"	"[p] : dsbgox[p] + (2) gthrd[p] --> dsbgrd[p] + gthox[p]"	"[p] : dsbgox[p] + (2) gthrd[p] --> dsbgrd[p] + gthox[p]"	7	11.1	-2.5	24.8	7	4.7	11.1	-2.5	24.8	"reversible"	"reversible"						
"DSERDHr"	"D-serine dehydrogenase"	"[c] : nadp + ser-D <==> 2amsa + h + nadph"	"reversible"	"Glycine and Serine Metabolism"		"b1539"	"nadp + ser-D <==> 2amsa + (2) h + nadph"	"nadp + ser-D <==> 2amsa + (2) h + nadph"	5.1	5.1	-3.9	14.1	5.8	3.1	5.8	-3.3	14.8	"reversible"	"reversible"						
"DSERt2pp"	"D-serine transport in via proton symport (periplasm)"	"h[p] + ser-D[p] --> h[c] + ser-D[c]"	"forward only"	"Transport, Inner Membrane"		"b4208"	"h[p] + ser-D[p] --> h + ser-D"	"h[p] + ser-D[p] --> h + ser-D"	0	-3.2	-8.6	1.3	0	1.5	-3.2	-8.6	1.3	"reversible"	"reversible"						
"DSERtex"	"D-serine transport via diffusion (extracellular to periplasm)"	"ser-D[e] <==> ser-D[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"ser-D[e] <==> ser-D[p]"	"ser-D[e] <==> ser-D[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"DTMPK"	"dTMP kinase"	"[c] : atp + dtmp <==> adp + dtdp"	"reversible"	"Nucleotide Salvage Pathway"	"2.7.4.9"	"b1098"	"atp + dtmp <==> adp + dtdp"	"atp + dtmp <==> adp + dtdp"	0	0	-9	9	-0.1	1.5	-0.1	-9.1	9	"reversible"	"reversible"						
