CPLX0-1962	3-hydroxy acid dehydrogenase	(("EG12345-MONOMER", 4))
CPLX0-238	argininosuccinate synthase	(("ARGSUCCINSYN-MONOMER", 4))
CPLX0-3955	50S ribosomal subunit protein L7/L12 dimer	(("EG10873-MONOMER", 2))
CPLX0-7682	iron-sulfur cluster scaffold protein	(("G7748-MONOMER", 2))
CPLX-166	mannitol PTS permease	(("MTLA-MONOMER", 2))
ABC-42-CPLX	D-allose ABC transporter	(("YJCX-MONOMER", 1) ("YJCV-MONOMER", 2) ("YJCW-MONOMER", 2))
BIOTIN-SYN-CPLX	biotin synthase	(("BIOTIN-SYN-MONOMER", 2))
SUCCCOASYN	succinyl-CoA synthetase	(("SUCCCOASYN-BETA", 2) ("SUCCCOASYN-ALPHA", 2))
CPLX0-3921	heat shock protein, hemimethylated DNA-binding protein	(("G6500-MONOMER", 2))
FAO-CPLX	aerobic fatty acid oxidation complex	(("FADA-CPLX", 1) ("FADA-MONOMER", 2) ("FADB-CPLX", 1) ("FADB-MONOMER", 2))
CPLX0-7748	CpxR-P<sup>asp</sup> DNA-binding transcriptional dual regulator	(("PHOSPHO-CPXR", 2))
CPLX0-7423	23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase	(("EG11254-MONOMER", 2))
CPLX0-7929	YefM-antitoxin DNA-binding transcriptional repressor	(("EG12844-MONOMER", 2))
FABB-CPLX	KASI	(("FABB-MONOMER", 2))
CPLX0-3949	thiazole synthase	(("THIH-MONOMER", 1) ("THIG-MONOMER", 1))
CPLX0-3104	ClpAP	(("CPLX0-881", 2) ("EG10156-MONOMER", 12) ("CPLX0-3101", 1) ("EG10158-MONOMER", 14))
GLYCDEH-CPLX	L-1,2-propanediol dehydrogenase / glycerol dehydrogenase	(("GLYCDEH-MONOMER", 8))
CPLX0-7655	maltose outer membrane porin / phage lambda receptor protein	(("EG10528-MONOMER", 3))
CPLX0-7921	mannose PTS permease - ManX subunit	(("MANX-MONOMER", 2))
ABC-7-CPLX	sulfate / thiosulfate / selenite / selenate  ABC transporter  CysAUWCysP	(("CYSP-MONOMER", 1) ("CYST-MONOMER", 1) ("CYSW-MONOMER", 1) ("CYSA-MONOMER", 2))
CPLX0-7887	glutamate-pyruvate aminotransferase	(("G7242-MONOMER", 2))
CPLX0-7674	K<sup>+</sup> channel Kch	(("KCH-MONOMER", 4))
CPLX0-7666	CaiF transcriptional activator	(("G6088-MONOMER", 2))
DGTPTRIPHYDRO-CPLX	deoxyguanosine triphosphate triphosphohydrolase	(("DGTPTRIPHYDRO-MONOMER", 4))
CPLX0-7723	2-keto-3-deoxy-L-rhamnonate aldolase	(("G7158-MONOMER", 6))
CPLX0-7877	phosphoglucose isomerase	(("PGLUCISOM", 2))
CPLX0-3482	acetaldehyde dehydrogenase	(("ALDDEHYDROGB-MONOMER", 4))
CPLX0-1521	Dps complex; stationary phase nucleoid component that sequesters iron and protects DNA from damage	(("EG11415-MONOMER", 12))
BADH-CPLX	betaine aldehyde dehydrogenase	(("BADH-MONOMER", 4))
F16B-CPLX	fructose-1,6-bisphosphatase I	(("F16B-MONOMER", 4))
CPLX0-7533	outer membrane porin C	(("EG10670-MONOMER", 3))
CPLX-63	trimethylamine N-oxide reductase III	(("G7023-MONOMER", 1) ("G7022-MONOMER", 1))
GLUCOSAMINE-6-P-DEAMIN-CPLX	glucosamine-6-phosphate deaminase	(("GLUCOSAMINE-6-P-DEAMIN-MONOMER", 6))
CPLX-170	galactosamine PTS permease - cryptic	(("AGAD-MONOMER", 1) ("AGAC-MONOMER", 2) ("AGAB-MONOMER", 1))
GPT-CPLX	xanthine-guanine phosphoribosyltransferase	(("GPT-MONOMER", 4))
CPLX0-248	cysteine desulfurase	(("G7325-MONOMER", 2))
CPLX0-229	ribonucleoside triphosphate reductase activase	(("RNTRACTIV-MONOMER", 2))
CPLX0-7521	carbonic anhydrase 2	(("EG12319-MONOMER", 4))
ACETYL-COA-ACETYLTRANSFER-CPLX	acetyl-CoA acetyltransferase	(("ACETYL-COA-ACETYLTRANSFER-MONOMER", 4))
CPLX0-7758	<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity	(("G6550-MONOMER", 2))
CPLX-156	mannitol PTS permease - cryptic	(("CMTA-MONOMER", 2) ("CMTB-MONOMER", 1))
CPLX0-1081	RNase PH	(("EG10863-MONOMER", 1))
CPLX0-1341	SufBC<sub>2</sub>D Fe-S cluster scaffold complex	(("G6907-MONOMER", 1) ("G6908-MONOMER", 2) ("G6909-MONOMER", 1))
CPLX0-3950	tRNA m<sup>1</sup>G37 methyltransferase	(("EG11023-MONOMER", 2))
CPLX0-7958	methylphosphonate degradation complex	(("EG10718-MONOMER", 1) ("EG10716-MONOMER", 1) ("EG10717-MONOMER", 1) ("PHNL-MONOMER", 1))
CPLX0-7450	Flagellar Motor Switch Complex	(("FLIN-FLAGELLAR-C-RING-SWITCH", 1) ("FLIM-FLAGELLAR-C-RING-SWITCH", 34) ("FLIG-FLAGELLAR-SWITCH-PROTEIN", 26))
CPLX0-7987	predicted enamine/imine deaminase	(("G7626-MONOMER", 3))
TYRB-DIMER	tyrosine aminotransferase	(("TYRB-MONOMER", 2))
DTDPRHAMSYNTHMULTI-CPLX	dTDP-L-rhamnose synthetase	(("DTDPDEHYRHAMREDUCT-MONOMER", 1) ("DTDPDEHYDRHAMEPIM-MONOMER", 1))
BIOTIN-CARBOXYL-CPLX	biotin carboxylase	(("BIOTIN-CARBOXYL-MONOMER", 2))
CPLX0-2221	The Colicin A Import System	(("CPLX0-2201", 1) ("EG11007-MONOMER", 1) ("EG11010-MONOMER", 1) ("EG11011-MONOMER", 1) ("EG11008-MONOMER", 1) ("EG12854-MONOMER", 1) ("EG10684-MONOMER", 1) ("CPLX0-7534", 1) ("EG10671-MONOMER", 3) ("EG10126-MONOMER", 1))
CPLX0-7853	GAP-like protein that activates GTPase activity of Der	(("EG11835-MONOMER", 2))
CPLX0-682	NAD kinase	(("MONOMER0-541", 6))
CPLX0-7741	methylmalonyl-CoA mutase	(("METHYLMALONYL-COA-MUT-MONOMER", 2))
ACNEULY-CPLX	N-acetylneuraminate lyase	(("ACNEULY-MONOMER", 4))
CPLX-160	PTS permease - unknown specificity	(("EG11912-MONOMER", 1) ("FRWB-MONOMER", 1) ("FRWC-MONOMER", 2))
ABC-14-CPLX	histidine ABC transporter	(("HISJ-MONOMER", 1) ("HISQ-MONOMER", 1) ("HISM-MONOMER", 1) ("HISP-MONOMER", 2))
CPLX0-0	DnaT	(("EG10244-MONOMER", 3))
CPLX0-7538	cell division factor ZapA, localizes to the cytokinetic ring	(("EG12878-MONOMER", 4))
CPLX0-2982	HflB, integral membrane ATP-dependent zinc metallopeptidase	(("EG11506-MONOMER", 6) ("CPLX0-1321", 6) ("EG10436-MONOMER", 6) ("EG10435-MONOMER", 6))
CPLX0-3936	dihydroneopterin aldolase	(("H2NEOPTERINALDOL-MONOMER", 8))
CPLX0-1581	palmitoyl transferase for Lipid A	(("EG12180-MONOMER", 2))
ANTHRANSYN-CPLX	anthranilate synthase	(("ANTHRANSYNCOMPII-MONOMER", 2) ("ANTHRANSYNCOMPI-MONOMER", 2))
CPLX0-7745	MurR DNA-binding transcriptional dual regulator	(("G7262-MONOMER", 4))
MENF-CPLX	isochorismate synthase 2	(("MENF-MONOMER", 2))
CPLX0-7819	K<sup>+</sup> : H<sup>+</sup> antiporter KefC	(("KEFC-MONOMER", 2))
RIBULPEPIM-CPLX	L-ribulose 5-phosphate 4-epimerase	(("RIBULPEPIM-MONOMER", 4))
CPLX0-3323	CcmEFGH holocytochrome <I>c</I> synthetase	(("EG12052-MONOMER", 1) ("EG12053-MONOMER", 1) ("EG12054-MONOMER", 1) ("CCME-MONOMER", 1))
CPLX0-3602	RNase T	(("EG11547-MONOMER", 2))
NRDACTMULTI-CPLX	anaerobic nucleoside-triphosphate reductase activating system	(("FLAVONADPREDUCT-MONOMER", 1) ("CPLX0-229", 1) ("RNTRACTIV-MONOMER", 2) ("RIBONUCLEOSIDE-TRIP-REDUCT-CPLX", 1) ("RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER", 2))
PSERTRANSAM-CPLX	phosphohydroxythreonine aminotransferase / 3-phosphoserine aminotransferase	(("PSERTRANSAM-MONOMER", 2))
CPLX0-1141	selenocysteine synthase	(("EG10941-MONOMER", 10))
CPLX0-1421	bacterioferritin	(("EG10113-MONOMER", 24))
ABC-27-CPLX	phosphate ABC transporter	(("PSTS-MONOMER", 1) ("PSTC-MONOMER", 1) ("PSTA-MONOMER", 1) ("PSTB-MONOMER", 2))
CPLX0-236	N-hydroxyarylamine O-acetyltransferase	(("G6770-MONOMER", 2))
CPLX0-7946	ribosomal protein S6 modification protein	(("EG10852-MONOMER", 4))
CPLX0-7940	CP4-6 prophage; probable 2-keto-3-deoxygluconate aldolase	(("G6140-MONOMER", 4))
CPLX0-7906	L-carnitine : &gamma;-butyrobetaine antiporter	(("CAIT-MONOMER", 3))
MUTHLS-CPLX	MutHLS complex, methyl-directed mismatch repair	(("EG10624-MONOMER", 1) ("EG10625-MONOMER", 1) ("EG11281-MONOMER", 1))
CPLX0-227	taurine dioxygenase	(("MONOMER0-147", 2))
PHOSPHASERDECARB-CPLX	phosphatidylserine decarboxylase	(("PHOSPHASERDECARB-DIMER", 1) ("PHOSPHASERDECARB-BETA-MONOMER", 1) ("PHOSPHASERDECARB-ALPHA-MONOMER", 1))
ENTE-CPLX	2,3-dihydroxybenzoate-AMP ligase	(("ENTE-MONOMER", 2))
CPLX0-1981	ferrichrome transport system	(("CPLX0-1942", 1) ("EG10272-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG11012-MONOMER", 1) ("CPLX0-1923", 1) ("EG10302-MONOMER", 1) ("ABC-11-CPLX", 1) ("FHUC-MONOMER", 2) ("FHUB-MONOMER", 2) ("FHUD-MONOMER", 1))
CPLX0-7626	mechanosensitive channel MscS	(("EG11160-MONOMER", 7))
DIHYDROPICRED-CPLX	4-hydroxy-tetrahydrodipicolinate reductase	(("DIHYDROPICRED-MONOMER", 4))
CPLX0-7916	RcsB-BglJ DNA-binding transcriptional activator	(("RCSB-MONOMER", 1) ("G7948-MONOMER", 1))
THYMIDYLATESYN-CPLX	thymidylate synthase	(("THYMIDYLATESYN-MONOMER", 2))
MALATE-DEHASE	malate dehydrogenase	(("MALATE-DEHASE-MONOMER", 2))
CYSTATHIONINE-BETA-LYASE-CPLX	L-cysteine desulfhydrase / cystathionine-&beta;-lyase	(("CYSTATHIONINE-BETA-LYASE-MONOMER", 4))
ABC-11-CPLX	iron (III) hydroxamate ABC transporter	(("FHUD-MONOMER", 1) ("FHUB-MONOMER", 2) ("FHUC-MONOMER", 2))
ACETYL-COA-CARBOXYLTRANSFER-CPLX	acetyl-CoA carboxyltransferase	(("CARBOXYL-TRANSFERASE-BETA-MONOMER", 2) ("CARBOXYL-TRANSFERASE-ALPHA-MONOMER", 2))
ANGLYC3PDEHYDROG-CPLX	glycerol-3-phosphate-dehydrogenase, anaerobic	(("ANGLYC3PDEHYDROGSUBUNITC-MONOMER", 1) ("ANGLYC3PDEHYDROGSUBUNITB-MONOMER", 1) ("ANGLYC3PDEHYDROGSUBUNITA-MONOMER", 1))
CPLX0-7675	2Fe-2S cluster-containing protein	(("G6988-MONOMER", 3))
CPLX0-7534	outer membrane porin F	(("EG10671-MONOMER", 3))
CPLX-3944	FecAR Signal Transduction System	(("EG10292-MONOMER", 1) ("EG10286-MONOMER", 1))
NAG1P-URIDYLTRANS-CPLX	fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	(("NAG1P-URIDYLTRANS-MONOMER", 3))
ABC-57-CPLX	YbhF/YbhR/YbhS ABC transporter	(("YBHF-MONOMER", 2) ("YBHR-MONOMER", 1) ("YBHS-MONOMER", 1))
CPLX0-921	inhibitor of vertebrate C-type lysozyme	(("G6104-MONOMER", 2))
PRPPAMIDOTRANS-CPLX	amidophosphoribosyl transferase	(("PRPPAMIDOTRANS-MONOMER", 4))
CPLX0-7979	monoacetylchitobiose-6-phosphate hydrolase	(("EG10144-MONOMER", 4))
CPLX0-7975	NadR DNA-binding transcriptional repressor and NMN adenylyltransferase	(("PD04413", 4))
AIRS-CPLX	phosphoribosylformylglycinamide cyclo-ligase	(("AIRS-MONOMER", 2))
FUMARASE-C	fumarase C	(("FUMC-MONOMER", 4))
ANSA-CPLX	asparaginase I	(("ANSA-MONOMER", 4))
GCVP-CPLX	glycine decarboxylase	(("GCVP-MONOMER", 2))
ABC-46-CPLX	galactofuranose / galactopyranose ABC transporter	(("YTFQ-MONOMER", 1) ("YTFT-MONOMER", 2) ("YTFR-MONOMER", 1) ("YJFF-MONOMER", 1))
CPLX0-7698	MukF dimer	(("EG12165-MONOMER", 2))
PDXK-CPLX	pyridoxamine kinase / hydroxymethylpyrimidine kinase / pyridoxal kinase	(("PDXK-MONOMER", 4))
DSBC-CPLX	protein disulfide isomerase / protein disulfide oxidoreductase	(("DSBC-MONOMER", 2))
CPLX0-7610	<I>N</I>-acetyl-D-galactosamine PTS transporter	(("G7633-MONOMER", 1) ("G7632-MONOMER", 1))
CPLX0-224	NADP(H)-dependent FMN reductase	(("MONOMER0-146", 2))
CPLX0-7639	Fur-Fe<sup>2+</sup> DNA-binding transcriptional dual regulator	(("CPLX0-7620", 2) ("PD00260", 2) ("FE+2", 2))
ATPASE-1-CPLX	K<sup>+</sup> transporting ATPase	(("EG10515-MONOMER", 1) ("KDPB-MONOMER", 1) ("EG10513-MONOMER", 1) ("MONOMER0-12", 1))
CPLX0-3121	chromate reductase	(("EG11723-MONOMER", 2))
PPK-CPLX	polyphosphate kinase	(("PPK-MONOMER", 4))
CPLX0-3181	tetrahydrodipicolinate succinylase	(("MONOMER0-2001", 2))
METHGLYSYN-CPLX	methylglyoxal synthase	(("METHGLYSYN-MONOMER", 6))
CPLX0-7458	glycolate oxidase	(("MONOMER0-561", 1) ("G7544-MONOMER", 1) ("G7545-MONOMER", 1))
GLUTAMINESYN-OLIGOMER	glutamine synthetase	(("GLUTAMINESYN-MONOMER", 12))
CPLX0-7631	L-fucose isomerase	(("FUCISOM-MONOMER", 6))
LYXK-CPLX	L-xylulose kinase	(("LYXK-MONOMER", 2))
CPLX0-3938	copper binding protein CutA	(("EG12177-MONOMER", 3))
CPLX-155	chitobiose / cellobiose PTS permease	(("CELA-MONOMER", 1) ("CELB-MONOMER", 2) ("CELC-MONOMER", 1))
TRANS-CPLX-204	MdtEF-TolC multidrug efflux transport system	(("YHIV-MONOMER", 3) ("EG12240-MONOMER", 3) ("CPLX0-7964", 1) ("EG11009-MONOMER", 3))
GLUTDECARBOXA-CPLX	glutamate decarboxylase A	(("GLUTDECARBOXA-MONOMER", 6))
CPLX0-3956	50S ribosomal protein complex L8	(("CPLX0-3955", 2) ("EG10873-MONOMER", 4) ("EG10871-MONOMER", 1))
CPLX0-7705	Fis DNA-binding transcriptional dual regulator	(("PD00196", 2))
QUINOPRIBOTRANS-CPLX	quinolinate phosphoribosyltransferase	(("QUINOPRIBOTRANS-MONOMER", 2))
CPLX0-3361	soluble NADH dehydrogenase fragment	(("NUOG-MONOMER", 1) ("NUOF-MONOMER", 1) ("NUOE-MONOMER", 1))
HISS-CPLX	histidyl-tRNA synthetase	(("HISS-MONOMER", 2))
CPLX-164	maltose / glucose PTS permease	(("CRR-MONOMER", 1) ("MALX-MONOMER", 2))
CPLX0-7805	aldehyde dehydrogenase	(("G6155-MONOMER", 1) ("G6156-MONOMER", 1) ("G6157-MONOMER", 1))
CPLX0-7852	GadE-RcsB DNA binding transcriptional activator	(("EG11544-MONOMER", 1) ("RCSB-MONOMER", 1))
CPLX0-3761	DNA polymerase III, &beta; subunit	(("EG10242-MONOMER", 2))
GLUTAMATESYN-DIMER	glutamate synthase	(("GLUSYNLARGE-MONOMER", 1) ("GLUSYNSMALL-MONOMER", 1))
HOMOSERKIN-CPLX	homoserine kinase	(("HOMOSERKIN-MONOMER", 2))
GLYOCARBOLIG-CPLX	glyoxylate carboligase	(("GLYOCARBOLIG-MONOMER", 2))
CPLX0-7529	capsular polysaccharide export apparatus	(("G7105-MONOMER", 4) ("G7107-MONOMER", 8))
ABC-23-CPLX	phosphonate ABC transporter	(("PHND-MONOMER", 1) ("PHNE-MONOMER", 2) ("PHNC-MONOMER", 2))
AMINEOXID-CPLX	copper-containing amine oxidase	(("AMINEOXID-MONOMER", 2))
CPLX0-7976	translocation and assembly module	(("G7874-MONOMER", 1) ("G7875-MONOMER", 1))
ARGDECARBOXBIO-CPLX	arginine decarboxylase, biosynthetic	(("ARGDECARBOXBIO-MONOMER", 4))
CPLX0-7827	carboxylate-amine ligase	(("G6326-MONOMER", 2))
CPLX0-7854	TreR DNA-binding transcriptional repressor	(("EG12202-MONOMER", 2))
GTP-CYCLOHYDRO-II-CPLX	GTP cyclohydrolase II	(("GTP-CYCLOHYDRO-II-MONOMER", 2))
H2PTEROATESYNTH-CPLX	dihydropteroate synthase	(("H2PTEROATESYNTH-MONOMER", 2))
DHHB-METHYLTRANSFER-CPLX	bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase	(("DHHB-METHYLTRANSFER-MONOMER", 2))
GLUCONOKINII-CPLX	D-gluconate kinase, thermostable	(("GLUCONOKINII-MONOMER", 3))
ABC-40-CPLX	YehW/YehX/YehY/YehZ ABC transporter	(("YEHY-MONOMER", 1) ("YEHW-MONOMER", 1) ("YEHX-MONOMER", 2) ("YEHZ-MONOMER", 1))
CPLX0-7954	ferric coprogen transport system	(("CPLX0-7952", 1) ("EG10306-MONOMER", 1) ("EG10272-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG11012-MONOMER", 1) ("CPLX0-1923", 1) ("ABC-11-CPLX", 1) ("FHUC-MONOMER", 2) ("FHUB-MONOMER", 2) ("FHUD-MONOMER", 1))
CPLX0-255	phenylhydantoinase	(("G7492-MONOMER", 4))
CPLX-169	glucitol/sorbitol PTS permease	(("GUTA-MONOMER", 1) ("GUTB-MONOMER", 1) ("G8210-MONOMER", 1))
CPLX0-250	hydrogenase 4	(("MONOMER0-144", 1) ("MONOMER0-143", 1) ("MONOMER0-142", 1) ("MONOMER0-141", 1) ("MONOMER0-154", 1) ("MONOMER0-153", 1) ("MONOMER0-152", 1) ("MONOMER0-151", 1) ("MONOMER0-150", 1))
N-ACETYLTRANSFER-CPLX	N-acetylglutamate synthase	(("N-ACETYLTRANSFER-MONOMER", 6))
ISOCIT-LYASE	isocitrate lyase	(("ISOCIT-LYASE-MONOMER", 4))
CPLX-153	&beta;-glucoside PTS permease AscF - cryptic	(("ASCF-MONOMER", 2))
FORMHYDROG2-CPLX	hydrogenase 2	(("HYBC-MONOMER", 1) ("MONOMER0-145", 1) ("EG11800-MONOMER", 1) ("HYBA-MONOMER", 1))
CPLX0-2901	aspartate 1-decarboxylase	(("MONOMER0-1843", 4) ("MONOMER0-1842", 4))
CPLX0-7704	lipopolysaccharide ABC transporter	(("EG10613-MONOMER", 2))
CPLX0-7839	CSD sulfur transfer protein	(("G7455-MONOMER", 2))
GSAAMINOTRANS-CPLX	glutamate-1-semialdehyde aminotransferase	(("GSAAMINOTRANS-MONOMER", 2))
CPLX0-3102	ClpX ATP-dependent protease specificity component and chaperone	(("EG10159-MONOMER", 6))
CPLX0-1683	cryptic adenine deaminase	(("EG11692-MONOMER", 2))
ATOD-CPLX	&alpha; complex	(("ATOD-MONOMER", 2))
SPERMACTRAN-CPLX	spermidine acetyltransferase	(("SPERMACTRAN-MONOMER", 4))
ASPKINIIHOMOSERDEHYDROGII-CPLX	aspartate kinase / homoserine dehydrogenase	(("ASPKINIIHOMOSERDEHYDROGII-MONOMER", 2))
CPLX-8401	predicted 5-keto 4-deoxyuronate isomerase	(("G7463-MONOMER", 6))
TYRS-CPLX	tyrosyl-tRNA synthetase	(("TYRS-MONOMER", 2))
CPLX0-3939	universal stress protein UP12	(("G6334-MONOMER", 2))
CPLX0-1668	anaerobic fatty acid oxidation complex	(("CPLX0-1667", 1) ("G7213-MONOMER", 2) ("CPLX0-1666", 1) ("G7212-MONOMER", 2))
AROD-CPLX	3-dehydroquinate dehydratase	(("AROD-MONOMER", 2))
CPLX0-7989	murein tripeptide amidase A	(("G6662-MONOMER", 2))
CPLX0-7766	proofreading thioesterase in enterobactin biosynthesis	(("EG11105-MONOMER", 4))
DEOD-CPLX	purine nucleoside phosphorylase	(("DEOD-MONOMER", 6))
CPLX0-3934	GroEL-GroES chaperonin complex	(("EG10600-MONOMER", 7) ("EG10599-MONOMER", 14))
GDHA-CPLX	glutamate dehydrogenase	(("GDHA-MONOMER", 6))
FRUCBISALD-CLASSII	fructose bisphosphate aldolase class II	(("FRUCTBISALD-CLASSII-MONOMER", 2))
CITRATE-SI-SYNTHASE	citrate synthase	(("CITSYN-MONOMER", 6))
CPLX0-7731	PaaX DNA-binding transcriptional repressor	(("G6720-MONOMER", 2))
CPLX0-7841	sulfite reductase, flavoprotein subunit complex	(("ALPHACOMP-MONOMER", 8))
CPLX0-3721	ADP-sugar pyrophosphatase	(("EG12633-MONOMER", 2))
ABC-41-CPLX	peptide ABC transporter YejABEF	(("YEJA-MONOMER", 1) ("YEJE-MONOMER", 1) ("YEJB-MONOMER", 1) ("YEJF-MONOMER", 2))
CPLX-722	acid phosphatase	(("APPA-MONOMER", 2))
ABC-15-CPLX	branched chain amino acid ABC transporter	(("LIVJ-MONOMER", 1) ("LIVM-MONOMER", 1) ("LIVH-MONOMER", 1) ("LIVG-MONOMER", 1) ("LIVF-MONOMER", 1))
GLYCEROL-KIN-CPLX	glycerol kinase	(("GLYCEROL-KIN-MONOMER", 4))
CPLX0-3581	D-Tyr-tRNA<sup>Tyr</sup> deacylase	(("EG11852-MONOMER", 2))
PHOSGLYCMUTASE	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	(("GPMA-MONOMER", 2))
DIHYDROXYACIDDEHYDRAT-CPLX	dihydroxy acid dehydratase	(("DIHYDROXYACIDDEHYDRAT-MONOMER", 2))
PC00005	ArgR transcriptional dual regulator	(("PD00194", 6))
ABC-49-CPLX	glutathione ABC transporter	(("YLIC-MONOMER", 1) ("YLID-MONOMER", 1) ("YLIB-MONOMER", 1) ("YLIA-MONOMER", 2))
CPLX0-7718	UDP-L-Ara4N formyltransferase / UDP-GlcA C-4\"-decarboxylase	(("G7168-MONOMER", 6))
XYLISOM-CPLX	xylose isomerase	(("XYLISOM-MONOMER", 4))
CPLX0-7950	2-hydroxy-6-oxononatrienedioate hydrolase	(("MHPCHYDROL-MONOMER", 2))
CPLX0-3801	DNA polymerase III, preinitiation complex	(("EG11412-MONOMER", 1) ("EG11500-MONOMER", 1) ("EG10245-MONOMER", 3))
ATPA-CPLX	ATP synthase F<sub>1</sub> complex - alpha subunit	(("ATPA-MONOMER", 3))
CPLX0-7755	purine nucleoside phosphoramidase	(("EG12172-MONOMER", 2))
3-OXOACYL-ACP-SYNTHII-CPLX	KASII	(("3-OXOACYL-ACP-SYNTHII-MONOMER", 2))
CPLX0-2541	ModE transcriptional dual regulator	(("MONOMER0-185", 2))
SUCCORNTRANSAM-CPLX	succinylornithine transaminase	(("SUCCORNTRANSAM-MONOMER", 2))
RIBONUCLEOSIDE-DIP-REDUCTII-CPLX	ribonucleoside-diphosphate reductase 2	(("NRDF-CPLX", 1) ("NRDF-MONOMER", 2) ("NRDE-CPLX", 1) ("NRDE-MONOMER", 2))
FHLMULTI-CPLX	formate hydrogenlyase complex	(("HYDROG3-CPLX", 1) ("HYCD-MONOMER", 1) ("HYCC-MONOMER", 1) ("HYCF-MONOMER", 1) ("HYCG-MONOMER", 1) ("HYCBSMALL-MONOMER", 1) ("HYCELARGE-MONOMER", 1) ("FORMATEDEHYDROGH-MONOMER", 1))
NITRATREDUCTZ-CPLX	nitrate reductase Z	(("NARV-MONOMER", 1) ("NARZ-MONOMER", 1) ("NARY-MONOMER", 1))
CPLX0-7908	iron-sulfur cluster assembly protein	(("EG12132-MONOMER", 4))
CITTRANS-CPLX	citrate lyase, citrate-ACP transferase component	(("CITTRANS-MONOMER", 6))
CPLX0-1863	conserved metal-binding protein	(("G6379-MONOMER", 6))
PHOSPHASERDECARB-DIMER	phosphatidylserine decarboxylase, heterodimer	(("PHOSPHASERDECARB-ALPHA-MONOMER", 1) ("PHOSPHASERDECARB-BETA-MONOMER", 1))
CITRYLY-CPLX	citrate lyase, citryl-ACP lyase component	(("CITRYLY-MONOMER", 6))
TTDB-CPLX	&beta; subunit complex	(("TTDB-MONOMER", 2))
BCCP-CPLX	biotin carboxyl carrier protein (dimer)	(("BCCP-BIOTIN", 2))
CPLX0-3041	peptidase T	(("EG11549-MONOMER", 2))
ABC-21-CPLX	YadG/YadH ABC transporter	(("YADH-MONOMER", 2) ("YADG-MONOMER", 2))
AGMATIN-CPLX	agmatinase	(("AGMATIN-MONOMER", 2))
CPLX0-1101	tRNA-guanine transglycosylase	(("EG10996-MONOMER", 3))
CPLX0-1841	predicted xanthine dehydrogenase	(("G7499-MONOMER", 1) ("G7500-MONOMER", 1))
APHA-CPLX	acid phosphatase/phosphotransferase	(("APHA-MONOMER", 4))
ABC-5-CPLX	vitamin B<sub>12</sub> ABC transporter	(("EG12334-MONOMER", 1) ("BTUC-MONOMER", 2) ("BTUD-MONOMER", 2))
ASPKINIHOMOSERDEHYDROGI-CPLX	aspartate kinase / homoserine dehydrogenase	(("ASPKINIHOMOSERDEHYDROGI-MONOMER", 4))
TRANSKETOI-CPLX	transketolase I	(("TRANSKETOI-MONOMER", 2))
NAP-CPLX	periplasmic nitrate reductase	(("NAPA-MONOMER", 1) ("CPLX0-3241", 1) ("NAPG-MONOMER", 1) ("NAPH-MONOMER", 1) ("NAPC-MONOMER", 1) ("NAPB-MONOMER", 1))
PC00003	AraC DNA-binding transcriptional dual regulator	(("PD00242", 2))
CPLX0-7848	L-ascorbate 6-phosphate lactonase	(("G7855-MONOMER", 6))
CYT-O-UBIOX-CPLX	cytochrome <i>bo</i> terminal oxidase	(("CYOC-MONOMER", 1) ("CYOB-MONOMER", 1) ("CYOA-MONOMER", 1) ("CYOD-MONOMER", 1))
CPLX0-7532	ammonia / ammonium transporter	(("AMTB-MONOMER", 3))
CPLX0-7561	ChpB-ChpS complex	(("EG11250-MONOMER", 1) ("EG12096-MONOMER", 1))
CPLX0-3961	transthyretin-related protein	(("G7058-MONOMER", 4))
CPLX0-244	NADPH nitroreductase NfsA	(("EG11261-MONOMER", 2))
PKII-CPLX	pyruvate kinase II	(("PKII-MONOMER", 4))
CPLX0-3621	replicative DNA helicase	(("EG10236-MONOMER", 6))
CPLX0-7761	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	(("ACONITATEDEHYDRB-MONOMER", 2))
CPLX0-3802	DNA polymerase III, &tau; subunit dimer	(("EG10245-MONOMER", 2))
NARQ-CPLX	NarQ sensory histidine kinase	(("NARQ-MONOMER", 2))
CPLX-163	2-<I>O</I>-&alpha;-mannosyl-D-glycerate PTS permease	(("HRSA-MONOMER", 2))
ALD-CPLX	aldehyde dehydrogenase A, NAD-linked	(("LACTALDDEHYDROG-MONOMER", 4))
NRDE-CPLX	ribonucleoside-diphosphate reductase 2, &alpha; subunit dimer	(("NRDE-MONOMER", 2))
EIISGA	L-ascorbate PTS permease	(("SGAT-MONOMER", 2) ("YJFT-MONOMER", 1) ("YJFU-MONOMER", 1))
SAMDECARB-CPLX	adenosylmethionine decarboxylase	(("SAMDC-BETA-MONOMER", 4) ("SAMDC-ALPHA-MONOMER", 4))
