"Metabolite Abbreviation"	"Metabolite Name"	"Neutral Formula"	"Charged Formula"	"Charge"	"Compartment"	"KEGG ID"	"CAS Number"	"Alternate Names"
"cdg[c]"	"7-deaza-7-carboxyguanine"	"C7H6N4O3"	"C7H5N4O3"	-1	"Cytosol"			
"cdp[c]"	"CDP"	"C9H15N3O11P2"	"C9H12N3O11P2"	-3	"Cytosol"	"C00112"	"63-38-7"	"Cytidine 5'-diphosphate/ Cytidine diphosphate"
"cdpdddecg[c]"	"CDP-1,2-didodecanoylglycerol"	"C36H65N3O15P2"	"C36H63N3O15P2"	-2	"Cytosol"	"C00269"		"CDP-1,2-diacylglycerol/ CDPdiacylglycerol/ 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate"
"cdpdhdec9eg[c]"	"CDP-1,2-dihexadec-9-enoylglycerol"	"C44H77N3O15P2"	"C44H75N3O15P2"	-2	"Cytosol"	"C00269"		"1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate/ CDP-1,2-diacylglycerol/ CDPdiacylglycerol"
"cdpdhdecg[c]"	"CDP-1,2-dihexadecanoylglycerol"	"C44H81N3O15P2"	"C44H79N3O15P2"	-2	"Cytosol"	"C00269"		"CDP-1,2-diacylglycerol/ CDPdiacylglycerol/ 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate"
"cdpdodec11eg[c]"	"CDP-1,2-dioctadec-11-enoylglycerol"	"C48H85N3O15P2"	"C48H83N3O15P2"	-2	"Cytosol"	"C00269"		"CDPdiacylglycerol/ 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate/ CDP-1,2-diacylglycerol"
"cdpdodecg[c]"	"CDP-1,2-dioctadecanoylglycerol"	"C48H89N3O15P2"	"C48H87N3O15P2"	-2	"Cytosol"	"C00269"		"1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate/ CDPdiacylglycerol/ CDP-1,2-diacylglycerol"
"cdpdtdec7eg[c]"	"CDP-1,2-ditetradec-7-enoylglycerol"	"C40H69N3O15P2"	"C40H67N3O15P2"	-2	"Cytosol"	"C00269"		"CDPdiacylglycerol/ CDP-1,2-diacylglycerol/ 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate"
"cdpdtdecg[c]"	"CDP-1,2-ditetradecanoylglycerol"	"C40H73N3O15P2"	"C40H71N3O15P2"	-2	"Cytosol"	"C00269"		"CDP-1,2-diacylglycerol/ 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate/ CDPdiacylglycerol"
"cechddd[c]"	"cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol"	"C9H12O4"	"C9H11O4"	-1	"Cytosol"			
"cenchddd[c]"	"cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol"	"C9H10O4"	"C9H9O4"	-1	"Cytosol"	"C12622"		
"cgly[c]"	"Cys-Gly"	"C5H10N2O3S"	"C5H10N2O3S"	0	"Cytosol"	"C01419"	"19246-18-5"	"L-Cysteinyl-glycine/ CCRIS 2905/ Cysteinylglycine [MeSH: cysteinylglycine]/ cysteinyl-glycine [MeSH: cysteinyl-glycine]/ Glycine, N-cysteinyl/ 19246-18-5/ Cys-Gly [MeSH: Cys-Gly]/ BRN 1724689/ L-Cysteinylglycine"
"chol[c]"	"Choline"	"C5H13NO"	"C5H14NO"	1	"Cytosol"	"C00114"	"123-41-1"	"Bilineurine"
"chor[c]"	"chorismate"	"C10H10O6"	"C10H8O6"	-2	"Cytosol"	"C00251"	"55508-12-8"	"chorismic acid"
"chtbs6p[c]"	"diacetylchitobiose-6-phosphate"	"C16H29N2O14P"	"C16H27N2O14P"	-2	"Cytosol"			"chitobiose-6-phosphate"
"cinnm[c]"	"trans-Cinnamate"	"C9H8O2"	"C9H7O2"	-1	"Cytosol"	"C00423"	10/03/40	"trans-Cinnamic acid"
"cit[c]"	"Citrate"	"C6H8O7"	"C6H5O7"	-3	"Cytosol"	"C00158"	"77-92-9"	"Citric acid/ 2-Hydroxytricarballylic acid/ 2/ 2-Hydroxy-1/ 3-propanetricarboxylic acid"
"citr-L[c]"	"L-Citrulline"	"C6H13N3O3"	"C6H13N3O3"	0	"Cytosol"	"C00327"	"372-75-8"	"2-Amino-5-ureidovaleric acid/ N5-(aminocarbonyl)-L-Ornithine/ Citrulline"
"ckdo[c]"	"CMP-3-deoxy-D-manno-octulosonate"	"C17H26N3O15P"	"C17H24N3O15P"	-2	"Cytosol"			"CMP-KDO"
"cl[c]"	"Chloride"	"Cl"	"Cl"	-1	"Cytosol"	"C00698"		"Cl-"
"cmp[c]"	"CMP"	"C9H14N3O8P"	"C9H12N3O8P"	-2	"Cytosol"	"C00055"		"Cytidine-5'-monophosphate/ Cytidylic acid/ 3'-Cytidylic Acid/ Cytidine-2'(3')-monophosphoric acid/ Cytidine-2[(3[)-monophosphoric acid"
"co2[c]"	"CO2"	"CO2"	"CO2"	0	"Cytosol"	"C00011"	"124-38-9"	"Carbon dioxide/ Carbonic anhydride"
"coa[c]"	"Coenzyme A"	"C21H36N7O16P3S"	"C21H32N7O16P3S"	-4	"Cytosol"	"C00010"	"85-61-0"	"CoA-SH/ CoA/ CoASH"
"cobalt2[c]"	"Co2+"	"Co"	"Co"	2	"Cytosol"	"C00175"	"7440-48-4"	"Cobalt"
"colipa[c]"	"core oligosaccharide lipid A"	"C176H314N2O100P4"	"C176H303N2O100P4"	-11	"Cytosol"			"hgggagicolipa/ heptosyl-(1->6)-glucosyl-(1->2)-glucosyl-(1->3)/galactosyl-(1->6)-glucosyl-(1->3)-inner core oligosaccharide lipid A"
"cpe160[c]"	"cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"	"C39H74N1O8P1"	"C39H74N1O8P1"	0	"Cytosol"			
"cpe180[c]"	"cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)"	"C43H82N1O8P1"	"C43H82N1O8P1"	0	"Cytosol"			
"cpg160[c]"	"cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"	"C40H75O10P1"	"C40H74O10P1"	-1	"Cytosol"			
"cpg180[c]"	"cyclopropane phosphatidylglycerol (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)"	"C44H83O10P1"	"C44H82O10P1"	-1	"Cytosol"			
"cpgn[c]"	"coprogen"	"C35H53N6O13Fe"	"C35H52N6O13Fe"	-1	"Cytosol"			
"cpgn-un[c]"	"coprogen unloaded (no Fe(III))"	"C35H56N6O13"	"C35H52N6O13"	-4	"Cytosol"			
"cph4[c]"	"6-carboxy-5,6,7,8-tetrahydropterin"	"C7H9N5O3"	"C7H8N5O3"	-1	"Cytosol"			
"cpmp[c]"	"cyclic pyranopterin monophosphate"	"C10H14N5O8P"	"C10H13N5O8P"	-1	"Cytosol"	"C18239"		"precursor-Z/ cPMP/ precursor Z"
"cpppg3[c]"	"Coproporphyrinogen III"	"C36H44N4O8"	"C36H40N4O8"	-4	"Cytosol"	"C03263"	"2624-63-7"	
"crn[c]"	"L-Carnitine"	"C7H15NO3"	"C7H15NO3"	0	"Cytosol"	"C00318"	"541-15-1"	"L-gamma-Trimethyl-beta-hydroxybutyrobetaine/ Vitamin BT/ (S)-Carnitine/ 3-Carboxy-2-hydroxy-N/ N-trimethyl-1-propanaminium"
"crn-D[c]"	"D-Carnitine"	"C7H15NO3"	"C7H15NO3"	0	"Cytosol"	"C00487"		"gamma-Trimethyl-hydroxybutyrobetaine/ Carnitine/ 3-Hydroxy-4-trimethylammoniobutanoate"
"crnDcoa[c]"	"D-carnitinyl-CoA"	"C28H49N8O18P3S"	"C28H46N8O18P3S"	-3	"Cytosol"			
"crncoa[c]"	"L-Carnitinyl-CoA"	"C28H49N8O18P3S"	"C28H46N8O18P3S"	-3	"Cytosol"			
"csn[c]"	"Cytosine"	"C4H5N3O"	"C4H5N3O"	0	"Cytosol"	"C00380"	"71-30-7"	
"ctbt[c]"	"crotonobetaine"	"C7H13NO2"	"C7H13NO2"	0	"Cytosol"	"C04114"	"6666-46-2"	"4-(Trimethylammonio)but-2-enoate"
"ctbtcoa[c]"	"crotonobetainyl-CoA"	"C28H47N8O17P3S"	"C28H44N8O17P3S"	-3	"Cytosol"			"4-N-trimethylamino-2-butenoate CoA"
"ctp[c]"	"CTP"	"C9H16N3O14P3"	"C9H12N3O14P3"	-4	"Cytosol"	"C00063"	"65-47-4"	"Cytidine 5'-triphosphate/ Cytidine triphosphate"
"cu[c]"	"Cu+"	"Cu"	"Cu"	1	"Cytosol"	"C00070"		"Copper"
"cu2[c]"	"Cu2+"	"Cu"	"Cu"	2	"Cytosol"	"C00070"		"Copper"
"cyan[c]"	"Hydrogen cyanide"	"CHN"	"CHN"	0	"Cytosol"	"C01326"	12/05/57	"CN-/ Cyano"
"cynt[c]"	"Cyanate"	"CHNO"	"CNO"	-1	"Cytosol"	"C01417"	05/03/20	"Cyanate/ Cyanic acid"
"cys-D[c]"	"D-Cysteine"	"C3H7NO2S"	"C3H7NO2S"	0	"Cytosol"	"C00793"	01/07/21	"D-Amino-3-mercaptopropionic acid"
"cys-L[c]"	"L-Cysteine"	"C3H7NO2S"	"C3H7NO2S"	0	"Cytosol"	"C00097"	"52-90-4"	"Cys/ L-2-Amino-3-mercaptopropionic acid"
"cyst-L[c]"	"L-Cystathionine"	"C7H14N2O4S"	"C7H14N2O4S"	0	"Cytosol"	"C02291"	"56-88-2"	
"cystrna[c]"	"L-Cysteinyl-tRNA(Cys)"	"C3H5NOSR"	"C3H6NOSR"	1	"Cytosol"	"C03125"		
"cytd[c]"	"Cytidine"	"C9H13N3O5"	"C9H13N3O5"	0	"Cytosol"	"C00475"	"65-46-3"	"4-amino-1-beta-D-ribofuranosyl-2(1H)-pyrimidinone/ 1-beta-ribofuranosylosine/ cytosine riboside"
"dad-2[c]"	"Deoxyadenosine"	"C10H13N5O3"	"C10H13N5O3"	0	"Cytosol"	"C00559"	09/08/58	"2'-Deoxyadenosine/ dA"
"dad-5[c]"	"5'-Deoxyadenosine"	"C10H13N5O3"	"C10H13N5O3"	0	"Cytosol"	"C05198"		
"dadp[c]"	"dADP"	"C10H15N5O9P2"	"C10H12N5O9P2"	-3	"Cytosol"	"C00206"		"2'-Deoxyadenosine 5'-diphosphate"
"damp[c]"	"dAMP"	"C10H14N5O6P"	"C10H12N5O6P"	-2	"Cytosol"	"C00360"	"653-63-4"	"2'-Deoxyadenosine 5'-phosphate/ 2'-Deoxyadenosine 5'-monophosphate/ Deoxyadenylic acid/ Deoxyadenosine monophosphate"
"dann[c]"	"7,8-Diaminononanoate"	"C9H20N2O2"	"C9H21N2O2"	1	"Cytosol"	"C01037"		
"datp[c]"	"dATP"	"C10H16N5O12P3"	"C10H12N5O12P3"	-4	"Cytosol"	"C00131"	"1927-31-7"	"2'-Deoxyadenosine 5'-triphosphate/ Deoxyadenosine 5'-triphosphate/ Deoxyadenosine triphosphate"
"db4p[c]"	"3,4-dihydroxy-2-butanone 4-phosphate"	"C4H9O6P"	"C4H7O6P"	-2	"Cytosol"	"C15556"		
"dc2coa[c]"	"trans-Dec-2-enoyl-CoA"	"C31H52N7O17P3S"	"C31H48N7O17P3S"	-4	"Cytosol"	"C05275"		"(2E)-Decenoyl-CoA"
"dca[c]"	"Decanoate (n-C10:0)"	"C10H20O2"	"C10H19O2"	-1	"Cytosol"	"C01571"	"334-48-5"	"n-Capric acid/ Decylic acid/ decylate/ decoate/ caprate/ n-decanoate/ n-decoate/ caprinate/ decanoate/ n-caprate/ caprynate/ Decanoic acid"
"dcaACP[c]"	"Decanoyl-ACP (n-C10:0ACP)"	"C21H40N2O8PRS"	"C21H39N2O8PRS"	-1	"Cytosol"	"C05755"		"Decanoyl-[acyl-carrier protein]/ Decanoyl-[acp]"
"dcacoa[c]"	"Decanoyl-CoA (n-C10:0CoA)"	"C31H54N7O17P3S"	"C31H50N7O17P3S"	-4	"Cytosol"	"C05274"		
"dcamp[c]"	"N6-(1,2-Dicarboxyethyl)-AMP"	"C14H18N5O11P"	"C14H14N5O11P"	-4	"Cytosol"	"C03794"		"Adenylosuccinate/ Adenylosuccinic acid"
"dcdp[c]"	"dCDP"	"C9H15N3O10P2"	"C9H12N3O10P2"	-3	"Cytosol"	"C00705"		"2'-Deoxycytidine diphosphate/ 2'-Deoxycytidine 5'-diphosphate"
"dcmp[c]"	"dCMP"	"C9H14N3O7P"	"C9H12N3O7P"	-2	"Cytosol"	"C00239"	"1032-65-1"	"Deoxycytidylic acid/ Deoxycytidine monophosphate/ Deoxycytidylate/ 2'-Deoxycytidine 5'-monophosphate"
"dctp[c]"	"dCTP"	"C9H16N3O13P3"	"C9H12N3O13P3"	-4	"Cytosol"	"C00458"	"2056-98-6"	"Deoxycytidine 5'-triphosphate/ Deoxycytidine triphosphate/ 2'-Deoxycytidine 5'-triphosphate"
"dcyt[c]"	"Deoxycytidine"	"C9H13N3O4"	"C9H13N3O4"	0	"Cytosol"	"C00881"	"951-77-9"	"2'-Deoxycytidine/ dC"
"dd2coa[c]"	"trans-Dodec-2-enoyl-CoA"	"C33H56N7O17P3S"	"C33H52N7O17P3S"	-4	"Cytosol"	"C03221"		"2-trans-Dodecenoyl-CoA"
"ddca[c]"	"Dodecanoate (n-C12:0)"	"C12H24O2"	"C12H23O2"	-1	"Cytosol"	"C02679"	07/07/43	"Dodecylcarboxylate/ Lauric acid/ Dodecanoic acid"
"ddcaACP[c]"	"Dodecanoyl-ACP (n-C12:0ACP)"	"C23H44N2O8PRS"	"C23H43N2O8PRS"	-1	"Cytosol"	"C05223"		"Dodecanoyl-[acyl-carrier protein]/ Dodecanoyl-[acp]/ Fatty Acid C12 ACP/ Lauroyl ACP"
"ddcacoa[c]"	"Dodecanoyl-CoA (n-C12:0CoA)"	"C33H58N7O17P3S"	"C33H54N7O17P3S"	-4	"Cytosol"	"C01832"	"6244-92-4"	"Lauroyl-CoA/ Lauroyl coenzyme A"
"ddcap[c]"	"Dodecanoly-phosphate (n-C12:0)"	"C12H25O5P1"	"C12H24O5P1"	-1	"Cytosol"			
"dgdp[c]"	"dGDP"	"C10H15N5O10P2"	"C10H12N5O10P2"	-3	"Cytosol"	"C00361"		"2'-Deoxyguanosine 5'-diphosphate"
"dgmp[c]"	"dGMP"	"C10H14N5O7P"	"C10H12N5O7P"	-2	"Cytosol"	"C00362"	04/05/02	"2'-Deoxyguanosine 5'-monophosphate/ 2'-Deoxyguanosine 5'-phosphate/ Deoxyguanylic acid/ Deoxyguanosine monophosphate"
"dgslnt[c]"	"Selenodiglutathione"	"C20H32N6O12S2Se"	"C20H30N6O12S2Se"	-2	"Cytosol"	"C18870"		"bis(glutathionyl)selenide/ glutathiol selenotrisulfide/ GS-Se-SG"
"dgsn[c]"	"Deoxyguanosine"	"C10H13N5O4"	"C10H13N5O4"	0	"Cytosol"	"C00330"	07/09/61	"2'-deoxyguanosine hemihydrate/ 2'-Deoxyguanosine"
"dgtp[c]"	"dGTP"	"C10H16N5O13P3"	"C10H12N5O13P3"	-4	"Cytosol"	"C00286"	"2564-35-4"	"2'-Deoxyguanosine 5'-triphosphate/ Deoxyguanosine 5'-triphosphate/ Deoxyguanosine triphosphate"
"dha[c]"	"Dihydroxyacetone"	"C3H6O3"	"C3H6O3"	0	"Cytosol"	"C00184"	"96-26-4"	"Glycerone/ 1/ 3-Dihydroxyacetone/ 3-Dihydroxy-2-propanone/ 3-Dihydroxypropan-2-one"
"dhap[c]"	"Dihydroxyacetone phosphate"	"C3H7O6P"	"C3H5O6P"	-2	"Cytosol"	"C00111"	04/05/57	"Glycerone phosphate"
"dhcinnm[c]"	"2,3-dihydroxicinnamic acid"	"C9H8O4"	"C9H7O4"	-1	"Cytosol"	"C12623"		
"dhf[c]"	"7,8-Dihydrofolate"	"C19H21N7O6"	"C19H19N7O6"	-2	"Cytosol"	"C00415"	"4033-27-6"	"7,8-Dihydrofolic acid/ Dihydrofolate/ Dihydrofolic acid"
"dhgly[c]"	"dehydroglycine"	"C2H3NO2"	"C2H2NO2"	-1	"Cytosol"	"C15809"		"2-iminoacetate"
"dhmpt[c]"	"Dihydromonapterin"	"C9H13N5O4"	"C9H13N5O4"	0	"Cytosol"			
"dhmptp[c]"	"dihydromonapterin-triphosphate"	"C9H16N5O13P3"	"C9H12N5O13P3"	-4	"Cytosol"			"6-(L-threo-1',2',3'-trihydroxypropyl)-7,8-dihydropterin-3'-triphosphate/ H2MTP"
"dhna[c]"	"1,4-Dihydroxy-2-naphthoate"	"C11H8O4"	"C11H7O4"	-1	"Cytosol"	"C03657"		
"dhnpt[c]"	"Dihydroneopterin"	"C9H13N5O4"	"C9H13N5O4"	0	"Cytosol"	"C04874"		"2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine/ 7,8-dihydronepterin"
"dhor-S[c]"	"(S)-Dihydroorotate"	"C5H6N2O4"	"C5H5N2O4"	-1	"Cytosol"	"C00337"	"5988-19-2"	"L-Dihydroorotate/ L-Dihydroorotic acid/ Dihydro-L-orotic acid/ (S)-4/ 5-Dihydroorotate"
"dhpmp[c]"	"Dihydroneopterin monophosphate"	"C9H14N5O7P"	"C9H12N5O7P"	-2	"Cytosol"	"C05925"		"Dihydroneopterin phosphate/ 7' 8-dihydronepterin 3'-phosphate/ 2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)"
"dhpppn[c]"	"3-(2,3-Dihydroxyphenyl)propanoate"	"C9H10O4"	"C9H9O4"	-1	"Cytosol"	"C04044"		"3-(2,3-Dihydroxyphenyl)propanoate"
"dhpt[c]"	"Dihydropteroate"	"C14H14N6O3"	"C14H13N6O3"	-1	"Cytosol"	"C00921"		"7,8-Dihydropteroate"
"dhptd[c]"	"4,5-dihydroxy-2,3-pentanedione"	"C5H8O4"	"C5H8O4"	0	"Cytosol"	"C11838"		
"dhptdn[c]"	"6,7-Dihydropteridine"	"C6H6N4"	"C6H6N4"	0	"Cytosol"	"C05649"	"2208-41-5"	"Dihydropteridine"
"didp[c]"	"dIDP"	"C10H14N4O10P2"	"C10H11N4O10P2"	-3	"Cytosol"	"C01344"		"2'-Deoxyinosine-5'-diphosphate/ 2'-Deoxyinosine 5'-diphosphate"
"dimp[c]"	"dIMP"	"C10H13N4O7P"	"C10H11N4O7P"	-2	"Cytosol"	"C06196"		"2'-Deoxyinosine 5'-phosphate"
"din[c]"	"Deoxyinosine"	"C10H12N4O4"	"C10H12N4O4"	0	"Cytosol"	"C05512"	"890-38-0"	"2'-deoxy-inosine"
"ditp[c]"	"dITP"	"C10H15N4O13P3"	"C10H11N4O13P3"	-4	"Cytosol"	"C01345"		"2'-Deoxyinosine-5'-triphosphate/ 2'-Deoxyinosine 5'-triphosphate"
"dmbzid[c]"	"5,6-Dimethylbenzimidazole"	"C9H10N2"	"C9H10N2"	0	"Cytosol"	"C03114"	"582-60-5"	"Dimethylbenzimidazole"
"dmlz[c]"	"6,7-Dimethyl-8-(1-D-ribityl)lumazine"	"C13H18N4O6"	"C13H18N4O6"	0	"Cytosol"	"C04332"		
"dmpp[c]"	"Dimethylallyl diphosphate"	"C5H12O7P2"	"C5H9O7P2"	-3	"Cytosol"	"C00235"	"358-71-4"	"2-Isopentenyl diphosphate/ delta2-Isopentenyl diphosphate/ Prenyl diphosphate/ dimethylallyl pyrophosphate"
"dms[c]"	"Dimethyl sulfide"	"C2H6S"	"C2H6S"	0	"Cytosol"	"C00580"	"75-18-3"	"Methyl sulfide/ Methyl thioether"
"dmso[c]"	"Dimethyl sulfoxide"	"C2H6OS"	"C2H6OS"	0	"Cytosol"	"C11143"		
"dnad[c]"	"Deamino-NAD+"	"C21H27N6O15P2"	"C21H24N6O15P2"	-2	"Cytosol"	"C00857"		"Deamido-NAD+"
"dpcoa[c]"	"Dephospho-CoA"	"C21H35N7O13P2S"	"C21H33N7O13P2S"	-2	"Cytosol"	"C00882"		
"dsbdox[c]"	"fused thiol:disulfide interchange protein (oxidized)"	"X"	"X"	0	"Cytosol"			"gene product of dsbD"
"dsbdrd[c]"	"fused thiol:disulfide interchange protein (reduced)"	"XH2"	"XH2"	0	"Cytosol"			"gene product of dsbD"
"dscl[c]"	"dihydrosirohydrochlorin"	"C42H48N4O16"	"C42H41N4O16"	-7	"Cytosol"	"C02463"	"65207-12-7"	"Precorrin 2"
"dtbt[c]"	"Dethiobiotin"	"C10H18N2O3"	"C10H17N2O3"	-1	"Cytosol"	"C01909"		"Desthiobiotin"
"dtdp[c]"	"dTDP"	"C10H16N2O11P2"	"C10H13N2O11P2"	-3	"Cytosol"	"C00363"		"Thymidine 5'-diphosphate"
"dtdp4aaddg[c]"	"dTDP-4-acetamido-4,6-dideoxy-D-galactose"	"C18H29N3O15P2"	"C18H27N3O15P2"	-2	"Cytosol"			
"dtdp4addg[c]"	"dTDP-4-amino-4,6-dideoxy-D-galactose"	"C16H27N3O14P2"	"C16H26N3O14P2"	-1	"Cytosol"	"C04268"		"dTDP-D-fucosamine"
"dtdp4d6dg[c]"	"dTDP-4-dehydro-6-deoxy-D-glucose"	"C16H24N2O15P2"	"C16H22N2O15P2"	-2	"Cytosol"	"C00687"		"dTDP-4-oxo-6-deoxy-D-glucose"
"dtdp4d6dm[c]"	"dTDP-4-dehydro-6-deoxy-L-mannose"	"C16H24N2O15P2"	"C16H22N2O15P2"	-2	"Cytosol"	"C00688"		"dTDP-4-oxo-L-rhamnose/ dTDP-4-oxo-6-deoxy-L-mannose"
"dtdpglu[c]"	"dTDPglucose"	"C16H26N2O16P2"	"C16H24N2O16P2"	-2	"Cytosol"	"C00842"	"2009-24-7"	"dTDP-D-glucose"
"dtdprmn[c]"	"dTDP-L-rhamnose"	"C16H26N2O15P2"	"C16H24N2O15P2"	-2	"Cytosol"	"C03319"	"572-96-3"	"dTDP-6-deoxy-L-mannose/ dTDP-L-rhamnose"
"dtmp[c]"	"dTMP"	"C10H15N2O8P"	"C10H13N2O8P"	-2	"Cytosol"	"C00364"	07/01/65	"Thymidine 5'-phosphate/ Deoxythymidine 5'-phosphate/ Thymidylic acid/ 5'-Thymidylic acid/ Thymidine monophosphate/ Deoxythymidylic acid/ Thymidylate"
"dttp[c]"	"dTTP"	"C10H17N2O14P3"	"C10H13N2O14P3"	-4	"Cytosol"	"C00459"		"Thymidine triphosphate/ Thymidine 5'-triphosphate/ TTP"
"dudp[c]"	"dUDP"	"C9H14N2O11P2"	"C9H11N2O11P2"	-3	"Cytosol"	"C01346"		"2'-Deoxyuridine 5'-diphosphate"
"dump[c]"	"dUMP"	"C9H13N2O8P"	"C9H11N2O8P"	-2	"Cytosol"	"C00365"	"964-26-1"	"Deoxyuridylic acid/ Deoxyuridine monophosphate/ Deoxyuridine 5'-phosphate/ 2'-Deoxyuridine 5'-phosphate"
"duri[c]"	"Deoxyuridine"	"C9H12N2O5"	"C9H12N2O5"	0	"Cytosol"	"C00526"	"951-78-0"	"2-Deoxyuridine/ 2'-Deoxyuridine"
"dutp[c]"	"dUTP"	"C9H15N2O14P3"	"C9H11N2O14P3"	-4	"Cytosol"	"C00460"		"2'-Deoxyuridine 5'-triphosphate"
"dxyl[c]"	"1-deoxy-D-xylulose"	"C5H10O4"	"C5H10O4"	0	"Cytosol"	"C06257"		"1-deoxy-D-threo-2-pentulose"
"dxyl5p[c]"	"1-deoxy-D-xylulose 5-phosphate"	"C5H11O7P"	"C5H9O7P"	-2	"Cytosol"	"C11437"		
"e4p[c]"	"D-Erythrose 4-phosphate"	"C4H9O7P"	"C4H7O7P"	-2	"Cytosol"	"C00279"	"585-18-2"	"4-phospho D-erythrose"
"egmeACP[c]"	"Enoylglutaryl-[acyl-carrier protein] methyl ester"	"C6H7O3R"	"C17H27N2O10PRS"	-1	"Cytosol"			
"eig3p[c]"	"D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate"	"C6H11N2O6P"	"C6H9N2O6P"	-2	"Cytosol"	"C04666"		"D-erythro-Imidazole-glycerol 3-phosphate/ D-erythro-Imidazole-glycerol phosphate"
"enter[c]"	"Enterochelin"	"C30H27N3O15"	"C30H27N3O15"	0	"Cytosol"	"C05821"		"tri-(2,3-dihydroxy-N-benzoyl-L-serine)-ester/ Enterobactin/ tri-(N-(2,3-dihydroxybenzoyl)-L-serine)-ester"
"epmeACP[c]"	"Enoylpimeloyl-[acyl-carrier protein] methyl ester"	"C8H11O3R"	"C19H31N2O10PRS"	-1	"Cytosol"			
"etha[c]"	"Ethanolamine"	"C2H7NO"	"C2H8NO"	1	"Cytosol"	"C00189"	"141-43-5"	"Aminoethanol/ Hydroxyethylamine"
"ethso3[c]"	"ethanesulfonate"	"C2H6O3S"	"C2H5O3S"	-1	"Cytosol"			
"etoh[c]"	"Ethanol"	"C2H6O"	"C2H6O"	0	"Cytosol"	"C00469"	"64-17-5"	"Ethyl alcohol/ Methylcarbinol"
"f1p[c]"	"D-Fructose 1-phosphate"	"C6H13O9P"	"C6H11O9P"	-2	"Cytosol"	"C02976"	"15978-08-2"	"Fructose 1-phosphate/ Fructofuranose 1-phosphate"
"f6p[c]"	"D-Fructose 6-phosphate"	"C6H13O9P"	"C6H11O9P"	-2	"Cytosol"	"C00085"	"643-13-0"	"D-Fructose 6-phosphoric acid/ Neuberg ester/ beta-D-Fructose 6-phosphate"
"fad[c]"	"Flavin adenine dinucleotide oxidized"	"C27H33N9O15P2"	"C27H31N9O15P2"	-2	"Cytosol"	"C00016"	"146-14-5"	"FAD/ Flavin adenine dinucleotide/ Riboflavine 5'-adenosine diphosphate"
"fadh2[c]"	"Flavin adenine dinucleotide reduced"	"C27H35N9O15P2"	"C27H33N9O15P2"	-2	"Cytosol"	"C01352"		"flavin adenine dinucleotide (reduced form)"
"fald[c]"	"Formaldehyde"	"CH2O"	"CH2O"	0	"Cytosol"	"C00067"	"50-00-0"	"Formalin/ Methanal/ Oxomethane/ Oxomethylene/ Methylene oxide"
"fc1p[c]"	"L-Fuculose 1-phosphate"	"C6H13O8P"	"C6H11O8P"	-2	"Cytosol"	"C01099"		
"fcl-L[c]"	"L-fuculose"	"C6H12O5"	"C6H12O5"	0	"Cytosol"	"C01721"		
"fdp[c]"	"D-Fructose 1,6-bisphosphate"	"C6H14O12P2"	"C6H10O12P2"	-4	"Cytosol"	"C00354"	"488-69-7"	"fructose-1,6-bisphosphate/ fructose diphosphate/ beta-D-fructofuranose-1,6-diphosphate/ fbp"
"fe2[c]"	"Fe2+"	"Fe"	"Fe"	2	"Cytosol"	"C00023"		"Reduced Iron/ Iron dication/ Iron/ Fe(II)"
"fe3[c]"	"Fe3+"	"Fe"	"Fe"	3	"Cytosol"	"C14819"		"Iron trication/ Fe(III)"
"fe3dhbzs[c]"	"ferric 2,3-dihydroxybenzoylserine"	"C10H8NO6Fe"	"C10H10NO6Fe"	2	"Cytosol"			
"fe3hox[c]"	"Fe(III)hydroxamate"	"C9H18O6N3Fe"	"C9H18O6N3Fe"	0	"Cytosol"	"C06227"		"Fe(III)hydroxamic acid"
"fe3hox-un[c]"	"Fe(III)hydoxamate, unloaded"	"C9H21O6N3"	"C9H18O6N3"	-3	"Cytosol"			
"fecrm[c]"	"Ferrichrome"	"C27H42FeN9O12"	"C27H42FeN9O12"	0	"Cytosol"	"C06228"		
"fecrm-un[c]"	"Ferrichrome minus Fe(III)"	"C27H45N9O12"	"C27H42N9O12"	-3	"Cytosol"			
"feenter[c]"	"Fe-enterobactin"	"C30H24FeN3O15"	"C30H27FeN3O15"	3	"Cytosol"	"C06230"		"Fe-enterochlin"
"feoxam[c]"	"ferroxamine"	"C25H45FeN6O8"	"C25H46FeN6O8"	1	"Cytosol"	"C07597"		"Ferrioxamine B"
