pathwayId	pathwayName	genes	reactions
PWY0-1299	arginine dependent acid resistance	["EG11501"]	["ARGDECARBOX-RXN"]
PWY-6268	adenosylcobalamin salvage from cobalamin	["EG10130"]	["RXN-19366", "RXN-19341", "RXN-19340", "RXN-19334", "COBALADENOSYLTRANS-RXN"]
PWY0-1319	CDP-diacylglycerol biosynthesis II	["EG20091", "EG11377", "EG10139", "EG10740", "EG50003"]	["RXN-10462", "CDPDIGLYSYN-RXN", "1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN", "GLYC3PDEHYDROGBIOSYN-RXN"]
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	["G6350", "EG10663", "EG11546", "EG10630", "EG10631"]	["L-ASPARTATE-OXID-RXN", "QUINOLINATE-SYNTHA-RXN", "QUINOPRIBOTRANS-RXN", "NAD-SYNTH-NH3-RXN", "NAD-SYNTH-GLN-RXN", "NICONUCADENYLYLTRAN-RXN"]
GLUTSYN-PWY	L-glutamate biosynthesis I	["EG10403", "EG10404"]	["GLUTAMATESYN-RXN"]
NONMEVIPP-PWY	methylerythritol phosphate pathway I	["G6237", "EG12715", "EG11081", "G7423", "EG11294", "EG11816", "G7508", "EG10370", "EG12697", "EG10318", "EG11328"]	["RXN-15878", "IPPISOM-RXN", "RXN0-302", "2.7.1.148-RXN", "2.7.7.60-RXN", "ISPH2-RXN", "RXN0-884", "DXPREDISOM-RXN", "DXS-RXN"]
PWY0-1280	ethylene glycol degradation	["EG10035", "EG10351"]	["GLYCOLALDREDUCT-RXN", "GLYCOLALD-DEHYDROG-RXN"]
PWY0-1300	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	["EG13236", "EG11175", "G6283"]	["GKI-RXN", "RXN0-5216"]
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	["EG10546", "EG11409", "EG12666", "EG10316", "EG10265", "EG10545", "EG10519", "G7663", "EG10518", "G7662", "EG10973", "EG10520", "EG10464", "EG10614", "EG11189", "EG12210", "EG11339", "EG11340", "EG11341", "EG11425", "EG11351", "EG11352", "EG11353", "EG11423", "EG50003"]	["RXN0-5127", "RXN0-5126", "RXN0-5125", "RXN0-5124", "RXN0-5123", "RXN0-5122", "RXN0-5121", "RXN0-5120", "RXN0-5061", "RXN0-5118", "MYRISTOYLACYLTRAN-RXN", "LAUROYLACYLTRAN-RXN", "KDOTRANS2-RXN", "KDOTRANS-RXN", "RXN-16804", "DARAB5PISOM-RXN", "KDO-8PSYNTH-RXN", "KDO-8PPHOSPHAT-RXN", "CPM-KDOSYNTH-RXN", "UDPNACETYLGLUCOSAMACYLTRANS-RXN", "UDPACYLGLCNACDEACETYL-RXN", "UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN", "LIPIDXSYNTHESIS-RXN", "TETRAACYLDISACC4KIN-RXN", "LIPIDADISACCHARIDESYNTH-RXN"]
PWY-7344	UDP-&alpha;-D-galactose biosynthesis	["EG10362"]	["UDPGLUCEPIM-RXN"]
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (<i>E. coli</i>)	["EG10508", "G7508", "G6092", "EG11665", "G6439", "EG10705", "EG10017"]	["RXN-8992", "UNDECAPRENYL-DIPHOSPHATASE-RXN", "RXN-8999", "IPPISOM-RXN", "FPPSYN-RXN", "GPPSYN-RXN"]
PWY0-881	superpathway of fatty acid biosynthesis I (E. coli)	["EG11317", "EG11647", "EG10217", "EG10277", "EG10273", "EG11284", "EG11528", "EG11318", "EG10274", "EG12606", "EG50003"]	["ENOYL-ACP-REDUCT-NADPH-RXN", "3-OXOACYL-ACP-SYNTH-RXN", "3-OXOACYL-ACP-REDUCT-RXN", "ENOYL-ACP-REDUCT-NADH-RXN", "3-HYDROXYDECANOYL-ACP-DEHYDR-RXN", "MALONYL-ACPDECARBOX-RXN", "RXN0-5055", "2.3.1.180-RXN", "MALONYL-COA-ACP-TRANSACYL-RXN", "ACP-S-ACETYLTRANSFER-RXN", "3-OXOACYL-ACP-SYNTH-BASE-RXN", "RXN-9655", "5.3.3.14-RXN", "RXN0-2141", "RXN0-2142", "RXN0-2144", "RXN0-2145"]
PWY0-1458	"PhoQP Two-Component Signal Transduction System", "magnesium-dependent"	["EG10731", "EG10732"]	["PHOP-RXN", "PHOQ-RXN"]
PWY-6153	autoinducer AI-2 biosynthesis I	["EG11090", "EG12712"]	["RIBOSYLHOMOCYSTEINASE-RXN", "ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN", "RXN-7605", "RXN-10015", "RXN-10017"]
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	["EG11190", "EG12312", "EG10004"]	["P-PANTOCYSLIG-RXN", "P-PANTOCYSDECARB-RXN", "DEPHOSPHOCOAKIN-RXN", "PANTEPADENYLYLTRAN-RXN"]
GLNSYN-PWY	L-glutamine biosynthesis I	["EG10383"]	["GLUTAMINESYN-RXN"]
PWY-5123	"<i>trans", "trans</i>-farnesyl diphosphate biosynthesis"	["EG10508", "G7508"]	["IPPISOM-RXN", "FPPSYN-RXN", "GPPSYN-RXN"]
PWY0-1584	"nitrate reduction X (dissimilatory", "periplasmic)"	["EG10394", "EG12061", "EG12067", "EG12064", "EG12062"]	["RXN-18584", "NITRATE-REDUCTASE-CYTOCHROME-RXN", "RXN0-5260"]
SALVPURINE2-PWY	xanthine and xanthosine salvage	["EG10414", "G85", "EG12159"]	["XANTHOSINEPHOSPHORY-RXN", "XANPRIBOSYLTRAN-RXN"]
PWY-5162	"2-hydroxypenta-2,4-dienoate degradation"	["M013", "G6205", "M014"]	["ACETALD-DEHYDROG-RXN", "MHPELY-RXN", "2-OXOPENT-4-ENOATE-HYDRATASE-RXN"]
PWY0-301	"L-ascorbate degradation I (bacterial", "anaerobic)"	["G7859", "G7858", "G7860", "G7855"]	["RXN0-5214", "RIBULPEPIM-RXN", "RXN0-705", "LXULRU5P-RXN"]
PWY0-1433	tetrahydromonapterin biosynthesis	["G6862", "G7195", "EG11375"]	["GTP-CYCLOHYDRO-I-RXN", "H2NTPEPIM-RXN", "RXN0-6368", "RXN0-6367"]
PWY-2161	folate polyglutamylation	["EG10408", "EG10327"]	["FORMYLTHFGLUSYNTH-RXN", "RXN0-2921", "FOLYLPOLYGLUTAMATESYNTH-RXN", "GLYOHMETRANS-RXN"]
PWY-6019	pseudouridine degradation	["EG12033", "EG11646"]	["PSEUDOURIDINE-KINASE-RXN", "RXN0-5398"]
PWY-6579	superpathway of guanine and guanosine salvage	["EG10414", "EG20098", "EG10222", "G85", "EG12159", "EG11102"]	["GUANOSINEKIN-RXN", "RXN0-5199", "GUANPRIBOSYLTRAN-RXN"]
PWY0-1309	chitobiose degradation	["EG12198", "EG10144"]	["RXN0-7002", "RXN0-7001"]
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	["EG10799", "EG10794", "EG10792", "EG10797", "EG10798", "EG11809"]	["GART-RXN", "GARTRANSFORMYL2-RXN", "AIRS-RXN", "FGAMSYN-RXN", "GLYRIBONUCSYN-RXN", "PRPPAMIDOTRANS-RXN"]
DARABCATK12-PWY	D-arabinose degradation I	["EG10349", "EG10350", "EG10348", "EG10035"]	["GLYCOLALD-DEHYDROG-RXN", "DARABALDOL-RXN", "DARABKIN-RXN", "DARABISOM-RXN"]
PWY-6126	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II	["EG10790", "EG11314", "EG10032", "EG10660", "EG10661", "EG20257", "EG12381", "EG10650", "EG11417", "G7401", "EG11031", "EG11887"]	["RXN0-745", "DADPKIN-RXN", "RXN0-747", "ADPREDUCT-RXN", "ADENYL-KIN-RXN", "AMPSYN-RXN", "ADENYLOSUCCINATE-SYNTHASE-RXN"]
GALACTITOLCAT-PWY	galactitol degradation	["EG10700", "EG12768", "G7631", "EG12419", "G7128", "EG12417", "EG12416", "EG12415", "EG12414"]	["TRANS-RXN-161", "RXN-16992", "1.1.1.251-RXN", "TAGAALDOL-RXN", "TAGAKIN-RXN"]
PWY0-1499	DpiBA Two-Component Signal Transduction System	["G6345", "G6346"]	["RXN0-6271", "RXN0-6272"]
AST-PWY	L-arginine degradation II (AST pathway)	["G6943", "G6941", "G6944", "G6942", "G6940"]	["SUCCGLUDESUCC-RXN", "SUCCGLUALDDEHYD-RXN", "SUCCORNTRANSAM-RXN", "SUCCARGDIHYDRO-RXN", "ARGININE-N-SUCCINYLTRANSFERASE-RXN"]
PWY-6910	hydroxymethylpyrimidine salvage	["G7259", "G7135"]	["PYRIMSYN3-RXN", "OHMETPYRKIN-RXN"]
PUTDEG-PWY	putrescine degradation I	["G6755", "EG10036", "G7596"]	["PUTTRANSAM-RXN", "AMINOBUTDEHYDROG-RXN"]
PWY-6823	molybdenum cofactor biosynthesis	["EG11595", "EG11597", "EG11598", "EG11511", "EG10153", "EG10154", "G6952", "G7325", "G6906", "EG11666"]	["RXN-17809", "RXN0-308", "RXN-12473", "RXN-11361", "RXN-8348", "RXN-8344", "RXN-8342", "RXN-8340"]
PWY0-1296	purine ribonucleosides degradation	["EG10030", "EG10222", "G85", "EG12159", "EG10220"]	["PPENTOMUT-RXN", "RXN0-5199", "INOPHOSPHOR-RXN", "ADENODEAMIN-RXN", "ADENPHOSPHOR-RXN", "XANTHOSINEPHOSPHORY-RXN"]
PWY-5755	4-hydroxybenzoate biosynthesis II (microbes)	["EG11369"]	["CHORPYRLY-RXN"]
PWY0-1321	nitrate reduction III (dissimilatory)	["EG11227", "EG11228", "EG11229", "EG11858", "EG11857", "EG11856", "EG10638", "EG10639", "EG10640", "EG10647", "EG10648", "EG10644"]	["RXN0-3501", "FORMATEDEHYDROG-RXN"]
LEUSYN-PWY	L-leucine biosynthesis	["EG11577", "G6986", "EG10497", "EG11040", "EG11226", "EG11576", "EG11575"]	["RXN-8991", "RXN-7800", "2-ISOPROPYLMALATESYN-RXN", "3-ISOPROPYLMALISOM-RXN", "BRANCHED-CHAINAMINOTRANSFERLEU-RXN", "3-ISOPROPYLMALDEHYDROG-RXN"]
PWY-7179	purine deoxyribonucleosides degradation I	["EG10222", "EG10030"]	["ADDALT-RXN", "DEOXYADENPHOSPHOR-RXN", "DEOXYGUANPHOSPHOR-RXN", "DEOXYINOPHOSPHOR-RXN"]
PWY-5459	methylglyoxal degradation IV	["EG10035", "EG11963"]	["1.1.1.283-RXN", "L-LACTDEHYDROGFMN-RXN", "LACTALDDEHYDROG-RXN"]
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I	["G7135", "EG11585", "G6234", "EG11586", "EG11589", "G6237", "EG11587", "EG11590", "G7325", "G6906", "G6238", "EG11328", "G1"]	["RXN0-308", "RXN-14382", "RXN-11319", "RXN-9789", "RXN-9788", "DXS-RXN", "THIAZOLSYN2-RXN", "RXN-12611", "THI-P-KIN-RXN", "PYRIMSYN1-RXN", "PYRIMSYN3-RXN"]
SORBDEG-PWY	D-sorbitol degradation II	["EG10971"]	["SORB6PDEHYDROG-RXN"]
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	["EG11608", "G6406", "EG10781", "EG10775", "EG20091", "EG11377", "EG10139", "EG10740", "EG10706", "EG10704", "EG10705", "EG11371", "G6551", "EG50003"]	["RXN0-7012", "RXN-10462", "1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN", "PHOSPHASERDECARB-RXN", "PHOSPHASERSYN-RXN", "PHOSPHAGLYPSYN-RXN", "CARDIOLIPSYN-RXN", "PGPPHOSPHA-RXN", "GLYC3PDEHYDROGBIOSYN-RXN", "RXN-1381", "RXN-1623", "CDPDIGLYSYN-RXN"]
PWY0-1468	"DcuSR Two-Component Signal Transduction System", "dicarboxylate-dependent"	["G7826", "G7827"]	["DCUS-RXN", "RXN0-6459"]
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	["EG10092"]	["ASNSYNB-RXN"]
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	["EG10222", "G85", "EG12159", "EG10030", "G7485", "G7486", "G7487", "EG11934", "EG10634", "EG11817", "EG11060", "EG10727"]	["AMP-DEPHOSPHORYLATION-RXN", "RXN-7682", "RXN0-901", "ADENODEAMIN-RXN", "INOPHOSPHOR-RXN"]
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	["EG10421", "EG10420", "EG10965", "EG10650", "EG10032"]	["GDPKIN-RXN", "GUANYL-KIN-RXN", "GMP-SYN-GLUT-RXN", "IMP-DEHYDROG-RXN"]
PWY0-1348	NADH to dimethyl sulfoxide electron transfer	["EG12082", "EG12088", "EG12090", "EG12091", "EG12092", "EG11773", "EG12093", "EG12089", "EG12087", "EG11774", "EG12086", "EG12084", "EG12083", "EG10232", "EG10233", "EG10234"]	["DIMESULFREDUCT-RXN", "RXN0-5388"]
GLUTDEG-PWY	L-glutamate degradation II	["EG10096", "EG10095"]	["ASPARTASE-RXN", "ASPAMINOTRANS-RXN"]
PWY-6164	3-dehydroquinate biosynthesis I	["EG10074", "EG10079", "EG10080", "EG10078"]	["DAHPSYN-RXN", "3-DEHYDROQUINATE-SYNTHASE-RXN"]
PWY0-1465	D-malate degradation	["G6986"]	["1.1.1.83-RXN"]
PWY-6961	"L-ascorbate degradation II (bacterial", "aerobic)"	["EG12284", "EG12279", "EG12285", "EG12286", "EG12287"]	["RIBULPEPIM-RXN", "LXULRU5P-RXN", "RXN0-705", "RXN0-703", "RXN0-704", "RXN-12862", "RXN-12440", "RXN-12861"]
PWY0-163	salvage pathways of pyrimidine ribonucleotides	["EG11332", "EG10650", "EG10032", "EG11045", "EG12159", "EG10137", "EG11326", "EG11701", "EG11265"]	["RXN-11832", "CYTIDINEKIN-RXN", "URKI-RXN", "CYTDEAM-RXN", "CYTIDEAM2-RXN", "URPHOS-RXN", "CDPKIN-RXN", "URACIL-PRIBOSYLTRANS-RXN"]
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis	["EG10546", "EG11409", "EG12666", "EG10316", "EG10265", "EG10545", "EG50003"]	["UDPNACETYLGLUCOSAMACYLTRANS-RXN", "UDPACYLGLCNACDEACETYL-RXN", "UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN", "LIPIDXSYNTHESIS-RXN", "TETRAACYLDISACC4KIN-RXN", "LIPIDADISACCHARIDESYNTH-RXN"]
PWY-6617	adenosine nucleotides degradation III	["EG10039"]	["AMP-NUCLEOSID-RXN"]
PWY0-781	aspartate superpathway	["EG10999", "EG11000", "EG10096", "EG10209", "EG10549", "EG10208", "EG10066", "EG10946", "EG10207", "EG10205", "EG10088", "EG10998", "EG10590", "EG10550", "EG10206", "EG10581", "EG10584", "EG10587", "EG10582", "EG10583", "EG10564", "G6350", "EG10663", "EG11546", "EG10630", "EG10631", "EG10589"]	["S-ADENMETSYN-RXN", "L-ASPARTATE-OXID-RXN", "QUINOLINATE-SYNTHA-RXN", "QUINOPRIBOTRANS-RXN", "NAD-SYNTH-NH3-RXN", "NAD-SYNTH-GLN-RXN", "NICONUCADENYLYLTRAN-RXN", "RXN-15127", "RXN-15124", "RXN-15131", "O-SUCCHOMOSERLYASE-RXN", "HOMOCYSMETB12-RXN", "HOMOCYSMET-RXN", "HOMSUCTRAN-RXN", "RXN-14014", "DIHYDRODIPICSYN-RXN", "TETHYDPICSUCC-RXN", "SUCCINYLDIAMINOPIMTRANS-RXN", "SUCCDIAMINOPIMDESUCC-RXN", "DIAMINOPIMDECARB-RXN", "DIAMINOPIMEPIM-RXN", "THRESYN-RXN", "HOMOSERKIN-RXN", "HOMOSERDEHYDROG-RXN", "ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "ASPARTATEKIN-RXN", "ASPAMINOTRANS-RXN"]
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	["EG10496", "EG10497", "EG10495", "EG10500", "EG10499", "G8221", "EG10501", "EG10493"]	["RXN-15121", "RXN-15123", "RXN-15122", "ACETOOHBUTSYN-RXN", "ACETOOHBUTREDUCTOISOM-RXN", "BRANCHED-CHAINAMINOTRANSFERILEU-RXN", "DIHYDROXYMETVALDEHYDRAT-RXN"]
PWY0-381	glycerol and glycerophosphodiester degradation	["EG10398", "EG10399", "EG11050", "EG10394", "EG10391", "EG10392", "EG10393"]	["GLYCPDIESTER-RXN", "RXN-15740", "RXN0-5260", "GLYCEROL-KIN-RXN"]
MANNIDEG-PWY	mannitol degradation I	["EG10616"]	["MANNPDEHYDROG-RXN"]
PWY0-1500	"EnvZ  Two-Component Signal Transduction System", "osmotic responsive"	["EG10672", "EG10269"]	["RXN0-6503", "ENVZ-RXN"]
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	["EG10256", "EG10257", "EG10803", "EG10804", "EG10258", "EG12296", "EG10703", "EG10367", "EG11015", "EG10282", "G7129", "EG10700", "EG10699", "EG10702", "EG10759", "EG10283", "EG11517", "EG11239", "EG11245", "EG11699", "EG11221", "G6397"]	["6PGLUCONOLACT-RXN", "GLU6PDEHYDROG-RXN", "RXN-15513", "F16BDEPHOS-RXN", "PEPSYNTH-RXN", "PGLUCISOM-RXN", "6PFRUCTPHOS-RXN", "F16ALDOLASE-RXN", "TRIOSEPISOMERIZATION-RXN", "GAPOXNPHOSPHN-RXN", "PHOSGLYPHOS-RXN", "3PGAREARR-RXN", "2PGADEHYDRAT-RXN", "PEPDEPHOS-RXN", "PGLUCONDEHYDRAT-RXN", "KDPGALDOL-RXN"]
PWY-6703	preQ<sub>0</sub> biosynthesis	["EG11375", "G7431", "G6245"]	["RXN-12093", "RXN0-6575", "RXN0-5507", "GTP-CYCLOHYDRO-I-RXN"]
PWY-7220	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	["EG10660", "EG10661", "EG20257", "EG12381", "EG10650", "EG11417", "G7401", "EG11031", "EG11887"]	["RXN0-745", "DADPKIN-RXN", "RXN0-747", "ADPREDUCT-RXN"]
PWY0-1356	formate to dimethyl sulfoxide electron transfer	["EG11227", "EG11228", "EG11229", "EG11858", "EG11857", "EG11856", "EG10232", "EG10233", "EG10234"]	["DIMESULFREDUCT-RXN", "FORMATEDEHYDROG-RXN"]
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	["EG10790", "EG11314", "EG10032"]	["ADENYL-KIN-RXN", "AMPSYN-RXN", "ADENYLOSUCCINATE-SYNTHASE-RXN"]
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	["EG10075", "EG10073", "EG10082", "EG10081", "EG10077", "EG10076", "EG11234"]	["RXN-7968", "3-DEHYDROQUINATE-DEHYDRATASE-RXN", "SHIKIMATE-5-DEHYDROGENASE-RXN", "SHIKIMATE-KINASE-RXN", "2.5.1.19-RXN", "CHORISMATE-SYNTHASE-RXN"]
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	["EG11979", "EG12411", "EG12412", "EG11978", "EG11454"]	["DTDPGLUCOSEPP-RXN", "DTDPGLUCDEHYDRAT-RXN", "DTDPDEHYRHAMREDUCT-RXN", "DTDPDEHYDRHAMEPIM-RXN"]
PWY0-321	phenylacetate degradation I (aerobic)	["G6716", "G6713", "G6709", "G6711", "G6710", "G6718", "G6715", "G6708", "G6719", "G6714"]	["RXN-2425", "RXN-10819", "RXNMETA-12672", "RXNMETA-12671", "RXN0-6510", "RXN0-6512", "RXN0-2042", "RXN0-2044", "RXN-3641"]
FASYN-ELONG-PWY	fatty acid elongation -- saturated	["EG10273", "EG11284", "EG11528", "EG11318", "EG10274", "EG12606", "EG50003"]	["ENOYL-ACP-REDUCT-NADPH-RXN", "3-OXOACYL-ACP-SYNTH-RXN", "3-OXOACYL-ACP-REDUCT-RXN", "ENOYL-ACP-REDUCT-NADH-RXN", "3-HYDROXYDECANOYL-ACP-DEHYDR-RXN"]
PWY-4261	glycerol degradation I	["EG10398", "EG10394", "EG10391", "EG10392", "EG10393"]	["RXN-15740", "RXN0-5260", "GLYCEROL-KIN-RXN"]
PWY0-1314	fructose degradation	["EG10337"]	["1PFRUCTPHOSN-RXN"]
PWY-7343	UDP-&alpha;-D-glucose biosynthesis I	["EG11319", "EG12144"]	["PHOSPHOGLUCMUT-RXN", "GLUC1PURIDYLTRANS-RXN"]
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	["EG10137", "EG10219", "EG12159", "EG10220", "EG10221", "EG10031", "M014"]	["ACETALD-DEHYDROG-RXN", "DEOXYRIBOSE-P-ALD-RXN", "D-PPENTOMUT-RXN", "THYM-PHOSPH-RXN", "URA-PHOSPH-RXN", "CYTIDEAM-RXN"]
DENOVOPURINE2-PWY	superpathway of purine nucleotides <i>de novo</i> biosynthesis II	["EG10794", "EG10792", "EG10797", "EG10798", "EG11809", "EG10791", "EG10795", "EG10793", "EG10796", "EG10421", "EG10420", "EG10965", "EG10790", "EG11314", "EG10032", "EG10660", "EG10661", "EG20257", "EG12381", "EG10650", "EG11417", "G7401", "EG11031", "EG11887"]	["RXN0-745", "DADPKIN-RXN", "RXN0-747", "ADPREDUCT-RXN", "ADENYL-KIN-RXN", "AMPSYN-RXN", "ADENYLOSUCCINATE-SYNTHASE-RXN", "DGDPKIN-RXN", "RXN0-748", "RXN0-746", "GDPREDUCT-RXN", "GDPKIN-RXN", "GUANYL-KIN-RXN", "GMP-SYN-GLUT-RXN", "IMP-DEHYDROG-RXN", "RXN0-742", "RXN0-743", "IMPCYCLOHYDROLASE-RXN", "AICARTRANSFORM-RXN", "AICARSYN-RXN", "SAICARSYN-RXN", "GARTRANSFORMYL2-RXN", "AIRS-RXN", "FGAMSYN-RXN", "GLYRIBONUCSYN-RXN", "PRPPAMIDOTRANS-RXN"]
PWY-7446	sulfoquinovose degradation I	["EG11846", "EG11847", "EG11848", "EG11845"]	["RXN-15296", "RXN-15297", "RXN-15299", "RXN-15298"]
PWY-7194	pyrimidine nucleobases salvage II	["EG11326", "EG11332"]	["URACIL-PRIBOSYLTRANS-RXN", "CYTDEAM-RXN"]
PWY-5785	"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis"	["G6092", "EG11665", "G6439", "EG10705"]	["UNDECAPRENYL-DIPHOSPHATASE-RXN", "RXN-8999"]
PWY-4621	arsenate detoxification II (glutaredoxin)	["EG12237", "EG10417", "G7401", "EG12294", "EG12688"]	["RXN-982"]
PWY0-1470	"QseBC Two-Component Signal Transduction System", "quorum sensing related"	["G7575", "EG12658"]	["RXN0-5177", "RXN0-6446"]
PWY0-42	2-methylcitrate cycle I	["EG11448", "G6200", "G6198", "G6199", "EG12316", "G6196"]	["METHYLISOCITRATE-LYASE-RXN", "4.2.1.99-RXN", "2-METHYLCITRATE-DEHYDRATASE-RXN", "2-METHYLCITRATE-SYNTHASE-RXN", "PROPIONATE--COA-LIGASE-RXN"]
PWY0-1577	hydrogen to dimethyl sulfoxide electron transfer	["EG10232", "EG10233", "EG10234", "EG11799", "EG11800", "G7554", "EG11801", "EG10470", "EG10469", "EG10468"]	["RXN0-5256", "DIMESULFREDUCT-RXN"]
GLUCONSUPER-PWY	D-gluconate degradation	["EG12152", "EG12629"]	["GLUCONOKIN-RXN"]
P2-PWY	citrate lyase activation	["G6340", "G6339", "G6344", "G6341", "G6342", "G6343"]	["CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN", "CITC-RXN", "2.3.1.49-RXN", "2.7.8.25-RXN", "2.7.7.61-RXN"]
PWY0-44	D-allose degradation	["EG11827", "EG11957", "EG11956"]	["ALLOSE-KINASE-RXN", "RXN0-304", "RXN0-303"]
PWY0-1315	L-lactaldehyde degradation (anaerobic)	["EG10351"]	["LACTALDREDUCT-RXN"]
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	["EG10068", "EG11223", "EG10069", "EG10067", "EG10135", "EG10134", "EG10063", "EG10064", "EG10065", "EG10066", "EG10361", "EG11286"]	["ACETYLORNDEACET-RXN", "ACETYLORNTRANSAM-RXN", "N-ACETYLGLUTPREDUCT-RXN", "ACETYLGLUTKIN-RXN", "N-ACETYLTRANSFER-RXN", "CARBPSYN-RXN", "ORNCARBAMTRANSFER-RXN", "ARGSUCCINLYA-RXN", "ARGSUCCINSYN-RXN"]
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	["G6234", "EG11586"]	["RXN-12611", "THI-P-KIN-RXN"]
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	["EG10959", "EG11501", "EG10960", "EG10961", "EG10964", "EG10962", "EG10963", "EG10131", "G6094", "EG10068", "EG11223", "EG10069", "EG10067", "EG10135", "EG10134", "EG10063", "EG10064", "EG10065", "EG10066", "G6944", "EG10361", "EG11286"]	["ACETYLORNDEACET-RXN", "ACETYLORNTRANSAM-RXN", "N-ACETYLGLUTPREDUCT-RXN", "ACETYLGLUTKIN-RXN", "N-ACETYLTRANSFER-RXN", "CARBPSYN-RXN", "ORNCARBAMTRANSFER-RXN", "ARGSUCCINLYA-RXN", "ARGSUCCINSYN-RXN", "LYSDECARBOX-RXN", "RXN0-5217", "SAMDECARB-RXN", "SPERMIDINESYN-RXN", "ORNDECARBOX-RXN", "AGMATIN-RXN", "ARGDECARBOX-RXN"]
PWY0-1501	BarA UvrY Two-Component Signal Transduction System	["EG11140", "EG11367"]	["BARA-RXN", "RXN0-6560", "RXN0-6561", "RXN0-321"]
PWY0-1517	sedoheptulose bisphosphate bypass	["EG10699", "EG10282"]	["SEDOBISALDOL-RXN", "RXN0-6541"]
PWY-5901	"2,3-dihydroxybenzoate biosynthesis"	["EG10261", "EG10260", "EG10259"]	["DHBDEHYD-RXN", "ISOCHORMAT-RXN", "ISOCHORSYN-RXN"]
PWY-6519	8-amino-7-oxononanoate biosynthesis I	["EG10122", "EG10274", "EG11528", "EG11284", "EG11318", "EG10119", "EG10121", "EG50003"]	["RXN-11484", "RXN-11474", "RXN-11475", "RXN-11476", "RXN-11477", "RXN-11478", "RXN-11479", "RXN-11480", "RXN-11481", "RXN-11482", "RXN-11483"]
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer	["EG10391", "EG10392", "EG10393", "EG10330", "EG10331", "EG10332", "EG10333"]	["R601-RXN", "RXN-15740"]
PWY-7205	CMP phosphorylation	["EG11265", "EG10650", "EG10032"]	["CDPKIN-RXN", "RXN-11832"]
PWY0-521	fructoselysine and psicoselysine degradation	["G7723", "G7726", "G7724"]	["RXN0-4841", "RXN0-962", "RXN0-963"]
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)	["EG11672", "EG11670", "EG11669", "EG12432"]	["ACETOACETYL-COA-TRANSFER-RXN", "ACETYL-COA-ACETYLTRANSFER-RXN"]
GALACTMETAB-PWY	galactose degradation I (Leloir pathway)	["EG10363", "EG10366", "EG10362", "EG11319", "EG11698"]	["ALDOSE1EPIM-RXN", "GLUC1PURIDYLTRANS-RXN", "UDPGLUCEPIM-RXN", "GALACTURIDYLYLTRANS-RXN", "GALACTOKIN-RXN"]
CYANCAT-PWY	cyanate degradation	["EG10176", "EG10175"]	["R524-RXN", "RXN0-5224", "RXN0-5222"]
THRESYN-PWY	superpathway of L-threonine biosynthesis	["EG10550", "EG10088", "EG10998", "EG10590", "EG10999", "EG11000", "EG10096"]	["ASPAMINOTRANS-RXN", "THRESYN-RXN", "HOMOSERKIN-RXN", "HOMOSERDEHYDROG-RXN", "ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "ASPARTATEKIN-RXN"]
