"Reactions"	"Object ID"	"EC-Number"	"Enzymatic-Reaction"
1.1.1.274-RXN	"1.1.1.274-RXN"	EC-1.1.1.274	
RXN0-7020	"RXN0-7020"	EC-1.1.1.346	ENZRXN0-7623 // ENZRXN0-7622
RXN0-7021	"RXN0-7021"	EC-1.1.1	ENZRXN0-7625
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	"2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN"	EC-1.14.13	2-OCTPRNL-6-MTHXPHENOL-HYDROX-ENZRXN
RXN0-5387	"RXN0-5387"	EC-1.6.5	ENZRXN0-6539
RXN-17954	"RXN-17954"	EC-2.7.8.37	ENZRXN-25003
TRANS-RXN-273	"TRANS-RXN-273"		ENZRXN0-7930
RXN0-5216	"RXN0-5216"	EC-3.2.1	ENZRXN0-6336
RXN-18999	"RXN-18999"	EC-2.4.1.352	ENZRXN0-8415
2-OCTAPRENYLPHENOL-HYDROX-RXN	"2-OCTAPRENYLPHENOL-HYDROX-RXN"	EC-1.14.13	ENZRXN0-7774
RXNMETA-12671	"RXNMETA-12671"	EC-3.3.2.12	ENZRXNMETA-19626
RXN0-6511	"RXN0-6511"		
KETOBUTFORMLY-RXN	"KETOBUTFORMLY-RXN"	EC-2.3.1	ENZRXN0-6632 // KETOBUTFORMLY-ENZRXN
RXN-17751	"RXN-17751"		
TRANS-RXN0-558	"TRANS-RXN0-558"		
RXN-13072	"RXN-13072"	EC-3.5.1.111	ENZRXN0-8369
GABATRANSAM-RXN	"GABATRANSAM-RXN"	EC-2.6.1.19	ENZRXN0-5343 // GABATRANSAM-ENZRXN
2OXOGLUTDECARB-RXN	"2OXOGLUTDECARB-RXN"	EC-1.2.4.2	ENZRXN0-1318
2OXOGLUTARATEDEH-RXN	"2OXOGLUTARATEDEH-RXN"	EC-1.2.1	2OXOGLUTARATEDEH-ENZRXN
ALANINE-AMINOTRANSFERASE-RXN	"ALANINE-AMINOTRANSFERASE-RXN"	EC-2.6.1.2	ENZRXN0-7400 // ENZRXN0-7399 // ENZRXN0-3401
CYSTEINE-AMINOTRANSFERASE-RXN	"CYSTEINE-AMINOTRANSFERASE-RXN"	EC-2.6.1.3	ENZRXN0-7512
SUCCINYLDIAMINOPIMTRANS-RXN	"SUCCINYLDIAMINOPIMTRANS-RXN"	EC-2.6.1.17	ENZRXN0-7906 // SUCCINYLDIAMINOPIMTRANS-ENZRXN
RXN0-1144	"RXN0-1144"	EC-1.2.4.2	
TRANS-RXN-23	"TRANS-RXN-23"		TRANS-ENZRXN-23
RXN-7282	"RXN-7282"	EC-5.3.2	
AMINEPHEN-RXN	"AMINEPHEN-RXN"	EC-1.4.3.21	AMINEPHEN-ENZRXN
RXN0-302	"RXN0-302"	EC-4.6.1.12	ENZRXN0-1002
RXN-15513	"RXN-15513"	EC-5.4.2.11	3PGAREARR-ENZRXN
3PGAREARR-RXN	"3PGAREARR-RXN"	EC-5.4.2.12	PGMI-ENZRXN
2PGADEHYDRAT-RXN	"2PGADEHYDRAT-RXN"	EC-4.2.1.11	2PGADEHYDRAT-ENZRXN
PHOSPHOGLYCERATE-PHOSPHATASE-RXN	"PHOSPHOGLYCERATE-PHOSPHATASE-RXN"	EC-3.1.3.20	ENZRXN0-7744
GPH-RXN	"GPH-RXN"	EC-3.1.3.18	ENZRXN0-8158 // GPH-ENZRXN
RXN-9310	"RXN-9310"	EC-4.2.99.20	ENZRXN0-6518
RXN-12611	"RXN-12611"	EC-2.5.1.3	ENZRXN-19942
ENTG-RXN	"ENTG-RXN"		ENTG-ENZRXN
DEPHOSPHOCOAKIN-RXN	"DEPHOSPHOCOAKIN-RXN"	EC-2.7.1.24	DEPHOSPHOCOAKIN-ENZRXN
2.7.8.25-RXN	"2.7.8.25-RXN"	EC-2.4.2.52	ENZRXN-1
RXN0-5065	"RXN0-5065"	EC-3.1.2	ENZRXN0-6172
RXN-7632	"RXN-7632"	EC-1.1.1.237	ENZRXN0-8341
TRANS-RXN-354	"TRANS-RXN-354"		ENZRXN0-8441
1.13.11.16-RXN	"1.13.11.16-RXN"	EC-1.13.11.16	DHPDIOXYGEN-ENZRXN
MHPHYDROXY-RXN	"MHPHYDROXY-RXN"	EC-1.14.13.127	MHPHYDROXY-ENZRXN
TRANS-RXN-61	"TRANS-RXN-61"		TRANS-ENZRXN-203
HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN	"HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN"	EC-1.1.1.237	
PHENPRODIOLDEHYDROG-RXN	"PHENPRODIOLDEHYDROG-RXN"	EC-1.3.1.87	PHENPRODIOLDEHYDROG-ENZRXN
RXN-15341	"RXN-15341"	EC-1.14.14.5	
PDXJ-RXN	"PDXJ-RXN"	EC-2.6.99.2	PDXJ-ENZRXN
ALADEHYDCHLORO-RXN	"ALADEHYDCHLORO-RXN"	EC-4.5.1.2	ALADEHYDCHLORO-ENZRXN
3-DEHYDROQUINATE-DEHYDRATASE-RXN	"3-DEHYDROQUINATE-DEHYDRATASE-RXN"	EC-4.2.1.10	3-DEHYDROQUINATE-DEHYDRATASE-ENZRXN
CPM-KDOSYNTH-RXN	"CPM-KDOSYNTH-RXN"	EC-2.7.7.38	CPM-KDOSYNTH-ENZRXN
3-DEHYDROQUINATE-SYNTHASE-RXN	"3-DEHYDROQUINATE-SYNTHASE-RXN"	EC-4.2.3.4	3-DEHYDROQUINATE-SYNTHASE-ENZRXN
KDO-8PPHOSPHAT-RXN	"KDO-8PPHOSPHAT-RXN"	EC-3.1.3.45	KDO-8PPHOSPHAT-ENZRXN
RXN0-6720	"RXN0-6720"		ENZRXN0-6604
RXN-10040	"RXN-10040"	EC-1.14.13.127	ENZRXN-18608
TRANS-RXN0-457	"TRANS-RXN0-457"		ENZRXN0-7449
RXN0-7046	"RXN0-7046"	EC-3.1.2	ENZRXN0-7694
RXN-8974	"RXN-8974"	EC-1.1.1.298	ENZRXN0-7359 // ENZRXN0-7357
TRANS-RXN0-465	"TRANS-RXN0-465"		
RXN0-5455	"RXN0-5455"	EC-1.2.1.99	ENZRXN0-6601
RXN0-704	"RXN0-704"		ENZRXN0-724
RXN0-703	"RXN0-703"	EC-1.1.1.130	ENZRXN0-3281
RXN0-705	"RXN0-705"	EC-4.1.1.85	ENZRXN0-741 // ENZRXN0-725
RXN0-6945	"RXN0-6945"	EC-4.4.1	ENZRXN0-7509
MERCAPYSTRANS-RXN	"MERCAPYSTRANS-RXN"	EC-2.8.1.2	ENZRXN0-1522
RXN-18702	"RXN-18702"		
2-ISOPROPYLMALATESYN-RXN	"2-ISOPROPYLMALATESYN-RXN"	EC-2.3.3.13	ENZRXN0-6250
RXN0-7219	"RXN0-7219"	EC-3.2.1	ENZRXN0-8152
RXN0-7217	"RXN0-7217"		ENZRXN0-8151
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	"3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN"	EC-4.1.1.98	3-OCTPRNL-4-OHBENZOATE-DECARBOX-ENZRXN
RXN-17786	"RXN-17786"	EC-1.1.1.35	ENZRXN0-8279 // ENZRXN0-8265
RXN-17798	"RXN-17798"	EC-1.1.1.35	ENZRXN0-8276 // ENZRXN0-8268
RXN-17781	"RXN-17781"	EC-1.1.1.35	ENZRXN0-8281 // ENZRXN0-8264
RXN-17794	"RXN-17794"	EC-1.1.1.35	ENZRXN0-8277 // ENZRXN0-8267
RXN-17790	"RXN-17790"	EC-1.1.1.35	ENZRXN0-8278 // ENZRXN0-8266
RXN-17752	"RXN-17752"		
RXN0-7102	"RXN0-7102"		
RXNMETA-12672	"RXNMETA-12672"	EC-1.2.1.91	ENZRXNMETA-19627
HCAMULTI-RXN	"HCAMULTI-RXN"	EC-1.14.12.19	HCAMULTI-ENZRXN
TRANS-RXN0-282	"TRANS-RXN0-282"		ENZRXN0-8364
PHOSGLYPHOS-RXN	"PHOSGLYPHOS-RXN"	EC-2.7.2.3	PHOSGLYCPHOS-ENZRXN
PGLYCDEHYDROG-RXN	"PGLYCDEHYDROG-RXN"	EC-1.1.1.95	PGLYCDEHYDROG-ENZRXN
3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN	"3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN"	EC-3.1.3.38	ENZRXN0-8156
PSERTRANSAM-RXN	"PSERTRANSAM-RXN"	EC-2.6.1.52	PSERTRANSAM-ENZRXN
RXN0-5114	"RXN0-5114"	EC-3.1.3.3	ENZRXN0-7751 // ENZRXN0-7700 // PSERPHOSPHA-ENZRXN
RXN0-6562	"RXN0-6562"		ENZRXN0-7427
RXN0-279	"RXN0-279"	EC-3.13.1	ENZRXN0-7643 // ENZRXN0-257
RXN-15299	"RXN-15299"	EC-1.1.1.373	ENZRXN0-7824
RXN0-6451	"RXN0-6451"		ENZRXN0-7360
RXN0-2945	"RXN0-2945"	EC-1.16.3	ENZRXN0-4104
RXN0-1483	"RXN0-1483"	EC-1.16.3.1	ENZRXN0-7819 // ENZRXN0-1861
RXN-15294	"RXN-15294"	EC-1.16.3.2	ENZRXN0-6577
RXN-13519	"RXN-13519"		
OHMETHYLBILANESYN-RXN	"OHMETHYLBILANESYN-RXN"	EC-2.5.1.61	OHMETHYLBILANESYN-ENZRXN
RXN-11633	"RXN-11633"	EC-2.1.1.182	ENZRXN0-3881
PANTEPADENYLYLTRAN-RXN	"PANTEPADENYLYLTRAN-RXN"	EC-2.7.7.3	PANTEPADENYLYLTRAN-ENZRXN
RXN-8461	"RXN-8461"		
NAPHTHOATE-SYN-RXN	"NAPHTHOATE-SYN-RXN"	EC-4.1.3.36	NAPHTHOATE-SYN-ENZRXN
RXN-10720	"RXN-10720"		
2.7.1.148-RXN	"2.7.1.148-RXN"	EC-2.7.1.148	ENZRXN0-273
RXN0-3922	"RXN0-3922"	EC-1.2.1.99	ENZRXN0-5303
RXN0-3942	"RXN0-3942"	EC-3.5.1.94	ENZRXN0-5341
RXN-12539	"RXN-12539"		
RXN0-3543	"RXN0-3543"	EC-3.6.1	ENZRXN0-4983 // ENZRXN0-4982
PYRIMSYN3-RXN	"PYRIMSYN3-RXN"	EC-2.7.4.7	HMP-P-KIN-ENZRXN
TRANS-RXN0-462	"TRANS-RXN0-462"		
TRANS-RXN0-276	"TRANS-RXN0-276"		ENZRXN0-6582
ADCLY-RXN	"ADCLY-RXN"	EC-4.1.3.38	ADCLY-ENZRXN
H2PTEROATESYNTH-RXN	"H2PTEROATESYNTH-RXN"	EC-2.5.1.15	H2PTEROATESYNTH-ENZRXN
RXN-6423	"RXN-6423"	EC-2.6.1.82	
AMINOBUTDEHYDROG-RXN	"AMINOBUTDEHYDROG-RXN"	EC-1.2.1.19	ENZRXN-25482 // ENZRXN0-5382
TRANS-RXN-261	"TRANS-RXN-261"		TRANS-ENZRXN-215
TRANS-RXN-57	"TRANS-RXN-57"		TRANS-ENZRXN-57
RXN0-5409	"RXN0-5409"		
RXN-16475	"RXN-16475"		
RXN0-6563	"RXN0-6563"	EC-4.1.2	ENZRXN0-7429
RXN0-6564	"RXN0-6564"	EC-2.7.1	ENZRXN0-7430
TRANS-RXN0-233	"TRANS-RXN0-233"		ENZRXN0-6400
TRANS-RXN0-274	"TRANS-RXN0-274"		
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	"4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN"	EC-1.1.1.61	ENZRXN0-6618
THI-P-SYN-RXN	"THI-P-SYN-RXN"	EC-2.5.1.3	THI-P-SYN-ENZRXN
TRANS-RXN0-500	"TRANS-RXN0-500"		
RXN0-5141	"RXN0-5141"	EC-1.1.1.91	ENZRXN0-6241
4-NITROPHENYLPHOSPHATASE-RXN	"4-NITROPHENYLPHOSPHATASE-RXN"	EC-3.1.3.41	ENZRXN0-8315 // ENZRXN0-7722
ERYTHRON4PDEHYDROG-RXN	"ERYTHRON4PDEHYDROG-RXN"	EC-1.1.1.290	ERYTHRON4PDEHYDROG-ENZRXN
RXN-13179	"RXN-13179"	EC-1.1.1.262	PDXA-ENZRXN
1.1.1.262-RXN	"1.1.1.262-RXN"		
RXN0-6550	"RXN0-6550"		ENZRXN0-7418
AICARSYN-RXN	"AICARSYN-RXN"	EC-4.3.2.2	AICARSYN-ENZRXN
RXN0-6367	"RXN0-6367"	EC-1.5.1.50	ENZRXN0-7309
RXN0-6565	"RXN0-6565"	EC-1.3.1.1	ENZRXN0-7432
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	"DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN"	EC-1.3.1.1	ENZRXN0-2758
TRANS-RXN0-463	"TRANS-RXN0-463"		
TRANS-RXN0-464	"TRANS-RXN0-464"		
RXN0-742	"RXN0-742"	EC-6.3.4.18	ENZRXN0-802
RIBOPHOSPHAT-RXN	"RIBOPHOSPHAT-RXN"	EC-3.1.3.104	ENZRXN0-7786 // RIBOPHOSPHAT-ENZRXN
RIBOFLAVINSYNREDUC-RXN	"RIBOFLAVINSYNREDUC-RXN"	EC-1.1.1.193	RIBOFLAVINSYNREDUC-ENZRXN
RXN-19407	"RXN-19407"		ENZRXN0-8429
LUMAZINESYN-RXN	"LUMAZINESYN-RXN"	EC-2.5.1.78	LUMAZINESYN-ENZRXN
KDGALDOL-RXN	"KDGALDOL-RXN"	EC-4.1.2.20	KDGALDOL-ENZRXN
5.3.1.17-RXN	"5.3.1.17-RXN"	EC-5.3.1.17	ENZRXN-23699
YIAE1-RXN	"YIAE1-RXN"	EC-1.1.1	ENZRXN0-7626
TRANS-RXN0-228	"TRANS-RXN0-228"		ENZRXN0-6379
CHORISMATE-SYNTHASE-RXN	"CHORISMATE-SYNTHASE-RXN"	EC-4.2.3.5	CHORISMATE-SYNTHASE-ENZRXN
RXN-14188	"RXN-14188"	EC-3.6.1	ENZRXN-21438
RXN0-7143	"RXN0-7143"		ENZRXN0-7923
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	"5-OXOPROLINASE-ATP-HYDROLYSING-RXN"	EC-3.5.2.9	ENZRXN0-8389
RXN0-6710	"RXN0-6710"	EC-3.1.4.55	ENZRXN0-7467
PRPPAMIDOTRANS-RXN	"PRPPAMIDOTRANS-RXN"	EC-2.4.2.14	PRPPAMIDOTRANS-ENZRXN
RXN0-5231	"RXN0-5231"	EC-2.3.1	ENZRXN0-6398
1.7.2.2-RXN	"1.7.2.2-RXN"	EC-1.7.2.2	
RXN-18605	"RXN-18605"	EC-1.7.2.2	ENZRXN0-8362
ENTMULTI-RXN	"ENTMULTI-RXN"	EC-6.3.2.14	ENTMULTI-ENZRXN
RXN0-7010	"RXN0-7010"	EC-1.8.5.7	ENZRXN0-7604
H2PTERIDINEPYROPHOSPHOKIN-RXN	"H2PTERIDINEPYROPHOSPHOKIN-RXN"	EC-2.7.6.3	H2PTERIDINEPYROPHOSPHOKIN-ENZRXN
RXN0-6575	"RXN0-6575"	EC-4.3.99.3	
RXN-15297	"RXN-15297"	EC-2.7.1.184	ENZRXN0-7821
RXN-15298	"RXN-15298"	EC-4.1.2.57	ENZRXN0-7822
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	"OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN"	EC-1.14.99	OCTPRNL-METHYL-METHOXY-BENZOQ-OH-ENZRXN
6PGLUCONOLACT-RXN	"6PGLUCONOLACT-RXN"	EC-3.1.1.31	6PGLUCONOLACT-ENZRXN
RXN-15296	"RXN-15296"	EC-5.3.1.31	ENZRXN0-7820
TRANS-RXN0-580	"TRANS-RXN0-580"		ENZRXN0-7825
RXN0-6368	"RXN0-6368"		
H2NEOPTERINALDOL-RXN	"H2NEOPTERINALDOL-RXN"	EC-4.1.2.25	H2NEOPTERINALDOL-ENZRXN
RXN-10856	"RXN-10856"	EC-5.1.99.8	ENZRXN0-7486
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	"DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN"	EC-3.6.1	DIHYDRONEOPTERIN-MONO-P-DEPHOS-ENZRXN
H2NTPEPIM-RXN	"H2NTPEPIM-RXN"	EC-5.1.99.7	H2NTPEPIM-ENZRXN
RXN0-5507	"RXN0-5507"	EC-4.1.2.50	ENZRXN0-6612
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	"H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN"	EC-3.6.1.67	H2NEOPTERINP3PYROPHOSPHOHYDRO-ENZRXN
RXN-12093	"RXN-12093"	EC-6.3.4.20	ENZRXN-18674
RXN-12816	"RXN-12816"	EC-3.6.1.58	ENZRXN0-7671
RXN-11396	"RXN-11396"	EC-3.6.1.55	ENZRXN-19804
RXN-14002	"RXN-14002"	EC-3.6.1	ENZRXN0-7672
RXN-11397	"RXN-11397"	EC-3.6.1	ENZRXN0-7670
5.3.3.14-RXN	"5.3.3.14-RXN"	EC-5.3.3.14	TRANS-2-DECENOYL-ACP-ISOM-ENZRXN
OHBUTYRYL-COA-EPIM-RXN	"OHBUTYRYL-COA-EPIM-RXN"	EC-5.1.2.3	ENZRXN0-2568 // OHBUTYRYL-COA-EPIM-ENZRXN
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN"	EC-2.3.1.86 // EC-2.3.1.85 // EC-4.2.1.59	FABZ-ENZRXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-ENZRXN
3-OXOACYL-ACP-REDUCT-RXN	"3-OXOACYL-ACP-REDUCT-RXN"	EC-2.3.1.86 // EC-2.3.1.85 // EC-1.1.1.100	3-OXOACYL-ACP-REDUCT-ENZRXN
4.2.1.58-RXN	"4.2.1.58-RXN"	EC-2.3.1.86 // EC-2.3.1.85 // EC-4.2.1.59	ENZRXN0-7978
RXN-9514	"RXN-9514"	EC-2.3.1.86 // EC-2.3.1.85 // EC-1.1.1.100	ENZRXN0-7445
RXN-9655	"RXN-9655"	EC-2.3.1.86 // EC-2.3.1.85 // EC-4.2.1.59	ENZRXN0-7976 // FABAUNSATDEHYDR-ENZRXN
RXN-9528	"RXN-9528"	EC-2.3.1.86 // EC-2.3.1.85 // EC-1.1.1.100	
RXN-9533	"RXN-9533"	EC-2.3.1.86 // EC-2.3.1.85 // EC-4.2.1.59	ENZRXN0-7974
RXN-9532	"RXN-9532"	EC-2.3.1.86 // EC-2.3.1.85 // EC-1.1.1.100	
RXN-11477	"RXN-11477"	EC-4.2.1.59	ENZRXN-17869
RXN-11476	"RXN-11476"	EC-1.1.1.100	ENZRXN-17867
4.2.1.61-RXN	"4.2.1.61-RXN"	EC-2.3.1.86 // EC-2.3.1.85 // EC-4.2.1.59	ENZRXN0-7980
RXN-9540	"RXN-9540"	EC-2.3.1.86 // EC-2.3.1.85 // EC-1.1.1.100	
RXN-9520	"RXN-9520"	EC-2.3.1.86 // EC-2.3.1.85 // EC-4.2.1.59	ENZRXN0-7975
RXN-9518	"RXN-9518"	EC-2.3.1.86 // EC-2.3.1.85 // EC-1.1.1.100	
4.2.1.59-RXN	"4.2.1.59-RXN"	EC-2.3.1.86 // EC-2.3.1.85 // EC-4.2.1.59	ENZRXN0-7979
RXN-9524	"RXN-9524"	EC-2.3.1.86 // EC-2.3.1.85 // EC-1.1.1.100	
RXN-11481	"RXN-11481"	EC-4.2.1.59	ENZRXN-17870
RXN-11480	"RXN-11480"	EC-1.1.1.100	ENZRXN-17868
RXN-9537	"RXN-9537"	EC-2.3.1.86 // EC-2.3.1.85 // EC-4.2.1.59	ENZRXN0-7977
RXN-9536	"RXN-9536"	EC-2.3.1.86 // EC-2.3.1.85 // EC-1.1.1.100	
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	"UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN"	EC-2.3.1.191	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-ENZRXN
UDPNACETYLGLUCOSAMACYLTRANS-RXN	"UDPNACETYLGLUCOSAMACYLTRANS-RXN"	EC-2.3.1.129	UDPNACETYLGLUCOSAMACYLTRANS-ENZRXN
RXN-9557	"RXN-9557"	EC-4.2.1.59	ENZRXN-23151
RXN-9556	"RXN-9556"	EC-1.1.1.100	ENZRXN-23152
RXN0-2144	"RXN0-2144"	EC-4.2.1.59	ENZRXN0-2881
RXN0-2142	"RXN0-2142"	EC-1.1.1.100	ENZRXN0-2861
RXN-10656	"RXN-10656"	EC-4.2.1.59	ENZRXN-16660
RXN-10655	"RXN-10655"	EC-1.1.1.100	ENZRXN-16657
RXN-10660	"RXN-10660"	EC-4.2.1.59	ENZRXN-16661
RXN-10659	"RXN-10659"	EC-1.1.1.100	ENZRXN-16656
ENOYL-COA-HYDRAT-RXN	"ENOYL-COA-HYDRAT-RXN"	EC-4.2.1.17	ENOYL-COA-HYDRAT-ENZRXN // ENZRXN0-2571
OHACYL-COA-DEHYDROG-RXN	"OHACYL-COA-DEHYDROG-RXN"	EC-1.1.1.35	ENZRXN0-2566 // OHACYL-COA-DEHYDROG-ENZRXN
ENOYL-COA-DELTA-ISOM-RXN	"ENOYL-COA-DELTA-ISOM-RXN"	EC-5.3.3.8	ENOYL-COA-DELTA-ISOM-ENZRXN // ENZRXN0-2567
RXN0-2141	"RXN0-2141"	EC-2.3.1.179 // EC-2.3.1.41	ENZRXN0-2844
RXN-10654	"RXN-10654"	EC-2.3.1.179 // EC-2.3.1.41	ENZRXN-16654
RXN0-2145	"RXN0-2145"	EC-1.3.1.9	ENZRXN0-2882
5-FORMYL-THF-CYCLO-LIGASE-RXN	"5-FORMYL-THF-CYCLO-LIGASE-RXN"	EC-6.3.3.2	ENZRXN0-7417
RXN-10658	"RXN-10658"	EC-2.3.1.179 // EC-2.3.1.41	ENZRXN-16655
RXN-10657	"RXN-10657"	EC-1.3.1.9	ENZRXN-16658
RXN-11277	"RXN-11277"	EC-3.1.3.81	ENZRXN0-5861
GLYCOGEN-BRANCH-RXN	"GLYCOGEN-BRANCH-RXN"	EC-2.4.1.18	GLYCOGEN-BRANCH-ENZRXN
ALPHA-AMYL-RXN	"ALPHA-AMYL-RXN"	EC-3.2.1.1	ALPHA-AMYL-CYTO-ENZRXN
RXN0-5181	"RXN0-5181"	EC-3.2.1.1	ALPHA-AMYL-PERI-ENZRXN
RXN-19312	"RXN-19312"	EC-3.1.1.5	ENZRXN0-8409 // ENZRXN0-8407
LYSOPHOSPHOLIPASE-RXN	"LYSOPHOSPHOLIPASE-RXN"	EC-3.1.1.5	ENZRXN0-6437
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	"1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN"	EC-2.3.1.51	ENZRXN0-6620
RXN0-1842	"RXN0-1842"	EC-2.3.1.251	ENZRXN0-2341
AICARTRANSFORM-RXN	"AICARTRANSFORM-RXN"	EC-2.1.2.3	AICARTRANSFORM-ENZRXN
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	"METHIONYL-TRNA-FORMYLTRANSFERASE-RXN"	EC-2.1.2.9	ENZRXN0-2941
FORMYLTHFDEFORMYL-RXN	"FORMYLTHFDEFORMYL-RXN"	EC-3.5.1.10	FORMYLTHFDEFORMYL-ENZRXN
GART-RXN	"GART-RXN"	EC-2.1.2.2	GART-ENZRXN
DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN	"DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN"	EC-3.1.3.34	ENZRXN0-7764
RXN0-3741	"RXN0-3741"	EC-3.1.3.89	ENZRXN0-7767 // ENZRXN0-7705 // ENZRXN0-6519 // ENZRXN0-5221
DNA-DIRECTED-DNA-POLYMERASE-RXN	"DNA-DIRECTED-DNA-POLYMERASE-RXN"	EC-2.7.7.7	ENZRXN0-6156 // ENZRXN0-6145 // ENZRXN0-6142 // ENZRXN0-6081 // ENZRXN0-3861
RXN0-5514	"RXN0-5514"	EC-2.3.1.51	ENZRXN0-6620
ACYLCOASYN-RXN	"ACYLCOASYN-RXN"	EC-6.2.1.3	ENZRXN0-2570 // ACYLCOASYN-ENZRXN
TRANS-RXN0-623	"TRANS-RXN0-623"	EC-6.2.1.3	ENZRXN0-8175 // ENZRXN0-8174
ACECOATRANS-RXN	"ACECOATRANS-RXN"	EC-2.8.3.8	ACECOATRANS-ENZRXN
KETOACYLCOATHIOL-RXN	"KETOACYLCOATHIOL-RXN"	EC-2.3.1.16	ENZRXN0-2569 // KETOACYLCOATHIOL-ENZRXN
ACYLCOADEHYDROG-RXN	"ACYLCOADEHYDROG-RXN"	EC-1.3.8	ACYLCOADEHYDROG-ENZRXN
TRANSENOYLCOARED-RXN	"TRANSENOYLCOARED-RXN"	EC-1.3.1.38	TRANSENOYLCOARED-ENZRXN
THIOESTER-RXN	"THIOESTER-RXN"	EC-3.1.2.2	ENZRXN0-6436
ENOYL-ACP-REDUCT-NADH-RXN	"ENOYL-ACP-REDUCT-NADH-RXN"	EC-1.3.1.9	ENOYL-ACP-REDUCT-NADH-ENZRXN
ENOYL-ACP-REDUCT-NADPH-RXN	"ENOYL-ACP-REDUCT-NADPH-RXN"	EC-1.3.1.39 // EC-1.3.1.104 // EC-2.3.1.86 // EC-2.3.1.85 // EC-1.3.1.10	
RXN-15891	"RXN-15891"		ENZRXN-23153
RXN0-7122	"RXN0-7122"		ENZRXN0-7910
TRANS-RXN-294	"TRANS-RXN-294"		ENZRXN0-8118
RXN-19311	"RXN-19311"	EC-3.1.1	ENZRXN0-8408 // ENZRXN0-8406
RXN-16225	"RXN-16225"	EC-3.1.1	
RXN0-6678	"RXN0-6678"		
RXN0-7083	"RXN0-7083"		ENZRXN0-7815
RXN-18710	"RXN-18710"		ENZRXN-25690
RXN-11837	"RXN-11837"	EC-5.4.99.23	ENZRXN0-2502
RXN0-6526	"RXN0-6526"	EC-3.1.27.6	ENZRXN0-7395
PHOSPHASERDECARB-RXN	"PHOSPHASERDECARB-RXN"	EC-4.1.1.65	PHOSPHASERDECARB-ENZRXN
RXN-13248	"RXN-13248"	EC-4.1.1	
RXN0-7283	"RXN0-7283"	EC-3.6.1	ENZRXN0-8385
RXN0-5510	"RXN0-5510"	EC-3.6.1	ENZRXN0-6617
RXN0-5062	"RXN0-5062"	EC-6.5.1	ENZRXN0-6170
RXN0-6556	"RXN0-6556"	EC-2.7.7	ENZRXN0-7424
RXN-6321	"RXN-6321"		ENZRXN0-7472
METHENYLTHFCYCLOHYDRO-RXN	"METHENYLTHFCYCLOHYDRO-RXN"	EC-3.5.4.9	METHENYLTHFCYCLOHYDRO-ENZRXN
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN"	EC-2.1.2.11	3-METHYL-2-OXOBUT-OHCH3XFER-ENZRXN
THYMIDYLATESYN-RXN	"THYMIDYLATESYN-RXN"	EC-2.1.1.45	THYMIDYLATESYN-ENZRXN
METHYLENETHFDEHYDROG-NADP-RXN	"METHYLENETHFDEHYDROG-NADP-RXN"	EC-1.5.1.5	METHYLENETHFDEHYDROG-NADP-ENZRXN
1.5.1.34-RXN	"1.5.1.34-RXN"	EC-1.5.1.34	ENZRXN0-244 // DIHYDROPTERIREDUCT-ENZRXN
RXN0-7081	"RXN0-7081"		ENZRXN0-7814
RXN0-7067	"RXN0-7067"		ENZRXN0-7772
GAMMA-GLUTAMYLTRANSFERASE-RXN	"GAMMA-GLUTAMYLTRANSFERASE-RXN"	EC-2.3.2.2	ENZRXN0-2121
RXN0-2281	"RXN0-2281"		ENZRXN0-3161
1.5.1.20-RXN	"1.5.1.20-RXN"	EC-1.5.1.20	METHYLENETHFREDUCT-ENZRXN
