"Object ID"	"Compounds"	"Synonyms"	"Molecular-Weight"
"CHLORALAN-CPD"	CHLORALAN-CPD	"&beta;-chloro-L-alanine"	123.539
"CPD0-1502"	CPD0-1502	"3-chlorodiaminopimelic acid"	224.644
"CPD0-1493"	CPD0-1493		360.219
"CPD0-1306"	CPD0-1306	"<i>N</i>-acetyl-<i>N</i>-(2-sulfanylethyl)-3-decynamide"	269.401
"DE-O-K-GLUCONATE"	DE-O-K-GLUCONATE	"3-dehydro-2-deoxy-gluconate" // "de-O-K-gluconate" // "2-deoxy-3-ketogluconate" // "2-deoxy-3-oxogluconate" // "deoxy-ketogluconate" // "2-deoxy-3-dehydro-D-gluconate"	177.133
"DEHYDROQUINATE"	DEHYDROQUINATE	"3-dehydroquinic acid" // "5-dehydroquinic acid" // "5-dehydroquinate" // "5-de-H-quinate" // "rel-(1R,3R,4S)-1,3,4-trihydroxy-5-oxocyclohexanecarboxylate"	189.144
"3-DEHYDRO-SHIKIMATE"	3-DEHYDRO-SHIKIMATE	"3-dehydroshikimic acid" // "5-dehydroshikimic acid" // "5-dehydroshikimate"	171.129
"OCTAPRENYL-METHYL-OH-METHOXY-BENZQ"	OCTAPRENYL-METHYL-OH-METHOXY-BENZQ	"2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol" // "OMHMB" // "2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone"	715.11
"KDO"	KDO	"&alpha;-2-keto-3-deoxyoctulosonic acid pyranose" // "3-Kdo" // "deoxy-manno-octulosonate" // "ketodeoxyoctonate" // "3-deoxy-&alpha;-D-<i>manno</i>-octulosonate" // "3-deoxy-&alpha;-D-<i>manno</i>-oct-2-ulosonate"	237.186
"3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P"	3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	"3-deoxy-D-arabino-heptulosonate-7-P" // "3-deoxy-arabino-heptulosonate 7-phosphate" // "3-deoxy-arabino-heptulosonate-7-P" // "2-dehydro-3-deoxy-D-arabino-heptonate 7-phosphate" // "3-deoxy-D-arabino-hept-2-ulosonate 7-phosphate" // "3-deoxy-arabino-heptulonate 7-phosphate" // "DAHP"	285.124
"CPD0-1936"	CPD0-1936		164.158
"CPD-343"	CPD-343	"(4S)-4,6-dihydroxy-2,5-dioxohexanoate" // "2,5-diketo-3-deoxy-D-gluconate" // "2,5-diketo-3-deoxygluconate" // "DKII" // "2,5-didehydro-3-deoxy-L-galactonate"	175.118
"CPD-10734"	CPD-10734	"3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononic acid" // "3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-non-2-ulopyranosonic acid" // "3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulosonic acid" // "3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulosonate" // "3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate"	267.212
"KDO-8P"	KDO-8P	"3-deoxy-D-<i>manno</i>-octulosonate 8-P" // "2-dehydro-3-deoxy-D-octonate 8-P" // "2-dehydro-3-deoxy-D-octonate 8-phosphate" // "Kdo-8P"	315.15
"3-ETHYLCATECHOL"	3-ETHYLCATECHOL	"2,3-dihydroxyethylbenzene" // "3-ethyl-benzene-1,2-diol"	138.166
"CPD0-1929"	CPD0-1929		139.157
"CPD0-923"	CPD0-923		199.181
"CPD0-2467"	CPD0-2467	"3-hydroxy-2,4-pentanedione phosphate"	210.08
"CPD-10797"	CPD-10797	"3-hydroxycinnamic acid" // "3-hydroxycinnamate" // "(2<i>E</i>)-3-(3-hydroxyphenyl)prop-2-enoate" // "3-coumarate"	163.152
"3-HYDROXYBENZOATE"	3-HYDROXYBENZOATE	"3-hydroxybenzoic acid" // "<i>m</i>-hydroxybenzoate"	137.115
"CPD-264"	CPD-264		883.61
"3-HYDROXYPHENYLACETATE"	3-HYDROXYPHENYLACETATE	"m-hydroxyphenylacetic acid" // "3-hydroxyphenylacetic acid" // "m-hydroxyphenylacetate"	151.141
"3-HYDROXYPHENYLACETYL-COA"	3-HYDROXYPHENYLACETYL-COA		897.637
"3-HYDROXY-PROPIONATE"	3-HYDROXY-PROPIONATE	"3-hydroxypropionate" // "&beta;-hydroxypropionate" // "3-hydroxypropanoic acid" // "3-hydropropionic acid" // "hydracrylic acid" // "3-hydroxypropionic acid"	89.071
"HYDROXYPROPANAL"	HYDROXYPROPANAL	"hydroxypropionaldehyde" // "3-hydroxypropanal"	74.079
"3-KETO-L-GULONATE"	3-KETO-L-GULONATE	"3-dehydro-L-gulonate"	193.133
"CPD-2343"	CPD-2343	"3-keto-L-gulonate 6-P" // "3-keto-L-gulonate-6-phosphate" // "3-dehydro-L-gulonate-6-phosphate"	271.097
"CPD0-1951"	CPD0-1951	"alpha-monothioglycerol" // "1-Thioglycerol"	108.155
"3-MERCAPTO-PYRUVATE"	3-MERCAPTO-PYRUVATE	"mercaptopyruvate" // "3-mercaptopyruvic acid" // "&beta;-thiopyruvate" // "&beta;-mercaptopyruvate" // "2-oxo-3-sulfanylpropanoate"	119.115
"CPD0-1307"	CPD0-1307	"2-acetylpropane" // "isopropyl methyl ketone"	86.133
"2-KETO-ISOVALERATE"	2-KETO-ISOVALERATE	"2-oxo-3-methylbutanoate" // "2-oxoisovalerate" // "&alpha;-keto-isovaleric acid" // "&alpha;-ketoisopentanoic acid" // "&alpha;-keto-isovalerate" // "&alpha;-oxoisovalerate" // "&alpha;-ketovaline" // "2-keto-isovalerate" // "2-ketovaline" // "&alpha;-keto-valine" // "2-oxoisopentanoate" // "2-keto-3-methylbutyric acid" // "3-methyl-2-oxobutyrate"	115.108
"3-Methyl-Adenines"	3-Methyl-Adenines		149.155
"CPD0-1490"	CPD0-1490	"3 -methylanthranilic acid"	150.157
"CPD-8774"	CPD-8774	"3-tolualdehyde" // "<i>m</i>-methylbenzaldehyde" // "3-tolylaldehyde" // "<i>m</i>-tolylaldehyde" // "<i>m</i>-tolyl aldehyde"	120.151
"CPD-7031"	CPD-7031	"isovaleraldehyde" // "isoamylaldehyde" // "isopentaldehyde"	86.133
"CPD-111"	CPD-111	"2,3-dihydroxytoluene"	124.139
"3-METHYL-CROTONYL-COA"	3-METHYL-CROTONYL-COA	"&beta;-methylcrotonoyl-CoA" // "3-methylbut-2-enoyl-CoA"	845.604
"CPD-13319"	CPD-13319	"3-MeG" // "2-amino-3-methyl-3,9-dihydro-6H-purin-6-one"	165.154
"CPD0-1555"	CPD0-1555	"phosphoenol-2-oxobutyrate"	179.046
"CPD0-1336"	CPD0-1336	"amino(cyano)acetate"	99.069
"3-NITROBENZALDEHYDE"	3-NITROBENZALDEHYDE	"<i>m</i>-nitrobenzaldehyde"	151.121
"CPD-8147"	CPD-8147	"3-nitropropionate" // "3-nitro-1-propionate"	118.069
"CPD-3785"	CPD-3785	"3-O-&beta;-D-galactopyranosyl-L-arabinose" // "3-O-galactosylarabinose" // "arabinosylgalactose" // "galactosylarabinose" // "3-O-b-D-galactopyranosyl-D-arabinose"	312.273
"CPD0-1937"	CPD0-1937	"Methylglucose" // "3-methyl-glucose"	194.184
"3-OCTAPRENYL-4-HYDROXYBENZOATE"	3-OCTAPRENYL-4-HYDROXYBENZOATE		682.06
"CPD-13321"	CPD-13321	"<i>trans</i>-3-octen-2-one" // "(3<i>E</i>)-3-octen-2-one"	126.198
"CPD-628"	CPD-628	"oxalomalate" // "3-oxalomalic acid" // "oxalomalic acid"	203.085
"CPD-19160"	CPD-19160	"3-oxo-18:1-&Delta;11-CoA" // "3-oxo-11-cis-octadecenoyl-CoA"	1041.936
"CPD-19153"	CPD-19153	"3-oxo-12:1-&Delta;5-CoA" // "3-oxo-5-cis-dodecenoyl-CoA"	957.775
"CPD-15244"	CPD-15244	"3-oxo-5-cis-tetradecenoyl-CoA" // "3-oxo-14:1-&Delta;5-CoA" // "3-keto-5-cis-tetradecenoyl-CoA"	985.829
"CPD-19167"	CPD-19167	"3-oxo-16:1-&Delta;7-CoA" // "3-oxo-7-cis-hexadecenoyl-CoA"	1013.883
"CPD-19157"	CPD-19157	"3-oxo-14:1-&Delta;7-CoA" // "3-oxo-7-cis-tetradecenoyl-CoA"	985.829
"CPD-19158"	CPD-19158	"3-oxo-16:1-&Delta;9-CoA" // "3-oxo-9-cis-hexadecenoyl-CoA"	1013.883
"CPD-19169"	CPD-19169	"3-oxo-18:1-&Delta;9-CoA" // "3-oxo-9-cis-octadecenoyl-CoA"	1041.936
"CPD0-2364"	CPD0-2364	"(5<i>Z</i>)-7-carboxy-3-oxohept-5-enoyl-CoA"	930.643
"CPDMETA-13650"	CPDMETA-13650	"(5<i>Z</i>)-3,8-dioxooct-5-enoyl-CoA"	915.652
"CPD-10284"	CPD-10284	"3-oxotetradecanoyl-CoA"	987.845
"3-OXOPALMITOYL-COA"	3-OXOPALMITOYL-COA	"3-keto-palmitoyl-CoA" // "3-oxohexadecanoyl-CoA"	1015.898
"3-KETO-ADIPYL-COA"	3-KETO-ADIPYL-COA	"3-ketoadipyl-CoA" // "3-keto-adipyl-coa" // "&beta;-ketoadipyl-CoA"	904.605
"CPD0-2123"	CPD0-2123		931.738
"CPD0-2105"	CPD0-2105	"3-ketododecanoyl-CoA" // "3-oxolauroyl-CoA"	959.791
"K-HEXANOYL-COA"	K-HEXANOYL-COA	"ketohexanoyl-CoA" // "&beta;-hexanoyl-CoA" // "ketohexanoyl-coenzyme-A" // "3-ketohexanoyl-CoA"	875.63
"CPD-10260"	CPD-10260	"3-oxoo-stearoyl-CoA"	1043.952
"CPD0-2106"	CPD0-2106		903.684
"MALONATE-S-ALD"	MALONATE-S-ALD	"malonate semialdehyde" // "malonic semialdehyde"	87.055
"CPD0-2476"	CPD0-2476		214.263
"3-PHENYLPROPIONATE"	3-PHENYLPROPIONATE	"hydrocinnamate" // "3-phenylpropionic acid" // "hydrocinnamic acid" // "HCA" // "phenylpropanoate" // "3-phenylpropionate"	149.169
"G3P"	G3P	"3-phospho-(R)-glycerate" // "3-phospho-D-glyceric acid" // "3-P-D-glycerate" // "D-glycerate-3-P" // "D-glycerate 3-phosphate" // "3-phosphoglycerate" // "D-3-phosphoglycerate"	183.034
"DPG"	DPG	"1,3-bisphospho-D-glycerate" // "3-phosphoglyceroyl-P" // "P-glyceroyl-P" // "phosphoglyceroyl-P" // "3-phosphoglyceroyl-phosphate" // "3-P-glyceroyl-P" // DPG // "glycerate 1,3-bisphosphate" // "3-phosphonato-D-glyceroyl phosphate"	262.006
"3-P-SERINE"	3-P-SERINE	"O-phospho-L-serine" // "L-serine phosphate" // "phosphoryl-L-serine" // "L-seryl phosphate" // "L-serine-3P" // "L-serine 3-phosphate" // "3-phospho-L-serine"	183.057
"3-P-HYDROXYPYRUVATE"	3-P-HYDROXYPYRUVATE	"phosphohydroxypyruvate" // "3-phosphonooxypyruvate" // "3-P-hydroxypyruvate" // "3-p-OH-pyr" // "3-phosphohydroxypyruvate" // "3-p-OH-pyruvate" // "3-p-hydroxy-pyr" // "3-phosphohydroxy-pyr" // "phosphohydroxypyruate" // "3-phospho-hydroxypyruvate"	181.018
"CPD0-2084"	CPD0-2084	"&beta;-Picoline N-oxide" // "3-Methylpyridine N-oxide"	109.127
"CPD0-2477"	CPD0-2477	"1,2-benzenediol, 3-propyl-" // "3-propylbenzene-1,2-diol"	152.193
"CPD0-1554"	CPD0-1554		207.099
"CPD0-1364"	CPD0-1364		648.416
"CPD0-2195"	CPD0-2195	"acyl phosphatidylglycerol (n-C18:0)"	1044.544
"CPD-7673"	CPD-7673	"3-mercaptopropanoic acid" // "3-thiopropionic acid" // "3-thiopropanoic acid" // "&beta;-thiopropionic acid" // "3-mercaptopropionate" // "3-mercaptopropanoate"	105.131
"3-SULFINOALANINE"	3-SULFINOALANINE	"cysteine sulfinate" // "cysteine sulphinate" // "L-cysteine sulfinate" // "3-sulfino-L-alanine" // "L-cysteinesulfinic acid" // "3-sulphino-L-alanine" // "cysteine-sulfinate"	152.145
"CPD0-1689"	CPD0-1689	"UHNQ"	326.478
"CPD0-2331"	CPD0-2331	"(2Z)-3-(carbamoylamino)prop-2-enoate"	129.095
"CHOLANATE2"	CHOLANATE2	"3&alpha;,12&alpha;-dihydroxy-7-oxo-5&beta;-cholanate"	405.553
"L-ARA4N-MODIFIED-KDO2-LIPID-A"	L-ARA4N-MODIFIED-KDO2-LIPID-A	"&alpha;-Kdo-(2&rarr;4)-&alpha;-Kdo-(2&rarr;6)-lipid II<sub>A</sub>" // "L-Ara4N-modified (KDO)<sub>2</sub>-Lipid A"	2365.843
"PANTETHEINE-P"	PANTETHEINE-P	"phosphopantotheine" // "pantetheine 4'-phosphate" // "phosphopantetheine"	356.33
"PHOSPHOPANTOTHEINE-GROUP"	PHOSPHOPANTOTHEINE-GROUP	"phosphopantotheine" // "pantetheine 4'-phosphate"	356.33
"CPD0-1263"	CPD0-1263	"4,5-dihydroxyisophthalic acid"	196.116
"CPD-473"	CPD-473	"diketovalerate" // "4,5-dioxovalerate" // "4-ketoglutarate semialdehyde" // "4-oxoglutarate semialdehyde"	129.092
"CPD-253"	CPD-253	"4-(L-alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde"	228.181
"CPD-6972"	CPD-6972	"succinylbenzoyl-CoA" // "2-succinylbenzoyl-CoA" // "2-(3'-carboxypropionyl)benzoyl-CoA" // "<i>o</i>-succinylbenzoyl-CoA"	966.676
"CPD-476"	CPD-476		206.177
"CPD0-1360"	CPD0-1360	"4-(4-hydroxyphenoxy)-3,5-diiodophenyl acetic acid"	495.032
"4-CYTIDINE-5-DIPHOSPHO-2-C"	4-CYTIDINE-5-DIPHOSPHO-2-C	"CDP-ME" // "CDP-methyl-D-erythritol" // "4-diphosphocytidyl-2C-methyl-D-erythritol" // "4-diphosphocytidyl-2-C-methylerythritol"	519.295
"GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH"	GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH	"gamma-glutamyl-gamma-butyraldehyde" // "&gamma;-glutamyl-&gamma;-aminobutyraldehyde"	216.236
"CPD-9000"	CPD-9000	"&gamma;-glu-GABA" // "&gamma;-glutamyl-&gamma;-aminobutyric acid" // "&gamma;-glutamyl-&gamma;-aminobutyrate" // "&gamma;-glutamyl-&gamma;-aminobutanoate" // "4-(glutamylamino)butanoate"	231.228
"CPD-479"	CPD-479	"2-keto-methyl-thio-butyrate" // "2-keto-4-methylthiobutyrate" // "4-methylthio-2-oxobutanoate" // "&alpha;-keto-4-methylthiobutyrate" // "4-methylthio-2-ketobutyrate" // "4-methylthio-2-ketobutanoate" // "4-methylthio-2-oxobutyrate" // "2-ketomethiobutyrate" // "KMTB" // "&alpha;-ketomethiobutyrate" // "2-keto-4-methylthiobutyric acid" // "&alpha;-ketomethiobutyric acid" // "&alpha;-keto-&gamma;-methylthiobutyrate" // "&alpha;-keto-&gamma;-methylthiobutyric acid" // "2-oxo-4-methylthiobutanoic acid" // "2-oxomethionine" // "2-keto-4-methylthiobutanoate" // "4-(methylthio)-2-oxobutanoate"	147.168
"CPD-13890"	CPD-13890	"4-(oxoacetyl)phenoxyacetic acid" // "2-(4-oxaldehydoylphenoxy)acetic acid"	207.162
"AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP"	AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP	"2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate" // "4-amino-5-hydroxymethyl-2-methylpyrimidine-PP"	296.093
"AMINO-HYDROXYMETHYL-METHYL-PYR-P"	AMINO-HYDROXYMETHYL-METHYL-PYR-P	"4-amino-5-phosphomethyl-2-methylpyrimidine" // "4-amino-5-hydroxymethyl-2-methylpyrimidine-phosphate"	217.121
"HMP"	HMP	"hydroxymethylpyrimidine" // "pyramine" // "pyramin" // "Toxopyrimidine" // HMP // "4-amino-2-methyl-5-hydroxymethylpyrimidine" // "4-amino-5-hydroxymethyl-2-methylpyrimidine"	139.157
"CPD0-2020"	CPD0-2020	"CF3-HMP-PP"	350.064
"CPD0-1189"	CPD0-1189	"<i>ditrans,octacis</i>-undecaprenyl phosphate-&alpha;-L-Ara4N"	978.426
"4-AMINO-4-DEOXY-L-ARABINOSE"	4-AMINO-4-DEOXY-L-ARABINOSE	"L-Ara4N"	150.154
"CPD0-2293"	CPD0-2293		4304.325
"4-AMINO-4-DEOXYCHORISMATE"	4-AMINO-4-DEOXYCHORISMATE		224.193
"CPD-10427"	CPD-10427	"sulfanilate" // "p-amino benzene sulfonate" // "4-Aminobenzenesulfonic acid" // "Sulfanilic acid" // "p-Aminobenzenesulfonic acid"	172.178
"P-AMINO-BENZOATE"	P-AMINO-BENZOATE	"para-aminobenzoic acid" // "p-aminobenzoic acid" // "para-aminobenzoate" // "<i>p</i>-aminobenzoate" // "4-aminobenzoic acid" // "pABA"	136.13
"CPD-10835"	CPD-10835	"4-aminoaniline" // "p-phenylenediamine"	108.143
"4-AMINO-BUTYRALDEHYDE"	4-AMINO-BUTYRALDEHYDE	"4-amino-butyraldehyde" // "&gamma;-aminobutyraldehyde" // "4-aminobutyraldehyde" // "ABAL"	88.129
"4-AMINO-BUTYRATE"	4-AMINO-BUTYRATE	"4-NH2-but" // "4-NH3-but" // "GABA" // "4-aminobutyric acid" // "&gamma;-aminobutyrate" // "4-amino-<i>n</i>-butyric acid" // "&gamma;-amino-n-butyric acid" // "gamma-amino-N-butyrate" // "g-amino-n-butyric acid"	103.121
"CPD-259"	CPD-259	"4-hydroxyaniline" // "p-aminophenol" // "4-aminobenzenol" // "p-hydroxyaniline" // "p-aminobenzenol"	109.127
"CPD0-1941"	CPD0-1941		132.162
"CPD0-1269"	CPD0-1269	"4-bromoisophthalic acid" // "1,3-benzenedicarboxylic acid, 4-bromo"	249.061
"4-CARBOXYBENZALDEHYDE"	4-CARBOXYBENZALDEHYDE		149.126
"CPD0-1250"	CPD0-1250	"7-chloro-4-nitrobenzo-2-oxa-1,3-diazole" // "1-chloro-4-nitrobenzoxadiazole" // "4-chloro-7-nitro-2,1,3-benzoxadiazole" // "NBD chloride" // "4-chloro-7-nitrobenzo-2-oxa-1,3-diazole" // "7-chloro-4-nitrobenzofurazan" // "chloronitrobenzoxadiazole"	199.553
"CPD0-888"	CPD0-888	"undecaprenyl phosphate-L-Ara4-Formyl-N" // "undecaprenyl phosphate-&alpha;-L-Ara4FN" // "4-deoxy-4-formamido-&alpha;-L-arabinopyranosyl undecaprenyl phosphate"	1005.429
"CPD0-1612"	CPD0-1612		192.125
"CPD-13122"	CPD-13122	"(3R,4S)-2,3,4-trihydroxy-3,4-dihydro-2H-pyran-6-carboxylic acid" // "4-deoxy-L-threo-5-hexosulose-uronic acid" // "4-deoxy-L-threo-5-hexosulose-uronate" // "4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate" // "4-deoxy-L-<i>threo</i>-5-hexosulose-uronate" // "4-deoxy-&beta;-L-<i>threo</i>-hex-4-enopyranuronose"	175.118
"CPD0-1605"	CPD0-1605	"4-deoxypyridoxol"	153.18
"CPD0-1221"	CPD0-1221		231.144
"CPD0-2528"	CPD0-2528	"<i>p</i>-phenetidine"	137.181
"CPD0-922"	CPD0-922		222.218
"CPD0-2624"	CPD0-2624		181.148
"CPD-10205"	CPD-10205	"HMMF" // "(2E)-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone"	126.112
"CPD0-2375"	CPD0-2375		135.119
"CPD0-2189"	CPD0-2189	"(2S,3S)-2-amino-3,4-dihydroxybutanoic acid" // "hydroxythreonine" // "3-hydroxyhomoserine"	135.119
"4-HYDROXYBENZALDEHYDE"	4-HYDROXYBENZALDEHYDE	"<i>p</i>-hydroxybenzaldehyde"	122.123d0
"4-hydroxybenzoate"	4-hydroxybenzoate	"<i>p</i>-hydroxybenzoate"	137.115
"CPD-201"	CPD-201	"<i>p</i>-hydroxybenzoyl-CoA"	883.61
"4-HYDROXY-BENZYL-ALCOHOL"	4-HYDROXY-BENZYL-ALCOHOL	"<i>p</i>-hydroxybenzyl alcohol" // "4-(hydroxymethyl)phenol"	124.139
"4-HYDROXY-BUTYRATE"	4-HYDROXY-BUTYRATE	"4-hydroxybutanoic acid" // "4-hydroxybutyric acid" // "&gamma;-hydroxybutyrate" // "&gamma;-hydroxybutyric acid" // "g-hydroxybutyric acid" // "GHB" // "4-hydroxybutyrate"	103.097
"4-HYDROXYPHENYLACETYL-COA"	4-HYDROXYPHENYLACETYL-COA		897.637
"P-HYDROXY-PHENYLPYRUVATE"	P-HYDROXY-PHENYLPYRUVATE	"p-hydroxyphenylpyruvic acid" // "3-(4-hydroxyphenyl)pyruvate" // "hydroxyphenylpyruvate" // "<i>p</i>-hydroxyphenylpyruvate"	179.152
"CPD0-1309"	CPD0-1309	"PMBS" // "p-mercuribenzenesulfonic acid" // "(4-sulfophenyl)mercury"	356.746
"2K-4CH3-PENTANOATE"	2K-4CH3-PENTANOATE	"2-keto-4-methyl-pentanoate" // "2-oxoisocaproate" // "2-oxo-4-methylpentanoate" // "&alpha;-ketoisocaproate" // "&alpha;-oxoisocaproate" // "2-ketoisocaproate" // "ketoleucine" // "4-methyl-2-oxopentanoic acid" // "2-ketoisocaproic acid"	129.135
"THZ-P"	THZ-P	"4-4-methyl-5-(2-phosphonooxyethyl)-thiazole" // "4-methyl-5-(2-phosphoethyl)-thiazole" // THZ-P // "4-methyl-5-(&beta;-hydroxyethyl)thiazole phosphate" // "HET-P"	221.167
"CPD0-1489"	CPD0-1489	"4 - methylanthranilic acid"	150.157
"CPD0-1500"	CPD0-1500		202.21
"CPD0-1961"	CPD0-1961		118.155
"CPD-108"	CPD-108	"4-hydroxytoluene" // "p-hydroxytoluene" // "4-cresol" // "<i>p</i>-cresol"	108.14
"CPD0-1652"	CPD0-1652	"Antizol" // "4-Methylpyrazol" // "4-methyl-1H-pyrazole"	82.105
"CPD-17753"	CPD-17753		
"NAIR"	NAIR	NAIR	325.151
"4-NITROANILINE"	4-NITROANILINE	"p-nitroaniline" // "4-nitrobenzeneamine"	139.133
"CPD-703"	CPD-703	"4NBZ" // "<i>p</i>-nitrobenzaldehyde"	151.121
"CPD-702"	CPD-702	"4NBA"	153.137
"P-NITROPHENOL"	P-NITROPHENOL	"<i>p</i>-nitrophenol" // "PNP" // "niphen" // "4-hydroxynitrobenzene" // "<i>para</i>-nitrophenol"	138.102
"CPD-194"	CPD-194	"para-nitrophenyl phosphate" // "nitrophenol-P" // "NO2-phen-P" // "nitrophenol-phosphate" // "<i>p</i>-nitrophenyl phosphate" // "pNPP"	217.074
"PNP-PROPIONATE"	PNP-PROPIONATE	"pNP-propionate" // "<i>p</i>-nitrophenyl propionate"	195.174
"CPD0-1144"	CPD0-1144	"5-acetamido-3,5-dideoxy-&beta;-D-manno-non-2,4-diulosonic acid"	306.249
"CPD0-2545"	CPD0-2545	"4-phenyl-1-butanesulfonate"	213.271
"ERYTHRONATE-4P"	ERYTHRONATE-4P	"erythronate 4-phosphate" // "4-phosphoerythronate" // "erythronate-4P" // "D-erythronate-4-phosphate" // "D-erythronate-4P"	213.06
"4-PHOSPHONOOXY-THREONINE"	4-PHOSPHONOOXY-THREONINE	"L-threo-3-hydroxy-homoserine phosphate" // "4-phosphonooxy-L-threonine" // "4-phospho-hydroxy-threonine" // "4-(phosphonooxy)-threonine" // "<i>O</i>-phospho-4-hydroxy-L-threonine" // "phospho-hydroxy-threonine" // "4-(phosphonooxy)-L-threonine" // "4-phospho-hydroxy-L-threonine"	213.083
"CPD0-2085"	CPD0-2085	"Pyridine, 4-methyl-, 1-oxide" // "&gamma;-Picoline N-oxide"	109.127
"CPD-16843"	CPD-16843	"20-dihydro DOC"	332.482
"CPD-19703"	CPD-19703		68.078
"CPD0-1401"	CPD0-1401		309.307
"CPD0-1396"	CPD0-1396		312.366
"5-P-NITROPHENYLTHIOADENOSINE"	5-P-NITROPHENYLTHIOADENOSINE		404.4
"CPD0-1400"	CPD0-1400		267.267
"CPD0-1322"	CPD0-1322		244.227
"CPD0-1320"	CPD0-1320		269.216
"5-CHLOROFORMYCIN"	5-CHLOROFORMYCIN		301.689
"CPD0-1194"	CPD0-1194		
"CH33ADO"	CH33ADO	"CH<sub>3</sub>Ado"	251.244
"CPD0-1319"	CPD0-1319		228.204
"5-ETHYLTHIOADENOSINE"	5-ETHYLTHIOADENOSINE		311.358
"CPD0-1321"	CPD0-1321		354.101
"5-METHYLTHIOFORMYCIN"	5-METHYLTHIOFORMYCIN	"5'-Mtf" // "D-Ribitol, 1-C-(7-amino-1H-pyrazolo(4,3-d)pyrimidin-3-yl)-1,4-anhydro-5-S-methyl-5-thio-, (S)-"	297.331
"5-METHYLTHIOTUBERCIDIN"	5-METHYLTHIOTUBERCIDIN	"7-(5-S-methyl-5-thio-&beta;-D-ribofuranosyl)-7H-pyrrolo(2,3-d)pyrimidin-4-amine"	296.343
"5-N-PROPYLTHIOADENOSINE"	5-N-PROPYLTHIOADENOSINE		325.385
"CPD0-914"	CPD0-914		459.39
"CPD0-1883"	CPD0-1883		474.424
"P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE"	P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	"(<i>S</i>)-2-[5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate" // "1-(5-phosphoribosyl)-4-(N-succino-carboxamide)-5-aminoimidazole" // "5'-P-ribosyl-4-(N-succinocarboxamide)-5-aminoimidazole" // "5'-p-Ribosyl-4-(N-succinocarboxamide)-5-amino imidazole" // "1-(5'-phosphoribosyl)-4-(N-succino-carboxamide)-5-aminoimidazole"	450.255
"CPD0-1402"	CPD0-1402		325.37
"CPD0-1403"	CPD0-1403		339.397
"CPD0-1461"	CPD0-1461		453.401
"5-10-METHENYL-THF"	5-10-METHENYL-THF	"N5-N10-CH-THF mono-L-glutamate" // "N5-N10-methenyltetrahydrofolate mono-L-glutamate" // "CH-THF mono-L-glutamate" // "5,10-methenyl-THF mono-L-glutamate" // "anhydroleucovorin mono-L-glutamate" // "methenyl-tetrahydrofolate mono-L-glutamate" // "methenyl-THF mono-L-glutamate" // "methenyl-H<sub>4</sub>F mono-L-glutamate" // "5,10-methenyl-H<sub>4</sub>PteGlu<sub>1</sub>"	454.421
"METHYLENE-THF"	METHYLENE-THF	"N<SUP>5</SUP>,N<SUP>10</SUP>-methylenetetrahydrofolate mono-L-glutamate" // "5,10-methylenetetrahydrofolate mono-L-glutamate" // "5,10-methylene-H<sub>4</sub>PteGlu<sub>1</sub>"	455.429
"CPD-12996"	CPD-12996	"5,10-methylene-H<sub>4</sub>PteGlu<sub>3</sub>"	711.644
"DITHIO-NITROBENZOATE"	DITHIO-NITROBENZOATE	"dithionitrobenzoic acid" // "dithionitrobenzoate" // "DTNB" // "5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid" // "5'-dithio-bis(2-nitrobenzoic acid)" // "5,5'-dithio-bis(2-nitrobenzoic acid)"	394.33
"CPD0-2101"	CPD0-2101	"H<sub>4</sub>-MPt" // "tetrahydromonapterin"	257.249
"CPD-20969"	CPD-20969		
"DIHYDRO-THYMINE"	DIHYDRO-THYMINE	"dihydrothymine"	128.13
"DI-H-URACIL"	DI-H-URACIL	"dihydrouracil" // "DI-H-uracil"	114.104
"CPD-18019"	CPD-18019		143.102
"CPD-18018"	CPD-18018		144.087
"DIMETHYLBENZIMIDAZOLE"	DIMETHYLBENZIMIDAZOLE	"DMB" // "dimethylbenzimidazole"	146.191
"CPD0-1363"	CPD0-1363	"1,5-IAEDANS"	433.24
