# Generated by runscripts/reconstruction/metabolism_kinetics/convert_to_flat.py on Tue Feb  4 16:51:54 2020
reactionID	enzymeID	substrateIDs	Temp	rateEquationType	direction	kcat (1/units.s)	kM (units.umol/units.L)	kI (units.umol/units.L)	customRateEquation	customParameters	customParameterConstants	customParameterConstantValues	customParameterVariables	Pubmed ID
"ADENYLOSUCCINATE-SYNTHASE-RXN"	"ADENYLOSUCCINATE-SYN-DIMER"	["GTP","IMP","L-ASPARTATE"]	25	"standard"		[1]	[26,28,230]	[]						"9632649"
"ADENYLOSUCCINATE-SYNTHASE-RXN"	"ADENYLOSUCCINATE-SYN-DIMER"	["GTP"]		"standard"		[1.4]	[]	[]						"10218106"
"ADENYLOSUCCINATE-SYNTHASE-RXN"	"ADENYLOSUCCINATE-SYN-DIMER"	["L-ASPARTATE","GTP","IMP"]	25	"standard"		[1.0]	[230,26,28]	[]						"11781326"
"ADENYLOSUCCINATE-SYNTHASE-RXN"	"ADENYLOSUCCINATE-SYN-DIMER"	["IMP","GTP","L-ASPARTATE"]	22	"standard"		[1]	[28,26,230]	[]						"16981730"
"ADENYLYLSULFKIN-RXN"	"ADENYLYLSULFKIN-CPLX"	["APS","ATP", "ADP","PAPS","APS"]	25	"custom"	"forward"	[50]	[0.25,10]	[0.4,190, 250]	"kcat*E*(S1/(Km1*(1+(S1/Kis))+S1))*(S2/(Km2*(1+(I1/Ki1))+S2*(1+(I2/Ki2))))"	["kcat","Km1","Km2","Kis","Ki1","Ki2","E","S1","S2","I1","I2"]	["kcat","Km1","Km2","Kis","Ki1","Ki2"]	[50,0.25,10,0.4,190, 250]	{"E":"ADENYLYLSULFKIN-CPLX","S1":"APS","S2":"ATP","I1":"ADP","I2":"PAPS"}	"2549047"
"ADENYLYLSULFKIN-RXN"	"ADENYLYLSULFKIN-CPLX"	["ADP","PAPS", "ATP", "ATP"]	25	"custom"	"reverse"	[0.206]	[130,370]	[36,48]	"kcat*E*(S1/(Km1*(1+(I1/Ki1))+S1))*(S2/(Km2+S2*(1+(I1/Ki2))))"	["kcat","Km1","Km2","Ki1","Ki2","E","S1","S2","I1"]	["kcat","Km1","Km2","Ki1","Ki2"]	[0.206,130,370,36,48]	{"E":"ADENYLYLSULFKIN-CPLX","S1":"ADP","S2":"PAPS","I1":"ATP"}	"2549047"
"ADPSUGPPHOSPHAT-RXN"	"CPLX0-1221"	["ADENOSINE5TRIPHOSPHO5ADENOSINE"]		"standard"		[11.1]	[0.00014700001]	[]						"9452430"
"ADPSUGPPHOSPHAT-RXN"	"CPLX0-1221"	["ADENOSINE_DIPHOSPHATE_RIBOSE"]		"standard"		[9.9]	[0.00022000002]	[]						"9452430"
"ADPSUGPPHOSPHAT-RXN"	"CPLX0-1221"	["NADH"]		"standard"		[7.8]	[0.00011900001]	[]						"9452430"
"ADPSUGPPHOSPHAT-RXN"	"CPLX0-1221"	["NAD"]		"standard"		[13.9]	[0.0149]	[]						"9452430"
"ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64."	"ALAS-CPLX"	["L-ALPHA-ALANINE","ATP"]	37	"standard"		[84]	[340,83]	[]						"7918446"
"ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64."	"ALAS-CPLX"	["ALA-tRNAs"]		"standard"		[1.5]	[2.4]	[]						"8239663"
"ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64."	"ALAS-CPLX"	["ALA-tRNAs"]	37	"standard"		[0.2]	[1.5]	[]						"10704215"
"ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64."	"ALAS-CPLX"	["ALA-tRNAs"]	37	"standard"		[0.44]	[1.1]	[]						"10889033"
"ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64."	"ALAS-CPLX"	["ALA-tRNAs"]		"standard"		[2]	[]	[]						"16843487"
"ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64."	"ALAS-CPLX"	["L-ALPHA-ALANINE"]	22	"standard"		[1.2]	[50]	[]						"20010690"
"ALARACECAT-RXN"	"CPLX0-8202"	["D-ALANINE"]	37	"standard"		[28.3]	[250]	[]						"15796715"
"ALARACECAT-RXN"	"CPLX0-8202"	["L-ALPHA-ALANINE"]	37	"standard"		[27.6]	[290]	[]						"15796715"
"ALARACECAT-RXN"	"CPLX0-8202"	["L-ALPHA-ALANINE"]	30	"standard"		[54]	[1008]	[]						"18434499"
"ALARACECAT-RXN"	"CPLX0-8202"	["D-ALANINE"]	30	"standard"		[5.78]	[311]	[]						"18434499"
"ALCOHOL-DEHYDROG-RXN"	"CPLX0-8015"	["ETOH","PYRAZOLE"]	25	"standard"		[67.5]	[700]	[0.2]						"10406936"
"ALCOHOL-DEHYDROG-RXN"	"CPLX0-8015"	["ACETALD"]	25	"standard"		[163]	[30]	[]						"10406936"
"ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN"	"CPLX0-7667"	["ACETALD"]	37	"standard"		[53.5]	[28470]	[]						"18211903"
"ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN"	"CPLX0-7667"	["ACETALD"]	37	"standard"		[1.1]	[27600]	[]						"19609521"
"ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN"	"CPLX0-7667"	["CPD-7000"]	37	"standard"		[1]	[1800]	[]						"19609521"
"AMINEPHEN-RXN"	"AMINEOXID-CPLX"	["PHENYLETHYLAMINE"]		"standard"		[14.32]	[1.7]	[]						"11985492"
"AMINEPHEN-RXN"	"AMINEOXID-CPLX"	["PHENYLETHYLAMINE"]	25	"standard"		[12.4]	[1.2]	[]						"20052994"
"AMINOBUTDEHYDROG-RXN"	"CPLX0-3641"	["4-AMINO-BUTYRALDEHYDE"]	25	"standard"		[7.68]	[41]	[]						"16023116"
"AMINOBUTDEHYDROG-RXN"	"CPLX0-3641"	["NAD"]	25	"standard"		[5.65]	[54]	[]						"16023116"
"AMINOCYL-TRNA-HYDROLASE-RXN"	"EG10785-MONOMER"	["N-Substituted-Aminoacyl-tRNA"]	37	"standard"		[0.7]	[2.2]	[]						"7690473"
"AMINOCYL-TRNA-HYDROLASE-RXN"	"EG10785-MONOMER"	["N-Substituted-Aminoacyl-tRNA"]	28	"standard"		[3.6]	[6.0]	[]						"9303320"
"AMINOCYL-TRNA-HYDROLASE-RXN"	"EG10785-MONOMER"	["N-Substituted-Aminoacyl-tRNA"]	27	"standard"		[3.6]	[6]	[]						"14660562"
"AMINOCYL-TRNA-HYDROLASE-RXN"	"EG10785-MONOMER"	["N-Substituted-Aminoacyl-tRNA"]	25	"standard"		[9.3]	[5.5]	[]						"15078105"
"AMP-DEPHOSPHORYLATION-RXN"	"APHA-CPLX"	["AMP"]	37	"standard"		[23]	[3]	[]						"16297670"
"ANTHRANSYN-RXN"	"ANTHRANSYN-CPLX"	["GLN"]	25	"standard"		[138]	[2500]	[]						"20170126"
"ARGININE--TRNA-LIGASE-RXN"	"ARGS-MONOMER"	["ATP","ARG-tRNAs","ARG"]		"standard"		[26]	[900,2.5,12]	[]						"9748544"
"ARGININE--TRNA-LIGASE-RXN"	"ARGS-MONOMER"	["ARG-tRNAs"]	37	"standard"		[17]	[1]	[]						"11733016"
"ARGININE--TRNA-LIGASE-RXN"	"ARGS-MONOMER"	["ARG-tRNAs"]		"standard"		[21.9]	[1.9]	[]						"14672708"
"ARGININE--TRNA-LIGASE-RXN"	"ARGS-MONOMER"	["ARG"]		"standard"		[21.9]	[1.9]	[]						"14672708"
"ASNSYNA-RXN"	"ASNSYNB-CPLX"	["L-ASPARTATE","AMMONIUM"]	37	"standard"		[0.4,0.5]	[530,17000]	[]						"7929415"
"ASNSYNA-RXN"	"ASNSYNB-CPLX"	["ATP"]	37	"standard"		[0.96]	[110]	[]						"20853825"
"ASNSYNA-RXN"	"ASNSYNB-CPLX"	["L-ASPARTATE"]	37	"standard"		[0.75]	[1200]	[]						"20853825"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["GLN"]	37	"standard"		[0.59]	[660]	[]						"7929415"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["L-ASPARTATE"]	37	"standard"		[0.57]	[850]	[]						"7929415"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["ATP"]	37	"standard"		[0.8]	[260]	[]						"7929415"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["GLN"]	37	"standard"		[1.01]	[690]	[]						"8608142"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["GLN"]		"standard"		[1.01]	[690]	[]						"9254614"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["L-ASPARTATE"]		"standard"		[1.05]	[680]	[]						"9254614"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["ATP"]		"standard"		[1.10]	[180]	[]						"9254614"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["GLN"]		"standard"		[1.01]	[690]	[]						"9559053"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["L-ASPARTATE"]		"standard"		[1.05]	[680]	[]						"9559053"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["ATP"]		"standard"		[1.10]	[180]	[]						"9559053"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["GLN"]	37	"standard"		[2.73]	[690]	[]						"12706338"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["L-ASPARTATE"]	37	"standard"		[1.56]	[850]	[]						"12706338"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["ATP"]	37	"standard"		[2.18]	[260]	[]						"12706338"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["ATP"]	37	"standard"		[0.9]	[100]	[]						"20853825"
"ASNSYNB-RXN"	"ASNSYNB-CPLX"	["L-ASPARTATE"]	37	"standard"		[0.67]	[580]	[]						"20853825"
"ASPAMINOTRANS-RXN"	"TYRB-DIMER"	["L-ASPARTATE"]	25	"standard"		[290]	[5000]	[]						"8639626"
"ASPAMINOTRANS-RXN"	"ASPAMINOTRANS-DIMER"	["L-ASPARTATE","2-KETOGLUTARATE"]	25	"standard"		[259]	[1900,590]	[]						"11967363"
"ASPAMINOTRANS-RXN"	"ASPAMINOTRANS-DIMER"	["L-ASPARTATE","2-KETOGLUTARATE"]	25	"standard"		[159]	[1750,470]	[]						"14767072"
"ASPAMINOTRANS-RXN"	"TYRB-DIMER"	["L-ASPARTATE","2-KETOGLUTARATE"]	25	"standard"		[140]	[3800,1300]	[]						"14767072"
"ASPAMINOTRANS-RXN"	"ASPAMINOTRANS-DIMER"	["L-ASPARTATE"]	25	"standard"		[530]	[4000]	[]						"22138634"
"ASPAMINOTRANS-RXN"	"ASPAMINOTRANS-DIMER"	["GLT"]	25	"standard"		[670]	[37000]	[]						"22138634"
"ASPARAGHYD-RXN"	"ANSB-CPLX"	["ASN"]		"standard"		[31]	[]	[]						"1521538"
"ASPARAGHYD-RXN"	"ANSB-CPLX"	["GLN"]		"standard"		[0.33]	[]	[]						"1521538"
"ASPARAGHYD-RXN"	"ANSB-CPLX"	["ASN"]	25	"standard"		[24]	[15]	[]						"11106175"
"ASPARAGINE--TRNA-LIGASE-RXN-ASN-tRNAs/ASN/ATP/PROTON//Charged-ASN-tRNAs/AMP/PPI.52."	"ASNS-CPLX"	["ASN","ATP"]	37	"standard"		[1.6,1.3]	[32,76]	[]						"1544480"
"ASPARAGINE--TRNA-LIGASE-RXN-ASN-tRNAs/ASN/ATP/PROTON//Charged-ASN-tRNAs/AMP/PPI.52."	"ASNS-CPLX"	["ASN","ATP"]		"standard"		[1.6,1.3]	[32.3,76]	[]						"2009959"
"ASPARTASE-RXN"	"ASPARTASE-CPLX"	["L-ASPARTATE"]		"standard"		[180]	[1200]	[]						"Gou, X.j.; Li, S.; Kong, X.d.; Liu, W.; Sun, Y.h.; Zhang, J. Directed evolution of L-aspartase by mobility of domains Chem. Res. Chin. Univ. 20 50-54 2004 "
"ASPARTATE--TRNA-LIGASE-RXN"	"ASPS-CPLX"	["ASP-tRNAs","ATP","L-ASPARTATE"]		"standard"		[18]	[0.6,90,60]	[]						"9171418"
"ASPARTATE--TRNA-LIGASE-RXN"	"ASPS-CPLX"	["ASP-tRNAs","ATP","L-ASPARTATE"]		"standard"		[18]	[0.6,90,60]	[]						"9171418"
"ASPARTATE--TRNA-LIGASE-RXN"	"ASPS-CPLX"	["ASP-tRNAs"]	28	"standard"		[0.55]	[0.08]	[]						"12766171"
"ASPARTATE--TRNA-LIGASE-RXN"	"ASPS-CPLX"	["L-ASPARTATE","ASP-tRNAs"]	37	"standard"		[6.8]	[22,0.2]	[]						"15096594"
"ASPARTATE--TRNA-LIGASE-RXN"	"ASPS-CPLX"	["ATP","L-ASPARTATE"]	37	"standard"		[12,30]	[91,130]	[]						"15289581"
"ASPARTATEKIN-RXN"	"ASPKINIHOMOSERDEHYDROGI-CPLX"	["L-ASPARTATE","THR"]		"standard"		[0.39]	[630]	[330]						"11888289"
"ASPARTATEKIN-RXN"	"ASPKINIHOMOSERDEHYDROGI-CPLX"	["L-ASPARTATE","ATP"]	27	"standard"		[56.7]	[1500,4000]	[]						"Truffa-Bachi, P. Microbial aspartokinases The Enzymes, 3rd Ed. (Boyer, P.D., ed.) 8 509-553 1973 "
"ASPCARBTRANS-RXN"	"ASPCARBTRANS-CPLX"	["L-ASPARTATE"]		"standard"		[1670]	[]	[]						"Sheperdson, M.; Pardee, A.B. Production and crystallization of aspartate transcarbamylase J. Biol. Chem. 235 3233-3237 1960"
"ASPDECARBOX-RXN"	"CPLX0-2901"	["L-ASPARTATE"]		"standard"		[0.57]	[151]	[]						"9169598"
"ATPSYN-RXN"	"ATPSYN-CPLX"	["ADP","Pi"]	25	"standard"		[16,20]	[100,4200]	[]						"19411254"
"ATPSYN-RXN"	"ATPSYN-CPLX"	["ATP"]	25	"standard"		[285]	[78]	[]						"19411254"
"BETA-GLUCURONID-RXN"	"BETA-GLUCURONID-MONOMER"	["Beta-D-Glucuronides"]		"standard"		[68]	[200]	[]						"15069062"
"BETA-GLUCURONID-RXN"	"BETA-GLUCURONID-MONOMER"	[]	37	"standard"		[1500]	[208]	[]						"17557766"
"BIOTIN-CARBOXYL-RXN"	"ACETYL-COA-CARBOXYLMULTI-CPLX"	["BCCP-dimers"]		"standard"		[16.68]	[160]	[]						"10542197"
"BIOTIN-CARBOXYL-RXN"	"BIOTIN-CARBOXYL-CPLX"	["ATP"]	37	"standard"		[0.228]	[115.2]	[]						"16793549"
"BIOTINLIG-RXN"	"BIOTINLIG-MONOMER"	["BCCP-monomers"]	37	"standard"		[0.165]	[11]	[]						"16480719"
"BRANCHED-CHAINAMINOTRANSFERILEU-RXN"	"BRANCHED-CHAINAMINOTRANSFER-CPLX"	["ILE","2-KETOGLUTARATE"]	25	"standard"		[48]	[420,2400]	[]						"10989422"
"BRANCHED-CHAINAMINOTRANSFERLEU-RXN"	"BRANCHED-CHAINAMINOTRANSFER-CPLX"	["LEU","2-KETOGLUTARATE"]	25	"standard"		[78]	[2200,6600]	[]						"10989422"
"BRANCHED-CHAINAMINOTRANSFERVAL-RXN"	"BRANCHED-CHAINAMINOTRANSFER-CPLX"	["VAL","2-KETOGLUTARATE"]	25	"standard"		[19]	[2700,1700]	[]						"10989422"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["ATP"]		"standard"		[8]	[430]	[]						"9813025"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["GLN"]		"standard"		[9.4]	[170]	[]						"12738780"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["ATP"]		"standard"		[6.8]	[50]	[]						"12738780"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["GLN"]	25	"standard"		[4.04]	[29]	[]						"14718657"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["GLN"]		"standard"		[1.4]	[]	[]						"15081891"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["GLN"]		"standard"		[1.4]	[]	[]						"15122899"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["ATP"]	25	"standard"		[4.79]	[44]	[]						"18458150"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["GLN"]	25	"standard"		[2.13]	[130]	[]						"18458150"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["HCO3","ATP","GLN"]		"standard"		[1.9]	[]	[]						"20187643"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["HCO3"]		"standard"		[0.17]	[51]	[]						"20187643"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["ATP"]		"standard"		[3.6]	[240]	[]						"20187643"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["GLN"]		"standard"		[2.2]	[150]	[]						"20187643"
"CARBPSYN-RXN"	"CARBPSYN-CPLX"	["ADP"]		"standard"		[0.13]	[130]	[]						"20187643"
"CATAL-RXN"	"HYDROPEROXIDI-CPLX"	["HYDROGEN-PEROXIDE"]	25	"standard"		[16333]	[3900]	[]						"374409"
"CATAL-RXN"	"HYDROPEROXIDI-CPLX"	["HYDROGEN-PEROXIDE"]	37	"standard"		[5300]	[5900]	[]						"10801338"
"CATAL-RXN"	"HYDROPEROXIDI-CPLX"	["HYDROGEN-PEROXIDE"]	23	"standard"		[12000]	[400]	[]						"15147967"
"CATAL-RXN"	"HYDROPEROXIDI-CPLX"	["HYDROGEN-PEROXIDE"]	37	"standard"		[2950]	[4200]	[]						"18178143"
"CATAL-RXN"	"HYDROPEROXIDI-CPLX"	["HYDROGEN-PEROXIDE"]	23	"standard"		[11000]	[3500]	[]						"18635265"
"CATAL-RXN"	"CPLX0-1683"	["HYDROGEN-PEROXIDE"]	30	"standard"		[200]	[9000]	[]						"21998098"
"CATAL-RXN"	"HYDROPEROXIDI-CPLX"	["HYDROGEN-PEROXIDE"]	23	"standard"		[11000]	[]	[]						"23018273"
"CHORISMATEMUT-RXN"	"CHORISMUTPREPHENDEHYDROG-CPLX"	["CHORISMATE"]	37	"standard"		[182]	[92]	[]						"6395895"
"CHORISMATEMUT-RXN"	"CHORISMUTPREPHENDEHYDRAT-CPLX"	["CHORISMATE"]	37	"standard"		[41.4]	[300]	[]						"8831972"
"CHORISMATEMUT-RXN"	"CHORISMUTPREPHENDEHYDRAT-CPLX"	["CHORISMATE"]	37	"standard"		[39.03]	[226]	[]						"9497350"
"CHORISMATEMUT-RXN"	"CHORISMUTPREPHENDEHYDROG-CPLX"	["CHORISMATE"]	30	"standard"		[27]	[45]	[]						"9843375"
"CHORISMATEMUT-RXN"	"CHORISMUTPREPHENDEHYDROG-CPLX"	["CHORISMATE"]	30	"standard"		[27]	[45]	[]						"10200166"
"CHORISMATEMUT-RXN"	"CHORISMUTPREPHENDEHYDRAT-CPLX"	["CHORISMATE"]	37	"standard"		[34.2]	[127]	[]						"10769128"
"CHORISMATEMUT-RXN"	"CHORISMUTPREPHENDEHYDRAT-CPLX"	["CHORISMATE"]	37	"standard"		[39.03]	[226]	[]						"12818673"
"CHORISMATEMUT-RXN"	"CHORISMUTPREPHENDEHYDRAT-CPLX"	["CHORISMATE"]	37	"standard"		[38.9]	[304]	[]						"15820980"
"CHORISMATEMUT-RXN"	"CHORISMUTPREPHENDEHYDRAT-CPLX"	[]	25	"standard"		[50]	[]	[]						"20170126"
"CHORPYRLY-RXN"	"CHORPYRLY-MONOMER"	["CHORISMATE"]	37	"standard"		[0.82]	[9.7]	[]						"1644758"
"CHORPYRLY-RXN"	"CHORPYRLY-MONOMER"	["CHORISMATE","4-hydroxybenzoate"]		"custom"		[1.7]	[29]	[2.1]	"kcat*E*s/(km*(1+i/ki)+s)"	["kcat","km","ki","E","s","i"]	["kcat","km","ki"]	[1.7,29,2.1]	{"E":"CHORPYRLY-MONOMER","s":"CHORISMATE","i":"4-hydroxybenzoate"}	"11825618"
"CITSYN-RXN"	"CITRATE-SI-SYNTHASE"	["OXALACETIC_ACID","ACETYL-COA"]		"standard"		[81]	[20,700]	[]						"1524432"
"CITSYN-RXN"	"CITRATE-SI-SYNTHASE"	["OXALACETIC_ACID","ACETYL-COA","OXALACETIC_ACID"]		"standard"		[81]	[26,120]	[33]						"12824188"
"CPM-KDOSYNTH-RXN"	"CPM-KDOSYNTH-MONOMER"	["KDO","CTP"]	37	"standard"		[12.5]	[280,330]	[]						"21669179"
"CTPSYN-RXN"	"CTPSYN-CPLX"	["GLN"]	37	"standard"		[6.1]	[320]	[]						"12383057"
"CTPSYN-RXN"	"CTPSYN-CPLX"	["GLN"]	37	"standard"		[6.1]	[354]	[]						"15511226"
"CTPSYN-RXN"	"CTPSYN-CPLX"	["ATP"]	37	"custom"		[]	[]	[]	"(kcat*E*S^n)/(S05^n+S^n)"	["kcat","S05","n","E","S"]	["kcat","S05","n"]	[12.8,494,2.20]	{"E":"CTPSYN-CPLX","S":"ATP"}	"16427816"
"CTPSYN-RXN"	"CTPSYN-CPLX"	["UTP"]	37	"custom"		[]	[]	[]	"(kcat*E*S^n)/(S05^n+S^n)"	["kcat","S05","n","E","S"]	["kcat","S05","n"]	[13.7,281,1.26]	{"E":"CTPSYN-CPLX","S":"UTP"}	"16427816"
"CTPSYN-RXN"	"CTPSYN-CPLX"	["GLN"]	37	"standard"		[6.1]	[350]	[]						"18260824"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["CYS-tRNAs"]	37	"standard"		[3.4]	[0.3]	[]						"10860750"
"CYSTEINE--TRNA-LIGASE-RXN"	"PROS-CPLX"	["CYS"]	37	"standard"		[0.022]	[170]	[]						"12130657"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["CYS-tRNAs"]		"standard"		[0.9]	[0.35]	[]						"12662918"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["ATP"]		"standard"		[91]	[290]	[]						"12662918"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["CYS"]		"standard"		[79]	[22]	[]						"12662918"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["CYS-tRNAs"]	30	"standard"		[2.9]	[0.64]	[]						"14679218"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["ATP"]	30	"standard"		[4.4]	[338]	[]						"14679218"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["CYS"]	30	"standard"		[4.8]	[7.2]	[]						"14679218"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["ARG-tRNAs"]	30	"standard"		[2.9]	[0.64]	[]						"14679218"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["CYS-tRNAs"]	37	"standard"		[2.46]	[1.16]	[]						"15489861"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["CYS-tRNAs"]	37	"standard"		[2.46]	[1.16]	[]						"15882062"
"CYSTEINE--TRNA-LIGASE-RXN"	"CYSS-MONOMER"	["CYS","CYS-tRNAs"]		"standard"		[2.9,2.5]	[22,1.2]	[]						"16843487"
"CYTDEAM-RXN"	"CPLX0-7932"	["CYTOSINE"]	25	"standard"		[185]	[220]	[]						"8226944"
"CYTDEAM-RXN"	"CPLX0-7932"	["CYTOSINE"]	25	"standard"		[185]	[200]	[]						"10669789"
"CYTDEAM-RXN"	"CPLX0-7932"	["CYTOSINE"]	37	"standard"		[165]	[200]	[]						"15248753"
"CYTDEAM-RXN"	"CPLX0-7932"	["CYTOSINE"]	37	"standard"		[165]	[200]	[]						"15381761"
"CYTDEAM-RXN"	"CPLX0-7932"	["CYTOSINE"]	25	"standard"		[185]	[190]	[]						"18517259"
"CYTDEAM-RXN"	"CPLX0-7932"	["CYTOSINE"]		"standard"		[49.68]	[460]	[]						"19487291"
"CYTDEAM-RXN"	"CPLX0-7932"	["CYTOSINE"]	30	"standard"		[132]	[970]	[]						"21545144"
"CYTDEAM-RXN"	"CPLX0-7932"	["CYTOSINE"]		"standard"		[45]	[302]	[]						"21604715"
"DAHPSYN-RXN"	"AROG-CPLX"	["PHOSPHO-ENOL-PYRUVATE","ERYTHROSE-4P"]	37	"standard"		[122]	[5.8,96.5]	[]						"9387"
"DAHPSYN-RXN"	"AROF-CPLX"	["PHOSPHO-ENOL-PYRUVATE","ERYTHROSE-4P"]	25	"standard"		[29.5]	[13,81.4]	[]						"9056491"
"DAHPSYN-RXN"	"AROH-CPLX"	["PHOSPHO-ENOL-PYRUVATE", "ERYTHROSE-4P"]	25	"custom"		[21]	[]	[]	"kcat*E*(S1^n1/(S1^n1+k1^n1))*(S2^n2/(S2^n2+k2^n2))"	["kcat","k1","k2","n1","n2","E","S1","S2"]	["kcat","k1","k2","n1","n2"]	[20.6,35,5.3,2.6,2.2]	{"E":"AROH-CPLX","S1":"ERYTHROSE-4P","S2":"PHOSPHO-ENOL-PYRUVATE"}	"9398312"
"DAHPSYN-RXN"	"AROG-CPLX"	["PHOSPHO-ENOL-PYRUVATE","ERYTHROSE-4P"]	25	"standard"		[32]	[9,86]	[]						"10988284"
"DAHPSYN-RXN"	"AROG-CPLX"	["PHOSPHO-ENOL-PYRUVATE","ERYTHROSE-4P"]	25	"standard"		[71]	[2000,21000]	[]						"11732901"
"DAHPSYN-RXN"	"AROG-CPLX"	["PHOSPHO-ENOL-PYRUVATE"]	25	"standard"		[62.3]	[35]	[]						"15378531"
"DAHPSYN-RXN"	"AROG-CPLX"	["PHOSPHO-ENOL-PYRUVATE"]	25	"standard"		[62.3]	[35]	[]						"15378531"
"DAHPSYN-RXN"	"AROG-CPLX"	["ERYTHROSE-4P"]		"standard"		[71]	[21]	[]						"15837321"
"DAHPSYN-RXN"	"AROG-CPLX"	["PHOSPHO-ENOL-PYRUVATE"]		"standard"		[32]	[9]	[]						"15882071"
"DALADALALIG-RXN"	"DALADALALIGB-CPLX"	["D-ALANINE"]		"custom"		[17]	[3.3]	[]	"kcat*E*S_1^2/(K_1*K_2+K_2*S_1+S_1^2)*(S_2/(K_3+S_2))(1/(1+S_3/K_i))"	["kcat","K_1","K_2","K_3","K_i","E","S_1","S_2","S_3"]	["kcat","K_1","K_2","K_3","K_i"]	[16.97,3.3,1200,40,70]	{"E":"DALADALALIGA-MONOMER","S_1":"D-ALANINE","S_2":"ATP","S_3":"D-ALA-D-ALA"}	"1993184"
"DALADALALIG-RXN"	"DALADALALIGB-CPLX"	["D-ALA-D-ALA"]		"standard"		[16.97]	[18]	[]						"1993184"
"DALADALALIG-RXN"	"DALADALALIGA-MONOMER"	["D-ALANINE"]		"custom"		[7.4]	[5.7]	[]	"kcat*E*S_1^2/(K_1*K_2+K_2*S_1+S_1^2)*(S_2/(K_3+S_2))(1/(1+S_3/K_i))"	["kcat","K_1","K_2","K_3","K_i","E","S_1","S_2","S_3"]	["kcat","K_1","K_2","K_3","K_i"]	[7.4,5.7,550,38,49]	{"E":"DALADALALIGA-MONOMER","S_1":"D-ALANINE","S_2":"ATP","S_3":"D-ALA-D-ALA"}	"1993184"
