"id"	"common_name"	"synonyms"	"chemical_formula"	"mw"	
"CPD-12365"	"8-oxo-dGMP"	["7,8-dihydro-8-oxo-2'-dGMP", "2'-deoxy-7,8-dihydro-8-oxo-guanosine 5'-phosphate", "8-oxo-deoxyguanosine-monophosphate"]	"C10H12N5O8P"	361.207	
"CPD-12366"	"8-oxo-GTP"	["7,8-dihydro-8-oxoguanosine 5'-triphosphate"]	"C10H12N5O15P3"	535.151	
"CPD-12367"	"8-oxo-GMP"	["7,8-dihydro-8-oxo-guanosine 5'-phosphate"]	"C10H12N5O9P"	377.207	
"CPD-12377"	"hydroxyl radical"	[]	"HO"	17.007	
"CPD-12378"	"melanochrome"	[]	null	null	
"CPD-12427"	"7,8-dihydro-8-oxoguanine"	["8-oxoguanine"]	"C5H5N5O2"	167.127	
"CPD-1244"	"&alpha;-maltose 6'-phosphate"	[]	"C12H21O14P"	420.263	
"CPD-12443"	"perillate"	["perillic acid", "perillyl carboxylate", "4-(1-methylethenyl)-1-cyclohexene-1-carboxylic acid", "4-isopropenylcyclohex-1-enecarboxylic acid"]	"C10H13O2"	165.211	
"CPD-12454"	"malonyl-CoA methyl ester"	[]	"C25H36N7O19P3S"	863.576	
"CPD-12457"	"taurodeoxycholate"	[]	"C26H44NO6S"	498.697	
"CPD-12470"	"cysteine tryptophylquinone"	["CTQ"]	null	null	
"CPD-12485"	"3,6,8-trimethylallantoin"	["1,3-dimethyl-1-(1-methyl-2,5-dioxo-4-imidazolidinyl)urea"]	"C7H12N4O3"	200.197	
"CPD-12515"	"&alpha;-L-idopyranuronate"	["IdoA"]	"C6H9O7"	193.133	
"CPD-12520"	"2'-deoxyuridine 5'-&alpha;,&beta;-imido-diphosphate"	["&alpha;,&beta; imido dUDP"]	"C9H12N3O10P2"	384.155	
"CPD-12521"	"&beta;-D-glucuronate"	["&beta;-D-glucuronic acid", "&beta;-D-glucopyranuronic acid"]	"C6H9O7"	193.133	
"CPD-12523"	"&alpha;-D-galacturonate"	["&alpha;-D-galacturonic acid"]	"C6H9O7"	193.133	
"CPD-12524"	"&beta;-D-galacturonate"	["&beta;-D-galacturonic acid"]	"C6H9O7"	193.133	
"CPD-12537"	"&beta;-D-fructuronate"	["&beta;-D-fructuronic acid"]	"C6H9O7"	193.133	
"CPD-12538"	"&alpha;-D-glucosamine"	[]	"C6H14NO5"	180.18	
"CPD-12539"	"&beta;-D-glucosamine"	[]	"C6H14NO5"	180.18	
"CPD-12546"	"3'-azido-3'-deoxythymidine 5'-phosphate"	["3'-azido-3'-deoxythymidine monophosphate", "AZTMP", "Zidovudine monophosphate", "Zidovudine 5'-monophosphate", "ZDVMP"]	"C10H12N5O7P"	345.208	
"CPD-12548"	"UDP-D-xylose"	[]	"C14H20N2O16P2"	534.263	
"CPD-12575"	"UDP-&alpha;-D-glucose"	["UDPG", "UDP-glucose", "UDP-D-glucose", "UDP-&alpha;-D-glucopyranose"]	"C15H22N2O17P2"	564.289	
"CPD-12587"	"(2<i>E</i>,6<i>E</i>)-farnesyl phosphate"	["2,6,10-dodecatrien-1-ol, 3,7,11-trimethyl-, dihydrogen phosphate, (<i>2E,6E</i>)-", "2,6,10-dodecatrien-1-ol, 3,7,11-trimethyl-, dihydrogen phosphate, (<i>E,E</i>)", "(<i>E,E</i>)-farnesyl monophosphate", "(<i>E,E</i>)-farnesyl phosphate", "(<i>trans, trans</i>)-farnesyl monophosphate", "2-<i>trans</i>,-6-<i>trans</i>-farnesyl monophosphate", "2-<i>trans</i>,-6-<i>trans</i>-farnesyl phosphate"]	"C15H25O4P"	300.334	
"CPD-12601"	"&beta;-D-mannopyranose"	[]	"C6H12O6"	180.157	
"CPD-12642"	"a 3-oxoacid"	["3-oxygen acid", "3-oxy acid", "a 3-oxo acid", "a &beta;-keto acid", "a 3-ketoacid", "a &beta;-oxto acid"]	null	null	
"CPD-12742"	"3-phenylserine"	[]	null	null	
"CPD-12763"	"5-aminopentanal"	["1-amino-5-oxopentane"]	"C5H12NO"	102.156	
"CPD-12773"	"&alpha;-D-glucopyranosyl-diphosphoundecaprenol"	["&alpha;-D-glucose-diphosphoundecaprenol", "&alpha;-D-glucosyl-diphosphoundecaprenol", "undecaprenol-diphosphate-glucose"]	"C61H100O12P2"	1087.401	
"CPD-12792"	"Reactive Blue 5"	["1-Amino-4-{[3-({4-chloro-6-[(3-sulfophenyl)amino]-1,3,5-triazin-2-yl}amino)-4-sulfophenyl]amino}-9,10-dihydro-9,10-dioxoanthracene-2-sulfonic acid"]	"C29H21N7O11S3Cl"	775.158	
"CPD-12795"	"Reactive Blue 19"	[]	"C22H16N2O11S3"	580.555	
"CPD-12796"	"2,2'-azino-bis-(3-ethylbenzothiazoline-6-sulfonate)"	["ABTS", "2,2'-azino-di-(3-ethylbenzothiazoline-6-sulfonate)", "2,2'-azino-di-(3-ethylbenzothiazoline)-6-sulfonic acid"]	"C18H16N4O6S4"	512.588	
"CPD-12797"	"2,6-dimethoxyphenol"	["DMP", "1,3-di-O-methylpyrogallol", "1,3-dimethoxy-2-hydroxybenzene", "1,3-dimethyl pyrogallate", "2-hydroxy-1,3-dimethoxybenzene", "pyrogallol 1,3-dimethyl ether"]	"C8H10O3"	154.165	
"CPD-12799"	"hypochlorous acid"	["HClO", "HOCl", "hypochloric acid"]	"HOCl"	52.46	
"CPD-12800"	"hypochlorite"	[]	"OCl"	51.452	
"CPD-12809"	"a heme-thiolate prosthetic group"	[]	null	null	
"CPD-12814"	"CDP-1,2-dioctadecanoylglycerol"	[]	"C48H87N3O15P2"	1008.174	
"CPD-12815"	"CDP-1,2-dipalmitoylglycerol"	[]	"C44H79N3O15P2"	952.067	
"CPD-12816"	"phosphatidylserine (dioctadecanoyl, n-C18:0)"	[]	"C42H81NO10P"	791.076	
"CPD-12817"	"1,2-dipalmitoyl-phosphatidylserine"	["phosphatidylserine (dihexadecanoyl, n-C16:0)"]	"C38H73NO10P"	734.969	
"CPD-12818"	"1,2-dioctadecanoyl-phosphatidyl-ethanolamine"	["phosphatidylethanolamine (dioctadecanoyl, n-C18:0)"]	"C41H82NO8P"	748.074	
"CPD-12819"	"1,2-dipalmitoyl-phosphatidyl-ethanolamine"	["phosphatidylethanolamine (dihexadecanoyl, n-C16:0)"]	"C37H74NO8P"	691.967	
"CPD-12820"	"phosphatidylglycerolphosphate (1,2-di-stearoyl)"	["phosphatidylglycerophosphate (dioctadecanoyl, n-C18:0)"]	"C42H81O13P2"	856.042	
"CPD-12821"	"phosphatidylglycerolphosphate (1,2-di-palmitoyl)"	["phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)", "1,2-dipalmitoyl-phosphatidylglycerol-phosphate"]	"C38H73O13P2"	799.934	
"CPD-12822"	"phosphatidylglycerol (dioctadecanoyl, n-C18:0)"	[]	"C42H82O10P"	778.078	
"CPD-12824"	"cardiolipin (tetrahexadecanoyl, n-C16:0)"	[]	"C73H140O17P2"	1351.846	
"CPD-12826"	"folate"	["folic acid"]	"C19H17N7O6"	439.387	
"CPD-12843"	"ciprofloxacin"	["Ciproxan", "Cipro", "1-cyclopropyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid", "1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid", "1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid"]	"C17H18N3O3F"	331.346	
"CPD-12849"	"(1<i>E</i>,3<i>E</i>)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate"	["4-carboxy-2-hydroxyhexa-2,4-cis,cis-dienedioate", "4-carboxy-2-hydroxy-cis,cis-muconate"]	"C7H3O7"	199.096	
"CPD-12980"	"an oligosaccharide with 4-deoxy-6-O-methyl-&alpha;-D-galact-4-enuronate end"	["a pectin oligosaccharide with 4-(4-deoxy-&alpha;-D-galact-4-enuronosyl)-D-galacturonate end", "an unsaturated pectin oligosaccharide", "4-deoxy-6-O-methyl-&alpha;-D-galact-4-enuronoside", "4-deoxy-6-O-methyl-&alpha;-D-gluc-4-enuronoside"]	null	null	
"CPD-12981"	"a 4-deoxy-&alpha;-L-<i>erythro</i>-hex-4-enopyranuronoside"	["an oligosaccharide with 4-deoxy-&alpha;-L-<i>erythro</i>-hex-4-enopyranuronosyl end", "an oligosaccharide with 4-deoxy-&alpha;-L-<i>erythro</i>-hex-4-enuronosyl end"]	null	null	
"CPD-12985"	"4-deoxy-&alpha;-L-<i>threo</i>-hex-4-enopyranoside"	["an oligosaccharide with 4-deoxy-&alpha;-L-threo-hex-4-enuronosyl end", "an oligosaccharides with 4-deoxy-&alpha;-D-gluc-4-enuronosyl end", "an oligosaccharides with 4-deoxy-&beta;-D-gluc-4-enuronosyl end", "4-deoxy-&beta;-D-gluc-4-enuronoside", "an oligosaccharides with 4-deoxy-&alpha;-L-<i>threo</i>-hex-4-enopyranosyl end"]	null	null	
"CPD-12991"	"&beta;-aspartyl dipeptide"	[]	null	null	
"CPD-12996"	"5,10-methylenetetrahydropteroyl tri-L-glutamate"	["5,10-methylene-H<sub>4</sub>PteGlu<sub>3</sub>"]	"C30H33N9O12"	711.644	
"CPD-13005"	"cellulose polysulfate"	[]	null	null	
"CPD-1301"	"tetrahydropteroyl tri-L-glutamate"	["H<sub>4</sub>PteGlu<sub>3</sub>"]	"C29H33N9O12"	699.633	
"CPD-1302"	"5-methyltetrahydropteroyl tri-L-glutamate"	["<i>N</i><sup>5</sup>-methyl--H<sub>4</sub>PteGlu<sub>3</sub>", "<i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate"]	"C30H35N9O12"	713.66	
"CPD-13025"	"guanosine 2'-monophosphate"	[]	"C10H12N5O8P"	361.207	
"CPD-13034"	"(2<i>E</i>)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate"	["cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol", "<i>cis</i>-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol", "3-(<i>cis</i>-5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate", "(2<i>E</i>)-3-[(5<i>R</i>,6<i>S</i>)-5,6-dihydroxycyclohexa-1,3-dien-1-yl]prop-2-enoate"]	"C9H9O4"	181.168	
"CPD-13043"	"7-carboxy-7-deazaguanine"	[]	"C7H5N4O3"	193.141	
"CPD-13059"	"2-keto-L-gulonate"	["2-dehydro-L-gulonate", "2-dehydro-L-idonate", "2-keto-L-idonate", "L-sorbosonate", "2-oxo-L-gulonate", "2oxo-L-idonate", "L-<i>xylo</i>-2-hexulosonate", "L-<i>xylo</i>-2-hex-2-ulosonate"]	"C6H9O7"	193.133	
"CPD-13118"	"GDP-&beta;-L-fucose"	["GDP-&beta;-L-fucopyranose", "GDP-L-fucose", "guanosine diphosphate fucose", "GDP-L-fucopyranose", "GDP-L-Fuc", "GDP-L-Fuc<i>p</i>"]	"C16H23N5O15P2"	587.33	
"CPD-13122"	"4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate"	["(3R,4S)-2,3,4-trihydroxy-3,4-dihydro-2H-pyran-6-carboxylic acid", "4-deoxy-L-threo-5-hexosulose-uronic acid", "4-deoxy-L-threo-5-hexosulose-uronate", "4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate", "4-deoxy-L-<i>threo</i>-5-hexosulose-uronate", "4-deoxy-&beta;-L-<i>threo</i>-hex-4-enopyranuronose"]	"C6H7O6"	175.118	
"CPD-13158"	"polymyxin E2"	["colistin B"]	"C52H103N16O13"	1160.485	
"CPD-13198"	"an exposed unphosphorylated, unbranched malto-oligosaccharide tail on amylopectin"	[]	null	null	
"CPD-13227"	"<i>N,N',N''</i>-triacetylchitotriose"	["triacetylchitotriose"]	"C24H41N3O16"	627.598	
"CPD-13243"	"geranyl monophosphate"	["geranyl-monophosphate", "geranyl-phosphate", "(<i>E</i>)-geranyl phosphate", "geranyl-P", "<i>trans</i>-geranyl phosphate"]	"C10H17O4P"	232.216	
"CPD-13245"	"8-anilinonaphthalenesulfonate"	["8-anilino-1-naphthalenesulfonic acid", "8-anilino-1-naphthalenesulfonate", "8-anilinonaphthalene-1-sulfonate", "ANS"]	"C16H12NO3S"	298.336	
"CPD-13314"	"dihydrocurcumin"	[]	"C21H22O6"	370.401	
"CPD-13315"	"tetrahydrocurcumin"	[]	"C21H24O6"	372.417	
"CPD-13319"	"3-methylguanine"	["3-MeG", "2-amino-3-methyl-3,9-dihydro-6H-purin-6-one"]	"C6H7N5O"	165.154	
"CPD-13320"	"7-methyladenine"	[]	"C6H7N5"	149.155	
"CPD-13321"	"3-octen-2-one"	["<i>trans</i>-3-octen-2-one", "(3<i>E</i>)-3-octen-2-one"]	"C8H14O"	126.198	
"CPD-13322"	"(<i>E</i>)-hept-3-en-2-one"	["butylideneacetone", "3-hepten-2-one", "methyl pentenyl ketone", "(3<i>E</i>)-3-hepten-2-one"]	"C7H12O"	112.171	
"CPD-13323"	"<i>trans</i>-2-octenal"	["2-octenal", "(<i>E</i>)-oct-2-enal", "2-octenel", "trans-2-octen-1-al"]	"C8H14O"	126.198	
"CPD-13327"	"a lycopanerol"	[]	null	null	
"CPD-13343"	"vinylglycine"	["2-amino-3-butenoic acid", "2-aminobut-3-enoic acid", "D,L-vinylglycine"]	"C4H7NO2"	101.105	
"CPD-13353"	"(2S,3E)-2-amino-4-(2-aminoethoxy)but-3-enoate"	["aminoethoxyvinylglycine", "Aviglycine", "L-2-amino-4-(2-aminoethoxy)-<i>trans</i>-3-butenoic acid", "L-<i>trans</i>-2-amino-4-(2-aminoethoxy)-3-butenoic acid", "(<i>S</i>-(<i>E</i>))-2-amino-4-(2-aminoethoxy)-3-butenoic acid", "L-2-amino-4-(2'-aminoethoxy)-<i>trans</i>-3-butenoic acid", "AVG"]	"C6H13N2O3"	161.18	
"CPD-13357"	"(2<i>R</i>)-2,3-dihydroxy-3-methylbutanoate"	["(<i>R</i>)-2,3-dihydroxy-3-methylbutanoate", "(<i>R</i>)-2,3-dihydroxy-isovalerate"]	"C5H9O4"	133.124	
"CPD-13390"	"L-methionyl-L-alanine dipeptide"	["L-Met-L-Ala", "Met-Ala"]	"C8H16N2O3S"	220.286	
"CPD-13393"	"glycyl-L-methionine"	["gly-met", "N-glycyl-L-methionine"]	"C7H14N2O3S"	206.259	
"CPD-13394"	"glycyl-L-glutamine"	["gly-gln"]	"C7H13N3O4"	203.197	
"CPD-13395"	"glycyl-L-asparagine"	["gly-asn"]	"C6H11N3O4"	189.171	
"CPD-13397"	"L-alanyl-L-threonine"	["Ala-Thr"]	"C7H14N2O4"	190.199	
"CPD-13398"	"L-alanyl-L-leucine"	["Ala-Leu"]	"C9H18N2O3"	202.253	
"CPD-13399"	"turanose"	["D-(+)-turanose", "D-turanose", "&alpha;-D-glucopyranose-(1&rarr;3)-&beta;-D-fructose", "&beta;-turanose", "3-<i>O</i>-&alpha;-D-glucopyranosyl-D-fructose"]	"C12H22O11"	342.299	
"CPD-13401"	"L-alanyl-L-histidine"	["ala-his"]	"C9H14N4O3"	226.235	
"CPD-13403"	"L-alanyl-L-glutamine"	["ala-gln"]	"C8H15N3O4"	217.224	
"CPD-13404"	"L-alanyl-L-aspartate"	["ala-asp"]	"C7H11N2O5"	203.174	
"CPD-13405"	"bromosuccinate"	["DL-bromosuccinic acid", "DL-2-bromosuccinate", "bromosuccinic acid"]	"C4H3O4Br"	194.969	
"CPD-13406"	"glycyl-L-aspartate"	["gly-asp", "glycyl-L-aspartic acid"]	"C6H9N2O5"	189.147	
"CPD-13407"	"D,L-lactamide"	[]	"C3H7NO2"	89.094	
"CPD-13409"	"melezitose"	["melizitose", "O-&alpha;-D-glucopyranosyl-(1,3)-&beta;-D-fructofuranosyl-&alpha;-D-glucopyranoside", "D-melezitose"]	"C18H32O16"	504.441	
"CPD-13413"	"D-ribono-1,4-lactone"	["ribonolactone", "D-ribopentono-1,4-lactone", "ribono-&gamma;-lactone", "D-(+)-ribono-1,4-lactone"]	"C5H8O5"	148.115	
"CPD-13414"	"&alpha;-hydroxyglutarate-&gamma;-lactone"	["tetrahydro-5-oxo-(2S)-2-furancarboxylic acid", "a-hydroxyglutaric acid-g-lactone", "&alpha;-hydroxyglutaric acid-&gamma;-lactone"]	"C5H5O4"	129.092	
"CPD-13428"	"&alpha;-L-galactopyranose"	["&alpha;-L-galactose"]	"C6H12O6"	180.157	
"CPD-13469"	"&alpha;-D-glucosamine 6-phosphate"	["&alpha;-D-glucosamine phosphate", "&alpha;-D-glucosamine 6-phosphate", "&alpha;-&alpha;-D-glucosamine-6-P"]	"C6H13NO8P"	258.144	
"CPD-13545"	"chitobiose"	["&beta;-D-glucosaminyl-(1&rarr;4)-&beta;-D-glucosamine", "2-amino-4-<i>O</i>-(2-amino-2-deoxy-&beta;-D-glucopyranosyl)-2-deoxy-&beta;-D-glucopyranose"]	"C12H26N2O9"	342.345	
"CPD-13559"	"&alpha;-D-mannopyranose"	[]	"C6H12O6"	180.157	
"CPD-13575"	"2-[(2<i>R</i>,5<i>Z</i>)-2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene]ethyl phosphate"	["cThz*-P", "thiazole tautomer", "(<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate"]	"C7H7NO6PS"	264.169	
"CPD-13584"	"cyanide"	["CN-"]	"CN"	26.018	
"CPD-13593"	"5-bromo-4-chloro-3-indoxyl phosphate"	[]	"C8H4NO3PClBr"	308.455	
"CPD-13594"	"p-toluidine"	[]	"C7H9N"	107.155	
"CPD-13595"	"cetyltrimethylammonium"	[]	"C19H42N"	284.547	
"CPD-13746"	"&beta;-1,4-D-mannobiose"	["4-<i>O</i>-D-mannopyranosyl-D-mannose", "&beta;-D-mannopyranosyl-(1&rarr;4)-D-mannose", "&beta;-D-mannopyranosyl-(1&rarr;4)-D-mannopyranose"]	"C12H22O11"	342.299	
"CPD-13804"	"erythromycin A"	["ilotycin"]	"C37H68NO13"	734.943	
"CPD-13829"	"&alpha;-D-rhamnopyranose"	["&alpha;-D-rhamnose"]	"C6H12O5"	164.158	
"CPD-13838"	"[&beta;-D-GlcA-(1&rarr;4)-2-<i>O</i>-Ac-&beta;-D-GlcA-(1&rarr;4)-&beta;-D-Glc-(1&rarr;4)-[3-<i>O</i>-3-O-(CH3CH(OH)CH<sub>2</sub>C(O))-4,6-CH3(COO-)C-&beta;-D-Gal-(1&rarr;4)-&beta;-D-Glc-(1&rarr;4)-&beta;-D-Glc-(1&rarr;4)-&beta;-D-Glc-(1&rarr;6)]-2(or3)-<i>O</i>-Ac-&alpha;-D-Glc-(1&rarr;6)]<sub>n</sub>"	[]	null	null	
"CPD-13839"	"<i>Rhizobium leguminosarum</i> exopolysaccharide octasaccharide repeating unit"	["[6)-D-GlcA-&beta;-(1&rarr;4)-2-<i>O</i>-Ac-D-GlcA-&beta;-(1&rarr;4)-D-Glc-&beta;-(1&rarr;4)-[3-O-CH<sub>3</sub>-CH<sub>2</sub>CH(OH)C(O)-4,6-CH<sub>3</sub>(COO)C-D-Gal-&beta;-(1&rarr;3)-4,6-CH<sub>3</sub>(COO)C-D-Glc-&beta;-(1&rarr;4)-D-Glc-&beta;-(1&rarr;4)-D-Glc-&beta;-(1&rarr;6)]-2-<i>O</i>-Ac-D-Glc-&alpha;-(1&rarr;"]	null	null	
"CPD-13840"	"[&beta;-D-GlcA-(1&rarr;4)-2-<i>O</i>-Ac-&beta;-D-GlcA-(1&rarr;4)-&beta;-D-Glc-(1&rarr;4)-[3-<i>O</i>-3-O-(CH3CH(OH)CH<sub>2</sub>C(O))-4,6-CH3(COO-)C-&beta;-D-Gal-1&rarr;3)-4,6-CH<sub>3</sub>(COO-)C-&beta;-D-Glc-(1&rarr;4)-&beta;-D-Glc-(1&rarr;4)-&beta;-D-Glc-(1&rarr;6)]-2(or3)-<i>O</i>-Ac-&alpha;-D-Glc-(1&rarr;6)]<sub>n</sub>"	["<i>Rhizobium leguminosarum</i> exopolysaccharide octasaccharide repeating unit"]	null	null	
"CPD-13851"	"2-hydroxy-dATP"	["2-hydroxy-2'-deoxyadenosine 5'-triphosphate", "2'-deoxyisoguanosine triphosphate"]	"C10H12N5O13P3"	503.152	
"CPD-13852"	"2-hydroxy-dAMP"	["2-OH-dAMP", "2-hydroxy-2'-deoxyadenosine 5'-monophosphate"]	"C10H12N5O7P"	345.208	
"CPD-13853"	"8-oxo-dGDP"	["7,8-dihydro-8-oxo-dGDP", "2'-deoxy-7,8-dihydro-8-oxo-guanosine 5'-diphosphate"]	"C10H12N5O11P2"	440.179	
"CPD-13859"	"methacrylate"	["methacrylic acid"]	"C4H5O2"	85.082	
"CPD-13890"	"4-(oxoacetyl)phenoxyacetate"	["4-(oxoacetyl)phenoxyacetic acid", "2-(4-oxaldehydoylphenoxy)acetic acid"]	"C10H7O5"	207.162	
"CPD-13892"	"clindamycin"	[]	"C18H34N2O5SCl"	425.99	
"CPD-13895"	"phenelzine"	["phenethylhydrazine", "&beta;-phenylethylhydrazine", "Nardil", "Fenelzyna", "Fenelzyne", "Phenelzinum"]	"C8H12N2"	136.196	
"CPD-13898"	"pargyline"	["Eudatin", "<i>N</i>-methyl-<i>N</i>-propargylbenzylamine", "Pargylamine", "Paragyline", "Supirdyl", "Eutonyl", "<i>N</i>-methyl-<i>N</i>-2-propynylbenzylamine"]	"C11H13N"	159.23	
"CPD-13907"	"dehydroascorbate (bicyclic form)"	["dehydroascorbate monohydrate"]	"C6H8O7"	192.125	
"CPD-13908"	"selenodiglutathione"	["GSSeSG"]	"C20H30N6O12S2Se"	689.57	
"CPD-13910"	"cyclic- 3,4-<i>O</i>-oxalyl-L-threonate"	["3,4-cyclic oxalyl theronolactone"]	"C6H5O7"	189.101	
"CPD-13914"	"cyclic-2,3-<i>O</i>-oxalyl-L-threonate"	["2,3-cyclic oxalyl theronolactone"]	"C6H5O7"	189.101	
"CPD-13918"	"adenine arabinoside"	["Vidarabine", "2-(6-amino-purin-9-yl)-5-hydroxymethyl-tetrahydro-furan-3,4-diol", "9--D-arabinofuranosyl-9H-purin-6-amine", "9-&beta;-D-arabinofuranosyladenine", "Spongoadenosine"]	"C10H13N5O4"	267.244	
"CPD-13927"	"(<i>Z</i>)-2-methylureidoacrylate peracid"	["(<i>Z</i>)-2-methylureidoperacrylic acid", "(2Z)-3-(carbamoylamino)-2-methylprop-2-eneperoxoic acid"]	"C5H8N2O4"	160.129	
"CPD-13930"	"(<i>Z</i>)-2-methyl-peroxyaminoacrylate"	[]	"C4H7NO3"	117.104	
"CPD-13944"	"L-alanosine"	["alanosine", "3-(hydroxynitrosoamino)-L-alanine"]	"C3H7N3O4"	149.106	
"CPD-13962"	"daunorubicin"	["daunomycin", "rubidomycin"]	"C27H30NO10"	528.535	
"CPD-13973"	"doxorubicin"	["14-hydroxydaunomycin", "14-hydroxydaunorubicine", "adriamycin"]	"C27H30NO11"	544.534	
"CPD-13992"	"2,2'-disulfonyl azobenzene"	[]	"C12H8N2O6S2"	340.325	
"CPD-13993"	"3-[(4-amino-6-chloro-1,3,5-triazin-2-yl)amino]benzenesulfonate"	[]	"C9H7N5O3SCl"	300.699	
"CPD-14"	"tetrathionate"	["S<SUB>4</SUB>O<SUB>6</SUB><SUP>-2</SUP>", "S<SUB>4</SUB>O<SUB>6</SUB><SUP>2-</SUP>", "tetrathionic acid", "thioperoxydisulfuric acid"]	"O6S4"	224.236	
"CPD-14020"	"dTDP-4-amino-4,6-dideoxy-D-galactose"	[]	"C16H26N3O14P2"	546.341	
"CPD-14021"	"UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine 3'-phosphate"	["UNAG-3P", "UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine 3-phosphate", "UDP-<i>N</i>-acetyl-D-glucosamine 3'-phosphate"]	"C17H24N3O20P3"	683.306	
"CPD-14022"	"&alpha;-terpineol"	["&alpha;-terpineol"]	"C10H18O"	154.252	
"CPD-14024"	"3-carene"	["3,7,7-trimethyl bicyclohept-3-ene", "car-3-ene"]	"C10H16"	136.236	
"CPD-14101"	"8-oxo-GDP"	["8-oxo-guanosine diphosphate"]	"C10H12N5O12P2"	456.179	
"CPD-14133"	"(<i>R</i>)-NADPHX"	[]	"C21H28N7O18P3"	759.41	
"CPD-14142"	"neomycin B"	["fradiomycin B", "framycetin"]	"C23H52N6O13"	620.696	
"CPD-14154"	"tobramycin"	[]	"C18H42N5O9"	472.558	
"CPD-14197"	"amikacin"	[]	"C22H47N5O13"	589.639	
"CPD-14202"	"L-<i>erythro</i>-7,8-dihydrobiopterin"	["L-erythro-q-dihydrobiopterin"]	"C9H13N5O3"	239.233	
"CPD-143"	"nitroglycerin"	["NG", "glycerol trinitrate"]	"C3H5N3O9"	227.087	
"CPD-14306"	"[(1S)-2,2,3-trimethyl-4-oxocyclopentyl]acetate"	["(1S)-&alpha;-campholonate (keto form)"]	"C10H15O3"	183.227	
"CPD-14325"	"citramalate"	["2-methylmalic acid", "(R,S)-citramalate", "(R,S)-citramalic acid", "&alpha;-hydroxypyrotartaric acid", "D,L-citramalate", "D,L-citramalic acid", "2-methylmalate", "citramalic acid"]	"C5H6O5"	146.099	
"CPD-14332"	"prenyl phosphate"	["dimethylallyl phosphate", "3,3-dimethylallyl phosphate"]	"C5H9O4P"	164.097	
"CPD-14441"	"(3E)-2-oxopent-3-enoate"	[]	"C5H5O3"	113.093	
"CPD-14442"	"(2Z)-2,4-dihydroxypent-2-enoate"	[]	"C5H7O4"	131.108	
"CPD-14443"	"(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate"	["(4<i>S</i>)-4-hydroxy-2,3,4,5-tetrahydro-(2<i>S</i>)-dipicolinate"]	"C7H7NO5"	185.136	
"CPD-14445"	"1,4-bis-{[N-(1-imino-1-guanidino-methyl)]sulfanylmethyl}-3,6-dimethyl-benzene"	[]	"C14H26N8S2"	370.533	
"CPD-14447"	"(2Z)-2-hydroxypenta-2,4-dienoate"	[]	"C5H5O3"	113.093	
"CPD-14463"	"3-(carboxymethylaminomethyl)-4-hydroxybenzoate"	["3-(carboxymethylaminomethyl)-4-hydroxybenzoic acid"]	"C10H10NO5"	224.193	
"CPD-14474"	"(3<i>R</i>)-&beta;-phenylalanine"	["L-&beta;-phenylalanine", "(<i>R</i>)-&beta;-phenylalanine"]	"C9H11NO2"	165.191	
"CPD-14488"	"&alpha;-D-glucuronate"	["&alpha;-D-glucuronic acid", "&alpha;-D-glucopyranuronic acid"]	"C6H9O7"	193.133	
"CPD-14545"	"2-nitroimidazole"	["azomycin", "2-nitro-1H-imidazole"]	"C3H3N3O2"	113.076	
"CPD-14553"	"UDP-&alpha;-D-galactose"	["UDP-&alpha;-D-galactopyranose", "UDP-galactose"]	"C15H22N2O17P2"	564.289	
"CPD-14577"	"a plant arabinogalactan-[protein]"	["a plant [protein]-arabinogalactan"]	null	null	
"CPD-14581"	"a rhamnogalacturonan type II"	["rhamnogalacturonan II", "RG-II"]	null	null	
"CPD-14729"	"(3Z)-oct-3-enoyl-CoA"	["3-<i>cis</i>-octenoyl coenzyme A", "3-<i>cis</i>-octenoyl-CoA"]	"C29H44N7O17P3S"	887.685	
"CPD-14730"	"3-<i>cis</i>-tetradecenoyl-CoA"	["3-<i>cis</i>-tetradecenoyl coenzyme A"]	"C35H56N7O17P3S"	971.845	
"CPD-14736"	"L-kynurenine"	["kynurenine"]	"C10H12N2O3"	208.216	
"CPD-14762"	"2''-<i>O</i>-acetyl-ADP-ribose"	["2''-OAADPr"]	"C17H23N5O15P2"	599.341	
