"id"	"symbol"	"synonyms"	"left_end_pos"	"right_end_pos"	"direction"	"rna_id"
"EG10588"	"metJ"	["metJ", "b3938", "ECK3930"]	4128078	4128395	"-"	"EG10588_RNA"
"EG10589"	"metK"	["metK", "metX", "b2942", "ECK2937"]	3086706	3087860	"+"	"EG10589_RNA"
"EG10590"	"metL"	["metL", "metM", "b3940", "ECK3932"]	4129835	4132267	"+"	"EG10590_RNA"
"EG10591"	"metR"	["metR", "b3828", "ECK3822"]	4011863	4012816	"-"	"EG10591_RNA"
"EG10592"	"mglA"	["mglA", "mglP", "mgl", "b2149", "ECK2142"]	2237769	2239289	"-"	"EG10592_RNA"
"EG10593"	"mglB"	["mglB", "b2150", "ECK2143"]	2239350	2240348	"-"	"EG10593_RNA"
"EG10594"	"mglC"	["mglC", "mglP", "b2148", "ECK2141"]	2236743	2237753	"-"	"EG10594_RNA"
"EG10595"	"miaA"	["miaA", "trpX", "b4171", "ECK4167"]	4399252	4400202	"+"	"EG10595_RNA"
"EG10596"	"minC"	["minC", "minB", "b1176", "ECK1164"]	1225385	1226080	"-"	"EG10596_RNA"
"EG10597"	"minD"	["minD", "minB", "b1175", "ECK1163"]	1224549	1225361	"-"	"EG10597_RNA"
"EG10598"	"minE"	["minE", "minB", "b1174", "ECK1162"]	1224279	1224545	"-"	"EG10598_RNA"
"EG10599"	"groL"	["groL", "groEL", "mopA", "b4143", "ECK4137"]	4371025	4372671	"+"	"EG10599_RNA"
"EG10600"	"groS"	["groS", "groES", "mopB", "b4142", "ECK4136"]	4370688	4370981	"+"	"EG10600_RNA"
"EG10601"	"motA"	["motA", "flaJ", "b1890", "ECK1891"]	1976252	1977139	"-"	"EG10601_RNA"
"EG10602"	"motB"	["motB", "flaJ", "b1889", "ECK1890"]	1975329	1976255	"-"	"EG10602_RNA"
"EG10603"	"mprA"	["mprA", "emrR", "b2684", "ECK2678"]	2810770	2811300	"+"	"EG10603_RNA"
"EG10604"	"mraY"	["mraY", "murX", "b0087", "ECK0088"]	96002	97084	"+"	"EG10604_RNA"
"EG10605"	"mrcB"	["mrcB", "pbpF", "ponB", "b0149", "ECK0148"]	164730	167264	"+"	"EG10605_RNA"
"EG10606"	"mrdA"	["mrdA", "pbpA", "b0635", "ECK0628"]	666316	668217	"-"	"EG10606_RNA"
"EG10607"	"mrdB"	["mrdB", "rodA", "b0634", "ECK0627"]	665201	666313	"-"	"EG10607_RNA"
"EG10608"	"mreB"	["mreB", "rodY", "envB", "mon", "mreB_1", "b3251", "ECK3239"]	3400044	3401087	"-"	"EG10608_RNA"
"EG10609"	"mreC"	["mreC", "b3250", "ECK3238"]	3398875	3399978	"-"	"EG10609_RNA"
"EG10610"	"mreD"	["mreD", "b3249", "ECK3237"]	3398387	3398875	"-"	"EG10610_RNA"
"EG10611"	"mrp"	["mrp", "b2113", "ECK2106"]	2193059	2194168	"-"	"EG10611_RNA"
"EG10612"	"mrr"	["mrr", "b4351", "ECK4341"]	4586949	4587863	"+"	"EG10612_RNA"
"EG10613"	"msbA"	["msbA", "b0914", "ECK0905"]	966621	968369	"+"	"EG10613_RNA"
"EG10614"	"lpxM"	["lpxM", "mlt", "waaN", "msbB", "b1855", "ECK1856"]	1939222	1940193	"-"	"EG10614_RNA"
"EG10615"	"mtlA"	["mtlA", "mtlC", "b3599", "ECK3588"]	3772281	3774194	"+"	"EG10615_RNA"
"EG10616"	"mtlD"	["mtlD", "b3600", "ECK3589"]	3774424	3775572	"+"	"EG10616_RNA"
"EG10617"	"mtr"	["mtr", "b3161", "ECK3149"]	3304573	3305817	"-"	"EG10617_RNA"
"EG10618"	"mukB"	["mukB", "b0924", "ECK0915"]	976326	980786	"+"	"EG10618_RNA"
"EG10619"	"murC"	["murC", "b0091", "ECK0092"]	100765	102240	"+"	"EG10619_RNA"
"EG10620"	"murD"	["murD", "b0088", "ECK0089"]	97087	98403	"+"	"EG10620_RNA"
"EG10621"	"murE"	["murE", "b0085", "ECK0086"]	93166	94653	"+"	"EG10621_RNA"
"EG10622"	"murF"	["murF", "mra", "b0086", "ECK0087"]	94650	96008	"+"	"EG10622_RNA"
"EG10623"	"murG"	["murG", "b0090", "ECK0091"]	99644	100711	"+"	"EG10623_RNA"
"EG10624"	"mutH"	["mutH", "mutR", "prv", "b2831", "ECK2827"]	2969662	2970351	"+"	"EG10624_RNA"
"EG10625"	"mutS"	["mutS", "ant", "plm", "fdv", "b2733", "ECK2728"]	2857093	2859654	"+"	"EG10625_RNA"
"EG10626"	"mutT"	["mutT", "nudA", "b0099", "ECK0100"]	111044	111433	"+"	"EG10626_RNA"
"EG10627"	"mutY"	["mutY", "micA", "b2961", "ECK2956"]	3103013	3104065	"+"	"EG10627_RNA"
"EG10628"	"fpr"	["fpr", "flxR", "mvrA", "b3924", "ECK3916"]	4113726	4114472	"-"	"EG10628_RNA"
"EG10629"	"emrE"	["emrE", "eb", "mvrC", "b0543", "ECK0534"]	568315	568647	"+"	"EG10629_RNA"
"EG10630"	"nadA"	["nadA", "nicA", "b0750", "ECK0739"]	782085	783128	"+"	"EG10630_RNA"
"EG10631"	"nadB"	["nadB", "nic", "nicB", "b2574", "ECK2572"]	2710420	2712042	"+"	"EG10631_RNA"
"EG10632"	"nagA"	["nagA", "b0677", "ECK0665"]	701603	702751	"-"	"EG10632_RNA"
"EG10633"	"nagB"	["nagB", "glmD", "b0678", "ECK0666"]	702811	703611	"-"	"EG10633_RNA"
"EG10634"	"umpH"	["umpH", "nagD", "b0675", "ECK0663"]	699574	700326	"-"	"EG10634_RNA"
"EG10635"	"nagE"	["nagE", "pstN", "ptsN", "b0679", "ECK0667"]	703944	705890	"+"	"EG10635_RNA"
"EG10636"	"nagC"	["nagC", "nagR", "b0676", "ECK0664"]	700374	701594	"-"	"EG10636_RNA"
"EG10637"	"nanA"	["nanA", "npl", "b3225", "ECK3214"]	3372683	3373576	"-"	"EG10637_RNA"
"EG10638"	"narG"	["narG", "chlC", "narC", "b1224", "ECK1218"]	1279864	1283607	"+"	"EG10638_RNA"
"EG10639"	"narH"	["narH", "chlC", "b1225", "ECK1219"]	1283604	1285142	"+"	"EG10639_RNA"
"EG10640"	"narI"	["narI", "chlI", "b1227", "ECK1221"]	1285849	1286526	"+"	"EG10640_RNA"
"EG10641"	"narJ"	["narJ", "b1226", "ECK1220"]	1285139	1285849	"+"	"EG10641_RNA"
"EG10642"	"narK"	["narK", "b1223", "ECK1217"]	1277957	1279348	"+"	"EG10642_RNA"
"EG10643"	"narL"	["narL", "frdR", "narR", "b1221", "ECK1215"]	1275179	1275829	"-"	"EG10643_RNA"
"EG10644"	"narV"	["narV", "chlZ", "b1465", "ECK1459"]	1535937	1536617	"-"	"EG10644_RNA"
"EG10645"	"narW"	["narW", "chlZ", "b1466", "ECK1460"]	1536614	1537309	"-"	"EG10645_RNA"
"EG10646"	"narX"	["narX", "frdR", "narR", "frd1", "b1222", "ECK1216"]	1275822	1277618	"-"	"EG10646_RNA"
"EG10647"	"narY"	["narY", "chlZ", "b1467", "ECK1461"]	1537309	1538853	"-"	"EG10647_RNA"
"EG10648"	"narZ"	["narZ", "chlZ", "b1468", "ECK1462"]	1538850	1542590	"-"	"EG10648_RNA"
"EG10649"	"ndh"	["ndh", "b1109", "ECK1095"]	1166085	1167389	"+"	"EG10649_RNA"
"EG10650"	"ndk"	["ndk", "b2518", "ECK2514"]	2644433	2644864	"-"	"EG10650_RNA"
"EG10651"	"nfo"	["nfo", "b2159", "ECK2152"]	2250840	2251697	"+"	"EG10651_RNA"
"EG10652"	"nhaA"	["nhaA", "ant", "antA", "b0019", "ECK0020"]	17489	18655	"+"	"EG10652_RNA"
"EG10653"	"nirB"	["nirB", "b3365", "ECK3353"]	3494011	3496554	"+"	"EG10653_RNA"
"EG10654"	"nirC"	["nirC", "b3367", "ECK3355"]	3497003	3497809	"+"	"EG10654_RNA"
"EG10655"	"nirD"	["nirD", "b3366", "ECK3354"]	3496551	3496877	"+"	"EG10655_RNA"
"EG10656"	"sfsB"	["sfsB", "nlp", "sfs7", "b3188", "ECK3177"]	3334909	3335187	"+"	"EG10656_RNA"
"EG10657"	"nlpA"	["nlpA", "b3661", "ECK3651"]	3839175	3839993	"-"	"EG10657_RNA"
"EG10658"	"bamC"	["bamC", "dapX", "nlpB", "b2477", "ECK2473"]	2597831	2598865	"-"	"EG10658_RNA"
"EG10659"	"nmpC"	["nmpC", "phmA", "b0553", "ECK0544"]	null	null	"-"	"EG10659_RNA"
"EG10660"	"nrdA"	["nrdA", "dnaF", "b2234", "ECK2226"]	2344865	2347150	"+"	"EG10660_RNA"
"EG10661"	"nrdB"	["nrdB", "ftsB", "b2235", "ECK2227"]	2347384	2348514	"+"	"EG10661_RNA"
"EG10662"	"nth"	["nth", "b1633", "ECK1629"]	1711523	1712158	"+"	"EG10662_RNA"
"EG10663"	"nadE"	["nadE", "efg", "ntrL", "b1740", "ECK1738"]	1822458	1823285	"+"	"EG10663_RNA"
"EG10664"	"nupG"	["nupG", "b2964", "ECK2959"]	3105714	3106970	"+"	"EG10664_RNA"
"EG10665"	"nusA"	["nusA", "b3169", "ECK3158"]	3316039	3317526	"-"	"EG10665_RNA"
"EG10666"	"nusB"	["nusB", "groNB", "ssaD", "ssyB", "b0416", "ECK0410"]	435137	435556	"+"	"EG10666_RNA"
"EG10667"	"nusG"	["nusG", "b3982", "ECK3973"]	4177743	4178288	"+"	"EG10667_RNA"
"EG10668"	"ogt"	["ogt", "b1335", "ECK1331"]	1399721	1400236	"-"	"EG10668_RNA"
"EG10669"	"ompA"	["ompA", "con", "tolG", "tut", "b0957", "ECK0948"]	1019013	1020053	"-"	"EG10669_RNA"
"EG10670"	"ompC"	["ompC", "meoA", "par", "b2215", "ECK2207"]	2311646	2312749	"-"	"EG10670_RNA"
"EG10671"	"ompF"	["ompF", "nfxB", "tolF", "cmlB", "cry", "b0929", "ECK0920"]	985894	986982	"-"	"EG10671_RNA"
"EG10672"	"ompR"	["ompR", "cry", "kmt", "ompB", "b3405", "ECK3392"]	3535865	3536584	"-"	"EG10672_RNA"
"EG10673"	"ompT"	["ompT", "b0565", "ECK0557"]	584680	585633	"-"	"EG10673_RNA"
"EG10674"	"oppA"	["oppA", "b1243", "ECK1237"]	1301182	1302813	"+"	"EG10674_RNA"
"EG10675"	"oppB"	["oppB", "b1244", "ECK1238"]	1302899	1303819	"+"	"EG10675_RNA"
"EG10676"	"oppC"	["oppC", "b1245", "ECK1239"]	1303834	1304742	"+"	"EG10676_RNA"
"EG10677"	"oppD"	["oppD", "b1246", "ECK1240"]	1304754	1305767	"+"	"EG10677_RNA"
"EG10678"	"oppF"	["oppF", "b1247", "ECK1241"]	1305764	1306768	"+"	"EG10678_RNA"
"EG10679"	"osmB"	["osmB", "b1283", "ECK1278"]	1343110	1343328	"-"	"EG10679_RNA"
"EG10680"	"osmC"	["osmC", "b1482", "ECK1476"]	1556625	1557056	"+"	"EG10680_RNA"
"EG10681"	"oxyR"	["oxyR", "momR", "mor", "b3961", "ECK3953"]	4158490	4159407	"+"	"EG10681_RNA"
"EG10682"	"pabA"	["pabA", "b3360", "ECK3348"]	3490266	3490829	"-"	"EG10682_RNA"
"EG10683"	"pabB"	["pabB", "b1812", "ECK1810"]	1894805	1896166	"+"	"EG10683_RNA"
"EG10684"	"pal"	["pal", "excC", "b0741", "ECK0730"]	779067	779588	"+"	"EG10684_RNA"
"EG10685"	"panF"	["panF", "b3258", "ECK3245"]	3407607	3409058	"+"	"EG10685_RNA"
"EG10686"	"parC"	["parC", "b3019", "ECK3010"]	3163715	3165973	"-"	"EG10686_RNA"
"EG10687"	"parE"	["parE", "nfxD", "b3030", "ECK3021"]	3173504	3175396	"-"	"EG10687_RNA"
"EG10688"	"pck"	["pck", "pckA", "b3403", "ECK3390"]	3532818	3534440	"+"	"EG10688_RNA"
"EG10689"	"pcm"	["pcm", "b2743", "ECK2738"]	2868893	2869519	"-"	"EG10689_RNA"
"EG10690"	"pcnB"	["pcnB", "b0143", "ECK0142"]	157729	159126	"-"	"EG10690_RNA"
"EG10691"	"pdxA"	["pdxA", "b0052", "ECK0053"]	52427	53416	"-"	"EG10691_RNA"
"EG10693"	"pdxJ"	["pdxJ", "b2564", "ECK2562"]	2700998	2701729	"-"	"EG10693_RNA"
"EG10694"	"pepA"	["pepA", "carP", "xerB", "b4260", "ECK4253"]	4484440	4485951	"-"	"EG10694_RNA"
"EG10695"	"pepD"	["pepD", "pepH", "b0237", "ECK0238"]	254259	255716	"-"	"EG10695_RNA"
"EG10696"	"pepN"	["pepN", "b0932", "ECK0923"]	990622	993234	"+"	"EG10696_RNA"
"EG10697"	"pepP"	["pepP", "b2908", "ECK2903"]	3053515	3054840	"-"	"EG10697_RNA"
"EG10698"	"pepQ"	["pepQ", "b3847", "ECK3839"]	4031161	4032492	"+"	"EG10698_RNA"
"EG10699"	"pfkA"	["pfkA", "b3916", "ECK3908"]	4107552	4108514	"+"	"EG10699_RNA"
"EG10700"	"pfkB"	["pfkB", "b1723", "ECK1721"]	1806370	1807299	"+"	"EG10700_RNA"
"EG10701"	"pflB"	["pflB", "pfl", "b0903", "ECK0894"]	951272	953554	"-"	"EG10701_RNA"
"EG10702"	"pgi"	["pgi", "b4025", "ECK4017"]	4233758	4235407	"+"	"EG10702_RNA"
"EG10703"	"pgk"	["pgk", "b2926", "ECK2922"]	3071459	3072622	"-"	"EG10703_RNA"
"EG10704"	"pgpA"	["pgpA", "yajN", "b0418", "ECK0412"]	436589	437107	"+"	"EG10704_RNA"
"EG10705"	"pgpB"	["pgpB", "b1278", "ECK1273"]	1339330	1340094	"+"	"EG10705_RNA"
"EG10706"	"pgsA"	["pgsA", "b1912", "ECK1911"]	1992269	1992817	"-"	"EG10706_RNA"
"EG10707"	"pheA"	["pheA", "b2599", "ECK2596"]	2737745	2738905	"+"	"EG10707_RNA"
"EG10708"	"pheP"	["pheP", "b0576", "ECK0568"]	601959	603335	"+"	"EG10708_RNA"
"EG10709"	"pheS"	["pheS", "phe-act", "b1714", "ECK1712"]	1797959	1798942	"-"	"EG10709_RNA"
"EG10710"	"pheT"	["pheT", "b1713", "ECK1711"]	1795557	1797944	"-"	"EG10710_RNA"
"EG10711"	"yjdM"	["yjdM", "phnA", "b4108", "ECK4101"]	4326399	4326734	"-"	"EG10711_RNA"
"EG10712"	"yjdN"	["yjdN", "phnB", "b4107", "ECK4100"]	4325298	4325741	"-"	"EG10712_RNA"
"EG10713"	"phnC"	["phnC", "b4106", "ECK4099"]	4324377	4325165	"-"	"EG10713_RNA"
"EG10714"	"phnD"	["phnD", "phn", "psiD", "b4105", "ECK4098"]	4323336	4324352	"-"	"EG10714_RNA"
"EG10715"	"phnF"	["phnF", "b4102", "ECK4095"]	4321697	4322422	"-"	"EG10715_RNA"
"EG10716"	"phnG"	["phnG", "b4101", "ECK4094"]	4321244	4321696	"-"	"EG10716_RNA"
"EG10717"	"phnH"	["phnH", "b4100", "ECK4093"]	4320663	4321247	"-"	"EG10717_RNA"
"EG10718"	"phnI"	["phnI", "b4099", "ECK4092"]	4319599	4320663	"-"	"EG10718_RNA"
"EG10719"	"phnJ"	["phnJ", "b4098", "ECK4091"]	4318761	4319606	"-"	"EG10719_RNA"
"EG10720"	"phnK"	["phnK", "b4097", "ECK4090"]	4318006	4318764	"-"	"EG10720_RNA"
"EG10721"	"phnL"	["phnL", "b4096", "ECK4089"]	4317215	4317895	"-"	"EG10721_RNA"
"EG10722"	"phnM"	["phnM", "b4095", "ECK4088"]	4316082	4317218	"-"	"EG10722_RNA"
"EG10723"	"phnN"	["phnN", "b4094", "ECK4087"]	4315525	4316082	"-"	"EG10723_RNA"
"EG10724"	"phnO"	["phnO", "b4093", "ECK4086"]	4315104	4315538	"-"	"EG10724_RNA"
"EG10725"	"phnP"	["phnP", "b4092", "ECK4085"]	4314344	4315102	"-"	"EG10725_RNA"
"EG10727"	"phoA"	["phoA", "psiA", "b0383", "ECK0378"]	401747	403162	"+"	"EG10727_RNA"
"EG10728"	"phoB"	["phoB", "phoRc", "phoT", "b0399", "ECK0393"]	417142	417831	"+"	"EG10728_RNA"
"EG10729"	"phoE"	["phoE", "ompE", "b0241", "ECK0242"]	259045	260100	"-"	"EG10729_RNA"
"EG10730"	"creC"	["creC", "phoM", "b4399", "ECK4391"]	4636696	4638120	"+"	"EG10730_RNA"
"EG10731"	"phoP"	["phoP", "b1130", "ECK1116"]	1189776	1190447	"-"	"EG10731_RNA"
"EG10732"	"phoQ"	["phoQ", "b1129", "ECK1115"]	1188316	1189776	"-"	"EG10732_RNA"
"EG10733"	"phoR"	["phoR", "R1pho", "phoR1", "nmpB", "b0400", "ECK0394"]	417889	419184	"+"	"EG10733_RNA"
"EG10734"	"pstS"	["pstS", "R2pho", "T", "nmpA", "phoR2a", "phoS", "b3728", "ECK3721"]	3910485	3911525	"-"	"EG10734_RNA"
"EG10735"	"phoU"	["phoU", "phoT", "pst", "b3724", "ECK3717"]	3906853	3907578	"-"	"EG10735_RNA"
"EG10736"	"phr"	["phr", "phrB", "b0708", "ECK0697"]	739507	740925	"+"	"EG10736_RNA"
"EG10737"	"pinE"	["pinE", "pin", "b1158", "ECK1144"]	1209685	1210239	"+"	"EG10737_RNA"
"EG10738"	"pldA"	["pldA", "b3821", "ECK3815"]	4004862	4005731	"+"	"EG10738_RNA"
"EG10739"	"pldB"	["pldB", "b3825", "ECK3819"]	4009170	4010192	"+"	"EG10739_RNA"
"EG10740"	"plsB"	["plsB", "b4041", "ECK4033"]	4254043	4256466	"-"	"EG10740_RNA"
"EG10741"	"tldE"	["tldE", "mcb", "pmbA", "b4235", "ECK4230"]	4457959	4459311	"+"	"EG10741_RNA"
"EG10742"	"pncB"	["pncB", "b0931", "ECK0922"]	989154	990356	"-"	"EG10742_RNA"
"EG10743"	"pnp"	["pnp", "bfl", "b3164", "ECK3152"]	3309033	3311168	"-"	"EG10743_RNA"
"EG10744"	"pntA"	["pntA", "b1603", "ECK1598"]	1676371	1677903	"-"	"EG10744_RNA"
"EG10745"	"pntB"	["pntB", "b1602", "ECK1597"]	1674972	1676360	"-"	"EG10745_RNA"
"EG10746"	"polA"	["polA", "resA", "b3863", "ECK3855"]	4046966	4049752	"+"	"EG10746_RNA"
"EG10747"	"polB"	["polB", "dinA", "b0060", "ECK0061"]	63429	65780	"-"	"EG10747_RNA"
"EG10748"	"mrcA"	["mrcA", "ponA", "b3396", "ECK3383"]	3522871	3525423	"+"	"EG10748_RNA"
"EG10749"	"potA"	["potA", "b1126", "ECK1112"]	1184458	1185594	"-"	"EG10749_RNA"
"EG10750"	"potB"	["potB", "b1125", "ECK1111"]	1183617	1184444	"-"	"EG10750_RNA"
"EG10751"	"potC"	["potC", "b1124", "ECK1110"]	1182826	1183620	"-"	"EG10751_RNA"
"EG10752"	"potD"	["potD", "b1123", "ECK1109"]	1181783	1182829	"-"	"EG10752_RNA"
"EG10753"	"potE"	["potE", "b0692", "ECK0680"]	716946	718265	"-"	"EG10753_RNA"
"EG10754"	"poxB"	["poxB", "b0871", "ECK0862"]	909331	911049	"-"	"EG10754_RNA"
"EG10755"	"ppa"	["ppa", "b4226", "ECK4222"]	4449122	4449652	"-"	"EG10755_RNA"
"EG10756"	"ppc"	["ppc", "asp", "glu", "b3956", "ECK3947"]	4150447	4153098	"-"	"EG10756_RNA"
"EG10757"	"ppiA"	["ppiA", "rot", "rotA", "b3363", "ECK3351"]	3491725	3492297	"-"	"EG10757_RNA"
"EG10758"	"ppiB"	["ppiB", "b0525", "ECK0518"]	553943	554437	"-"	"EG10758_RNA"
"EG10759"	"ppsA"	["ppsA", "pps", "b1702", "ECK1700"]	1784734	1787112	"-"	"EG10759_RNA"
"EG10760"	"prc"	["prc", "tsp", "b1830", "ECK1829"]	1912768	1914816	"-"	"EG10760_RNA"
"EG10761"	"prfA"	["prfA", "ups?", "sueB", "uar", "b1211", "ECK1199"]	1265012	1266094	"+"	"EG10761_RNA"
"EG10762"	"prfB"	["prfB", "supK", "b2891", "ECK2886"]	3035184	3036282	"-"	"EG10762_RNA"
"EG10763"	"priA"	["priA", "srgA", "b3935", "ECK3927"]	4124612	4126810	"-"	"EG10763_RNA"
"EG10764"	"priB"	["priB", "b4201", "ECK4197"]	4425520	4425834	"+"	"EG10764_RNA"
"EG10765"	"priC"	["priC", "b0467", "ECK0461"]	490285	490812	"-"	"EG10765_RNA"
"EG10766"	"secY"	["secY", "prlA", "b3300", "ECK3287"]	3442766	3444097	"-"	"EG10766_RNA"
"EG10767"	"proA"	["proA", "pro(1)", "pro1", "b0243", "ECK0244"]	261503	262756	"+"	"EG10767_RNA"
"EG10768"	"proB"	["proB", "pro(2)", "pro2", "b0242", "ECK0243"]	260388	261491	"+"	"EG10768_RNA"
"EG10769"	"proC"	["proC", "pro(3)", "Pro2", "pro3", "b0386", "ECK0381"]	404835	405644	"-"	"EG10769_RNA"
"EG10770"	"proS"	["proS", "drp", "drpA", "b0194", "ECK0194"]	217057	218775	"-"	"EG10770_RNA"
"EG10771"	"proV"	["proV", "osrA", "proU", "b2677", "ECK2671"]	2804815	2806017	"+"	"EG10771_RNA"
"EG10772"	"proW"	["proW", "osrA", "proU", "b2678", "ECK2672"]	2806010	2807074	"+"	"EG10772_RNA"
"EG10773"	"proX"	["proX", "osrA", "proU", "b2679", "ECK2673"]	2807132	2808124	"+"	"EG10773_RNA"
"EG10774"	"prs"	["prs", "dnaR", "prsA", "b1207", "ECK1195"]	1260928	1261875	"-"	"EG10774_RNA"
"EG10775"	"psd"	["psd", "b4160", "ECK4156"]	4389392	4390360	"-"	"EG10775_RNA"
"EG10776"	"pspA"	["pspA", "cog", "b1304", "ECK1299"]	1368079	1368747	"+"	"EG10776_RNA"
"EG10777"	"pspB"	["pspB", "b1305", "ECK1300"]	1368801	1369025	"+"	"EG10777_RNA"
"EG10778"	"pspC"	["pspC", "b1306", "ECK1301"]	1369025	1369384	"+"	"EG10778_RNA"
"EG10779"	"pspD"	["pspD", "b1307", "ECK1302"]	1369393	1369614	"+"	"EG10779_RNA"
"EG10780"	"pspE"	["pspE", "b1308", "ECK1303"]	1369689	1370003	"+"	"EG10780_RNA"
"EG10781"	"pssA"	["pssA", "pss", "b2585", "ECK2583"]	2722727	2724082	"+"	"EG10781_RNA"
"EG10782"	"pstA"	["pstA", "R2pho", "phoR2", "phoR2b", "phoT", "b3726", "ECK3719"]	3908549	3909439	"-"	"EG10782_RNA"
"EG10783"	"pstB"	["pstB", "phoT", "b3725", "ECK3718"]	3907593	3908366	"-"	"EG10783_RNA"
"EG10784"	"pstC"	["pstC", "phoW", "b3727", "ECK3720"]	3909439	3910398	"-"	"EG10784_RNA"
"EG10785"	"pth"	["pth", "rap", "b1204", "ECK1192"]	1257929	1258513	"-"	"EG10785_RNA"
"EG10786"	"ptrA"	["ptrA", "ptr", "b2821", "ECK2817"]	2955996	2958884	"-"	"EG10786_RNA"
"EG10787"	"ptsG"	["ptsG", "umgC", "umg", "tgl", "CR", "car", "cat", "catB2", "glcA", "gptA", "b1101", "ECK1087"]	1157869	1159302	"+"	"EG10787_RNA"
"EG10788"	"ptsH"	["ptsH", "ctr", "hpr", "b2415", "ECK2410"]	2533764	2534021	"+"	"EG10788_RNA"
"EG10789"	"ptsI"	["ptsI", "ctr", "b2416", "ECK2411"]	2534066	2535793	"+"	"EG10789_RNA"
"EG10790"	"purA"	["purA", "adeK", "b4177", "ECK4173"]	4404687	4405985	"+"	"EG10790_RNA"
"EG10791"	"purC"	["purC", "ade(g)", "ade", "b2476", "ECK2472"]	2596905	2597618	"-"	"EG10791_RNA"
"EG10792"	"purD"	["purD", "adth(a)", "adth", "b4005", "ECK3997"]	4204642	4205931	"-"	"EG10792_RNA"
"EG10793"	"purE"	["purE", "ade(f)", "Pur2", "ade3", "ade", "b0523", "ECK0516"]	552591	553100	"-"	"EG10793_RNA"
"EG10794"	"purF"	["purF", "ade(ub)", "ade", "purC", "b2312", "ECK2306"]	2428721	2430238	"-"	"EG10794_RNA"
"EG10795"	"purH"	["purH", "b4006", "ECK3998"]	4205943	4207532	"-"	"EG10795_RNA"
"EG10796"	"purK"	["purK", "purE2", "b0522", "ECK0515"]	551527	552594	"-"	"EG10796_RNA"
"EG10797"	"purL"	["purL", "purI", "b2557", "ECK2555"]	2691656	2695543	"-"	"EG10797_RNA"
"EG10798"	"purM"	["purM", "purG", "purI", "b2499", "ECK2495"]	2621197	2622234	"+"	"EG10798_RNA"
"EG10799"	"purN"	["purN", "ade(c)", "ade", "b2500", "ECK2496"]	2622234	2622872	"+"	"EG10799_RNA"
"EG10800"	"purR"	["purR", "b1658", "ECK1654"]	1737844	1738869	"+"	"EG10800_RNA"
"EG10801"	"putA"	["putA", "putC", "poaA", "b1014", "ECK1005"]	1074920	1078882	"-"	"EG10801_RNA"
"EG10802"	"putP"	["putP", "putC", "b1015", "ECK1006"]	1079305	1080813	"+"	"EG10802_RNA"
"EG10803"	"pykA"	["pykA", "b1854", "ECK1855"]	1937649	1939091	"+"	"EG10803_RNA"
"EG10804"	"pykF"	["pykF", "b1676", "ECK1672"]	1755698	1757110	"+"	"EG10804_RNA"
"EG10805"	"pyrB"	["pyrB", "b4245", "ECK4240"]	4471460	4472395	"-"	"EG10805_RNA"
"EG10806"	"pyrC"	["pyrC", "b1062", "ECK1047"]	1121561	1122607	"-"	"EG10806_RNA"
"EG10807"	"pyrD"	["pyrD", "b0945", "ECK0936"]	1004768	1005778	"+"	"EG10807_RNA"
"EG10808"	"pyrE"	["pyrE", "b3642", "ECK3632"]	3815127	3815768	"-"	"EG10808_RNA"
"EG10809"	"pyrF"	["pyrF", "b1281", "ECK1276"]	1341921	1342658	"+"	"EG10809_RNA"
"EG10810"	"pyrG"	["pyrG", "b2780", "ECK2774"]	2908029	2909666	"-"	"EG10810_RNA"
"EG10811"	"pyrI"	["pyrI", "b4244", "ECK4239"]	4470986	4471447	"-"	"EG10811_RNA"
"EG10812"	"queA"	["queA", "tsaA", "b0405", "ECK0399"]	425011	426081	"+"	"EG10812_RNA"
"EG10813"	"racC"	["racC", "sbcA", "b1351", "ECK1348"]	1417488	1417763	"-"	"EG10813_RNA"
"EG10814"	"rbsA"	["rbsA", "rbsT", "rbsP", "b3749", "ECK3743"]	3933778	3935283	"+"	"EG10814_RNA"
"EG10815"	"rbsB"	["rbsB", "prlB", "rbsP", "b3751", "ECK3745"]	3936278	3937168	"+"	"EG10815_RNA"
"EG10816"	"rbsC"	["rbsC", "rbsP", "rbsT", "b3750", "ECK3744"]	3935288	3936253	"+"	"EG10816_RNA"
"EG10817"	"rbsD"	["rbsD", "rbsP", "b3748", "ECK3742"]	3933351	3933770	"+"	"EG10817_RNA"
"EG10818"	"rbsK"	["rbsK", "b3752", "ECK3746"]	3937294	3938223	"+"	"EG10818_RNA"
"EG10819"	"rbsR"	["rbsR", "b3753", "ECK3747"]	3938227	3939219	"+"	"EG10819_RNA"
"EG10820"	"rcsA"	["rcsA", "cpsR", "b1951", "ECK1949"]	2023968	2024591	"+"	"EG10820_RNA"
"EG10821"	"rcsB"	["rcsB", "b2217", "ECK2210"]	2316177	2316827	"+"	"EG10821_RNA"
"EG10822"	"rcsC"	["rcsC", "b2218", "ECK2211"]	2317027	2319876	"-"	"EG10822_RNA"
"EG10823"	"recA"	["recA", "zab", "umuB", "tif", "lexB", "recH", "rnmB", "srf", "b2699", "ECK2694"]	2822708	2823769	"-"	"EG10823_RNA"
"EG10824"	"recB"	["recB", "ior", "rorA", "b2820", "ECK2816"]	2952461	2956003	"-"	"EG10824_RNA"
"EG10825"	"recC"	["recC", "b2822", "ECK2818"]	2959060	2962428	"-"	"EG10825_RNA"
