"id"	"stoichiometry"	"common_name"	
"CPLX-165_RXN"	{"CPLX-165":1,"MANZ-MONOMER":-3,"MANY-MONOMER":-3,"MANX-MONOMER":-1}	"mannose-specific PTS enzyme II"	
"CPLX-166_RXN"	{"CPLX-166":1,"MTLA-MONOMER":-2}	"mannitol-specific PTS enzyme II"	
"CPLX-167_RXN"	{"CPLX-167":1,"NAGE-MONOMER":-2}	"N-acetylglucosamine-specific PTS enzyme II"	
"CPLX-168_RXN"	{"CPLX-168":1,"TREB-MONOMER":-2,"CRR-MONOMER":-1}	"trehalose-specific PTS enzyme II"	
"CPLX-169_RXN"	{"CPLX-169":1,"G8210-MONOMER":-1,"GUTB-MONOMER":-1,"GUTA-MONOMER":-1}	"sorbitol-specific PTS enzyme II"	
"CPLX-170_RXN"	{"CPLX-170":1,"AGAB-MONOMER":-1,"AGAC-MONOMER":-1,"AGAD-MONOMER":-1}	"galactosamine-specific PTS enzyme II (cryptic)"	
"CPLX-171_RXN"	{"CPLX-171":1,"G6277-MONOMER":-2}	null	
"CPLX-3942_RXN"	{"CPLX-3942":1,"G7712-MONOMER":-2,"G7713-MONOMER":-2,"G7714-MONOMER":-2}	"sulfurtransferase complex TusBCD"	
"CPLX-3945_RXN"	{"CPLX-3945":1,"G6544-MONOMER":-9,"G6543-MONOMER":-9}	null	
"CPLX-3946_RXN"	{"CPLX-3946":1,"EG11072-MONOMER":-1,"EG11098-MONOMER":-4}	"exodeoxyribonuclease VII"	
"CPLX-64_RXN"	{"CPLX-64":1,"G6281-MONOMER":-4}	null	
"CPLX-722_RXN"	{"CPLX-722":1,"APPA-MONOMER":-2}	"periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase"	
"CPLX-7524_RXN"	{"CPLX-7524":1,"G6285-MONOMER":-2}	"allantoate amidohydrolase"	
"CPLX-7_RXN"	{"CPLX-7":1,"ARSF-MONOMER":-2}	"arsenite/antimonite:H<sup>+</sup> antiporter"	
"CPLX-8331_RXN"	{"CPLX-8331":1,"EG11666-MONOMER":-6}	"cyclic pyranopterin monophosphate synthase"	
"CPLX-8401_RXN"	{"CPLX-8401":1,"G7463-MONOMER":-6}	"5-dehydro-4-deoxy-<small>D</small>-glucuronate isomerase"	
"CPLX-9493_RXN"	{"CPLX-9493":1,"CCMB-MONOMER":-1,"CCMA-MONOMER":-2}	"CcmAB"	
"CPLX-9494_RXN"	{"CPLX-9494":1,"EG12052-MONOMER":-1,"EG12054-MONOMER":-1}	"holocytochrome <I>c</I> synthase complex"	
"CPLX-9495_RXN"	{"CPLX-9495":1,"EG12169-MONOMER":-1,"CCMC-MONOMER":-1,"CCMB-MONOMER":-1,"CCMA-MONOMER":-2}	"CcmABCD release complex"	
"CPLX0-0_RXN"	{"CPLX0-0":1,"EG10244-MONOMER":-3}	"primosomal protein DnaT"	
"CPLX0-1021_RXN"	{"CPLX0-1021":1,"G6196-MONOMER":-4}	"2-methylisocitrate lyase"	
"CPLX0-1101_RXN"	{"CPLX0-1101":1,"EG10996-MONOMER":-3}	"tRNA-guanine transglycosylase"	
"CPLX0-1121_RXN"	{"CPLX0-1121":1,"G7845-MONOMER":-2}	"23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase"	
"CPLX0-1141_RXN"	{"CPLX0-1141":1,"EG10941-MONOMER":-10}	"selenocysteine synthase"	
"CPLX0-1142_RXN"	{"CPLX0-1142":1,"G7237-MONOMER":-2}	"formyl-CoA transferase"	
"CPLX0-1161_RXN"	{"CPLX0-1161":1,"EG11881-MONOMER":-6}	"HslU hexamer"	
"CPLX0-1162_RXN"	{"CPLX0-1162":1,"EG11676-MONOMER":-6}	"HslV hexamer"	
"CPLX0-1163_RXN"	{"CPLX0-1163":1,"CPLX0-1161":-2,"CPLX0-1162":-2}	"HslVU protease"	
"CPLX0-1221_RXN"	{"CPLX0-1221":1,"G7740-MONOMER":-2}	"ADP-sugar diphosphatase NudE"	
"CPLX0-1241_RXN"	{"CPLX0-1241":1,"EG11249-MONOMER":-2}	"MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity"	
"CPLX0-1242_RXN"	{"CPLX0-1242":1,"CPLX0-1241":-2,"CPLX0-841":-1}	"MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor"	
"CPLX0-1261_RXN"	{"CPLX0-1261":1,"TRANSKETOII-MONOMER":null}	"transketolase 2"	
"CPLX0-1262_RXN"	{"CPLX0-1262":1,"G7662-MONOMER":-4}	"D-arabinose 5-phosphate isomerase KdsD"	
"CPLX0-1321_RXN"	{"CPLX0-1321":1,"EG10436-MONOMER":-1,"EG10435-MONOMER":-1}	"HflK-HflC complex; regulator of FtsH protease"	
"CPLX0-1341_RXN"	{"CPLX0-1341":1,"G6909-MONOMER":-1,"G6908-MONOMER":-2,"G6907-MONOMER":-1}	"SufBC<sub>2</sub>D Fe-S cluster scaffold complex"	
"CPLX0-1401_RXN"	{"CPLX0-1401":1,"G7490-MONOMER":-2}	null	
"CPLX0-1421_RXN"	{"CPLX0-1421":1,"EG10113-MONOMER":-24}	"bacterioferritin"	
"CPLX0-1441_RXN"	{"CPLX0-1441":1,"EG10255-MONOMER":-2}	"serine protease inhibitor ecotin"	
"CPLX0-1461_RXN"	{"CPLX0-1461":1,"EG10438-MONOMER":-6}	"RNA-binding protein Hfq"	
"CPLX0-1521_RXN"	{"CPLX0-1521":1,"EG11415-MONOMER":-12}	"stationary phase nucleoid component that sequesters iron and protects DNA from damage"	
"CPLX0-1541_RXN"	{"CPLX0-1541":1,"EG11090-MONOMER":-2}	"5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase"	
"CPLX0-1601_RXN"	{"CPLX0-1601":1,"G6845-MONOMER":-1,"G6846-MONOMER":-1,"G6847-MONOMER":-1,"G6848-MONOMER":-1}	"selenate reductase"	
"CPLX0-1621_RXN"	{"CPLX0-1621":1,"EG11299-MONOMER":-2}	"RNase G"	
"CPLX0-1642_RXN"	{"CPLX0-1642":1,"EG11879-MONOMER":-3}	"ribonuclease E inhibitor protein A"	
"CPLX0-1668_RXN"	{"CPLX0-1668":1,"G7213-MONOMER":null,"G7212-MONOMER":null}	"anaerobic fatty acid &beta;-oxidation complex"	
"CPLX0-1683_RXN"	{"CPLX0-1683":1,"EG11692-MONOMER":-2}	"adenine deaminase"	
"CPLX0-1721_RXN"	{"CPLX0-1721":1,"G6320-MONOMER":-3,"G6322-MONOMER":-6,"G6321-MONOMER":-1,"YBDE-MONOMER":-3}	"copper/silver export system"	
"CPLX0-1762_RXN"	{"CPLX0-1762":1,"G6713-MONOMER":null,"G6709-MONOMER":null,"G6711-MONOMER":null,"G6710-MONOMER":null}	"phenylacetyl-CoA 1,2-epoxidase"	
"CPLX0-1821_RXN"	{"CPLX0-1821":1,"G7842-MONOMER":-2}	"oligoribonuclease"	
"CPLX0-1841_RXN"	{"CPLX0-1841":1,"G7500-MONOMER":null,"G7499-MONOMER":null}	"predicted xanthine dehydrogenase"	
"CPLX0-1863_RXN"	{"CPLX0-1863":1,"G6379-MONOMER":-6}	"radiation resistance protein YbgI"	
"CPLX0-1881_RXN"	{"CPLX0-1881":1,"G7877-MONOMER":-3}	"enamine/imine deaminase, redox-regulated chaperone"	
"CPLX0-1923_RXN"	{"CPLX0-1923":1,"EG11012-MONOMER":null,"EG10271-MONOMER":null,"EG10272-MONOMER":null}	"energy transducing Ton complex"	
"CPLX0-1924_RXN"	{"CPLX0-1924":1,"EG10126-MONOMER":null,"CPLX0-1923":null}	"cobalamin outer membrane transport complex"	
"CPLX0-1941_RXN"	{"CPLX0-1941":1,"CPLX0-1923":null,"EG10293-MONOMER":null}	"ferric enterobactin outer membrane transport complex"	
"CPLX0-1942_RXN"	{"CPLX0-1942":1,"CPLX0-1923":null,"EG10302-MONOMER":null}	"ferrichrome outer membrane transport complex"	
"CPLX0-1943_RXN"	{"CPLX0-1943":1,"EG10286-MONOMER":null,"CPLX0-1923":null}	"ferric citrate outer membrane transport complex"	
"CPLX0-1962_RXN"	{"CPLX0-1962":1,"EG12345-MONOMER":-4}	"3-hydroxy acid dehydrogenase YdfG"	
"CPLX0-1_RXN"	{"CPLX0-1":1,"G7413-MONOMER":-4}	"reduced flavorubredoxin"	
"CPLX0-201_RXN"	{"CPLX0-201":1,"G6428-MONOMER":-10}	"fructose-6-phosphate aldolase 1"	
"CPLX0-2021_RXN"	{"CPLX0-2021":1,"EG10466-MONOMER":null,"EG10467-MONOMER":null}	"DNA-binding transcriptional dual regulator HU"	
"CPLX0-2061_RXN"	{"CPLX0-2061":1,"EG12279-MONOMER":-2}	"2,3-diketo-L-gulonate reductase"	
"CPLX0-2081_RXN"	{"CPLX0-2081":1,"G6627-MONOMER":-2,"MONOMER0-1261":-2,"CPLX0-8206":null}	"dihydroxyacetone kinase"	
"CPLX0-2121_RXN"	{"CPLX0-2121":1,"CPLX0-7964":null,"EG11354-MONOMER":null,"EMRB-MONOMER":null}	"multidrug efflux pump EmrAB-TolC"	
"CPLX0-2141_RXN"	{"CPLX0-2141":1,"CPLX0-7964":-1,"EG10266-MONOMER":-6,"ACRF-MONOMER":-3}	"multidrug efflux pump AcrEF-TolC"	
"CPLX0-2161_RXN"	{"CPLX0-2161":1,"CPLX0-7964":null,"G7233-MONOMER":null,"EMRY-MONOMER":null}	"tripartite efflux pump EmrKY-TolC"	
"CPLX0-2201_RXN"	{"CPLX0-2201":1,"EG10684-MONOMER":null,"EG11007-MONOMER":null,"EG11008-MONOMER":null,"EG11011-MONOMER":null,"EG11010-MONOMER":null}	"The Tol-Pal Cell Envelope Complex"	
"CPLX0-221_RXN"	{"CPLX0-221":1,"APORNAP-CPLX":-1,"PD00440":-1}	"RNA polymerase sigma 19"	
"CPLX0-222_RXN"	{"CPLX0-222":1,"EG11355-MONOMER":-1,"APORNAP-CPLX":-1}	"RNA polymerase sigma 28"	
"CPLX0-224_RXN"	{"CPLX0-224":1,"MONOMER0-146":-2}	"NADPH-dependent FMN reductase"	
"CPLX0-225_RXN"	{"CPLX0-225":1,"MONOMER-162":-4}	"FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase"	
"CPLX0-227_RXN"	{"CPLX0-227":1,"MONOMER0-147":-4}	"&alpha;-ketoglutarate-dependent taurine dioxygenase"	
"CPLX0-229_RXN"	{"CPLX0-229":1,"RNTRACTIV-MONOMER":-2}	"anaerobic ribonucleoside-triphosphate reductase activating protein"	
"CPLX0-230_RXN"	{"CPLX0-230":1,"ICITDEHASE-KIN-PHOSPHA":-2}	null	
"CPLX0-231_RXN"	{"CPLX0-231":1,"GATC-MONOMER":-2,"GATB-MONOMER":-1,"GATA-MONOMER":-1}	"galactitol-specific PTS enzyme II"	
"CPLX0-234_RXN"	{"CPLX0-234":1,"G7423-MONOMER":-2}	null	
"CPLX0-235_RXN"	{"CPLX0-235":1,"MONOMER-43":-2}	null	
"CPLX0-2361_RXN"	{"CPLX0-2361":1,"EG10238-MONOMER":-1,"EG10243-MONOMER":-1,"EG11505-MONOMER":-1}	"DNA polymerase III, core enzyme"	
"CPLX0-236_RXN"	{"CPLX0-236":1,"G6770-MONOMER":-2}	"arylamine <i>N</i>-acetyltransferase"	
"CPLX0-237_RXN"	{"CPLX0-237":1,"SERINE-O-ACETTRAN-MONOMER":-6}	"serine acetyltransferase"	
"CPLX0-2381_RXN"	{"CPLX0-2381":1,"PPK-CPLX":null,"CPLX0-3461":null,"CPLX0-3541":null,"CPLX0-3521":null,"ENOLASE-CPLX":null}	"degradosome"	
"CPLX0-238_RXN"	{"CPLX0-238":1,"ARGSUCCINSYN-MONOMER":-4}	null	
"CPLX0-2401_RXN"	{"CPLX0-2401":1,"TRYPSYN-BPROTEIN":-2}	"tryptophan synthase, &beta; subunit dimer"	
"CPLX0-240_RXN"	{"CPLX0-240":1,"TAGAALDOL1-MONOMER":-4}	"tagatose-1,6-bisphosphate aldolase 1"	
"CPLX0-2423_RXN"	{"CPLX0-2423":1,"EG10686-MONOMER":-2}	"dimer of DNA topoisomerase IV subunit A"	
"CPLX0-2424_RXN"	{"CPLX0-2424":1,"EG10687-MONOMER":-2,"CPLX0-2423":-1}	"DNA topoisomerase IV"	
"CPLX0-2425_RXN"	{"CPLX0-2425":1,"EG10423-MONOMER":-2,"EG10424-MONOMER":-2}	"DNA gyrase"	
"CPLX0-242_RXN"	{"CPLX0-242":1,"EG10395-MONOMER":-2}	"thiosulfate sulfurtransferase GlpE"	
"CPLX0-243_RXN"	{"CPLX0-243":1,"INORGPYROPHOSPHAT-MONOMER":-6}	"inorganic pyrophosphatase"	
"CPLX0-2441_RXN"	{"CPLX0-2441":1,"EG10845-MONOMER":-6}	"transcription termination factor Rho"	
"CPLX0-244_RXN"	{"CPLX0-244":1,"EG11261-MONOMER":-2}	null	
"CPLX0-245_RXN"	{"CPLX0-245":1,"EG11384-MONOMER":-10,"EG11385-MONOMER":-2}	"alkyl hydroperoxide reductase"	
"CPLX0-246_RXN"	{"CPLX0-246":1,"G6906-MONOMER":-2}	"L-cysteine desulfurase"	
"CPLX0-248_RXN"	{"CPLX0-248":1,"G7325-MONOMER":-2}	"cysteine desulfurase IscS"	
"CPLX0-2502_RXN"	{"CPLX0-2502":1,"EG11597-MONOMER":-2,"EG11598-MONOMER":-2}	"molybdopterin synthase"	
"CPLX0-250_RXN"	{"CPLX0-250":1,"MONOMER0-150":null,"MONOMER0-151":null,"MONOMER0-152":null,"MONOMER0-153":null,"MONOMER0-154":null,"MONOMER0-141":null,"MONOMER0-142":null,"MONOMER0-143":null,"MONOMER0-144":null}	"hydrogenase 4"	
"CPLX0-251_RXN"	{"CPLX0-251":1,"G6198-MONOMER":-2}	"2-methylcitrate synthase"	
"CPLX0-2521_RXN"	{"CPLX0-2521":1,"MONOMER0-1501":-6}	"protein MoaB"	
"CPLX0-252_RXN"	{"CPLX0-252":1,"FABH-MONOMER":-2}	"3-oxoacyl-[acyl carrier protein] synthase 3"	
"CPLX0-253_RXN"	{"CPLX0-253":1,"EG12656-MONOMER":-2}	"NADPH:quinone oxidoreductase MdaB"	
"CPLX0-2541_RXN"	{"CPLX0-2541":1,"MONOMER0-185":-2}	"DNA-binding transcriptional dual regulator ModE"	
"CPLX0-254_RXN"	{"CPLX0-254":1,"G7516-MONOMER":-6}	null	
"CPLX0-255_RXN"	{"CPLX0-255":1,"G7492-MONOMER":-4}	null	
"CPLX0-2561_RXN"	{"CPLX0-2561":1,"CPLX0-7696":null,"CPLX0-7697":null}	"bacterial condensin MukBEF"	
"CPLX0-2621_RXN"	{"CPLX0-2621":1,"MONOMER0-1564":-2}	"protein HokC"	
"CPLX0-263_RXN"	{"CPLX0-263":1,"MONOMER0-2":-2,"MONOMER0-3":-2}	"isoaspartyl dipeptidase / asparaginase III"	
"CPLX0-2641_RXN"	{"CPLX0-2641":1,"EG10461-MONOMER":-2}	"chaperone protein HtpG"	
"CPLX0-2661_RXN"	{"CPLX0-2661":1,"EG10574-MONOMER":-12,"EG10575-MONOMER":-2}	"McrBC restriction endonuclease"	
"CPLX0-2681_RXN"	{"CPLX0-2681":1,"EG10978-MONOMER":-2}	"ClpXP protease specificity-enhancing factor"	
"CPLX0-2861_RXN"	{"CPLX0-2861":1,"EG10116-MONOMER":-2}	"transcriptional antiterminator BglG"	
"CPLX0-2881_RXN"	{"CPLX0-2881":1,"EG10542-MONOMER":-6}	"Lon protease"	
"CPLX0-2901_RXN"	{"CPLX0-2901":1,"MONOMER0-1842":-4,"MONOMER0-1843":-4}	"aspartate 1-decarboxylase"	
"CPLX0-2921_RXN"	{"CPLX0-2921":1,"EG10463-MONOMER":-12}	"periplasmic serine endoprotease DegP"	
"CPLX0-2941_RXN"	{"CPLX0-2941":1,"EG10968-MONOMER":-4}	"protease IV, a signal peptide peptidase"	
"CPLX0-2982_RXN"	{"CPLX0-2982":1,"CPLX0-1321":-6,"EG11506-MONOMER":-6}	"FtsH/HflKC protease complex"	
"CPLX0-3001_RXN"	{"CPLX0-3001":1,"EG10695-MONOMER":-2}	"peptidase D"	
"CPLX0-301_RXN"	{"CPLX0-301":1,"EG11396-MONOMER":-6}	null	
"CPLX0-3021_RXN"	{"CPLX0-3021":1,"G7925-MONOMER":-8}	"isoaspartyl dipeptidase"	
"CPLX0-303_RXN"	{"CPLX0-303":1,"EG11517-MONOMER":-2}	"fructose-1,6-bisphosphatase 2"	
"CPLX0-3041_RXN"	{"CPLX0-3041":1,"EG11549-MONOMER":-2}	"peptidase T"	
"CPLX0-3061_RXN"	{"CPLX0-3061":1,"EG10694-MONOMER":-6}	"aminopeptidase A/I and DNA-binding transcriptional repressor"	
"CPLX0-3081_RXN"	{"CPLX0-3081":1,"EG10697-MONOMER":-4}	"Xaa-Pro aminopeptidase"	
"CPLX0-3101_RXN"	{"CPLX0-3101":1,"EG10158-MONOMER":-14}	"ClpP serine protease"	
"CPLX0-3102_RXN"	{"CPLX0-3102":1,"EG10159-MONOMER":-6}	"ClpX ATP-dependent protease specificity component and chaperone"	
"CPLX0-3104_RXN"	{"CPLX0-3104":1,"CPLX0-3101":-1,"CPLX0-881":-2}	"ClpAP"	
"CPLX0-3107_RXN"	{"CPLX0-3107":1,"CPLX0-3101":-1,"CPLX0-3102":-2}	"ClpXP"	
"CPLX0-3108_RXN"	{"CPLX0-3108":1,"CPLX0-3101":-1,"CPLX0-881":-1,"CPLX0-3102":-1}	"ClpAXP"	
"CPLX0-3121_RXN"	{"CPLX0-3121":1,"EG11723-MONOMER":-2}	"chromate reductase"	
"CPLX0-3141_RXN"	{"CPLX0-3141":1,"EG12657-MONOMER":-2}	"putative quinol monooxygenase YgiN"	
"CPLX0-3161_RXN"	{"CPLX0-3161":1,"MONOMER0-1981":-2}	null	
"CPLX0-3181_RXN"	{"CPLX0-3181":1,"MONOMER0-2001":-2}	null	
"CPLX0-3201_RXN"	{"CPLX0-3201":1,"EG10580-MONOMER":-2}	"peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase"	
"CPLX0-321_RXN"	{"CPLX0-321":1,"PDXJ-MONOMER":-8}	null	
"CPLX0-3221_RXN"	{"CPLX0-3221":1,"YRAO-MONOMER":-4}	"DnaA initiator-associating factor for replication initiation"	
"CPLX0-322_RXN"	{"CPLX0-322":1,"GSK-MONOMER":-2}	"inosine/guanosine kinase"	
"CPLX0-3241_RXN"	{"CPLX0-3241":1,"NAPG-MONOMER":-1,"NAPH-MONOMER":-1}	"ubiquinol&mdash;[NapC cytochrome <i>c</i>] reductase NapGH"	
"CPLX0-3281_RXN"	{"CPLX0-3281":1,"EG10857-MONOMER":-2}	"RNase III"	
"CPLX0-3301_RXN"	{"CPLX0-3301":1,"EG11111-MONOMER":-2}	"DNA replication inhibitor CspD"	
"CPLX0-3361_RXN"	{"CPLX0-3361":1,"NUOB-MONOMER":-1,"NUOC-MONOMER":-1,"NUOE-MONOMER":-1,"NUOF-MONOMER":-1,"NUOG-MONOMER":-1,"NUOI-MONOMER":-1}	"NADH:quinone oxidoreductase I, peripheral arm"	
"CPLX0-3382_RXN"	{"CPLX0-3382":1,"G7702-MONOMER":null,"G7703-MONOMER":null,"G7704-MONOMER":null,"G7705-MONOMER":null,"G7706-MONOMER":null,"G7707-MONOMER":null,"G7708-MONOMER":null,"G7709-MONOMER":null,"G7710-MONOMER":null,"G7711-MONOMER":null,"EG12173-MONOMER":null,"EG11359-MONOMER":null}	"Type II secretion system"	
"CPLX0-3401_RXN"	{"CPLX0-3401":1,"EG10308-MONOMER":null,"EG10313-MONOMER":null,"EG10314-MONOMER":null,"EG10315-MONOMER":null}	"fimbrial complex"	
"CPLX0-341_RXN"	{"CPLX0-341":1,"EG10004-MONOMER":-12}	"fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase"	
"CPLX0-3461_RXN"	{"CPLX0-3461":1,"EG10859-MONOMER":-4}	"ribonuclease E"	
"CPLX0-3482_RXN"	{"CPLX0-3482":1,"ALDDEHYDROGB-MONOMER":-4}	"aldehyde dehydrogenase B"	
"CPLX0-3501_RXN"	{"CPLX0-3501":1,"G7452-MONOMER":-2}	"7-cyano-7-deazaguanine reductase"	
"CPLX0-3521_RXN"	{"CPLX0-3521":1,"EG10743-MONOMER":-3}	"polynucleotide phosphorylase"	
"CPLX0-3541_RXN"	{"CPLX0-3541":1,"EG10844-MONOMER":-2}	"ATP-dependent RNA helicase RhlB"	
"CPLX0-3561_RXN"	{"CPLX0-3561":1,"EG10484-MONOMER":-2}	"hydrogenase isozymes nickel incorporation protein HypB"	
"CPLX0-3581_RXN"	{"CPLX0-3581":1,"EG11852-MONOMER":-2}	"D-aminoacyl-tRNA deacylase"	
"CPLX0-3601_RXN"	{"CPLX0-3601":1,"G7175-MONOMER":-2}	"ribonuclease BN"	
"CPLX0-3602_RXN"	{"CPLX0-3602":1,"EG11547-MONOMER":-2}	"RNase T"	
"CPLX0-3621_RXN"	{"CPLX0-3621":1,"EG10236-MONOMER":-6}	"replicative DNA helicase"	
"CPLX0-3641_RXN"	{"CPLX0-3641":1,"G6755-MONOMER":-4}	"&gamma;-aminobutyraldehyde dehydrogenase"	
"CPLX0-3661_RXN"	{"CPLX0-3661":1,"G7590-MONOMER":-2}	"fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase"	
"CPLX0-3681_RXN"	{"CPLX0-3681":1,"EG10838-MONOMER":-5}	null	
"CPLX0-3721_RXN"	{"CPLX0-3721":1,"EG12633-MONOMER":-2}	"ADP-sugar pyrophosphatase"	
"CPLX0-3741_RXN"	{"CPLX0-3741":1,"GLUTRNAREDUCT-MONOMER":-2}	null	
"CPLX0-3761_RXN"	{"CPLX0-3761":1,"EG10242-MONOMER":-2}	"&beta; sliding clamp"	
"CPLX0-3781_RXN"	{"CPLX0-3781":1,"MONOMER0-1041":-1,"EG12844-MONOMER":-2}	"YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor"	
"CPLX0-3801_RXN"	{"CPLX0-3801":1,"EG10245-MONOMER":-3,"EG11500-MONOMER":-1,"EG11412-MONOMER":-1}	"DNA polymerase III, preinitiation complex"	
"CPLX0-3802_RXN"	{"CPLX0-3802":1,"EG10245-MONOMER":-2}	"DNA polymerase III, &tau; subunit dimer"	
"CPLX0-3803_RXN"	{"CPLX0-3803":1,"CPLX0-2361":-3,"CPLX0-3801":-1,"CPLX0-3761":-2,"CPLX0-3802":-1,"CPLX0-7910":-4}	"DNA polymerase III, holoenzyme"	
"CPLX0-3821_RXN"	{"CPLX0-3821":1,"EG10483-MONOMER":null,"EG10484-MONOMER":null}	"HypA-HypB heterodimer"	
"CPLX0-3841_RXN"	{"CPLX0-3841":1,"EG11294-MONOMER":-2}	null	
"CPLX0-3861_RXN"	{"CPLX0-3861":1,"G7724-MONOMER":-8}	null	
"CPLX0-3881_RXN"	{"CPLX0-3881":1,"FCL-MONOMER":-2}	null	
"CPLX0-3901_RXN"	{"CPLX0-3901":1,"EG11685-MONOMER":-6}	"&alpha;-D-xyloside xylohydrolase"	
"CPLX0-3921_RXN"	{"CPLX0-3921":1,"G6500-MONOMER":-3}	"heat shock protein HspQ"	
"CPLX0-3922_RXN"	{"CPLX0-3922":1,"CPLX0-3621":null,"CPLX0-0":null,"CPLX0-3":null,"EG10763-MONOMER":null,"EG10765-MONOMER":null,"EG10239-MONOMER":null}	"primosome"	
"CPLX0-3923_RXN"	{"CPLX0-3923":1,"G6895-MONOMER":-2}	"putative monooxygenase YdhR"	
"CPLX0-3924_RXN"	{"CPLX0-3924":1,"G7865-MONOMER":-2}	"peptidyl-prolyl <i>cis-trans</i> isomerase FklB"	
"CPLX0-3925_RXN"	{"CPLX0-3925":1,"EG11056-MONOMER":-1,"EG11057-MONOMER":-2}	"DNA polymerase V"	
"CPLX0-3927_RXN"	{"CPLX0-3927":1,"EG11731-MONOMER":-6}	"regulatory ATPase RavA"	
"CPLX0-3929_RXN"	{"CPLX0-3929":1,"EG10973-MONOMER":-4}	"D-arabinose 5-phosphate isomerase GutQ"	
"CPLX0-3930_RXN"	{"CPLX0-3930":1,"EG10320-MONOMER":-4,"MONOMER0-2488":-2}	"FlhDC DNA-binding transcriptional dual regulator"	
"CPLX0-3931_RXN"	{"CPLX0-3931":1,"EG10837-MONOMER":-2}	"ATP-dependent DNA helicase Rep"	
"CPLX0-3932_RXN"	{"CPLX0-3932":1,"CPLX0-7964":-1,"ACRD-MONOMER":-3,"EG11703-MONOMER":-6}	"multidrug efflux pump AcrAD-TolC"	
"CPLX0-3933_RXN"	{"CPLX0-3933":1,"EG10952-MONOMER":-1,"EG10658-MONOMER":-1,"G7352-MONOMER":-1,"G6093-MONOMER":-1,"G7320-MONOMER":-1}	"Outer Membrane Protein Assembly Complex"	
"CPLX0-3934_RXN"	{"CPLX0-3934":1,"EG10599-MONOMER":-14,"EG10600-MONOMER":-14}	"GroEL-GroES chaperonin complex"	
"CPLX0-3936_RXN"	{"CPLX0-3936":1,"H2NEOPTERINALDOL-MONOMER":-8}	"dihydroneopterin aldolase"	
"CPLX0-3937_RXN"	{"CPLX0-3937":1,"EG10252-MONOMER":-4,"EG10253-MONOMER":-4}	"evolved &beta;-D-galactosidase"	
"CPLX0-3938_RXN"	{"CPLX0-3938":1,"EG12177-MONOMER":-3}	"copper binding protein CutA"	
"CPLX0-3939_RXN"	{"CPLX0-3939":1,"G6334-MONOMER":-2}	"universal stress protein G"	
"CPLX0-3941_RXN"	{"CPLX0-3941":1,"G6717-MONOMER":-4}	"phenylacetyl-CoA thioesterase"	
"CPLX0-3943_RXN"	{"CPLX0-3943":1,"G6645-MONOMER":-2}	null	
"CPLX0-3948_RXN"	{"CPLX0-3948":1,"EG12600-MONOMER":-2}	null	
"CPLX0-3949_RXN"	{"CPLX0-3949":1,"THIG-MONOMER":-6,"THIH-MONOMER":-6}	"thiazole synthase"	
"CPLX0-3950_RXN"	{"CPLX0-3950":1,"EG11023-MONOMER":-2}	"tRNA m<sup>1</sup>G37 methyltransferase"	
"CPLX0-3951_RXN"	{"CPLX0-3951":1,"EG10605-MONOMER":-2}	"peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB"	
"CPLX0-3952_RXN"	{"CPLX0-3952":1,"RIBOFLAVIN-SYN-MONOMER":-3}	null	
"CPLX0-3954_RXN"	{"CPLX0-3954":1,"EG12026-MONOMER":-4}	null	
"CPLX0-3955_RXN"	{"CPLX0-3955":1,"EG10873-MONOMER":-2}	"50S ribosomal subunit protein L7/L12 dimer"	
"CPLX0-3956_RXN"	{"CPLX0-3956":1,"EG10871-MONOMER":-1,"CPLX0-3955":-2}	"50S ribosomal protein complex L8"	
"CPLX0-3957_RXN"	{"CPLX0-3957":1,"EG10927-MONOMER":-2,"EG11094-MONOMER":-2}	"ATP-dependent structure-specific DNA nuclease"	
"CPLX0-3958_RXN"	{"CPLX0-3958":1,"EG10458-MONOMER":-2,"EG10459-MONOMER":-2,"EG10460-MONOMER":-1}	"<I>Eco</I>KI restriction-modification system"	
"CPLX0-3959_RXN"	{"CPLX0-3959":1,"EG11069-MONOMER":null,"EG11071-MONOMER":null}	"Xer site-specific recombination system"	
"CPLX0-3961_RXN"	{"CPLX0-3961":1,"G7058-MONOMER":-4}	"hydroxyisourate hydrolase / transthyretin-related protein"	
"CPLX0-3969_RXN"	{"CPLX0-3969":1,"EG10921-MONOMER":-24}	"ferritin iron-storage complex"	
"CPLX0-3970_RXN"	{"CPLX0-3970":1,"OPPB-MONOMER":-1,"OPPC-MONOMER":-1,"OPPD-MONOMER":-1,"OPPF-MONOMER":-1,"G6665-MONOMER":-1}	"murein tripeptide ABC transporter"	
