# From Sanchez-Vazquez et al. Genome-wide effects on Escherichia coli transcription from ppGpp binding to its two sites on RNA polymerase. PNAS. 2019. (Dataset S01)
# Downloaded from: https://www.pnas.org/highwire/filestream/859108/field_highwire_adjunct_files/1/pnas.1819682116.sd01.xlsx
"Gene"	"Synonym"	"length"	"Start"	"end"	"Strand"	"1+2+ 5 min"	"1+2+ 5 min Category"	"1+2+ 10 min"	"1+2+ 10 min Category"	"1-2- 5 min"	"1-2- 5 min Category"	"1-2- 10 min"	"1-2- 10 min Category"	"1-2-/1+2+ 0 min"	"1-2-/1+2+ 0 min Category"
"gntT"	"b3415"	1317	3546559	3547875	"+"	-0.70	"C"	-1.27	"A"	-0.43	"E"	-0.67	"C"	-0.84	"C"
"proQ"	"b1831"	699	1914836	1915534	"-"	-0.99	"C"	-1.95	"A"	-0.16	"E"	-0.46	"C"	0.19	"D"
"hpt"	"b0125"	537	141431	141967	"+"	-0.98	"C"	-1.42	"A"	-0.12	"E"	-0.31	"C"	0.19	"D"
"tig"	"b0436"	1299	455133	456431	"+"	-0.66	"C"	-1.66	"A"	-0.05	"E"	-0.35	"C"	0.10	"D"
"fabF"	"b1095"	1242	1151939	1153180	"+"	-0.69	"C"	-1.39	"A"	-0.02	"E"	-0.18	"C"	0.11	"D"
"speE"	"b0121"	867	135598	136464	"-"	-0.99	"C"	-2.22	"A"	-0.20	"E"	-0.78	"C"	0.31	"D"
"purA"	"b4177"	1299	4404687	4405985	"+"	-0.91	"C"	-1.30	"A"	-0.19	"E"	-0.71	"C"	0.33	"D"
"mipA"	"b1782"	747	1865726	1866472	"-"	-0.79	"C"	-1.67	"A"	-0.10	"E"	-0.33	"C"	0.69	"D"
"lgt"	"b2828"	876	2965162	2966037	"-"	-0.72	"C"	-1.07	"A"	-0.21	"E"	-0.42	"C"	0.22	"D"
"ybgF"	"b0742"	792	779598	780389	"+"	-0.51	"C"	-1.35	"A"	-0.16	"E"	-0.31	"C"	0.26	"D"
"ytjC"	"b4395"	648	4633797	4634444	"+"	-0.70	"C"	-1.08	"A"	-0.19	"E"	-0.36	"C"	0.35	"D"
"yneG"	"b1523"	360	1611966	1612325	"-"	-0.94	"C"	-1.36	"A"	-0.25	"E"	-0.57	"C"	0.47	"D"
"yebC"	"b1864"	741	1947411	1948151	"-"	-0.92	"C"	-1.71	"A"	-0.11	"E"	-0.49	"C"	0.00	"E"
"dusA"	"b4049"	1038	4261669	4262706	"+"	-0.85	"C"	-1.02	"A"	-0.24	"E"	-0.29	"C"	0.10	"E"
"speD"	"b0120"	795	134788	135582	"-"	-0.88	"C"	-1.90	"A"	-0.19	"E"	-0.73	"C"	0.15	"E"
"mreB"	"b3251"	1044	3400044	3401087	"-"	-0.71	"C"	-1.20	"A"	-0.14	"E"	-0.43	"C"	-0.05	"E"
"rffH"	"b3789"	882	3973608	3974489	"+"	-0.79	"C"	-1.34	"A"	-0.19	"E"	-0.39	"C"	-0.14	"E"
"yhbY"	"b3180"	294	3327790	3328083	"+"	-0.97	"C"	-1.77	"A"	-0.31	"E"	-0.64	"C"	0.06	"E"
"fabI"	"b1288"	789	1350251	1351039	"-"	-0.65	"C"	-1.03	"A"	-0.07	"E"	-0.26	"C"	-0.09	"E"
"dam"	"b3387"	837	3515077	3515913	"-"	-0.70	"C"	-1.02	"A"	-0.08	"E"	-0.28	"C"	0.04	"E"
"damX"	"b3388"	1287	3516020	3517306	"-"	-0.79	"C"	-1.18	"A"	-0.15	"E"	-0.53	"C"	0.19	"E"
"recR"	"b0472"	606	494405	495010	"+"	-0.69	"C"	-1.09	"A"	-0.13	"E"	-0.45	"C"	0.06	"E"
"pncA"	"b1768"	642	1851887	1852528	"+"	-0.91	"C"	-1.36	"A"	-0.08	"E"	-0.36	"C"	0.21	"E"
"prfB"	"b2891"	1099	3035184	3036282	"-"	-0.88	"C"	-1.11	"A"	-0.05	"E"	-0.37	"C"	-0.17	"E"
"yfcA"	"b2327"	810	2444751	2445560	"-"	-0.76	"C"	-1.46	"A"	-0.21	"E"	-0.42	"C"	0.03	"E"
"rplP"	"b3313"	411	3448759	3449169	"-"	-0.72	"C"	-2.68	"A"	0.06	"E"	-0.77	"C"	-0.13	"E"
"ydhK"	"b1645"	2013	1722121	1724133	"+"	-0.96	"C"	-1.04	"A"	-0.46	"E"	-0.52	"C"	0.09	"E"
"atpE"	"b3737"	240	3920950	3921189	"-"	-0.76	"C"	-1.40	"A"	-0.07	"E"	-0.35	"C"	0.08	"E"
"rpsQ"	"b3311"	255	3448314	3448568	"-"	-0.56	"C"	-2.44	"A"	0.05	"E"	-0.65	"C"	-0.16	"E"
"rplV"	"b3315"	333	3449901	3450233	"-"	-0.96	"C"	-3.21	"A"	-0.05	"E"	-0.74	"C"	-0.20	"E"
"menC"	"b2261"	963	2375000	2375962	"-"	-0.65	"C"	-1.07	"A"	-0.21	"E"	-0.64	"C"	0.03	"E"
"mdtC"	"b2076"	3078	2158386	2161463	"+"	-0.72	"C"	-1.04	"A"	-0.35	"E"	-0.64	"C"	0.06	"E"
"rpsC"	"b3314"	702	3449182	3449883	"-"	-0.80	"C"	-2.87	"A"	0.05	"E"	-0.73	"C"	-0.14	"E"
"slyX"	"b3348"	219	3477640	3477858	"+"	-0.93	"C"	-1.01	"A"	0.24	"E"	0.75	"D"	0.43	"D"
"ligA"	"b2411"	2016	2528161	2530176	"-"	-0.75	"C"	-1.16	"A"	0.08	"E"	-0.04	"E"	-1.28	"A"
"rzpD"	"b0556"	462	578107	578568	"+"	-0.92	"C"	-1.82	"A"	0.06	"E"	0.04	"E"	-1.92	"A"
"borD"	"b0557"	294	578600	578893	"-"	-0.62	"C"	-1.29	"A"	-0.08	"E"	-0.03	"E"	-1.77	"A"
"rbsD"	"b3748"	420	3933351	3933770	"+"	-0.99	"C"	-1.70	"A"	-0.38	"E"	-0.43	"E"	-1.17	"A"
"fimI"	"b4315"	540	4543728	4544267	"+"	-0.96	"C"	-1.27	"A"	-0.43	"E"	-0.30	"E"	-3.27	"A"
"ilvB"	"b3671"	1689	3851096	3852784	"-"	-0.46	"C"	-2.73	"A"	-0.39	"E"	-0.38	"E"	-4.41	"A"
"metF"	"b3941"	891	4132616	4133506	"+"	-0.82	"C"	-1.56	"A"	-0.25	"E"	-0.43	"E"	-1.87	"A"
"mmuP"	"b0260"	1404	275325	276728	"+"	-0.87	"C"	-1.48	"A"	-0.34	"E"	-0.18	"E"	-1.48	"A"
"fimC"	"b4316"	726	4544304	4545029	"+"	-0.55	"C"	-1.14	"A"	0.15	"E"	-0.30	"E"	-3.41	"A"
"eptC"	"b3955"	1734	4148532	4150265	"-"	-0.76	"C"	-1.25	"A"	0.20	"E"	0.13	"E"	-0.52	"C"
"mltA"	"b2813"	1098	2946081	2947178	"-"	-0.86	"C"	-1.53	"A"	0.01	"E"	0.00	"E"	-0.21	"C"
"tolR"	"b0738"	429	775849	776277	"+"	-1.00	"C"	-1.81	"A"	0.04	"E"	-0.07	"E"	-0.24	"C"
"yeiP"	"b2171"	573	2265450	2266022	"+"	-0.90	"C"	-1.85	"A"	-0.10	"E"	-0.04	"E"	-0.51	"C"
"rsuA"	"b2183"	696	2279788	2280483	"-"	-0.83	"C"	-1.45	"A"	0.06	"E"	0.00	"E"	-0.83	"C"
"glf"	"b2036"	1104	2107226	2108329	"-"	-0.73	"C"	-1.29	"A"	-0.20	"E"	-0.20	"E"	-0.20	"C"
"hsdM"	"b4349"	1590	4581459	4583048	"-"	-0.68	"C"	-1.64	"A"	-0.13	"E"	-0.21	"E"	-0.42	"C"
"exbD"	"b3005"	426	3150818	3151243	"-"	-0.95	"C"	-1.41	"A"	-0.02	"E"	-0.20	"E"	-0.59	"C"
"wbbI"	"b2034"	993	2105065	2106057	"-"	-0.64	"C"	-1.46	"A"	-0.09	"E"	-0.20	"E"	-0.18	"C"
"tolA"	"b0739"	1266	776342	777607	"+"	-0.81	"C"	-1.66	"A"	-0.06	"E"	-0.28	"E"	-0.36	"C"
"yafK"	"b0224"	741	245065	245805	"-"	-0.67	"C"	-1.33	"A"	-0.20	"E"	-0.28	"E"	-0.24	"C"
"yqiA"	"b3031"	582	3175425	3176006	"-"	-0.67	"C"	-1.16	"A"	-0.16	"E"	-0.07	"E"	-0.40	"C"
"aspA"	"b4139"	1437	4366891	4368327	"-"	-0.80	"C"	-1.21	"A"	-0.16	"E"	-0.27	"E"	-0.63	"C"
"rbfA"	"b3167"	402	3312777	3313178	"-"	-0.70	"C"	-1.38	"A"	0.06	"E"	-0.16	"E"	-0.32	"C"
"insB13"	"b0274"	504	1050027	1050530	"-"	-0.71	"C"	-1.12	"A"	-0.14	"E"	-0.21	"E"	0.29	"C"
"waaR"	"b3627"	1020	3802039	3803058	"-"	-0.68	"C"	-1.33	"A"	-0.04	"E"	-0.21	"E"	-0.62	"C"
"mepM"	"b1856"	1323	1940313	1941635	"-"	-0.62	"C"	-1.27	"A"	-0.03	"E"	-0.20	"E"	-0.41	"C"
"emrA"	"b2685"	1173	2811427	2812599	"+"	-0.59	"C"	-1.28	"A"	0.03	"E"	-0.22	"E"	-0.20	"C"
"putP"	"b1015"	1509	1079305	1080813	"+"	-0.60	"C"	-1.58	"A"	-0.01	"E"	-0.09	"E"	-0.46	"C"
"thiB"	"b0068"	984	74497	75480	"-"	-0.95	"C"	-1.10	"A"	0.06	"E"	0.35	"E"	-0.82	"C"
"uhpC"	"b3667"	1320	3847305	3848624	"-"	-0.92	"C"	-1.45	"A"	-0.17	"E"	-0.21	"E"	-0.69	"C"
"ybhC"	"b0772"	1284	805998	807281	"-"	-0.40	"C"	-1.21	"A"	-0.08	"E"	-0.10	"E"	-0.29	"C"
"yghG"	"b2971"	411	3113067	3113477	"-"	-0.67	"C"	-1.18	"A"	-0.08	"E"	-0.26	"E"	-0.71	"C"
"fhuB"	"b0153"	1983	171462	173444	"+"	-0.76	"C"	-1.11	"A"	0.00	"E"	-0.47	"E"	-0.40	"C"
"gltF"	"b3214"	765	3361176	3361940	"+"	-0.78	"C"	-1.70	"A"	0.18	"E"	0.08	"E"	-0.80	"C"
"stpA"	"b2669"	405	2798091	2798495	"-"	-0.53	"C"	-1.34	"A"	0.03	"E"	-0.10	"E"	-0.38	"C"
"ypeB"	"b4546"	219	2527941	2528159	"-"	-0.74	"C"	-1.29	"A"	0.21	"E"	0.22	"E"	-0.96	"C"
"yhbX"	"b3173"	1626	3319988	3321613	"-"	-0.68	"C"	-1.04	"A"	-0.62	"E"	-0.36	"E"	-0.47	"C"
"wzzB"	"b2027"	981	2097321	2098301	"-"	-0.94	"C"	-1.56	"A"	0.00	"E"	0.01	"E"	0.15	"D"
"dtpA"	"b1634"	1503	1712769	1714271	"+"	-0.84	"C"	-2.49	"A"	0.06	"E"	-0.15	"E"	0.14	"D"
"proS"	"b0194"	1719	217057	218775	"-"	-0.76	"C"	-1.09	"A"	0.04	"E"	-0.19	"E"	0.23	"D"
"folC"	"b2315"	1269	2431674	2432942	"-"	-0.89	"C"	-1.11	"A"	0.01	"E"	0.10	"E"	0.60	"D"
"yciC"	"b1255"	744	1312920	1313663	"-"	-0.93	"C"	-1.09	"A"	0.07	"E"	0.01	"E"	0.60	"D"
"yciB"	"b1254"	540	1312351	1312890	"-"	-0.89	"C"	-1.17	"A"	0.06	"E"	-0.03	"E"	0.39	"D"
"ybiR"	"b0818"	1119	853647	854765	"+"	-0.99	"C"	-1.17	"A"	-0.06	"E"	-0.13	"E"	0.60	"D"
"corA"	"b3816"	951	4001426	4002376	"+"	-0.81	"C"	-1.19	"A"	0.17	"E"	-0.11	"E"	0.20	"D"
"pyrH"	"b0171"	726	191855	192580	"+"	-0.99	"C"	-1.68	"A"	-0.04	"E"	-0.20	"E"	0.86	"D"
"ydhC"	"b1660"	1212	1739911	1741122	"+"	-0.72	"C"	-1.71	"A"	0.09	"E"	0.01	"E"	0.84	"D"
"pldA"	"b3821"	870	4004862	4005731	"+"	-0.69	"C"	-1.05	"A"	-0.06	"E"	-0.07	"E"	0.22	"D"
"folK"	"b0142"	480	157253	157732	"-"	-0.92	"C"	-1.34	"A"	0.16	"E"	-0.06	"E"	0.83	"D"
"yncD"	"b1451"	2103	1520963	1523065	"-"	-0.89	"C"	-1.10	"A"	0.06	"E"	0.21	"E"	0.49	"D"
"folB"	"b3058"	369	3204221	3204589	"-"	-0.92	"C"	-1.19	"A"	-0.07	"E"	-0.23	"E"	0.42	"D"
"flc"	"b0624"	384	657555	657938	"-"	-0.94	"C"	-1.18	"A"	-0.04	"E"	0.09	"E"	0.45	"D"
"ychE"	"b1242"	648	1298598	1299245	"+"	-0.83	"C"	-1.30	"A"	-0.30	"E"	-0.15	"E"	0.37	"D"
"flk"	"b2321"	996	2437950	2438945	"+"	-0.67	"C"	-1.18	"A"	-0.07	"E"	0.09	"E"	0.59	"D"
"adk"	"b0474"	645	497175	497819	"+"	-0.46	"C"	-1.68	"A"	0.01	"E"	-0.22	"E"	0.46	"D"
"yjdM"	"b4108"	336	4326399	4326734	"-"	-0.79	"C"	-1.04	"A"	0.10	"E"	0.10	"E"	0.51	"D"
"dsbB"	"b1185"	531	1232500	1233030	"-"	-0.56	"C"	-1.01	"A"	0.16	"E"	0.27	"E"	0.62	"D"
"emrE"	"b0543"	333	568315	568647	"+"	-0.91	"C"	-1.22	"A"	-0.23	"E"	-0.14	"E"	0.34	"D"
"metG"	"b2114"	2034	2194300	2196333	"+"	-0.71	"C"	-1.10	"A"	0.24	"E"	0.06	"E"	0.34	"D"
"trmL"	"b3606"	474	3781215	3781688	"+"	-0.75	"C"	-1.07	"A"	0.05	"E"	0.01	"E"	0.33	"D"
"aqpZ"	"b0875"	696	915352	916047	"-"	-0.88	"C"	-1.48	"A"	-0.48	"E"	-0.57	"E"	0.76	"D"
"trmH"	"b3651"	690	3824515	3825204	"+"	-0.98	"C"	-1.24	"A"	0.07	"E"	0.01	"E"	0.13	"E"
"fmt"	"b3288"	948	3434214	3435161	"+"	-0.85	"C"	-1.03	"A"	-0.07	"E"	-0.15	"E"	0.03	"E"
"pdhR"	"b0113"	765	122092	122856	"+"	-0.90	"C"	-1.01	"A"	0.22	"E"	0.07	"E"	-0.11	"E"
"atpF"	"b3736"	471	3920418	3920888	"-"	-0.72	"C"	-1.46	"A"	0.06	"E"	-0.16	"E"	-0.09	"E"
"yfeA"	"b2395"	2190	2515643	2517832	"-"	-0.92	"C"	-1.07	"A"	-0.09	"E"	-0.24	"E"	0.12	"E"
"mutY"	"b2961"	1053	3103013	3104065	"+"	-0.95	"C"	-1.36	"A"	0.07	"E"	-0.01	"E"	0.19	"E"
"opgB"	"b4359"	2292	4597150	4599441	"-"	-0.60	"C"	-1.21	"A"	-0.02	"E"	-0.11	"E"	0.06	"E"
"ybgC"	"b0736"	405	774752	775156	"+"	-0.88	"C"	-1.45	"A"	-0.09	"E"	-0.21	"E"	-0.19	"E"
"metJ"	"b3938"	318	4128078	4128395	"-"	-0.90	"C"	-1.50	"A"	-0.12	"E"	-0.13	"E"	0.07	"E"
"fadR"	"b1187"	720	1234938	1235657	"+"	-0.98	"C"	-1.17	"A"	-0.17	"E"	-0.32	"E"	-0.06	"E"
"yheS"	"b3352"	1914	3481289	3483202	"+"	-0.71	"C"	-1.16	"A"	-0.05	"E"	-0.23	"E"	0.07	"E"
"yfjD"	"b4461"	1287	2748774	2750060	"+"	-0.72	"C"	-1.07	"A"	-0.04	"E"	-0.23	"E"	-0.08	"E"
"ftsB"	"b2748"	312	2872509	2872820	"-"	-0.85	"C"	-1.14	"A"	0.12	"E"	-0.02	"E"	-0.02	"E"
"tdk"	"b1238"	618	1293527	1294144	"+"	-0.86	"C"	-1.38	"A"	-0.15	"E"	-0.14	"E"	0.13	"E"
"atpH"	"b3735"	534	3919870	3920403	"-"	-0.75	"C"	-1.41	"A"	0.07	"E"	-0.18	"E"	-0.02	"E"
"fau"	"b2912"	549	3056241	3056789	"+"	-0.97	"C"	-1.14	"A"	-0.26	"E"	-0.23	"E"	-0.11	"E"
"bacA"	"b3057"	822	3203310	3204131	"-"	-0.67	"C"	-1.08	"A"	-0.08	"E"	-0.26	"E"	0.11	"E"
"atpA"	"b3734"	1542	3918316	3919857	"-"	-0.69	"C"	-1.26	"A"	0.04	"E"	-0.21	"E"	0.05	"E"
"pnp"	"b3164"	2136	3309033	3311168	"-"	-0.90	"C"	-1.01	"A"	0.03	"E"	-0.29	"E"	-0.01	"E"
"tatC"	"b3839"	777	4022736	4023512	"+"	-0.91	"C"	-1.28	"A"	-0.03	"E"	-0.20	"E"	0.10	"E"
"yedF"	"b1930"	234	2009479	2009712	"+"	-0.85	"C"	-2.01	"A"	-0.06	"E"	-0.20	"E"	0.18	"E"
"holB"	"b1099"	1005	1155762	1156766	"+"	-0.83	"C"	-1.17	"A"	-0.14	"E"	-0.35	"E"	-0.04	"E"
"ychJ"	"b1233"	459	1288674	1289132	"-"	-0.85	"C"	-1.16	"A"	0.03	"E"	0.13	"E"	0.13	"E"
"yhgN"	"b3434"	594	3575071	3575664	"+"	-0.78	"C"	-1.09	"A"	0.13	"E"	0.24	"E"	0.13	"E"
"rpoC"	"b3988"	4224	4185350	4189573	"+"	-0.76	"C"	-1.32	"A"	0.08	"E"	-0.31	"E"	0.14	"E"
"yehT"	"b2125"	720	2212243	2212962	"-"	-0.98	"C"	-1.36	"A"	0.17	"E"	-0.08	"E"	-0.04	"E"
"tmk"	"b1098"	642	1155124	1155765	"+"	-0.71	"C"	-1.06	"A"	-0.01	"E"	0.01	"E"	-0.20	"E"
"wbbK"	"b2032"	1119	2103391	2104509	"-"	-0.50	"C"	-1.12	"A"	-0.09	"E"	-0.20	"E"	-0.11	"E"
"atpG"	"b3733"	864	3917402	3918265	"-"	-0.64	"C"	-1.15	"A"	0.09	"E"	-0.12	"E"	0.01	"E"
"prc"	"b1830"	2049	1912768	1914816	"-"	-0.57	"C"	-1.23	"A"	-0.11	"E"	-0.29	"E"	0.15	"E"
"yibN"	"b3611"	432	3784584	3785015	"-"	-0.35	"C"	-1.09	"A"	-0.10	"E"	-0.14	"E"	-0.10	"E"
"cspE"	"b0623"	210	657292	657501	"+"	-0.69	"C"	-1.72	"A"	-0.16	"E"	-0.30	"E"	-0.21	"E"
"wbbJ"	"b2033"	591	2104494	2105084	"-"	-0.51	"C"	-1.25	"A"	-0.12	"E"	-0.25	"E"	-0.11	"E"
"ackA"	"b2296"	1203	2413470	2414672	"+"	-0.75	"C"	-1.30	"A"	0.10	"E"	-0.11	"E"	-0.14	"E"
"dinI"	"b1061"	246	1121242	1121487	"-"	-0.82	"C"	-1.59	"A"	-0.12	"E"	-0.17	"E"	-0.16	"E"
"brnQ"	"b0401"	1320	419591	420910	"+"	-0.37	"C"	-1.15	"A"	-0.04	"E"	-0.21	"E"	-0.03	"E"
"fusA"	"b3340"	2115	3471400	3473514	"-"	-0.96	"C"	-1.96	"A"	0.05	"E"	-0.48	"E"	-0.32	"E"
"ryfA"	"b4440"	304	2653855	2654158	"+"	-0.71	"C"	-1.27	"A"	0.15	"E"	0.24	"E"	-0.02	"E"
"ydjM"	"b1728"	591	1810211	1810801	"+"	-0.83	"C"	-1.44	"A"	0.04	"E"	-0.33	"E"	0.07	"E"
"rho"	"b3783"	1260	3966417	3967676	"+"	-0.82	"C"	-1.42	"A"	-0.02	"E"	-0.51	"E"	-0.15	"E"
"ubiX"	"b2311"	570	2428057	2428626	"-"	-0.58	"C"	-1.32	"A"	0.02	"E"	0.06	"E"	0.00	"E"
"hsdS"	"b4348"	1395	4580068	4581462	"-"	-0.43	"C"	-1.64	"A"	-0.09	"E"	0.03	"E"	-0.18	"E"
"ibaG"	"b3190"	255	3336549	3336803	"-"	-0.46	"C"	-1.10	"A"	-0.13	"E"	-0.24	"E"	-0.11	"E"
"sapC"	"b1292"	891	1353628	1354518	"-"	-0.65	"C"	-1.03	"A"	-0.15	"E"	-0.41	"E"	0.10	"E"
"ydhI"	"b1643"	237	1721025	1721261	"+"	-0.62	"C"	-1.23	"A"	0.04	"E"	-0.14	"E"	0.01	"E"
"glpT"	"b2240"	1359	2351016	2352374	"-"	-0.84	"C"	-1.31	"A"	0.03	"E"	-0.09	"E"	-0.03	"E"
"rhtA"	"b0813"	888	849210	850097	"-"	-0.63	"C"	-1.09	"A"	-0.03	"E"	0.13	"E"	0.32	"E"
"ttdT"	"b3063"	1464	3208024	3209487	"+"	-0.75	"C"	-1.17	"A"	-0.26	"E"	-0.44	"E"	0.09	"E"
"epmC"	"b2326"	549	2444203	2444751	"-"	-0.37	"C"	-1.01	"A"	-0.11	"E"	-0.12	"E"	0.06	"E"
"ydhJ"	"b1644"	858	1721264	1722121	"+"	-0.52	"C"	-1.03	"A"	-0.31	"E"	-0.39	"E"	0.18	"E"
"rrrD"	"b0555"	498	577613	578110	"+"	-1.00	"C"	-1.24	"A"	-0.34	"E"	-0.64	"E"	-0.40	"E"
"cnu"	"b1625"	216	1704949	1705164	"+"	-0.69	"C"	-1.62	"A"	-0.09	"E"	-0.01	"E"	0.05	"E"
"cirA"	"b2155"	1992	2244778	2246769	"-"	-0.64	"C"	-1.36	"A"	-0.02	"E"	-0.07	"E"	0.08	"E"
"yciW"	"b1287"	1128	1348980	1350107	"-"	-0.89	"C"	-1.06	"A"	-0.13	"E"	-0.09	"E"	0.15	"E"
"thiM"	"b2104"	789	2184513	2185301	"-"	-0.71	"C"	-1.34	"A"	-0.55	"E"	-0.15	"E"	-0.01	"E"
"ybcK"	"b0544"	1527	568902	570428	"+"	-0.93	"C"	-1.43	"A"	0.33	"E"	-0.30	"E"	0.53	"E"
"yeaL"	"b1789"	447	1874352	1874798	"+"	-0.56	"C"	-1.33	"A"	0.08	"E"	-0.16	"E"	-0.13	"E"
"ibpB"	"b3686"	429	3866469	3866897	"-"	-0.96	"C"	1.73	"B"	-0.97	"E"	-0.41	"E"	2.00	"B"
"codA"	"b0337"	1284	356171	357454	"+"	-0.81	"C"	-0.73	"C"	-0.31	"C"	-1.11	"A"	0.58	"D"
"nepI"	"b3662"	1191	3840549	3841739	"-"	-0.70	"C"	-0.96	"C"	-0.60	"C"	-0.53	"C"	-0.43	"C"
"thyA"	"b2827"	795	2964361	2965155	"-"	-0.48	"C"	-0.99	"C"	-0.33	"C"	-0.45	"C"	0.23	"D"
"focA"	"b0904"	858	953609	954466	"-"	-0.78	"C"	-0.82	"C"	-0.36	"C"	-0.47	"C"	0.04	"E"
"yciM"	"b1280"	1170	1340558	1341727	"+"	-0.26	"C"	-0.43	"C"	-0.34	"C"	-0.33	"C"	0.01	"E"
"artP"	"b0864"	729	903006	903734	"-"	-0.88	"C"	-0.27	"C"	-0.46	"C"	0.08	"E"	-0.53	"C"
"yifB"	"b3765"	1521	3948449	3949969	"-"	-0.89	"C"	-0.93	"C"	0.61	"D"	1.25	"B"	1.50	"B"
"guaA"	"b2507"	1578	2630958	2632535	"-"	-0.73	"C"	-0.21	"C"	0.27	"D"	1.00	"D"	-0.68	"C"
"speB"	"b2937"	921	3082877	3083797	"-"	-0.69	"C"	-0.86	"C"	-0.17	"E"	-0.44	"C"	-1.11	"A"
"nfrB"	"b0569"	2238	590941	593178	"-"	-0.71	"C"	-0.93	"C"	-0.34	"E"	-0.45	"C"	1.22	"B"
"lptF"	"b4261"	1101	4486218	4487318	"+"	-0.85	"C"	-0.98	"C"	-0.23	"E"	-0.36	"C"	-0.19	"C"
"trkH"	"b3849"	1452	4033145	4034596	"+"	-0.60	"C"	-0.80	"C"	-0.19	"E"	-0.44	"C"	-0.27	"C"
"wecF"	"b4481"	1080	3977525	3978604	"+"	-0.70	"C"	-0.98	"C"	-0.25	"E"	-0.34	"C"	-0.32	"C"
"secA"	"b0098"	2706	108279	110984	"+"	-0.48	"C"	-0.66	"C"	-0.04	"E"	-0.33	"C"	-0.16	"C"
"glyQ"	"b3560"	912	3724407	3725318	"-"	-0.45	"C"	-0.56	"C"	-0.10	"E"	-0.31	"C"	-0.18	"C"
"fabG"	"b1093"	735	1150670	1151404	"+"	-0.46	"C"	-0.84	"C"	-0.07	"E"	-0.34	"C"	-0.20	"C"
"uvrD"	"b3813"	2163	3997983	4000145	"+"	-0.56	"C"	-0.62	"C"	-0.22	"E"	-0.51	"C"	-0.23	"C"
"eno"	"b2779"	1299	2906643	2907941	"-"	-0.32	"C"	-0.31	"C"	-0.05	"E"	-0.35	"C"	-0.42	"C"
"glyS"	"b3559"	2070	3722328	3724397	"-"	-0.39	"C"	-0.46	"C"	-0.03	"E"	-0.29	"C"	-0.18	"C"
"degS"	"b3235"	1068	3382200	3383267	"+"	-0.43	"C"	-0.73	"C"	-0.18	"E"	-0.29	"C"	-0.29	"C"
"tufA"	"b3339"	1185	3470145	3471329	"-"	-0.37	"C"	-0.94	"C"	0.03	"E"	-0.35	"C"	-0.51	"C"
"ispH"	"b0029"	951	26277	27227	"+"	-0.33	"C"	-0.59	"C"	-0.24	"E"	-0.41	"C"	-0.22	"C"
"oppC"	"b1245"	909	1303834	1304742	"+"	-0.45	"C"	-0.34	"C"	-0.08	"E"	-0.49	"C"	-0.23	"C"
"rhlB"	"b3780"	1266	3964365	3965630	"-"	-0.38	"C"	-0.59	"C"	-0.13	"E"	-0.36	"C"	-0.35	"C"
"asnA"	"b3744"	993	3927155	3928147	"+"	-0.29	"C"	-0.97	"C"	-0.01	"E"	-0.34	"C"	-0.41	"C"
"ssb"	"b4059"	537	4274125	4274661	"+"	-0.37	"C"	-0.65	"C"	-0.31	"E"	-0.61	"C"	-0.22	"C"
"wecG"	"b3794"	741	3979956	3980696	"+"	-0.38	"C"	-0.94	"C"	-0.05	"E"	-0.41	"C"	-0.32	"C"
"recJ"	"b2892"	1734	3036373	3038106	"-"	-0.30	"C"	-0.72	"C"	-0.18	"E"	-0.38	"C"	-0.24	"C"
"fkpB"	"b0028"	450	25826	26275	"+"	-0.26	"C"	-0.56	"C"	-0.12	"E"	-0.31	"C"	-0.24	"C"
"tufB"	"b3980"	1185	4175944	4177128	"+"	-0.54	"C"	-0.24	"C"	-0.08	"E"	-0.17	"C"	0.25	"D"
"sspA"	"b3229"	639	3376782	3377420	"-"	-0.68	"C"	-0.70	"C"	-0.17	"E"	-0.49	"C"	0.24	"D"
"waaF"	"b3620"	1047	3794929	3795975	"+"	-0.86	"C"	-0.83	"C"	-0.19	"E"	-0.46	"C"	0.17	"D"
"nusB"	"b0416"	420	435137	435556	"+"	-0.81	"C"	-0.62	"C"	-0.08	"E"	-0.28	"C"	0.60	"D"
"ffh"	"b2610"	1362	2746434	2747795	"-"	-0.71	"C"	-0.74	"C"	-0.14	"E"	-0.37	"C"	0.49	"D"
"hda"	"b2496"	702	2618075	2618776	"-"	-0.90	"C"	-0.81	"C"	-0.13	"E"	-0.28	"C"	0.59	"D"
"kdsA"	"b1215"	855	1268165	1269019	"+"	-0.52	"C"	-0.47	"C"	-0.11	"E"	-0.23	"C"	0.38	"D"
"sspB"	"b3228"	498	3376279	3376776	"-"	-0.73	"C"	-0.85	"C"	-0.04	"E"	-0.43	"C"	0.30	"D"
"yfiF"	"b2581"	1038	2717491	2718528	"-"	-0.78	"C"	-0.44	"C"	-0.03	"E"	-0.39	"C"	0.50	"D"
"waaC"	"b3621"	960	3795979	3796938	"+"	-0.75	"C"	-0.87	"C"	-0.26	"E"	-0.45	"C"	0.40	"D"
"gyrB"	"b3699"	2415	3877705	3880119	"-"	-0.51	"C"	-0.51	"C"	-0.14	"E"	-0.37	"C"	0.35	"D"
"ratA"	"b2619"	477	2754288	2754764	"-"	-0.63	"C"	-0.72	"C"	-0.26	"E"	-0.27	"C"	0.44	"D"
"purN"	"b2500"	639	2622234	2622872	"+"	-0.81	"C"	-0.84	"C"	-0.26	"E"	-0.54	"C"	0.71	"D"
