Frame ID	Name	Unmodified Form	Location	Reaction ID	Reaction enzyme	Reaction	Mass balance?	EC	Comments
OX-THIOREDOXIN-MONOMER	thioredoxin 1	RED-THIOREDOXIN-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN-14499"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN""]"	"[[], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""]]"	"[""[c]: RED-THIOREDOXIN-MONOMER + cpd0-1564 ==> OX-THIOREDOXIN-MONOMER + (2) cys-D"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dadp <== RED-THIOREDOXIN-MONOMER + idp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dadp <== RED-THIOREDOXIN-MONOMER + adp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dadp <== RED-THIOREDOXIN-MONOMER + xdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dadp <== RED-THIOREDOXIN-MONOMER + gdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dadp <== RED-THIOREDOXIN-MONOMER + cdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dadp <== RED-THIOREDOXIN-MONOMER + udp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dgdp <== RED-THIOREDOXIN-MONOMER + idp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dgdp <== RED-THIOREDOXIN-MONOMER + adp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dgdp <== RED-THIOREDOXIN-MONOMER + xdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dgdp <== RED-THIOREDOXIN-MONOMER + gdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dgdp <== RED-THIOREDOXIN-MONOMER + cdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dgdp <== RED-THIOREDOXIN-MONOMER + udp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + didp <== RED-THIOREDOXIN-MONOMER + idp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + didp <== RED-THIOREDOXIN-MONOMER + adp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + didp <== RED-THIOREDOXIN-MONOMER + xdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + didp <== RED-THIOREDOXIN-MONOMER + gdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + didp <== RED-THIOREDOXIN-MONOMER + cdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + didp <== RED-THIOREDOXIN-MONOMER + udp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dcdp <== RED-THIOREDOXIN-MONOMER + idp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dcdp <== RED-THIOREDOXIN-MONOMER + adp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dcdp <== RED-THIOREDOXIN-MONOMER + xdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dcdp <== RED-THIOREDOXIN-MONOMER + gdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dcdp <== RED-THIOREDOXIN-MONOMER + cdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dcdp <== RED-THIOREDOXIN-MONOMER + udp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dudp <== RED-THIOREDOXIN-MONOMER + idp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dudp <== RED-THIOREDOXIN-MONOMER + adp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dudp <== RED-THIOREDOXIN-MONOMER + xdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dudp <== RED-THIOREDOXIN-MONOMER + gdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dudp <== RED-THIOREDOXIN-MONOMER + cdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + dudp <== RED-THIOREDOXIN-MONOMER + udp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + tdp <== RED-THIOREDOXIN-MONOMER + idp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + tdp <== RED-THIOREDOXIN-MONOMER + adp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + tdp <== RED-THIOREDOXIN-MONOMER + xdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + tdp <== RED-THIOREDOXIN-MONOMER + gdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + tdp <== RED-THIOREDOXIN-MONOMER + cdp"", ""[c]: OX-THIOREDOXIN-MONOMER + h2o + tdp <== RED-THIOREDOXIN-MONOMER + udp""]"	"[""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced.""]"	[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]	
OX-THIOREDOXIN2-MONOMER	reduced thioredoxin 2	RED-THIOREDOXIN2-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN-14499"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN"", ""RIBONUCLEOSIDE-DIP-REDUCTI-RXN""]"	"[[], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""], [""RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"", ""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""]]"	"[""[i]: RED-THIOREDOXIN2-MONOMER + cpd0-1564 ==> OX-THIOREDOXIN2-MONOMER + (2) cys-D"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dadp <== RED-THIOREDOXIN2-MONOMER + idp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dadp <== RED-THIOREDOXIN2-MONOMER + adp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dadp <== RED-THIOREDOXIN2-MONOMER + xdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dadp <== RED-THIOREDOXIN2-MONOMER + gdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dadp <== RED-THIOREDOXIN2-MONOMER + cdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dadp <== RED-THIOREDOXIN2-MONOMER + udp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dgdp <== RED-THIOREDOXIN2-MONOMER + idp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dgdp <== RED-THIOREDOXIN2-MONOMER + adp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dgdp <== RED-THIOREDOXIN2-MONOMER + xdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dgdp <== RED-THIOREDOXIN2-MONOMER + gdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dgdp <== RED-THIOREDOXIN2-MONOMER + cdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dgdp <== RED-THIOREDOXIN2-MONOMER + udp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + didp <== RED-THIOREDOXIN2-MONOMER + idp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + didp <== RED-THIOREDOXIN2-MONOMER + adp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + didp <== RED-THIOREDOXIN2-MONOMER + xdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + didp <== RED-THIOREDOXIN2-MONOMER + gdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + didp <== RED-THIOREDOXIN2-MONOMER + cdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + didp <== RED-THIOREDOXIN2-MONOMER + udp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dcdp <== RED-THIOREDOXIN2-MONOMER + idp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dcdp <== RED-THIOREDOXIN2-MONOMER + adp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dcdp <== RED-THIOREDOXIN2-MONOMER + xdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dcdp <== RED-THIOREDOXIN2-MONOMER + gdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dcdp <== RED-THIOREDOXIN2-MONOMER + cdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dcdp <== RED-THIOREDOXIN2-MONOMER + udp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dudp <== RED-THIOREDOXIN2-MONOMER + idp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dudp <== RED-THIOREDOXIN2-MONOMER + adp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dudp <== RED-THIOREDOXIN2-MONOMER + xdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dudp <== RED-THIOREDOXIN2-MONOMER + gdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dudp <== RED-THIOREDOXIN2-MONOMER + cdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + dudp <== RED-THIOREDOXIN2-MONOMER + udp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + tdp <== RED-THIOREDOXIN2-MONOMER + idp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + tdp <== RED-THIOREDOXIN2-MONOMER + adp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + tdp <== RED-THIOREDOXIN2-MONOMER + xdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + tdp <== RED-THIOREDOXIN2-MONOMER + gdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + tdp <== RED-THIOREDOXIN2-MONOMER + cdp"", ""[i]: OX-THIOREDOXIN2-MONOMER + h2o + tdp <== RED-THIOREDOXIN2-MONOMER + udp""]"	"[""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced."", ""Balanced.""]"	[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]	
PGLYCEROLTRANSII-MONOMER	phosphoglycerol transferase I	PGLYCEROLTRANSI-MONOMER	"[""CCO-PM-BAC-NEG""]"	[]	[]	[]	[]	[]	
PHOSPHASERDECARB-ALPHA-MONOMER	phosphatidylserine decarboxylase, proenzyme	PSD-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
PHOSPHASERDECARB-BETA-MONOMER	phosphatidylserine decarboxylase, proenzyme	PSD-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
PHOSPHO-ARCA	ArcA transcriptional dual regulator	ARCA-MONOMER	"[""CCO-CYTOSOL""]"	"[""ALTARCA-RXN""]"	[[]]	"[""[c]: ARCA-MONOMER + PHOSPHO-ARCB717 ==> PHOSPHO-ARCA + ARCB-MONOMER""]"	"[""Balanced.""]"	[null]	
PHOSPHO-ARCB-ASP	ArcB sensory histidine kinase	ARCB-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""ARCBTRANS-RXN""]"	[[]]	"[""[i]: PHOSPHO-ARCB-HIS ==> PHOSPHO-ARCB-ASP""]"	"[""Balanced.""]"	[null]	
PHOSPHO-ARCB-HIS	ArcB sensory histidine kinase	ARCB-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""ARCB-RXN""]"	[[]]	"[""[i]: atp + ARCB-MONOMER ==> adp + PHOSPHO-ARCB-HIS""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-ARCB717	ArcB sensory histidine kinase	ARCB-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""ARCB717-RXN""]"	[[]]	"[""[i]: PHOSPHO-ARCB-ASP ==> PHOSPHO-ARCB717""]"	"[""Balanced.""]"	[null]	
PHOSPHO-ATOC	AtoC transcriptional activator; Az protein inhibitor of ODC	ATOC-MONOMER	"[""CCO-CYTOSOL""]"	"[""ATOC-RXN""]"	[[]]	"[""[c]: PHOSPHO-ATOS + ATOC-MONOMER ==> ATOS-MONOMER + PHOSPHO-ATOC""]"	"[""Balanced.""]"	[null]	
PHOSPHO-BAER	BaeR transcriptional regulator	BAER-MONOMER	"[""CCO-CYTOSOL""]"	"[""BAER-RXN""]"	[[]]	"[""[c]: PHOSPHO-BAES + BAER-MONOMER ==> BAES-MONOMER + PHOSPHO-BAER""]"	"[""Balanced.""]"	[null]	
PHOSPHO-BAES	BaeS sensory histidine kinase	BAES-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""BAES-RXN""]"	[[]]	"[""[i]: atp + BAES-MONOMER ==> adp + PHOSPHO-BAES""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-BARA-ASP	BarA sensory histidine kinase	BARA-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6561""]"	[[]]	"[""[i]: MONOMER0-4210 ==> PHOSPHO-BARA-ASP""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
