Frame ID	Name	Process	EC	Stoichiometry (pH 7.2)	Enzyme	Direction	Comments
FEIST_CYSDtex_0	D-cysteine transport via diffusion (extracellular to periplasm)	Metabolism		cys-D[e] <==> cys-D[p]	MONOMER0-282	reversible	
FEIST_CYSDtex_1	D-cysteine transport via diffusion (extracellular to periplasm)	Metabolism		cys-D[e] <==> cys-D[p]	EG10671-MONOMER	reversible	
FEIST_CYSDtex_2	D-cysteine transport via diffusion (extracellular to periplasm)	Metabolism		cys-D[e] <==> cys-D[p]	G6700-MONOMER	reversible	
FEIST_CYSDtex_3	D-cysteine transport via diffusion (extracellular to periplasm)	Metabolism		cys-D[e] <==> cys-D[p]	EG10670-MONOMER	reversible	
FEIST_CYSSADS	L-cysteine sulfinic acid desulfurase	Metabolism	4.1.1.12	[c] : 3sala + (2) h --> ala-L + so2	G7454-MONOMER	forward only	
FEIST_CYSS_0	cysteine synthase	Metabolism		[c] : acser + h2s --> ac + cys-L + h	ACSERLYB-MONOMER	forward only	
FEIST_CYSS_1	cysteine synthase	Metabolism		[c] : acser + h2s --> ac + cys-L + h	ACSERLYA-MONOMER	forward only	
FEIST_CYSTL_0	cystathionine b-lyase	Metabolism	4.4.1.8	[c] : cyst-L + h2o --> hcys-L + nh4 + pyr	EG10564-MONOMER	forward only	
FEIST_CYSTL_1	cystathionine b-lyase	Metabolism	4.4.1.8	[c] : cyst-L + h2o --> hcys-L + nh4 + pyr	CYSTATHIONINE-BETA-LYASE-MONOMER	forward only	
FEIST_CYSabc2pp	L-cysteine export via ABC system (cytoplasm to periplasm)	Metabolism		atp[c] + cys-L[c] + h2o[c] --> adp[c] + cys-L[p] + h[c] + pi[c]	ABC-6-CPLX	forward only	
FEIST_CYSabcpp	L-cysteine uptake via ABC system (periplasm)	Metabolism		atp[c] + cys-L[p] + h2o[c] --> adp[c] + cys-L[c] + h[c] + pi[c]		forward only	
FEIST_CYStex_0	L-cysteine transport via diffusion (extracellular to periplasm)	Metabolism		cys-L[e] <==> cys-L[p]	MONOMER0-282	reversible	
FEIST_CYStex_1	L-cysteine transport via diffusion (extracellular to periplasm)	Metabolism		cys-L[e] <==> cys-L[p]	EG10671-MONOMER	reversible	
FEIST_CYStex_2	L-cysteine transport via diffusion (extracellular to periplasm)	Metabolism		cys-L[e] <==> cys-L[p]	G6700-MONOMER	reversible	
FEIST_CYStex_3	L-cysteine transport via diffusion (extracellular to periplasm)	Metabolism		cys-L[e] <==> cys-L[p]	EG10670-MONOMER	reversible	
FEIST_CYStpp_0	L-cysteine export via facilitated transport	Metabolism		cys-L[c] --> cys-L[p]	EG12445-MONOMER	forward only	
FEIST_CYStpp_1	L-cysteine export via facilitated transport	Metabolism		cys-L[c] --> cys-L[p]	EG11639-MONOMER	forward only	
FEIST_CYTBD2pp	cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm)	Metabolism		(2) h[c] + mql8[c] + (0.5) o2[c] --> (2) h[p] + h2o[c] + mqn8[c]	APP-UBIOX-CPLX	forward only	
FEIST_CYTBDpp_0	cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)	Metabolism		(2) h[c] + (0.5) o2[c] + q8h2[c] --> (2) h[p] + h2o[c] + q8[c]	APP-UBIOX-CPLX	forward only	
FEIST_CYTBDpp_1	cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)	Metabolism		(2) h[c] + (0.5) o2[c] + q8h2[c] --> (2) h[p] + h2o[c] + q8[c]	CYT-D-UBIOX-CPLX	forward only	
FEIST_CYTBO3_4pp	cytochrome oxidase bo3 (ubiquinol-8: 4 protons) (periplasm)	Metabolism		(4) h[c] + (0.5) o2[c] + q8h2[c] --> (4) h[p] + h2o[c] + q8[c]	CYT-O-UBIOX-CPLX	forward only	
FEIST_CYTD	cytidine deaminase	Metabolism	3.5.4.5	[c] : cytd + h + h2o --> nh4 + uri	CYTIDEAM-MONOMER	forward only	
FEIST_CYTDH_0	Cytidine hydrolase	Metabolism	3.2.2.8	[c] : cytd + h2o --> csn + rib-D	EG12030-MONOMER	forward only	
FEIST_CYTDH_1	Cytidine hydrolase	Metabolism	3.2.2.8	[c] : cytd + h2o --> csn + rib-D	G6358-MONOMER	forward only	
FEIST_CYTDH_2	Cytidine hydrolase	Metabolism	3.2.2.8	[c] : cytd + h2o --> csn + rib-D	EG11082-MONOMER	forward only	
FEIST_CYTDK2	cytidine kinase (GTP)	Metabolism		[c] : cytd + gtp --> cmp + gdp + h	UDK-MONOMER	forward only	
FEIST_CYTDt2pp_0	cytidine transport in via proton symport (periplasm)	Metabolism		cytd[p] + h[p] --> cytd[c] + h[c]	NUPC-MONOMER	forward only	
FEIST_CYTDt2pp_1	cytidine transport in via proton symport (periplasm)	Metabolism		cytd[p] + h[p] --> cytd[c] + h[c]	NUPG-MONOMER	forward only	
FEIST_CYTDt2rpp	cytidine transport in via proton symport, reversible (periplasm)	Metabolism		cytd[p] + h[p] <==> cytd[c] + h[c]	XAPB-MONOMER	reversible	
FEIST_CYTDtex_0	cytidine transport via diffusion (extracellular to periplasm)	Metabolism		cytd[e] <==> cytd[p]	MONOMER0-282	reversible	
FEIST_CYTDtex_1	cytidine transport via diffusion (extracellular to periplasm)	Metabolism		cytd[e] <==> cytd[p]	EG10671-MONOMER	reversible	
FEIST_CYTDtex_2	cytidine transport via diffusion (extracellular to periplasm)	Metabolism		cytd[e] <==> cytd[p]	G6700-MONOMER	reversible	
FEIST_CYTDtex_3	cytidine transport via diffusion (extracellular to periplasm)	Metabolism		cytd[e] <==> cytd[p]	EG10670-MONOMER	reversible	
FEIST_CYTK1	cytidylate kinase (CMP)	Metabolism	2.7.4.14	[c] : atp + cmp <==> adp + cdp	CMPKI-MONOMER	reversible	
FEIST_CYTK2	cytidylate kinase (dCMP)	Metabolism	2.7.4.14	[c] : atp + dcmp <==> adp + dcdp	CMPKI-MONOMER	reversible	
FEIST_D-LACt2pp_0	D-lactate transport via proton symport (periplasm)	Metabolism		h[p] + lac-D[p] <==> h[c] + lac-D[c]	LCTP-MONOMER	reversible	
FEIST_D-LACt2pp_1	D-lactate transport via proton symport (periplasm)	Metabolism		h[p] + lac-D[p] <==> h[c] + lac-D[c]	B2975-MONOMER	reversible	
FEIST_D-LACtex_0	D-lactate transport via diffusion (extracellular to periplasm)	Metabolism		lac-D[e] <==> lac-D[p]	MONOMER0-282	reversible	
FEIST_D-LACtex_1	D-lactate transport via diffusion (extracellular to periplasm)	Metabolism		lac-D[e] <==> lac-D[p]	EG10671-MONOMER	reversible	
FEIST_D-LACtex_2	D-lactate transport via diffusion (extracellular to periplasm)	Metabolism		lac-D[e] <==> lac-D[p]	G6700-MONOMER	reversible	
FEIST_D-LACtex_3	D-lactate transport via diffusion (extracellular to periplasm)	Metabolism		lac-D[e] <==> lac-D[p]	EG10670-MONOMER	reversible	
FEIST_DAAD	D-Amino acid dehydrogenase	Metabolism	1.4.99.1	[c] : ala-D + fad + h2o --> fadh2 + nh4 + pyr	DALADEHYDROGA-MONOMER	forward only	
FEIST_DADA	Deoxyadenosine deaminase	Metabolism		[c] : dad-2 + h + h2o --> din + nh4	ADENODEAMIN-MONOMER	forward only	
FEIST_DADK	deoxyadenylate kinase	Metabolism	2.7.4.11	[c] : atp + damp <==> adp + dadp	ADENYL-KIN-MONOMER	reversible	
FEIST_DADNt2pp_0	deoxyadenosine transport in via proton symport (periplasm)	Metabolism		dad-2[p] + h[p] --> dad-2[c] + h[c]	NUPC-MONOMER	forward only	
FEIST_DADNt2pp_1	deoxyadenosine transport in via proton symport (periplasm)	Metabolism		dad-2[p] + h[p] --> dad-2[c] + h[c]	NUPG-MONOMER	forward only	
FEIST_DADNtex	deoxyadenosine transport via diffusion (extracellular to periplasm)	Metabolism		dad-2[e] <==> dad-2[p]	EG11035-MONOMER	reversible	
FEIST_DAGK120	diacylglycerol kinase (n-C12:0)	Metabolism	2.7.1.107	[c] : 12dgr120 + atp --> adp + h + pa120	DIACYLGLYKIN-MONOMER	forward only	
FEIST_DAGK140	diacylglycerol kinase (n-C14:0)	Metabolism	2.7.1.107	[c] : 12dgr140 + atp --> adp + h + pa140	DIACYLGLYKIN-MONOMER	forward only	
FEIST_DAGK141	diacylglycerol kinase (n-C14:1)	Metabolism	2.7.1.107	[c] : 12dgr141 + atp --> adp + h + pa141	DIACYLGLYKIN-MONOMER	forward only	
FEIST_DAGK160	diacylglycerol kinase (n-C16:0)	Metabolism	2.7.1.107	[c] : 12dgr160 + atp --> adp + h + pa160	DIACYLGLYKIN-MONOMER	forward only	
FEIST_DAGK161	diacylglycerol kinase (n-C16:1)	Metabolism	2.7.1.107	[c] : 12dgr161 + atp --> adp + h + pa161	DIACYLGLYKIN-MONOMER	forward only	
FEIST_DAGK180	diacylglycerol kinase (n-C18:0)	Metabolism	2.7.1.107	[c] : 12dgr180 + atp --> adp + h + pa180	DIACYLGLYKIN-MONOMER	forward only	
FEIST_DAGK181	diacylglycerol kinase (n-C18:1)	Metabolism	2.7.1.107	[c] : 12dgr181 + atp --> adp + h + pa181	DIACYLGLYKIN-MONOMER	forward only	
FEIST_DALAt2pp	D-alanine transport in via proton symport (periplasm)	Metabolism		ala-D[p] + h[p] --> ala-D[c] + h[c]	CYCA-MONOMER	forward only	
FEIST_DALAtex_0	D-Alanine transport via diffusion (extracellular to periplasm)	Metabolism		ala-D[e] <==> ala-D[p]	MONOMER0-282	reversible	
FEIST_DALAtex_1	D-Alanine transport via diffusion (extracellular to periplasm)	Metabolism		ala-D[e] <==> ala-D[p]	EG10671-MONOMER	reversible	
FEIST_DALAtex_2	D-Alanine transport via diffusion (extracellular to periplasm)	Metabolism		ala-D[e] <==> ala-D[p]	G6700-MONOMER	reversible	
FEIST_DALAtex_3	D-Alanine transport via diffusion (extracellular to periplasm)	Metabolism		ala-D[e] <==> ala-D[p]	EG10670-MONOMER	reversible	
FEIST_DAMPtex_0	dAMP transport via diffusion (extracellular to periplasm)	Metabolism		damp[e] <==> damp[p]	MONOMER0-282	reversible	
FEIST_DAMPtex_1	dAMP transport via diffusion (extracellular to periplasm)	Metabolism		damp[e] <==> damp[p]	EG10671-MONOMER	reversible	
FEIST_DAMPtex_2	dAMP transport via diffusion (extracellular to periplasm)	Metabolism		damp[e] <==> damp[p]	G6700-MONOMER	reversible	
FEIST_DAMPtex_3	dAMP transport via diffusion (extracellular to periplasm)	Metabolism		damp[e] <==> damp[p]	EG10670-MONOMER	reversible	
FEIST_DAPAL	2,3-diaminopropionate amonnia lyase	Metabolism	4.3.1.15	[c] : 23dappa + h2o --> (2) nh4 + pyr	G7490-MONOMER	forward only	
FEIST_DAPDC	diaminopimelate decarboxylase	Metabolism	4.1.1.20	[c] : 26dap-M + h --> co2 + lys-L	DIAMINOPIMDECARB-MONOMER	forward only	
FEIST_DAPE	diaminopimelate epimerase	Metabolism	5.1.1.7	[c] : 26dap-LL <==> 26dap-M	DIAMINOPIMEPIM-MONOMER	reversible	
FEIST_DAPabcpp	M-diaminopimelic acid ABC transport (periplasm)	Metabolism		26dap-M[p] + atp[c] + h2o[c] --> 26dap-M[c] + adp[c] + h[c] + pi[c]		forward only	
FEIST_DAPtex_0	1,5-Diaminopentane transport via diffusion (extracellular to periplasm)	Metabolism		15dap[e] <==> 15dap[p]	MONOMER0-282	reversible	
FEIST_DAPtex_1	1,5-Diaminopentane transport via diffusion (extracellular to periplasm)	Metabolism		15dap[e] <==> 15dap[p]	EG10671-MONOMER	reversible	
FEIST_DAPtex_2	1,5-Diaminopentane transport via diffusion (extracellular to periplasm)	Metabolism		15dap[e] <==> 15dap[p]	G6700-MONOMER	reversible	
FEIST_DAPtex_3	1,5-Diaminopentane transport via diffusion (extracellular to periplasm)	Metabolism		15dap[e] <==> 15dap[p]	EG10670-MONOMER	reversible	
FEIST_DASYN120	CDP-diacylglycerol synthetase (n-C12:0)	Metabolism	2.7.7.41	[c] : ctp + h + pa120 --> cdpdddecg + ppi	CDPDIGLYSYN-MONOMER	forward only	
FEIST_DASYN140	CDP-diacylglycerol synthetase (n-C14:0)	Metabolism	2.7.7.41	[c] : ctp + h + pa140 --> cdpdtdecg + ppi	CDPDIGLYSYN-MONOMER	forward only	
FEIST_DASYN141	CDP-diacylglycerol synthetase (n-C14:1)	Metabolism	2.7.7.41	[c] : ctp + h + pa141 --> cdpdtdec7eg + ppi	CDPDIGLYSYN-MONOMER	forward only	
FEIST_DASYN160	CDP-diacylglycerol synthetase (n-C16:0)	Metabolism	2.7.7.41	[c] : ctp + h + pa160 --> cdpdhdecg + ppi	CDPDIGLYSYN-MONOMER	forward only	
FEIST_DASYN161	CDP-diacylglycerol synthetase (n-C16:1)	Metabolism	2.7.7.41	[c] : ctp + h + pa161 --> cdpdhdec9eg + ppi	CDPDIGLYSYN-MONOMER	forward only	
FEIST_DASYN180	CDP-diacylglycerol synthetase (n-C18:0)	Metabolism	2.7.7.41	[c] : ctp + h + pa180 --> cdpdodecg + ppi	CDPDIGLYSYN-MONOMER	forward only	
FEIST_DASYN181	CDP-diacylglycerol synthetase (n-C18:1)	Metabolism	2.7.7.41	[c] : ctp + h + pa181 --> cdpdodec11eg + ppi	CDPDIGLYSYN-MONOMER	forward only	
FEIST_DATPHs	dATP amine hydrolysis (spontaneous)	Metabolism		[c] : datp + h + h2o --> ditp + nh4		forward only	
FEIST_DB4PS	3,4-Dihydroxy-2-butanone-4-phosphate synthase	Metabolism		[c] : ru5p-D --> db4p + for + h	DIOHBUTANONEPSYN-MONOMER	forward only	
FEIST_DBTS	dethiobiotin synthase	Metabolism	6.3.3.3	[c] : atp + co2 + dann --> adp + dtbt + (3) h + pi	DETHIOBIOTIN-SYN-MONOMER	forward only	
FEIST_DCAtex_0	Decanoate transport via diffusion (extracellular to periplasm)	Metabolism		dca[e] <==> dca[p]	MONOMER0-282	reversible	
FEIST_DCAtex_1	Decanoate transport via diffusion (extracellular to periplasm)	Metabolism		dca[e] <==> dca[p]	EG10671-MONOMER	reversible	
FEIST_DCAtex_2	Decanoate transport via diffusion (extracellular to periplasm)	Metabolism		dca[e] <==> dca[p]	G6700-MONOMER	reversible	
FEIST_DCAtex_3	Decanoate transport via diffusion (extracellular to periplasm)	Metabolism		dca[e] <==> dca[p]	EG10670-MONOMER	reversible	
FEIST_DCMPtex_0	dCMP transport via diffusion (extracellular to periplasm)	Metabolism		dcmp[e] <==> dcmp[p]	MONOMER0-282	reversible	
FEIST_DCMPtex_1	dCMP transport via diffusion (extracellular to periplasm)	Metabolism		dcmp[e] <==> dcmp[p]	EG10671-MONOMER	reversible	
FEIST_DCMPtex_2	dCMP transport via diffusion (extracellular to periplasm)	Metabolism		dcmp[e] <==> dcmp[p]	G6700-MONOMER	reversible	
FEIST_DCMPtex_3	dCMP transport via diffusion (extracellular to periplasm)	Metabolism		dcmp[e] <==> dcmp[p]	EG10670-MONOMER	reversible	
FEIST_DCTPD	dCTP deaminase	Metabolism	3.5.4.13	[c] : dctp + h + h2o --> dutp + nh4	DCTP-DEAM-MONOMER	forward only	
FEIST_DCYTD	deoxycytidine deaminase	Metabolism	3.5.4.14	[c] : dcyt + h + h2o --> duri + nh4	CYTIDEAM-MONOMER	forward only	
FEIST_DCYTt2pp_0	deoxycytidine transport in via proton symport (periplasm)	Metabolism		dcyt[p] + h[p] --> dcyt[c] + h[c]	NUPC-MONOMER	forward only	
FEIST_DCYTt2pp_1	deoxycytidine transport in via proton symport (periplasm)	Metabolism		dcyt[p] + h[p] --> dcyt[c] + h[c]	NUPG-MONOMER	forward only	
FEIST_DCYTtex	deoxycytidine transport via diffusion (extracellular to periplasm)	Metabolism		dcyt[e] <==> dcyt[p]	EG11035-MONOMER	reversible	
FEIST_DDCAtexi	Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm)	Metabolism		ddca[e] --> ddca[p]	EG10280-MONOMER	forward only	
FEIST_DDGALK	2-dehydro-3-deoxygalactonokinase	Metabolism	2.7.1.58	[c] : 2dh3dgal + atp --> 2dh3dgal6p + adp + h	DEHYDDEOXGALACTKIN-MONOMER	forward only	
FEIST_DDGLCNt2rpp	2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)	Metabolism		2ddglcn[p] + h[p] <==> 2ddglcn[c] + h[c]	KDGT-MONOMER	reversible	
FEIST_DDGLCNtex_0	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	Metabolism		2ddglcn[e] <==> 2ddglcn[p]	MONOMER0-282	reversible	
FEIST_DDGLCNtex_1	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	Metabolism		2ddglcn[e] <==> 2ddglcn[p]	EG10671-MONOMER	reversible	
FEIST_DDGLCNtex_2	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	Metabolism		2ddglcn[e] <==> 2ddglcn[p]	G6700-MONOMER	reversible	
FEIST_DDGLCNtex_3	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	Metabolism		2ddglcn[e] <==> 2ddglcn[p]	EG10670-MONOMER	reversible	
FEIST_DDGLK	2-dehydro-3-deoxygluconokinase	Metabolism	2.7.1.45	[c] : 2ddglcn + atp --> 2ddg6p + adp + h	DEOXYGLUCONOKIN-MONOMER	forward only	
FEIST_DDPA_0	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	Metabolism	4.1.2.15	[c] : e4p + h2o + pep --> 2dda7p + pi	AROF-MONOMER	forward only	
FEIST_DDPA_1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	Metabolism	4.1.2.15	[c] : e4p + h2o + pep --> 2dda7p + pi	AROG-MONOMER	forward only	
FEIST_DDPA_2	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	Metabolism	4.1.2.15	[c] : e4p + h2o + pep --> 2dda7p + pi	AROH-MONOMER	forward only	
FEIST_DDPGALA	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	Metabolism	4.1.2.21	[c] : 2dh3dgal6p <==> g3p + pyr	DEHYDDEOXPHOSGALACT-ALDOL-MONOMER	reversible	
FEIST_DGK1	deoxyguanylate kinase (dGMP:ATP)	Metabolism	2.7.4.8	[c] : atp + dgmp <==> adp + dgdp	GUANYL-KIN-MONOMER	reversible	
FEIST_DGMPtex_0	dGMP transport via diffusion (extracellular to periplasm)	Metabolism		dgmp[e] <==> dgmp[p]	MONOMER0-282	reversible	
FEIST_DGMPtex_1	dGMP transport via diffusion (extracellular to periplasm)	Metabolism		dgmp[e] <==> dgmp[p]	EG10671-MONOMER	reversible	
FEIST_DGMPtex_2	dGMP transport via diffusion (extracellular to periplasm)	Metabolism		dgmp[e] <==> dgmp[p]	G6700-MONOMER	reversible	
FEIST_DGMPtex_3	dGMP transport via diffusion (extracellular to periplasm)	Metabolism		dgmp[e] <==> dgmp[p]	EG10670-MONOMER	reversible	
FEIST_DGSNt2pp	deoxyguanosine transport in via proton symport (periplasm)	Metabolism		dgsn[p] + h[p] --> dgsn[c] + h[c]	NUPG-MONOMER	forward only	
FEIST_DGSNtex_0	deoxyguanosine transport via diffusion (extracellular to periplasm)	Metabolism		dgsn[e] <==> dgsn[p]	MONOMER0-282	reversible	
FEIST_DGSNtex_1	deoxyguanosine transport via diffusion (extracellular to periplasm)	Metabolism		dgsn[e] <==> dgsn[p]	EG10671-MONOMER	reversible	
FEIST_DGSNtex_2	deoxyguanosine transport via diffusion (extracellular to periplasm)	Metabolism		dgsn[e] <==> dgsn[p]	G6700-MONOMER	reversible	
FEIST_DGSNtex_3	deoxyguanosine transport via diffusion (extracellular to periplasm)	Metabolism		dgsn[e] <==> dgsn[p]	EG10670-MONOMER	reversible	
FEIST_DHAD1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	Metabolism	4.2.1.9	[c] : 23dhmb --> 3mob + h2o	DIHYDROXYACIDDEHYDRAT-MONOMER	forward only	
FEIST_DHAD2	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	Metabolism		[c] : 23dhmp --> 3mop + h2o	DIHYDROXYACIDDEHYDRAT-MONOMER	forward only	
FEIST_DHAPT	Dihydroxyacetone phosphotransferase	Metabolism		[c] : dha + pep --> dhap + pyr	['CPLX0-2081', 'PTSH-MONOMER', 'CPLX0-7938']	forward only	
FEIST_DHAtex_0	Dihydroxyacetone transport via diffusion (extracellular to periplasm)	Metabolism		dha[e] <==> dha[p]	MONOMER0-282	reversible	
FEIST_DHAtex_1	Dihydroxyacetone transport via diffusion (extracellular to periplasm)	Metabolism		dha[e] <==> dha[p]	EG10671-MONOMER	reversible	
FEIST_DHAtex_2	Dihydroxyacetone transport via diffusion (extracellular to periplasm)	Metabolism		dha[e] <==> dha[p]	G6700-MONOMER	reversible	
FEIST_DHAtex_3	Dihydroxyacetone transport via diffusion (extracellular to periplasm)	Metabolism		dha[e] <==> dha[p]	EG10670-MONOMER	reversible	
FEIST_DHAtpp	Dihydroxyacetone transport via facilitated diffusion (periplasm)	Metabolism		dha[p] <==> dha[c]		reversible	
FEIST_DHBD	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	Metabolism	1.3.1.28	[c] : 23ddhb + nad <==> 23dhb + h + nadh	ENTA-MONOMER	reversible	
FEIST_DHBS	2,3-dihydroxybenzoate adenylate synthase	Metabolism	2.7.7.58	[c] : 23dhb + atp + h --> 23dhba + ppi	ENTE-MONOMER	forward only	
FEIST_DHBSH	2,3-dihydroxybenzoylserine hydrolase	Metabolism		[c] : 23dhbzs + h2o --> 23dhb + ser-L		forward only	
FEIST_DHCIND	2,3-dihydroxycinnamate dehydrogenase	Metabolism		[c] : cenchddd + nad --> dhcinnm + h + nadh	PHENPRODIOLDEHYDROG-MONOMER	forward only	
FEIST_DHCINDO	2,3-dihydroxycinnamate 1,2-dioxygenase	Metabolism		[c] : dhcinnm + o2 --> h + hkntd	DHPDIOXYGEN-MONOMER	forward only	
FEIST_DHDPRy	dihydrodipicolinate reductase (NADPH)	Metabolism	1.3.1.26	[c] : 23dhdp + h + nadph --> nadp + thdp	DIHYDROPICRED-MONOMER	forward only	
FEIST_DHDPS	dihydrodipicolinate synthase	Metabolism	4.2.1.52	[c] : aspsa + pyr --> 23dhdp + h + (2) h2o	DIHYDRODIPICSYN-MONOMER	forward only	
FEIST_DHFR_0	dihydrofolate reductase	Metabolism	1.5.1.3	[c] : dhf + h + nadph <==> nadp + thf	DIHYDROFOLATEREDUCT-MONOMER	reversible	
FEIST_DHFR_1	dihydrofolate reductase	Metabolism	1.5.1.3	[c] : dhf + h + nadph <==> nadp + thf	G6862-MONOMER	reversible	
FEIST_DHFS	dihydrofolate synthase	Metabolism	6.3.2.12	[c] : atp + dhpt + glu-L --> adp + dhf + h + pi	FOLC-MONOMER	forward only	
FEIST_DHNAOT4	1,4-dihydroxy-2-naphthoate octaprenyltransferase	Metabolism		[c] : dhna + h + octdp --> 2dmmql8 + co2 + ppi	DMK-MONOMER	forward only	
FEIST_DHNPA2	dihydroneopterin aldolase	Metabolism		[c] : dhnpt --> 6hmhpt + gcald	H2NEOPTERINALDOL-MONOMER	forward only	
FEIST_DHORD2	dihydoorotic acid dehydrogenase (quinone8)	Metabolism	1.3.3.1	[c] : dhor-S + q8 --> orot + q8h2	DIHYDROOROTOX-MONOMER	forward only	
FEIST_DHORD5	dihydroorotic acid (menaquinone-8)	Metabolism	1.3.3.1	[c] : dhor-S + mqn8 --> mql8 + orot	DIHYDROOROTOX-MONOMER	forward only	
FEIST_DHORTS	dihydroorotase	Metabolism	3.5.2.3	[c] : dhor-S + h2o <==> cbasp + h	DIHYDROOROT-MONOMER	reversible	
FEIST_DHPPD	2,3-dihydroxyphenylpropionate dehydrogenase	Metabolism		[c] : cechddd + nad --> dhpppn + h + nadh	PHENPRODIOLDEHYDROG-MONOMER	forward only	
FEIST_DHPPDA2	diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)	Metabolism	3.5.4.26	[c] : 25drapp + h + h2o --> 5apru + nh4	RIBOFLAVINSYNDEAM-MONOMER	forward only	
FEIST_DHPS2	dihydropteroate synthase	Metabolism	2.5.1.15	[c] : 4abz + 6hmhptpp --> dhpt + ppi	H2PTEROATESYNTH-MONOMER	forward only	
FEIST_DHPTDCs	4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)	Metabolism		[c] : dhptd --> h2o + hmfurn		forward only	
FEIST_DHPTPE	dihydroneopterin triphosphate 2'-epimerase	Metabolism		[c] : ahdt <==> dhmptp	H2NTPEPIM-MONOMER	reversible	
FEIST_DHQS	3-dehydroquinate synthase	Metabolism		[c] : 2dda7p --> 3dhq + pi	AROB-MONOMER	forward only	
FEIST_DHQTi	3-dehydroquinate dehydratase, irreversible	Metabolism	4.2.1.10	[c] : 3dhq --> 3dhsk + h2o	AROD-MONOMER	forward only	
FEIST_DIMPtex_0	dIMP transport via diffusion (extracellular to periplasm)	Metabolism		dimp[e] <==> dimp[p]	MONOMER0-282	reversible	
FEIST_DIMPtex_1	dIMP transport via diffusion (extracellular to periplasm)	Metabolism		dimp[e] <==> dimp[p]	EG10671-MONOMER	reversible	
FEIST_DIMPtex_2	dIMP transport via diffusion (extracellular to periplasm)	Metabolism		dimp[e] <==> dimp[p]	G6700-MONOMER	reversible	
FEIST_DIMPtex_3	dIMP transport via diffusion (extracellular to periplasm)	Metabolism		dimp[e] <==> dimp[p]	EG10670-MONOMER	reversible	
FEIST_DINSt2pp	deoxyinosine transport in via proton symport (periplasm)	Metabolism		din[p] + h[p] --> din[c] + h[c]	NUPG-MONOMER	forward only	
FEIST_DINStex_0	deoxyinosine transport via diffusion (extracellular to periplasm)	Metabolism		din[e] <==> din[p]	MONOMER0-282	reversible	
FEIST_DINStex_1	deoxyinosine transport via diffusion (extracellular to periplasm)	Metabolism		din[e] <==> din[p]	EG10671-MONOMER	reversible	
FEIST_DINStex_2	deoxyinosine transport via diffusion (extracellular to periplasm)	Metabolism		din[e] <==> din[p]	G6700-MONOMER	reversible	
FEIST_DINStex_3	deoxyinosine transport via diffusion (extracellular to periplasm)	Metabolism		din[e] <==> din[p]	EG10670-MONOMER	reversible	
FEIST_DKGLCNR1_0	2,5-diketo-D-gluconate reductase	Metabolism		[c] : 25dkglcn + h + nadph --> 2dhguln + nadp	MONOMER0-149	forward only	
FEIST_DKGLCNR1_1	2,5-diketo-D-gluconate reductase	Metabolism		[c] : 25dkglcn + h + nadph --> 2dhguln + nadp	MONOMER0-148	forward only	
FEIST_DKGLCNR2x	2,5-diketo-D-gluconate reductase (NADH)	Metabolism		[c] : 25dkglcn + h + nadh --> 5dglcn + nad	MONOMER-43	forward only	
FEIST_DKGLCNR2y	2,5-diketo-D-gluconate reductase (NADPH)	Metabolism		[c] : 25dkglcn + h + nadph --> 5dglcn + nadp	MONOMER-43	forward only	
FEIST_DKMPPD	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	Metabolism		[c] : dkmpp + h2o + o2 --> 2kmb + for + (2) h + pi		forward only	
FEIST_DKMPPD3	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	Metabolism		[c] : dkmpp + (3) h2o + (2) nad --> 2kmb + for + (4) h + (2) nadh + pi		forward only	
FEIST_DMATT	dimethylallyltranstransferase	Metabolism	2.5.1.1	[c] : dmpp + ipdp --> grdp + ppi	FPPSYN-MONOMER	forward only	
FEIST_DMPPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	Metabolism		[c] : h + h2mb4p + nadh --> dmpp + h2o + nad	EG11081-MONOMER	forward only	
FEIST_DMQMT	3-Dimethylubiquinonol 3-methyltransferase	Metabolism		[c] : 2omhmbl + amet --> ahcys + h + q8h2	DHHB-METHYLTRANSFER-MONOMER	forward only	
