Column array (EcoMAC)	CEL file name	GEO accession	Author	Date	Strain	Medium	Treatment (value)	Treatment (conditions)	Time (min)	Gene perturbated	Type of perturbation	Replicate	Predicted arrays by EBA	Environmental perturbations	Genetic perturbations	Arrays in WT condition	Growth rate (1/h)	Flag growth
629	PU00288	GSE1121	M. Covert	20040309	MG1655	M9	2g/L	glu aerobic	exponential	oxyR	D	r3	1	0	1	0	0.637	1
630	PU00289	GSE1121	M. Covert	20040309	MG1655	M9	2g/L	glu aerobic	exponential	soxS	D	r1	1	0	1	0	0.724	1
631	PU00290	GSE1121	M. Covert	20040309	MG1655	M9	2g/L	glu aerobic	exponential	soxS	D	r2	1	0	1	0	0.724	1
632	PU00291	GSE1121	M. Covert	20040309	MG1655	M9	2g/L	glu aerobic	exponential	soxS	D	r3	1	0	1	0	0.724	1
633	PU00292	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu aerobic	0			r1	-1	1	0	0	0.68	1
634	PU00293	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu aerobic	0			r2	-1	1	0	0	0.68	1
635	PU00294	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu aerobic	0			r3	-1	1	0	0	0.68	1
636	PU00295	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu aerobic	0			r4	-1	1	0	0	0.68	1
637	PU00296	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu aerobic	0			r5	-1	1	0	0	0.68	1
638	PU00297	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	gly aerobic	0			r1	-1	1	0	0	0.68	1
639	PU00298	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	gly aerobic	0			r2	-1	1	0	0	0.68	1
640	PU00299	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	proline aerobic	0			r1	-1	1	0	0	1	0
641	PU00300	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	proline aerobic	0			r2	-1	1	0	0	1	0
642	PU00301	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	acetate aerobic	0			r1	-1	1	0	0	1	0
643	PU00302	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	acetate aerobic	0			r2	-1	1	0	0	1	0
644	PU00303	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	90			r1	0	0	0	0	1	0
645	PU00304	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	90			r2	0	0	0	0	1	0
646	PU00305	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	90			r3	0	0	0	0	1	0
647	PU00306	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	135			r1	0	0	0	0	1	0
648	PU00307	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	135			r2	0	0	0	0	1	0
649	PU00308	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	330			r1	0	0	0	0	1	0
650	PU00309	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	330			r2	0	0	0	0	1	0
651	PU00310	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	480			r1	0	0	0	0	1	0
652	PU00311	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	480			r2	0	0	0	0	1	0
653	PU00312	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	720			r1	0	0	0	0	1	0
654	PU00313	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L	glu	720			r2	0	0	0	0	1	0
655	PU00314	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2	pH	10			r1	0	0	0	0	1	0
656	PU00315	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS		acid shock	10			r2	0	0	0	0	1	0
657	PU00316	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	20ng	ciprofloxacin	10			r1	0	0	0	0	1	0
658	PU00317	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	20ng	ciprofloxacin	10			r2	0	0	0	0	1	0
659	PU00318	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS	2g/L 50C	glu, heat shock	10			r1	0	0	0	0	1	0
660	PU00319	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	crp	D	r1	1	0	1	0	1	0
661	PU00320	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	crp	D	r2	1	0	1	0	1	0
662	PU00321	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	crp	D	r3	1	0	1	0	1	0
663	PU00322	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	cspA	D	r1	1	0	1	0	1	0
664	PU00323	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	dps	D	r1	1	0	1	0	1	0
665	PU00324	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	dps	D	r2	1	0	1	0	1	0
666	PU00325	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	dps	D	r3	1	0	1	0	1	0
667	PU00326	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			240	dps	D	r1	1	0	1	0	1	0
668	PU00327	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			240	dps	D	r2	1	0	1	0	1	0
669	PU00328	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			480	dps	D	r1	1	0	1	0	1	0
670	PU00329	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	hns	D	r1	1	0	1	0	1	0
671	PU00330	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	hns	D	r2	1	0	1	0	1	0
672	PU00331	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	hns	D	r3	1	0	1	0	1	0
673	PU00332	ASAP-AffyData1	T. Allen	20020729	EMG2	M9+MOPS			0	hupB	D	r1	1	0	1	0	1	0
674	PU00333	GSE2037	M. Liu	20020422	EMG2	M9+MOPS	2g/L	succinate	0			r1	-1	1	0	0	0.5	1
675	PU00334	GSE2037	M. Liu	20020422	EMG2	M9+MOPS	2g/L	succinate	0			r2	-1	1	0	0	0.5	1
676	PU00335	ASAP-Suppressor tRNA expression	C. Herring	20030115	MG1655	M9+MOPS	1g/L	glu	0			r1	-1	1	0	0	1	0
677	PU00336	ASAP-Suppressor tRNA expression	C. Herring	20030115	MG1655	M9+MOPS	1g/L	glu	0			r2	-1	1	0	0	1	0
678	PU00337	ASAP-Suppressor tRNA expression	C. Herring	20030115	MG1655	M9+MOPS	1g/L	glu	0			r3	-1	1	0	0	1	0
679	PU00338	ASAP-Suppressor tRNA expression	C. Herring	20030115	MG1655	M9+MOPS	1g/L	glu	0	ala2 supressor	U	r1	1	0	0	0	1	0
680	PU00339	ASAP-Suppressor tRNA expression	C. Herring	20030115	MG1655	M9+MOPS	1g/L	glu	0	ala2 supressor	U	r2	1	0	0	0	1	0
681	PU00340	ASAP-Suppressor tRNA expression	C. Herring	20030115	MG1655	M9+MOPS	1g/L	glu	0	ala2 supressor	U	r3	1	0	0	0	1	0
682	PU00341	J Bacteriol 187(3):1135	Y. Kang	20050803	MG1655	M9+MOPS	1g/L	glu aerobic	0	fnr	D	r1	1	0	1	0	1	0
683	PU00342	J Bacteriol 187(3):1135	Y. Kang	20050803	MG1655	M9+MOPS	1g/L	glu aerobic	0	fnr	D	r2	1	0	1	0	1	0
684	PU00343	J Bacteriol 187(3):1135	Y. Kang	20050803	MG1655	M9+MOPS	1g/L	glu aerobic	0	fnr	D	r3	1	0	1	0	1	0
685	PU00344	J Bacteriol 187(3):1135	Y. Kang	20050803	MG1655	M9+MOPS	1g/L	glu anaerobic	0	wt		r1	-1	1	0	0	1	0
686	PU00345	J Bacteriol 187(3):1135	Y. Kang	20050803	MG1655	M9+MOPS	1g/L	glu anaerobic	0	wt		r2	-1	1	0	0	1	0
687	PU00346	J Bacteriol 187(3):1135	Y. Kang	20050803	MG1655	M9+MOPS	1g/L	glu anaerobic	0	wt		r3	-1	1	0	0	1	0
688	PU00347	J Bacteriol 187(3):1135	Y. Kang	20050803	MG1655	M9+MOPS	1g/L	glu anaerobic	0	fnr	D	r1	1	0	1	0	1	0
689	PU00348	J Bacteriol 187(3):1135	Y. Kang	20050803	MG1655	M9+MOPS	1g/L	glu anaerobic	0	fnr	D	r2	1	0	1	0	1	0
690	PU00349	J Bacteriol 187(3):1135	Y. Kang	20050803	MG1655	M9+MOPS	1g/L	glu anaerobic	0	fnr	D	r3	1	0	1	0	1	0
691	PU00350	J Bacteriol 187(3):1135	Y. Kang	20050803	MG1655	M9+MOPS	1g/L	glu anaerobic	0	fnr	D	r4	1	0	1	0	1	0
692	PU00351	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	0	WT		r1	-1	1	0	0	1	0
693	PU00352	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	0	WT		r2	-1	1	0	0	1	0
694	PU00353	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	0	WT		r3	-1	1	0	0	1	0
695	PU00354	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60			r1	-1	1	0	0	1	0
696	PU00355	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60			r2	-1	1	0	0	1	0
697	PU00356	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60			r3	-1	1	0	0	1	0
698	PU00357	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60	IPTG		r1	-1	1	0	0	1	0
699	PU00358	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60	IPTG		r2	-1	1	0	0	1	0
700	PU00359	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60	IPTG		r3	-1	1	0	0	1	0
701	PU00360	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240			r1	-1	1	0	0	1	0
702	PU00361	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240			r2	-1	1	0	0	1	0
703	PU00362	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240			r3	-1	1	0	0	1	0
704	PU00363	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240	IPTG		r1	-1	1	0	0	1	0
705	PU00364	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240	IPTG		r2	-1	1	0	0	1	0
706	PU00365	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240	IPTG		r3	-1	1	0	0	1	0
707	PU00366	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 		WT		r1	-1	1	0	0	1	0
708	PU00367	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 		WT		r2	-1	1	0	0	1	0
709	PU00368	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 		WT		r3	-1	1	0	0	1	0
710	PU00369	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 		WT		r4	-1	1	0	0	1	0
711	PU00370	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 		WT		r5	-1	1	0	0	1	0
712	PU00371	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60			r1	-1	1	0	0	1	0
713	PU00372	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60			r2	-1	1	0	0	1	0
714	PU00373	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60			r3	-1	1	0	0	1	0
715	PU00374	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60	IPTG		r1	-1	1	0	0	1	0
716	PU00375	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60	IPTG		r2	-1	1	0	0	1	0
717	PU00376	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	60	IPTG		r3	-1	1	0	0	1	0
718	PU00377	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240			r1	-1	1	0	0	1	0
719	PU00378	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240			r2	-1	1	0	0	1	0
720	PU00379	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240			r3	-1	1	0	0	1	0
721	PU00380	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240	IPTG		r1	-1	1	0	0	1	0
722	PU00381	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240	IPTG		r2	-1	1	0	0	1	0
723	PU00382	Not found	F. Haddadin	20021213	MG1655	LB	5g/L	glu 	240	IPTG		r3	-1	1	0	0	1	0
724	PU00383	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	BW30270	M9+MOPS	5g/L	glu aerobic	0			r1	-1	1	0	0	1	0
725	PU00384	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	BW30270	M9+MOPS	5g/L	glu aerobic	0			r2	-1	1	0	0	1	0
726	PU00385	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	BW30270	M9+MOPS	5g/L	glu anaerobic	0			r1	-1	1	0	0	1	0
727	PU00386	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	BW30270	M9+MOPS	5g/L	glu anaerobic	0			r2	-1	1	0	0	1	0
728	PU00387	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	BW30270	M9+MOPS	5g/L	glu aerobic	0			r1	-1	1	0	0	1	0
729	PU00388	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	BW30270	M9+MOPS	5g/L	glu aerobic	0			r2	-1	1	0	0	1	0
730	PU00389	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	BW30270	M9+MOPS	5g/L	glu anaerobic	0			r1	-1	1	0	0	1	0
731	PU00390	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	BW30270	M9+MOPS	5g/L	glu anaerobic	0			r2	-1	1	0	0	1	0
732	PU00391	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	MG1655	M9+MOPS	5g/L	glu aerobic	0			r1	-1	1	0	0	1	0
733	PU00392	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	MG1655	M9+MOPS	5g/L	glu aerobic	0			r2	-1	1	0	0	1	0
734	PU00393	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	MG1655	M9+MOPS	5g/L	glu anaerobic	0			r1	-1	1	0	0	1	0
735	PU00394	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	MG1655	M9+MOPS	5g/L	glu anaerobic	0			r2	-1	1	0	0	1	0
736	PU00395	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	MG1655	M9+MOPS	0.5% 40mM	glu anaerobic nitrate	0			r1	-1	1	0	0	1	0
737	PU00396	J Bacteriol 186(10):3254-3258	S. Brokx	20030425	MG1655	M9+MOPS	0.5% 40mM	glu anaerobic nitrate	0			r2	-1	1	0	0	1	0
738	PU00397	GSE6836	I. Keren	20050607	EMG2	LB	2g/L	glu	150			r1	-1	1	0	0	1	0
739	PU00398	GSE6836	I. Keren	20050607	EMG2	LB	2g/L	glu	180			r1	-1	1	0	0	1	0
740	PU00399	GSE6836	I. Keren	20050607	EMG2	LB	2g/L	glu	210			r1	-1	1	0	0	1	0
741	PU00400	GSE6836	I. Keren	20050607	EMG2	LB	2g/L	glu	240			r1	-1	1	0	0	1	0
742	PU00401	GSE6836	I. Keren	20050607	EMG2	LB	2g/L	glu	270			r1	-1	1	0	0	1	0
743	PU00402	GSE6836	I. Keren	20050607	EMG2	LB	2g/L	glu	300			r1	-1	1	0	0	1	0
744	PU00403	GSE6836	I. Keren	20050607	EMG2	LB	2g/L	glu	330			r1	-1	1	0	0	1	0
745	PU00404	GSE6836	I. Keren	20050607	EMG2	LB	2g/L	glu	360			r1	-1	1	0	0	1	0
746	PU00405	GSE6836	I. Keren	20050607	EMG2	LB	2g/L	glu	480			r1	-1	1	0	0	1	0
747	PU00406	GSE6836	I. Keren	20050607	EMG2	LB	4g/L	glu	150			r1	-1	1	0	0	1	0
748	PU00407	GSE6836	I. Keren	20050607	EMG2	LB	4g/L	glu	180			r1	-1	1	0	0	1	0
749	PU00408	GSE6836	I. Keren	20050607	EMG2	LB	4g/L	glu	210			r1	-1	1	0	0	1	0
750	PU00409	GSE6836	I. Keren	20050607	EMG2	LB	4g/L	glu	240			r1	-1	1	0	0	1	0
751	PU00410	GSE6836	I. Keren	20050607	EMG2	LB	4g/L	glu	270			r1	-1	1	0	0	1	0
752	PU00411	GSE6836	I. Keren	20050607	EMG2	LB	4g/L	glu	300			r1	-1	1	0	0	1	0
753	PU00412	GSE6836	I. Keren	20050607	EMG2	LB	4g/L	glu	330			r1	-1	1	0	0	1	0
754	PU00413	GSE6836	I. Keren	20050607	EMG2	LB	4g/L	glu	360			r1	-1	1	0	0	1	0
755	PU00414	GSE6836	I. Keren	20050607	EMG2	LB	4g/L	glu	480			r1	-1	1	0	0	1	0
756	PU00415	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH5	0			r1	0	0	0	0	1	0
757	PU00416	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH5	0			r2	0	0	0	0	1	0
758	PU00417	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH5	0			r3	0	0	0	0	1	0
759	PU00418	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH5	0			r4	0	0	0	0	1	0
760	PU00419	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH5	0			r5	0	0	0	0	1	0
761	PU00420	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH7	0			r1	0	0	0	0	1	0
762	PU00421	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH7	0			r2	0	0	0	0	1	0
763	PU00422	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH7	0			r3	0	0	0	0	1	0
764	PU00423	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH7	0			r4	0	0	0	0	1	0
765	PU00424	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH7	0			r5	0	0	0	0	1	0
766	PU00425	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH 8.7	0			r1	0	0	0	0	1	0
767	PU00426	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH 8.7	0			r2	0	0	0	0	1	0
768	PU00427	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH 8.7	0			r3	0	0	0	0	1	0
769	PU00428	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH 8.7	0			r4	0	0	0	0	1	0
770	PU00429	GSE4511	L. Maurer	20031017	EMG2	LB+HOMOPIPES	7.45g/L	KCl aerobic pH 8.7	0			r5	0	0	0	0	1	0
771	PU00430	MSB 3:97	D. Dwyer	20050724	BW25113	LB			0	WT		r1	0	0	0	0	1	0
772	PU00431	MSB 3:97	D. Dwyer	20050724	BW25113	LB			30	WT		r1	0	0	0	0	1	0
773	PU00432	MSB 3:97	D. Dwyer	20050724	BW25113	LB			60	WT		r1	0	0	0	0	1	0
774	PU00433	MSB 3:97	D. Dwyer	20050724	BW25113	LB			120	WT		r1	0	0	0	0	1	0
775	PU00434	MSB 3:97	D. Dwyer	20050724	BW25113	LB			180	WT		r1	0	0	0	0	1	0
776	PU00435	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	0	WT		r1	0	0	0	0	1	0
777	PU00436	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	30	WT		r1	0	0	0	0	1	0
778	PU00437	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	60	WT		r1	0	0	0	0	1	0
779	PU00438	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	120	WT		r1	0	0	0	0	1	0
780	PU00439	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	180	WT		r1	0	0	0	0	1	0
781	PU00440	MSB 3:97	D. Dwyer	20050724	BW25113	LB			0	recA	D	r1	1	0	1	0	1	0
782	PU00441	MSB 3:97	D. Dwyer	20050724	BW25113	LB			30	recA	D	r1	1	0	1	0	1	0
783	PU00442	MSB 3:97	D. Dwyer	20050724	BW25113	LB			60	recA	D	r1	1	0	1	0	1	0
784	PU00443	MSB 3:97	D. Dwyer	20050724	BW25113	LB			120	recA	D	r1	1	0	1	0	1	0
785	PU00444	MSB 3:97	D. Dwyer	20050724	BW25113	LB			180	recA	D	r1	1	0	1	0	1	0
786	PU00445	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	0	ccdB	U	r1	1	0	0	0	1	0
787	PU00446	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	30	ccdB	U	r1	1	0	0	0	1	0
788	PU00447	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	60	ccdB	U	r1	1	0	0	0	1	0
789	PU00448	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	120	ccdB	U	r1	1	0	0	0	1	0
790	PU00449	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	180	ccdB	U	r1	1	0	0	0	1	0
791	PU00450	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	0	recA	D	r1	1	0	1	0	1	0
792	PU00451	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	30	recA	D	r1	1	0	1	0	1	0
793	PU00452	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	60	recA	D	r1	1	0	1	0	1	0
794	PU00453	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	120	recA	D	r1	1	0	1	0	1	0
795	PU00454	MSB 3:97	D. Dwyer	20050724	BW25113	LB	250 ng/ml	norfloxacin	180	recA	D	r1	1	0	1	0	1	0
796	PU00455	MSB 3:97	D. Dwyer	20050724	BW25113	LB			0	recA ccdB	D U	r1	1	0	0	0	1	0
797	PU00456	MSB 3:97	D. Dwyer	20050724	BW25113	LB			30	recA ccdB	D U	r1	1	0	0	0	1	0
798	PU00457	MSB 3:97	D. Dwyer	20050724	BW25113	LB			60	recA ccdB	D U	r1	1	0	0	0	1	0
799	PU00458	MSB 3:97	D. Dwyer	20050724	BW25113	LB			120	recA ccdB	D U	r1	1	0	0	0	1	0
800	PU00459	MSB 3:97	D. Dwyer	20050724	BW25113	LB			180	recA ccdB	D U	r1	1	0	0	0	1	0
801	PU00460	MSB 3:97	D. Dwyer	20050724	MG1063	LB			0			r1	0	0	0	0	1	0
802	PU00461	MSB 3:97	D. Dwyer	20050724	MG1063	LB			30			r1	0	0	0	0	1	0
803	PU00462	MSB 3:97	D. Dwyer	20050724	MG1063	LB			60			r1	0	0	0	0	1	0
804	PU00463	MSB 3:97	D. Dwyer	20050724	MG1063	LB			120			r1	0	0	0	0	1	0
805	PU00464	MSB 3:97	D. Dwyer	20050724	MG1063	LB	250 ng/ml	norfloxacin	0			r1	0	0	0	0	1	0
806	PU00465	MSB 3:97	D. Dwyer	20050724	MG1063	LB	250 ng/ml	norfloxacin	30			r1	0	0	0	0	1	0
807	PU00466	MSB 3:97	D. Dwyer	20050724	MG1063	LB	250 ng/ml	norfloxacin	60			r1	0	0	0	0	1	0
808	PU00467	MSB 3:97	D. Dwyer	20050724	MG1063	LB	250 ng/ml	norfloxacin	120			r1	0	0	0	0	1	0
809	PU00468	MSB 3:97	D. Dwyer	20050724	MG1063	LB	250 ng/ml 100uM	nor chelator	0			r1	0	0	0	0	1	0
810	PU00469	MSB 3:97	D. Dwyer	20050724	MG1063	LB	251 ng/ml 100uM	nor chelator	30			r1	0	0	0	0	1	0
811	PU00470	MSB 3:97	D. Dwyer	20050724	MG1063	LB	252 ng/ml 100uM	nor chelator	60			r1	0	0	0	0	1	0
812	PU00471	MSB 3:97	D. Dwyer	20050724	MG1063	LB	253 ng/ml 100uM	nor chelator	120			r1	0	0	0	0	1	0
813	PU00472	MSB 3:97	D. Dwyer	20050724	MG1063	LB	100uM	chelator	0	ccdB	U	r1	0	0	0	0	1	0
814	PU00473	MSB 3:97	D. Dwyer	20050724	MG1063	LB	100uM	chelator	30	ccdB	U	r1	0	0	0	0	1	0
815	PU00474	MSB 3:97	D. Dwyer	20050724	MG1063	LB	100uM	chelator	60	ccdB	U	r1	0	0	0	0	1	0
816	PU00475	MSB 3:97	D. Dwyer	20050724	MG1063	LB	100uM	chelator	120	ccdB	U	r1	0	0	0	0	1	0
817	PU00476	MSB 3:97	D. Dwyer	20050724	MG1655	LB			0	lacZ	U	r1	1	0	1	0	1	0
818	PU00477	MSB 3:97	D. Dwyer	20050724	MG1655	LB			30	lacZ	U	r1	1	0	1	0	1	0
819	PU00478	MSB 3:97	D. Dwyer	20050724	MG1655	LB			60	lacZ	U	r1	1	0	1	0	1	0
820	PU00479	MSB 3:97	D. Dwyer	20050724	MG1655	LB			90	lacZ	U	r1	1	0	1	0	1	0
821	PU00480	MSB 3:97	D. Dwyer	20050724	MG1655	LB			0	ccdB	U	r1	1	0	0	0	1	0
822	PU00481	MSB 3:97	D. Dwyer	20050724	MG1655	LB			0	ccdB	U	r2	1	0	0	0	1	0
823	PU00482	MSB 3:97	D. Dwyer	20050724	MG1655	LB			30	ccdB	U	r1	1	0	0	0	1	0
824	PU00483	MSB 3:97	D. Dwyer	20050724	MG1655	LB			30	ccdB	U	r2	1	0	0	0	1	0
825	PU00484	MSB 3:97	D. Dwyer	20050724	MG1655	LB			60	ccdB	U	r1	1	0	0	0	1	0
826	PU00485	MSB 3:97	D. Dwyer	20050724	MG1655	LB			60	ccdB	U	r2	1	0	0	0	1	0
827	PU00486	MSB 3:97	D. Dwyer	20050724	MG1655	LB			90	ccdB	U	r1	1	0	0	0	1	0
828	PU00487	MSB 3:97	D. Dwyer	20050724	MG1655	LB			90	ccdB	U	r2	1	0	0	0	1	0
829	PU00488	MSB 3:97	D. Dwyer	20050724	W1872	LB	100uM	chelator	0	ccdB	U	r1	0	0	0	0	1	0
830	PU00489	MSB 3:97	D. Dwyer	20050724	W1872	LB	100uM	chelator	30	ccdB	U	r1	0	0	0	0	1	0
831	PU00490	MSB 3:97	D. Dwyer	20050724	W1872	LB	100uM	chelator	60	ccdB	U	r1	0	0	0	0	1	0
832	PU00491	MSB 3:97	D. Dwyer	20050724	W1872	LB	100uM	chelator	120	ccdB	U	r1	0	0	0	0	1	0
833	PU00492	Cell 130(5):797-810	M. Kohanski	20070114	MG1655	LB			0			r1	0	0	0	1	1	0
834	PU00493	Cell 130(5):797-810	M. Kohanski	20070114	MG1655	LB			30			r1	0	0	0	1	1	0
835	PU00494	Cell 130(5):797-810	M. Kohanski	20070114	MG1655	LB			60			r1	0	0	0	1	1	0
836	PU00495	Cell 130(5):797-810	M. Kohanski	20070114	MG1655	LB			120			r1	0	0	0	1	1	0
