EG10001	4263805..4264884
EG10836	(complement(1643896..1643657))
EG10837	3958700..3960721
EG10838	3792010..3792942
EG10839	(complement(4022844..4022356))
EG10840	3965939..3967042
EG10841	2001896..2003302
EG10842	4096669..4097517
EG10843	4095759..4096595
EG10844	(complement(3963653..3962388))
EG10845	3964440..3965699
EG10846	3760206..3764339
EG10847	3617215..3621450
EG10848	728806..732999
EG10849	522485..526765
EG10850	4606208..4606654
EG10851	1124785..1125369
EG10852	891190..892092
EG10853	1496962..1497501
EG10854	(complement(664413..663325))
EG10855	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10855 lptE ""EG10855-MONOMER"" (complement(671409..670828))"
EG10856	(complement(644226..643420))
EG10857	(complement(2702085..2701405))
EG10858	(complement(1886015..1884888))
EG10859	(complement(1143590..1140405))
EG10860	(complement(236002..235535))
EG10861	204493..205089
EG10862	3882516..3882875
EG10863	(complement(3814572..3813886))
EG10864	4176902..4177606
EG10865	(complement(3449386..3448565))
EG10866	(complement(3450948..3450319))
EG10867	(complement(3450308..3449703))
EG10868	(complement(3445460..3444921))
EG10869	(complement(3444162..3443629))
EG10870	4424131..4424580
EG10871	4178019..4178516
EG10872	4176470..4176898
EG10873	4178583..4178948
EG10874	(complement(3376673..3376245))
EG10875	(complement(3446171..3445800))
EG10876	(complement(3442561..3442127))
EG10877	(complement(3447191..3446781))
EG10878	(complement(3438021..3437638))
EG10879	(complement(3443619..3443266))
EG10880	(complement(2742552..2742205))
EG10881	(complement(1797773..1797417))
EG10882	(complement(3448255..3447923))
EG10883	(complement(3449706..3449404))
EG10884	(complement(3445789..3445475))
EG10885	2280539..2280823
EG10886	(complement(3809697..3809461))
EG10887	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10887 rpmC ""EG10887-MONOMER"" (complement(3446781..3446590))"
EG10888	(complement(3442744..3442565))
EG10889	4125036..4125248
EG10890	1146590..1146763
EG10891	(complement(3809440..3809273))
EG10892	3882359..3882499
EG10893	(complement(3439051..3438062))
EG10894	4179268..4183296
EG10895	4183373..4187596
EG10896	3211069..3212910
EG10897	(complement(3598806..3597952))
EG10898	3342739..3344172
EG10899	3820129..3820404
EG10900	961218..962891
EG10901	189874..190599
EG10902	(complement(3447905..3447204))
EG10903	(complement(3439697..3439077))
EG10904	(complement(3443251..3442748))
EG10905	4423141..4423536
EG10906	(complement(3472103..3471564))
EG10907	(complement(3444567..3444175))
EG10908	(complement(3376229..3375837))
EG10909	(complement(3451292..3450981))
EG10910	(complement(3440120..3439731))
EG10911	(complement(3472574..3472200))
EG10912	(complement(3440493..3440137))
EG10913	(complement(3444906..3444601))
EG10914	(complement(3309706..3309437))
EG10915	(complement(2744207..2743959))
EG10916	(complement(3446590..3446336))
EG10917	4423862..4424089
EG10918	(complement(3448548..3448270))
EG10919	(complement(21078..20815))
EG10920	3208803..3209018
EG10921	1986740..1987237
EG10922	(complement(4173049..4172099))
EG10925	(complement(1945400..1944879))
EG10926	2080780..2082207
EG10927	(complement(414977..411831))
EG10928	395863..397083
EG10929	4106857..4107846
EG10930	1894956..1896320
EG10931	755130..756896
EG10932	756912..757628
EG10933	754400..754789
EG10934	754783..755130
EG10935	(complement(1994856..1994134))
EG10936	108279..110984
EG10937	(complement(3782151..3781684))
EG10938	426871..428718
EG10939	4175381..4175764
EG10940	428729..429700
EG10941	(complement(3759272..3757881))
EG10942	(complement(3757884..3756040))
EG10943	(complement(1846032..1844989))
EG10944	(complement(3056432..3055200))
EG10945	4622918..4623886
EG10946	956876..957964
EG10947	938651..939943
EG10948	(complement(1553693..1551996))
EG10949	(complement(161486..160782))
EG10950	4628756..4630693
EG10951	(complement(4622812..4622168))
EG10952	2751627..2751968
EG10953	4098833..4099453
EG10954	1733402..1733983
EG10955	3275024..3275359
EG10956	1327356..1328405
EG10957	4275492..4275956
EG10958	(complement(4275406..4275083))
EG10959	(complement(3083933..3081957))
EG10960	(complement(3081819..3080899))
EG10961	(complement(3107177..3105042))
EG10962	(complement(135582..134788))
EG10963	(complement(136464..135598))
EG10964	(complement(719683..717485))
EG10965	3819451..3820074
EG10966	3820423..3822531
EG10967	3822538..3823227
EG10968	1846861..1848717
EG10969	2824414..2825373
EG10970	2825384..2825755
EG10971	2825759..2826538
EG10972	2826643..2827002
EG10973	2827835..2828800
EG10974	2827069..2827842
EG10975	2710918..2712252
EG10976	4272148..4272684
EG10977	(complement(3375442..3374804))
EG10978	(complement(3374798..3374301))
EG10979	757929..760730
EG10980	760745..761962
EG10981	762237..763403
EG10982	763403..764272
EG10983	2661464..2662267
EG10984	(complement(1020142..1019633))
EG10985	(complement(54702..53416))
EG10986	3711115..3711678
EG10987	(complement(1969008..1967407))
EG10988	(complement(1970715..1969054))
EG10989	(complement(3265087..3264149))
EG10990	(complement(3264050..3263061))
EG10991	(complement(3263039..3261708))
EG10992	3265402..3265620
EG10993	(complement(3789368..3788343))
EG10994	1292750..1293367
EG10995	(complement(474385..473525))
EG10996	425361..426488
EG10997	3884851..3886215
EG10998	337..2799
EG10999	2801..3733
EG11000	3734..5020
EG11001	(complement(1800594..1798666))
EG11002	(complement(2963177..2962383))
EG11003	454357..455655
EG11004	(complement(1926863..1924803))
EG11005	3886753..3888168
EG11006	3888259..3889506
EG11007	775565..776830
EG11008	776963..778255
EG11009	3176137..3177618
EG11010	774376..775068
EG11011	775072..775500
EG11012	1309113..1309832
EG11013	1329072..1331669
EG11014	(complement(1844984..1843023))
EG11015	(complement(4109530..4108763))
EG11016	(complement(1286411..1286310))
EG11017	(complement(1246599..1244902))
EG11018	1490494..1492134
EG11019	3434540..3435916
EG11020	1421806..1423263
EG11021	4031168..4032619
EG11022	(complement(4161293..4160193))
EG11023	(complement(2743361..2742594))
EG11024	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11024 trpA ""TRYPSYN-APROTEIN"" (complement(1315246..1314440))"
EG11025	(complement(1316439..1315246))
EG11026	(complement(1317809..1316451))
EG11027	(complement(1319408..1317813))
EG11028	(complement(1320970..1319408))
EG11029	4630783..4631109
EG11030	(complement(3511660..3510656))
EG11031	3963784..3964113
EG11032	(complement(931273..930308))
EG11033	190857..191708
EG11034	4589680..4591335
EG11035	(complement(431237..430353))
EG11036	(complement(3469351..3468167))
EG11037	4173967..4175151
EG11038	1682283..1683212
EG11039	(complement(2738091..2736970))
EG11040	4265137..4266330
EG11041	1987705..1988916
EG11042	1384744..1386285
EG11043	(complement(1715246..1713972))
EG11044	(complement(2426648..2426079))
EG11045	4014454..4015215
EG11046	(complement(3588934..3588047))
EG11047	(complement(3590348..3589032))
EG11048	(complement(3587203..3586133))
EG11049	(complement(3588050..3587205))
EG11050	(complement(3586136..3585393))
EG11051	(complement(3848749..3848159))
EG11052	(complement(3848159..3846657))
EG11053	(complement(3846647..3845328))
EG11054	(complement(3845190..3843799))
EG11055	(complement(1694095..1692284))
EG11056	1230409..1231677
EG11057	1229990..1230409
EG11058	2714776..2715465
EG11059	(complement(2434671..2433658))
EG11060	504138..505790
EG11061	(complement(4271894..4269072))
EG11062	812749..814770
EG11063	(complement(1992730..1990898))
EG11064	3996006..3998168
EG11065	(complement(1608704..1607253))
EG11066	4549659..4550843
EG11067	(complement(4481860..4479005))
EG11068	(complement(2028942..2028472))
EG11069	3994310..3995206
EG11070	(complement(3036844..3036134))
EG11071	(complement(3037765..3036869))
EG11072	2632254..2633624
EG11073	1830452..1831258
EG11074	(complement(3728788..3727466))
EG11075	(complement(3727394..3725940))
EG11076	(complement(4240277..4238802))
EG11078	18715..19620
EG11079	21407..22348
EG11080	25826..26275
EG11081	26277..27227
EG11082	27293..28207
EG11083	(complement(63264..60358))
EG11084	89634..90092
EG11085	90094..91035
EG11086	91032..91397
EG11087	107705..108217
EG11088	122092..122856
EG11089	(complement(136917..136570))
EG11090	(complement(179153..178455))
EG11091	256527..257771
EG11092	257829..258230
EG11093	406203..406394
EG11094	(complement(416176..414974))
EG11095	(complement(424142..423561))
EG11096	426511..426843
EG11097	429829..430176
EG11098	(complement(440567..440325))
EG11099	475896..476249
EG11100	493300..493629
EG11101	(complement(499197..498238))
EG11102	499349..500653
EG11103	(complement(563703..563071))
EG11104	621523..622773
EG11105	628523..628936
EG11108	738224..738733
EG11109	(complement(765098..764376))
EG11110	773975..774379
EG11111	(complement(921813..921589))
EG11112	(complement(926655..925951))
EG11113	(complement(1030641..1029982))
EG11116	1116030..1117082
EG11117	(complement(1122496..1121936))
EG11118	1144163..1145122
EG11119	1146017..1146538
EG11120	(complement(1208342..1207740))
EG11121	(complement(1310270..1309872))
EG11122	(complement(1310914..1310375))
EG11123	(complement(1311687..1310944))
EG11124	1312044..1312682
EG11125	(complement(1313248..1312742))
EG11126	(complement(1313794..1313294))
EG11127	(complement(1314059..1313880))
EG11128	1340682..1341008
EG11129	(complement(1642926..1642675))
EG11130	(complement(1643298..1643143))
EG11131	(complement(1643657..1643370))
EG11132	1785469..1786302
EG11133	(complement(1790755..1790291))
EG11134	(complement(1846700..1846149))
EG11135	1849911..1850552
EG11136	1944275..1944877
EG11137	(complement(1946175..1945435))
EG11138	(complement(1946656..1946204))
EG11139	(complement(1989643..1988978))
EG11140	(complement(1993383..1992727))
EG11141	2027563..2028483
EG11142	(complement(2334666..2332978))
EG11143	2337589..2338311
EG11144	(complement(2443582..2442773))
EG11145	(complement(2515854..2513665))
EG11146	(complement(2520499..2519615))
EG11147	2589269..2589625
EG11149	2597928..2598500
EG11150	2599223..2599840
EG11151	2735176..2735517
EG11152	2741647..2742129
EG11153	(complement(2743940..2743392))
EG11154	(complement(2960786..2960463))
EG11155	(complement(2961178..2960771))
EG11156	(complement(2961738..2961175))
EG11157	(complement(2978657..2977965))
EG11158	3054263..3054811
EG11159	(complement(3066830..3066195))
EG11160	(complement(3067829..3066969))
EG11161	(complement(3072711..3071998))
EG11162	(complement(3073217..3072708))
EG11163	3177618..3177878
EG11164	3177862..3178437
EG11165	3178443..3179603
EG11166	(complement(3180456..3179641))
EG11167	3180572..3181345
EG11168	3204485..3205396
EG11169	3205393..3205998
EG11171	(complement(3208565..3207552))
EG11172	(complement(3261694..3260474))
EG11173	3265876..3266415
EG11174	3266437..3267624
EG11175	(complement(3269873..3268647))
EG11176	(complement(3270779..3269889))
EG11177	(complement(3310799..3309855))
EG11178	(complement(3311200..3310799))
EG11179	(complement(3316028..3315576))
EG11180	3436046..3436456
EG11181	(complement(3465013..3464819))
EG11182	(complement(3483840..3483436))
EG11183	(complement(3515328..3514042))
EG11184	3584966..3585406
EG11186	(complement(3725384..3724947))
EG11187	3764360..3765202
EG11188	(complement(3791706..3790849))
EG11189	3794002..3794961
EG11190	3807848..3808327
EG11191	3812517..3813113
EG11192	3814699..3815562
EG11193	3815783..3816607
EG11194	3826968..3828359
EG11195	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11195 yidA ""EG11195-MONOMER"" (complement(3874975..3874163))"
EG11196	(complement(3875488..3875090))
EG11197	3883099..3884745
EG11198	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11198 glmU ""NAG1P-URIDYLTRANS-MONOMER"" (complement(3913223..3911853))"
EG11199	(complement(3924478..3924035))
EG11201	3993606..3994313
EG11202	3995206..3995922
EG11203	(complement(4048752..4048156))
EG11204	4163451..4164308
EG11205	4170080..4171108
EG11206	4211257..4211640
EG11207	(complement(4212146..4211703))
EG11208	(complement(4220510..4218324))
EG11209	4238348..4238758
EG11210	4325158..4327386
EG11211	4380666..4381643
EG11212	4404213..4404638
EG11213	(complement(4446268..4445999))
EG11214	(complement(4598212..4597718))
EG11215	(complement(4599973..4599647))
EG11217	4633544..4634017
EG11218	4634030..4634719
EG11219	1489701..1489874
EG11221	(complement(1934338..1932863))
EG11222	(complement(2145564..2144716))
EG11223	4154873..4156246
EG11224	2019528..2019893
EG11225	(complement(4364796..4363495))
EG11226	(complement(83529..81958))
EG11227	1545425..1548472
EG11228	1548485..1549369
EG11229	1549362..1550015
EG11230	(complement(4339651..4338743))
EG11231	(complement(1798023..1797826))
EG11232	(complement(3440756..3440640))
EG11233	1680906..1682207
EG11234	1771813..1772679
EG11235	830095..831459
EG11236	331595..332683
EG11237	(complement(3467875..3465182))
EG11238	(complement(807132..806656))
EG11239	(complement(797654..796836))
EG11241	(complement(944780..944154))
EG11242	945094..946242
EG11244	(complement(3066102..3065362))
EG11245	(complement(3074204..3073239))
EG11246	(complement(1396646..1395696))
EG11247	(complement(2913022..2911721))
EG11249	(complement(2909113..2908778))
EG11250	4446470..4446721
EG11251	1266543..1267352
EG11252	974872..975549
EG11253	980270..982117
EG11254	(complement(667938..667471))
EG11255	(complement(668259..667942))
EG11256	400610..400870
EG11257	402927..404042
EG11258	(complement(953689..952832))
EG11259	4404677..4407118
EG11260	(complement(3948022..3946472))
EG11261	890407..891129
EG11262	3490590..3491771
EG11263	(complement(3451949..3451530))
EG11265	960424..961107
EG11266	(complement(3788104..3787070))
EG11267	(complement(3725771..3725430))
EG11268	3432236..3433183
EG11269	2088020..2088070
EG11270	3948345..3948443
EG11271	2735621..2735668
EG11272	(complement(1797294..1797250))
EG11274	(complement(1321106..1321062))
EG11275	(complement(3851011..3850913))
EG11276	3886458..3886532
EG11277	190..255
EG11279	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11279 pyrL ""EG11279-MONOMER"" (complement(4470556..4470422))"
EG11280	(complement(83708..83622))
EG11281	4395435..4397282
EG11282	2599840..2601858
EG11283	(complement(4321304..4320684))
EG11284	202101..202556
EG11285	(complement(2686825..2685491))
EG11286	(complement(4152870..4151719))
EG11287	(complement(2854828..2854475))
EG11288	409368..410276
EG11289	2233287..2234522
EG11290	(complement(2240989..2239832))
EG11291	3079935..3080693
EG11292	3147684..3148568
EG11293	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11293 lolB ""EG11293-MONOMER"" (complement(1262723..1262100))"
EG11294	(complement(1262100..1261249))
EG11295	3967054..3968100
EG11296	4623935..4625317
EG11297	4041441..4042067
EG11298	(complement(3396400..3395807))
EG11299	(complement(3395817..3394348))
EG11300	1646532..1646687
EG11301	1646689..1646817
EG11302	1646847..1647065
EG11303	1647818..1648009
EG11304	1648102..1649022
EG11305	658170..658373
EG11306	(complement(659439..658474))
EG11309	1472245..1473105
EG11310	1473168..1475474
EG11311	3408302..3409267
EG11312	(complement(3810582..3809914))
EG11313	(complement(4098548..4097514))
EG11314	(complement(1191209..1189839))
EG11315	3401506..3402480
EG11316	3735520..3737550
EG11317	1148951..1149880
EG11318	1149893..1150627
EG11319	1290680..1291588
EG11320	432226..432675
EG11321	432679..433782
EG11322	433871..434341
EG11323	(complement(3053466..3052888))
EG11324	(complement(3051540..3050362))
EG11325	1333855..1336530
EG11326	355395..356678
EG11327	354146..355405
EG11328	(complement(2655105..2654770))
EG11329	2789295..2790743
EG11330	2792275..2793675
EG11331	(complement(1337184..1336594))
EG11332	(complement(2618894..2618268))
EG11333	(complement(3050339..3049137))
EG11334	(complement(3819193..3817511))
EG11335	4625338..4626570
EG11336	3088369..3089076
EG11337	(complement(2246554..2245085))
EG11338	(complement(1113404..1113030))
EG11339	(complement(3805090..3803966))
EG11340	(complement(3803973..3803176))
EG11341	(complement(3806121..3805087))
EG11342	1297821..1298468
EG11343	(complement(1114713..1113487))
EG11344	(complement(1192996..1191890))
EG11345	(complement(1191854..1191213))
EG11346	(complement(2011038..2010724))
EG11347	2011253..2012911
EG11350	(complement(3803139..3802204))
EG11351	(complement(3802190..3801081))
EG11352	(complement(3801081..3800062))
EG11353	(complement(3800022..3799006))
EG11354	2809449..2810621
EG11355	(complement(1999813..1999094))
EG11356	(complement(1999048..1998497))
EG11357	832293..834443
EG11358	(complement(3334516..3333257))
EG11359	3463565..3464242
EG11360	(complement(3735200..3734376))
EG11361	(complement(2139636..2137783))
EG11362	(complement(160112..159186))
EG11363	4394088..4395425
EG11364	(complement(3900243..3898627))
EG11366	(complement(4633333..4632464))
EG11367	2913079..2915835
EG11368	(complement(2374841..2373984))
EG11369	4250529..4251026
EG11370	4251039..4251911
EG11371	(complement(2696572..2695937))
EG11372	(complement(2695879..2695376))
EG11373	2693823..2695379
EG11374	(complement(157732..157253))
EG11375	(complement(2241674..2241006))
EG11376	(complement(3160691..3159279))
EG11377	(complement(3161503..3160766))
EG11378	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11378 sufA ""EG11378-MONOMER"" (complement(1762410..1762042))"
EG11379	1038519..1039655
EG11380	1036963..1038507
EG11381	(complement(3189961..3189761))
EG11383	(complement(3348481..3347828))
EG11384	638168..638731
EG11385	638976..640541
EG11386	4572158..4574878
EG11387	2004180..2005667
EG11388	2003327..2003737
EG11389	2003737..2004102
EG11390	3638134..3638568
EG11391	4609419..4610024
EG11392	(complement(1233940..1232399))
EG11393	(complement(1232253..1231723))
EG11394	4159090..4159794
EG11395	4159794..4160153
EG11396	4023011..4024504
EG11398	(complement(3654763..3654431))
EG11399	(complement(3654315..3653989))
EG11400	(complement(3653925..3653278))
EG11401	402505..402825
EG11402	(complement(4462732..4461077))
EG11403	2623137..2624678
EG11404	(complement(1257035..1255944))
EG11405	(complement(930185..928419))
EG11406	(complement(1741266..1740625))
EG11407	1236794..1238092
EG11408	1238102..1239172
EG11409	967589..968575
EG11410	(complement(4455888..4455337))
EG11411	(complement(188650..185978))
EG11412	(complement(670828..669797))
EG11413	(complement(4482303..4481860))
EG11414	4605826..4606239
EG11415	(complement(848134..847631))
EG11417	(complement(4460683..4458545))
EG11418	(complement(2140239..2139658))
EG11419	(complement(2277782..2276592))
EG11421	(complement(357914..357015))
EG11422	(complement(2347494..2346844))
EG11423	(complement(3797335..3796262))
EG11424	3794971..3796230
EG11425	(complement(3798988..3798290))
EG11426	(complement(3798219..3797368))
EG11427	(complement(3079657..3077666))
EG11428	(complement(4158813..4157413))
EG11429	4187809..4188348
EG11430	(complement(1187463..1186342))
EG11431	2516489..2516833
EG11432	2516835..2517227
EG11433	(complement(4440199..4439561))
EG11434	1617598..1617981
EG11435	1617144..1617578
EG11436	(complement(4494232..4493213))
EG11437	1146844..1147914
EG11438	(complement(1145818..1145234))
EG11439	2810638..2812176
EG11440	3431712..3432221
EG11441	(complement(3643205..3641163))
EG11442	(complement(3048689..3047595))
EG11443	(complement(3057347..3056688))
EG11444	3058872..3061016
EG11445	3061009..3062004
EG11447	(complement(2817168..2816983))
EG11448	(complement(4285394..4283436))
EG11449	(complement(3945990..3945151))
EG11450	3946109..3946447
EG11451	3968156..3969286
EG11452	3969283..3970545
EG11453	3970545..3971612
EG11454	3971631..3972512
EG11455	3972619..3973164
EG11456	3973169..3974299
EG11457	3976624..3977976
EG11458	3977979..3978719
EG11459	3978910..3980295
EG11460	2583753..2585453
EG11462	(complement(3999079..3998315))
EG11463	3999449..4000399
EG11464	(complement(4000822..4000442))
EG11465	(complement(4001216..4000836))
EG11466	(complement(4002201..4001311))
EG11467	(complement(4002720..4002253))
EG11468	4005780..4006400
EG11469	(complement(4007082..4006462))
EG11470	4008223..4009023
EG11471	4009099..4009998
EG11472	4015356..4016783
EG11473	4016878..4017633
EG11474	4017647..4018252
EG11476	4018249..4019889
EG11479	4020759..4021535
EG11481	4021577..4022359
EG11484	4030515..4031129
EG11485	4032631..4033176
EG11486	3974301..3975551
EG11487	(complement(1716031..1715375))
EG11488	(complement(1716419..1716090))
EG11489	1103670..1104125
EG11490	(complement(1570069..1568669))
EG11491	4255765..4257144
EG11492	(complement(4262254..4261271))
EG11493	1152523..1153332
EG11494	1153335..1154357
EG11495	3655018..3655590
EG11496	253702..254202
EG11497	3407092..3407973
EG11498	3409675..3410559
EG11499	(complement(3330757..3329792))
EG11500	1154985..1155989
EG11501	(complement(4338544..4336277))
EG11502	(complement(219995..219591))
EG11503	(complement(219594..218887))
EG11504	(complement(220928..220113))
EG11505	1923132..1923362
EG11506	(complement(3324957..3323023))
EG11507	(complement(3325686..3325057))
EG11508	(complement(1553987..1553850))
EG11509	10830..11315
EG11510	2621066..2623132
EG11511	9306..9893
EG11512	(complement(10494..9928))
EG11514	3359198..3359962
EG11515	3360134..3360808
EG11516	(complement(1236464..1234932))
EG11517	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11517 glpX ""EG11517-MONOMER"" (complement(4113602..4112592))"
EG11519	3616611..3617012
EG11520	3621422..3621805
EG11521	728357..728563
EG11522	732999..733325
EG11523	734873..735442
EG11524	737315..738076
EG11525	3622401..3623537
EG11526	1529840..1530976
EG11527	2288522..2289169
EG11528	(complement(1349063..1348275))
EG11529	(complement(4121362..4120403))
EG11530	(complement(1887770..1886085))
EG11531	1739437..1740585
EG11532	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11532 menC ""O-SUCCINYLBENZOATE-COA-SYN-MONOMER"" (complement(2373984..2373022))"
EG11533	1258014..1258292
EG11534	(complement(3865445..3865032))
EG11535	(complement(3864920..3864492))
EG11536	(complement(3864296..3862635))
EG11537	1125380..1126027
EG11538	(complement(2710786..2710049))
EG11539	191855..192580
EG11540	(complement(1066931..1066335))
EG11541	3929339..3931207
EG11542	(complement(518989..518363))
EG11543	4195739..4196803
EG11544	3656389..3656916
EG11545	1139256..1140209
EG11546	(complement(118645..117752))
EG11547	1726371..1727018
EG11548	1727111..1731727
EG11549	1185067..1186293
EG11551	(complement(2835447..2833195))
EG11552	(complement(2836127..2835600))
EG11553	(complement(3322092..3320755))
EG11554	(complement(2796517..2796113))
EG11555	(complement(7959..6529))
EG11556	8238..9191
EG11557	(complement(36162..35377))
EG11558	(complement(37824..36271))
EG11559	(complement(39115..37898))
EG11560	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11560 caiA ""CROBETREDUCT-MONOMER"" (complement(40386..39244))"
EG11561	(complement(41931..40417))
EG11562	42403..43173
EG11563	43188..44129
EG11564	44180..45466
EG11565	45463..45750
EG11566	45807..47138
EG11568	47246..47776
EG11569	(complement(57109..54755))
EG11570	57364..58179
EG11571	71351..72115
EG11572	(complement(72927..72229))
EG11573	(complement(74521..72911))
EG11574	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11574 tbpA ""SFUA-MONOMER"" (complement(75480..74497))"
EG11575	(complement(79453..78848))
EG11576	(complement(80864..79464))
EG11577	(complement(81958..80867))
EG11578	3534834..3535310
EG11579	(complement(832173..831691))
EG11580	834471..835433
EG11581	835574..836659
EG11583	533140..534921
EG11585	(complement(4194122..4192227))
EG11586	(complement(4192227..4191592))
EG11587	(complement(4191599..4190844))
EG11589	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11589 thiG ""THIG-MONOMER"" (complement(4190658..4189888))"
EG11590	(complement(4189891..4188758))
EG11591	(complement(661501..660860))
EG11592	(complement(661865..661602))
EG11594	(complement(660601..659648))
EG11595	816267..817256
EG11596	817278..817790
EG11597	818271..818516
EG11598	818518..818970
EG11599	1618013..1618231
EG11600	2650516..2651361
EG11601	(complement(2652955..2652179))
EG11602	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11602 glnE ""GLNE-MONOMER"" (complement(3197663..3194823))"
EG11603	(complement(3198987..3197686))
EG11604	(complement(3431582..3430458))
EG11605	(complement(3430486..3430013))
EG11606	(complement(1308293..1307040))
EG11607	(complement(1308889..1308593))
EG11608	(complement(1306669..1305209))
EG11609	2481777..2482391
EG11610	2482396..2485989
EG11611	(complement(1294239..1293649))
EG11612	4328525..4330027
EG11613	(complement(4333613..4331970))
EG11614	(complement(4331295..4330204))
EG11615	(complement(4331973..4331305))
EG11616	4374898..4375215
EG11617	2160900..2162303
EG11618	2162300..2163022
EG11619	(complement(1173187..1169741))
EG11620	(complement(1346936..1345002))
EG11621	(complement(222645..221614))
EG11622	469860..471641
EG11623	2927598..2928965
EG11624	(complement(902957..902229))
EG11625	(complement(902211..901480))
EG11626	(complement(901473..900757))
EG11627	(complement(900757..900089))
EG11628	(complement(899798..899067))
EG11629	893007..894119
EG11630	894214..895347
EG11631	895357..896310
EG11632	896307..897152
EG11634	(complement(1634391..1633822))
EG11635	580057..580602
EG11636	1615052..1616242
EG11637	(complement(1616932..1616267))
EG11639	(complement(1619161..1618262))
EG11640	1619356..1620543
EG11643	(complement(1621874..1620984))
EG11644	(complement(1622521..1622129))
EG11645	1622797..1623315
EG11646	(complement(2257318..2256377))
EG11647	208621..209580
EG11648	229167..229970
EG11649	(complement(230881..229967))
EG11650	231122..231922
EG11651	231926..232549
EG11652	3380222..3381289
EG11653	(complement(3992082..3991762))
EG11654	2012904..2013899
EG11656	2013892..2014578
EG11657	518957..519643
EG11658	(complement(1692287..1690914))
EG11659	(complement(2006114..2005701))
EG11660	2006301..2007506
EG11661	2007503..2007736
EG11662	2007845..2008513
EG11663	(complement(3476519..3475929))
EG11664	3475662..3475880
EG11665	(complement(3202153..3201332))
EG11666	817793..818278
EG11667	2318065..2319891
EG11668	2319888..2321273
EG11669	2321469..2322131
EG11670	2322131..2322781
EG11671	2322778..2324100
EG11672	2324131..2325315
EG11673	(complement(3202611..3202243))
EG11674	3202716..3203333
EG11675	(complement(149601..148807))
EG11676	(complement(4120310..4119780))
EG11677	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11677 modF ""MODF-MONOMER"" (complement(793011..791539))"
EG11678	(complement(150953..149715))
EG11679	(complement(2974036..2971877))
EG11680	3341966..3342691
EG11681	3344195..3344482
EG11682	3344600..3345091
EG11683	3816897..3817514
EG11684	3828480..3830189
EG11685	(complement(3832560..3830242))
EG11686	(complement(3833952..3832570))
EG11687	3834976..3836160
EG11688	3836271..3837194
EG11689	(complement(3839762..3838572))
EG11690	(complement(3840425..3839973))
EG11691	(complement(3841812..3840478))
EG11692	3841987..3843753
EG11693	3851945..3853129
EG11694	(complement(3853634..3853137))
EG11695	(complement(3853993..3853631))
EG11696	(complement(3854330..3853983))
EG11697	3854438..3854887
EG11698	(complement(788060..787020))
EG11699	(complement(786818..786066))
EG11700	782389..783108
EG11701	(complement(2140972..2140331))
EG11702	4194926..4195699
EG11703	(complement(484843..483650))
EG11704	(complement(483627..480478))
EG11705	(complement(3856427..3854934))
EG11706	(complement(3858139..3856424))
EG11707	3858276..3859199
EG11708	(complement(3860010..3859372))
EG11709	(complement(3860495..3860010))
EG11710	(complement(3861626..3860520))
EG11711	3861922..3862638
EG11712	3865751..3866083
EG11713	(complement(3867332..3866085))
EG11714	3867400..3868464
EG11719	3873461..3874117
EG11720	3889638..3890813
EG11721	3890788..3891747
EG11722	3891892..3892653
EG11723	3892675..3893241
EG11724	(complement(3894632..3893295))
EG11725	3894797..3895462
EG11726	3895529..3895996
EG11727	3896045..3896632
EG11728	(complement(3897416..3896694))
EG11729	(complement(3898627..3897431))
EG11730	(complement(3927626..3926175))
EG11731	(complement(3929116..3927620))
EG11732	(complement(3938635..3937208))
EG11733	(complement(3939350..3938658))
EG11734	1084215..1085279
EG11735	1082599..1083870
EG11736	222833..223408
EG11737	(complement(221621..220968))
EG11738	(complement(4194831..4194355))
EG11739	(complement(592401..590164))
EG11740	(complement(590177..587205))
EG11741	(complement(3411487..3410825))
EG11742	(complement(1577366..1575681))
EG11743	(complement(1575643..1573271))
EG11744	(complement(1573226..1570431))
EG11746	(complement(148795..147944))
EG11747	(complement(146694..146314))
EG11748	146968..147870
EG11749	145081..146310
EG11750	3541189..3542067
EG11751	(complement(1979636..1978212))
EG11752	(complement(1980411..1979611))
EG11753	(complement(1271072..1269972))
EG11754	77621..78799
EG11757	4393608..4394069
EG11758	4392089..4393636
