"Enzyme Frame ID"	"EC"	"Reaction ID"	"Reaction stoichiometry"	"Direction"	"Turnover Forward (s^-1)"	"Turnover Reverse (s^-1)"	"Comments"
"[""GLUTAMATESYN-DIMER""]"	"1.4.1.13"	"GLUSy"	"[c] : akg + gln-L + h + nadph --> (2) glu-L + nadp"	"forward only"		0	
"[""GDHA-MONOMER""]"	"1.4.1.4"	"GLUDy"	"[c] : glu-L + h2o + nadp <==> akg + h + nadph + nh4"	"reversible"			
"[""PDXH-MONOMER""]"	"1.4.3.5"	"PDX5POi"	"[c] : o2 + pdx5p --> h2o2 + pydx5p"	"forward only"		0	
"[""PDXH-MONOMER""]"	"1.4.3.5"	"PYAM5PO"	"[c] : h2o + o2 + pyam5p --> h2o2 + nh4 + pydx5p"	"forward only"		0	
"[""AMINEOXID-MONOMER""]"	"1.4.3.6"	"42A12BOOXpp"	"[p] : dopa + h2o + o2 --> 34dhpac + h2o2 + nh4"	"forward only"		0	
"[""AMINEOXID-MONOMER""]"	"1.4.3.6"	"PEAMNOpp"	"[p] : h2o + o2 + peamn --> h2o2 + nh4 + pacald"	"forward only"		0	
"[""AMINEOXID-MONOMER""]"	"1.4.3.6"	"TYROXDApp"	"[p] : h2o + o2 + tym --> 4hoxpacd + h2o2 + nh4"	"forward only"		0	
"[""DALADEHYDROGA-MONOMER""]"	"1.4.99.1"	"DAAD"	"[c] : ala-D + fad + h2o --> fadh2 + nh4 + pyr"	"forward only"		0	
"[""PUTA-MONOMER""]"	"1.5.1.12"	"P5CD"	"[c] : 1pyr5c + (2) h2o + nad --> glu-L + h + nadh"	"forward only"		0	
"[""PYRROLINECARBREDUCT-MONOMER""]"	"1.5.1.2"	"P5CR"	"[c] : 1pyr5c + (2) h + nadph --> nadp + pro-L"	"forward only"		0	
"[""DIHYDROFOLATEREDUCT-MONOMER""]"	"1.5.1.3"	"DHFR"	"[c] : dhf + h + nadph <==> nadp + thf"	"reversible"			
"[""G6862-MONOMER""]"	"1.5.1.3"	"DHFR"	"[c] : dhf + h + nadph <==> nadp + thf"	"reversible"			
"[""FMNREDUCT-MONOMER""]"	"1.5.1.30"	"FLVR"	"[c] : h + nadph + ribflv --> nadp + rbflvrd"	"forward only"		0	
"[""FMNREDUCT-MONOMER""]"	"1.5.1.30"	"FLVRx"	"[c] : h + nadh + ribflv --> nad + rbflvrd"	"forward only"		0	
"[""SULFITE-REDUCT-CPLX""]"	"1.5.1.30"	"FLVR"	"[c] : h + nadph + ribflv --> nadp + rbflvrd"	"forward only"		0	
"[""FOLD-MONOMER""]"	"1.5.1.5"	"MTHFD"	"[c] : mlthf + nadp <==> methf + nadph"	"reversible"			
"[""SARCOX-MONOMER""]"	"1.5.3.1"	"SARCOX"	"[c] : h2o + o2 + sarcs --> fald + gly + h2o2"	"forward only"		0	
"[""SARCOX-MONOMER""]"	"1.5.3.2"	"MTRPOX"	"[c] : Nmtrp + h2o + o2 --> fald + h2o2 + trp-L"	"forward only"		0	
"[""PUTA-MONOMER""]"	"1.5.99.8"	"PROD2"	"[c] : fad + pro-L --> 1pyr5c + fadh2 + h"	"forward only"		0	
"[""PYRNUTRANSHYDROGEN-CPLX""]"	"1.6.1.1"	"THD2pp"	"(2) h[p] + nadh[c] + nadp[c] --> (2) h[c] + nad[c] + nadph[c]"	"forward only"		0	
"[""NADH-DHI-CPLX""]"	"1.6.5.3"	"NADH16pp"	"(4) h[c] + nadh[c] + q8[c] --> (3) h[p] + nad[c] + q8h2[c]"	"forward only"		0	
"[""NADH-DHI-CPLX""]"	"1.6.5.3"	"NADH17pp"	"(4) h[c] + mqn8[c] + nadh[c] --> (3) h[p] + mql8[c] + nad[c]"	"forward only"		0	
"[""NADH-DHI-CPLX""]"	"1.6.5.3"	"NADH18pp"	"2dmmq8[c] + (4) h[c] + nadh[c] --> 2dmmql8[c] + (3) h[p] + nad[c]"	"forward only"		0	
"[""NADH-DHII-MONOMER""]"	"1.6.5.3"	"NADH10"	"[c] : h + mqn8 + nadh --> mql8 + nad"	"forward only"		0	
"[""NADH-DHII-MONOMER""]"	"1.6.5.3"	"NADH5"	"[c] : h + nadh + q8 --> nad + q8h2"	"forward only"		0	
"[""NADH-DHII-MONOMER""]"	"1.6.5.3"	"NADH9"	"[c] : 2dmmq8 + h + nadh --> 2dmmql8 + nad"	"forward only"		0	
"[""EG12656-MONOMER""]"	"1.6.99.6"	"NADPHQR2"	"[c] : h + nadph + q8 --> nadp + q8h2"	"forward only"		0	
"[""EG12656-MONOMER""]"	"1.6.99.6"	"NADPHQR3"	"[c] : h + mqn8 + nadph --> mql8 + nadp"	"forward only"		0	
"[""EG12656-MONOMER""]"	"1.6.99.6"	"NADPHQR4"	"[c] : 2dmmq8 + h + nadph --> 2dmmql8 + nadp"	"forward only"		0	
"[""GMP-REDUCT-MONOMER""]"	"1.7.1.7"	"GMPR"	"[c] : gmp + (2) h + nadph --> imp + nadp + nh4"	"forward only"		0	
"[""NAP-CPLX""]"	"1.7.99.4"	"NO3R1bpp"	"no3[p] + q8h2[c] --> h2o[p] + no2[p] + q8[c]"	"forward only"		0	
"[""NAP-CPLX""]"	"1.7.99.4"	"NO3R2bpp"	"mql8[c] + no3[p] --> h2o[p] + mqn8[c] + no2[p]"	"forward only"		0	
"[""NARJ-MONOMER"", ""NITRATREDUCTA-CPLX""]"	"1.7.99.4"	"NO3R1pp"	"(2) h[c] + no3[c] + q8h2[c] --> (2) h[p] + h2o[c] + no2[c] + q8[c]"	"forward only"		0	
"[""NARW-MONOMER"", ""NITRATREDUCTZ-CPLX""]"	"1.7.99.4"	"NO3R1pp"	"(2) h[c] + no3[c] + q8h2[c] --> (2) h[p] + h2o[c] + no2[c] + q8[c]"	"forward only"		0	
"[""GLUTATHIONE-REDUCT-NADPH-MONOMER""]"	"1.8.1.7"	"GTHOr"	"[c] : gthox + h + nadph <==> (2) gthrd + nadp"	"reversible"			
"[""THIOREDOXIN-REDUCT-NADPH-CPLX""]"	"1.8.1.9"	"TRDR"	"[c] : h + nadph + trdox --> nadp + trdrd"	"forward only"		0	
"[""SULFITE-REDUCT-CPLX""]"	"1.8.2.2"	"SULRi"	"[c] : (5) h + (3) nadph + so3 --> (3) h2o + h2s + (3) nadp"	"forward only"		0	
"[""EG11433-MONOMER""]"	"1.8.4.5"	"METSOXR1"	"[c] : metsox-S-L + trdrd --> h2o + met-L + trdox"	"forward only"		0	
"[""EG11433-MONOMER""]"	"1.8.4.5"	"METSOXR1"	"[c] : metsox-S-L + trdrd --> h2o + met-L + trdox"	"forward only"		0	
"[""PAPSSULFOTRANS-MONOMER""]"	"1.8.4.8"	"PAPSR"	"[c] : paps + trdrd --> (2) h + pap + so3 + trdox"	"forward only"		0	
"[""PAPSSULFOTRANS-MONOMER""]"	"1.8.4.8"	"PAPSR"	"[c] : paps + trdrd --> (2) h + pap + so3 + trdox"	"forward only"		0	
"[""PAPSSULFOTRANS-MONOMER""]"	"1.8.4.8"	"PAPSR2"	"[c] : grxrd + paps --> grxox + (2) h + pap + so3"	"forward only"		0	
"[""PAPSSULFOTRANS-MONOMER""]"	"1.8.4.8"	"PAPSR2"	"[c] : grxrd + paps --> grxox + (2) h + pap + so3"	"forward only"		0	
"[""PAPSSULFOTRANS-MONOMER""]"	"1.8.4.8"	"PAPSR2"	"[c] : grxrd + paps --> grxox + (2) h + pap + so3"	"forward only"		0	
"[""PAPSSULFOTRANS-MONOMER""]"	"1.8.4.8"	"PAPSR2"	"[c] : grxrd + paps --> grxox + (2) h + pap + so3"	"forward only"		0	
"[""MMUM-MONOMER""]"	"2.1.1.10"	"HCYSMT"	"[c] : amet + hcys-L --> ahcys + h + met-L"	"forward only"		0	
"[""HEMX-MONOMER""]"	"2.1.1.107"	"UPP3MT"	"[c] : (2) amet + uppg3 --> (2) ahcys + dscl + h"	"forward only"		0	
"[""SIROHEMESYN-MONOMER""]"	"2.1.1.107"	"UPP3MT"	"[c] : (2) amet + uppg3 --> (2) ahcys + dscl + h"	"forward only"		0	
"[""HOMOCYSMET-MONOMER""]"	"2.1.1.13"	"METS"	"[c] : 5mthf + hcys-L --> h + met-L + thf"	"forward only"		0	
"[""HOMOCYSMETB12-MONOMER""]"	"2.1.1.13"	"METS"	"[c] : 5mthf + hcys-L --> h + met-L + thf"	"forward only"		0	
"[""THYMIDYLATESYN-MONOMER""]"	"2.1.1.45"	"TMDS"	"[c] : dump + mlthf --> dhf + dtmp"	"forward only"		0	
"[""CFA-MONOMER""]"	"2.1.1.79"	"CFAS160E"	"[c] : (2) amet + pe161 --> (2) ahcys + cpe160 + (2) h"	"forward only"		0	
"[""CFA-MONOMER""]"	"2.1.1.79"	"CFAS160G"	"[c] : (2) amet + pg161 --> (2) ahcys + cpg160 + (2) h"	"forward only"		0	
"[""CFA-MONOMER""]"	"2.1.1.79"	"CFAS180E"	"[c] : (2) amet + pe181 --> (2) ahcys + cpe180 + (2) h"	"forward only"		0	
"[""CFA-MONOMER""]"	"2.1.1.79"	"CFAS180G"	"[c] : (2) amet + pg181 --> (2) ahcys + cpg180 + (2) h"	"forward only"		0	
"[""GLYOHMETRANS-MONOMER""]"	"2.1.2.1"	"GHMT2r"	"[c] : ser-L + thf <==> gly + h2o + mlthf"	"reversible"			
"[""3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER""]"	"2.1.2.11"	"MOHMT"	"[c] : 3mob + h2o + mlthf --> 2dhp + thf"	"forward only"		0	
"[""GART-MONOMER""]"	"2.1.2.2"	"GARFT"	"[c] : 10fthf + gar <==> fgam + h + thf"	"reversible"			
"[""AICARTRANSIMPCYCLO-CPLX""]"	"2.1.2.3"	"AICART"	"[c] : 10fthf + aicar <==> fprica + thf"	"reversible"			
"[""ASPCARBTRANS-CPLX""]"	"2.1.3.2"	"ASPCT"	"[c] : asp-L + cbp --> cbasp + h + pi"	"forward only"		0	
"[""CHAINF-MONOMER""]"	"2.1.3.3"	"OCBT"	"[c] : cbp + orn <==> citr-L + h + pi"	"reversible"			
"[""CHAINI-MONOMER""]"	"2.1.3.3"	"OCBT"	"[c] : cbp + orn <==> citr-L + h + pi"	"reversible"			
"[""TRANSKETOI-MONOMER""]"	"2.2.1.1"	"TKT1"	"[c] : r5p + xu5p-D <==> g3p + s7p"	"reversible"			
"[""TRANSKETOI-MONOMER""]"	"2.2.1.1"	"TKT2"	"[c] : e4p + xu5p-D <==> f6p + g3p"	"reversible"			
"[""TRANSKETOII-MONOMER""]"	"2.2.1.1"	"TKT1"	"[c] : r5p + xu5p-D <==> g3p + s7p"	"reversible"			
"[""TRANSKETOII-MONOMER""]"	"2.2.1.1"	"TKT2"	"[c] : e4p + xu5p-D <==> f6p + g3p"	"reversible"			
"[""TRANSALDOLA-MONOMER""]"	"2.2.1.2"	"TALA"	"[c] : g3p + s7p <==> e4p + f6p"	"reversible"			
"[""TRANSALDOLB-MONOMER""]"	"2.2.1.2"	"TALA"	"[c] : g3p + s7p <==> e4p + f6p"	"reversible"			
"[""N-ACETYLTRANSFER-MONOMER""]"	"2.3.1.1"	"ACGS"	"[c] : accoa + glu-L --> acglu + coa + h"	"forward only"		0	
"[""ARGSUCCTRAN-MONOMER""]"	"2.3.1.109"	"AST"	"[c] : arg-L + succoa --> coa + h + sucarg"	"forward only"		0	
"[""MONOMER0-2001""]"	"2.3.1.117"	"THDPS"	"[c] : h2o + succoa + thdp --> coa + sl2a6o"	"forward only"		0	
"[""G6770-MONOMER""]"	"2.3.1.118"	"ACANTHAT"	"[c] : accoa + anth --> acanth + coa"	"forward only"		0	
"[""UDPNACETYLGLUCOSAMACYLTRANS-MONOMER""]"	"2.3.1.129"	"UAGAAT"	"[c] : 3hmrsACP + uacgam <==> ACP + u3aga"	"reversible"			
"[""GLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.15"	"G3PAT120"	"[c] : ddcaACP + glyc3p --> 1ddecg3p + ACP"	"forward only"		0	
"[""GLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.15"	"G3PAT140"	"[c] : glyc3p + myrsACP --> 1tdecg3p + ACP"	"forward only"		0	
"[""GLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.15"	"G3PAT141"	"[c] : glyc3p + tdeACP --> 1tdec7eg3p + ACP"	"forward only"		0	
"[""GLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.15"	"G3PAT160"	"[c] : glyc3p + palmACP --> 1hdecg3p + ACP"	"forward only"		0	
"[""GLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.15"	"G3PAT161"	"[c] : glyc3p + hdeACP --> 1hdec9eg3p + ACP"	"forward only"		0	
"[""GLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.15"	"G3PAT180"	"[c] : glyc3p + ocdcaACP --> 1odecg3p + ACP"	"forward only"		0	
"[""GLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.15"	"G3PAT181"	"[c] : glyc3p + octeACP --> 1odec11eg3p + ACP"	"forward only"		0	
"[""NAG1P-URIDYLTRANS-MONOMER""]"	"2.3.1.157"	"G1PACT"	"[c] : accoa + gam1p --> acgam1p + coa + h"	"forward only"		0	
"[""FADA-MONOMER""]"	"2.3.1.16"	"KAT1"	"[c] : aacoa + coa --> (2) accoa"	"forward only"		0	
"[""FADA-MONOMER""]"	"2.3.1.16"	"KAT2"	"[c] : 3ohcoa + coa --> accoa + btcoa"	"forward only"		0	
"[""FADA-MONOMER""]"	"2.3.1.16"	"KAT3"	"[c] : 3oocoa + coa --> accoa + hxcoa"	"forward only"		0	
"[""FADA-MONOMER""]"	"2.3.1.16"	"KAT4"	"[c] : 3odcoa + coa --> accoa + occoa"	"forward only"		0	
"[""FADA-MONOMER""]"	"2.3.1.16"	"KAT5"	"[c] : 3oddcoa + coa --> accoa + dcacoa"	"forward only"		0	
"[""FADA-MONOMER""]"	"2.3.1.16"	"KAT6"	"[c] : 3otdcoa + coa --> accoa + ddcacoa"	"forward only"		0	
"[""FADA-MONOMER""]"	"2.3.1.16"	"KAT7"	"[c] : 3ohdcoa + coa --> accoa + tdcoa"	"forward only"		0	
"[""FADA-MONOMER""]"	"2.3.1.16"	"KAT8"	"[c] : 3oodcoa + coa --> accoa + pmtcoa"	"forward only"		0	
"[""G7213-MONOMER""]"	"2.3.1.16"	"KAT1"	"[c] : aacoa + coa --> (2) accoa"	"forward only"		0	
"[""G7213-MONOMER""]"	"2.3.1.16"	"KAT2"	"[c] : 3ohcoa + coa --> accoa + btcoa"	"forward only"		0	
"[""G7213-MONOMER""]"	"2.3.1.16"	"KAT3"	"[c] : 3oocoa + coa --> accoa + hxcoa"	"forward only"		0	
"[""G7213-MONOMER""]"	"2.3.1.16"	"KAT4"	"[c] : 3odcoa + coa --> accoa + occoa"	"forward only"		0	
"[""G7213-MONOMER""]"	"2.3.1.16"	"KAT5"	"[c] : 3oddcoa + coa --> accoa + dcacoa"	"forward only"		0	
"[""G7213-MONOMER""]"	"2.3.1.16"	"KAT6"	"[c] : 3otdcoa + coa --> accoa + ddcacoa"	"forward only"		0	
"[""G7213-MONOMER""]"	"2.3.1.16"	"KAT7"	"[c] : 3ohdcoa + coa --> accoa + tdcoa"	"forward only"		0	
"[""G7213-MONOMER""]"	"2.3.1.16"	"KAT8"	"[c] : 3oodcoa + coa --> accoa + pmtcoa"	"forward only"		0	
"[""AKBLIG-MONOMER""]"	"2.3.1.29"	"GLYAT"	"[c] : accoa + gly <==> 2aobut + coa"	"reversible"			
"[""SERINE-O-ACETTRAN-MONOMER""]"	"2.3.1.30"	"SERAT"	"[c] : accoa + ser-L <==> acser + coa"	"reversible"			
"[""FABH-MONOMER""]"	"2.3.1.38"	"ACOATA"	"[c] : ACP + accoa <==> acACP + coa"	"reversible"			
"[""MALONYL-COA-ACP-TRANSACYL-MONOMER""]"	"2.3.1.39"	"MCOATA"	"[c] : ACP + malcoa <==> coa + malACP"	"reversible"			
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPEAT120"	"[c] : 2agpe120 + atp + ddca --> amp + pe120 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPEAT140"	"[c] : 2agpe140 + atp + ttdca --> amp + pe140 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPEAT141"	"[c] : 2agpe141 + atp + ttdcea --> amp + pe141 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPEAT160"	"[c] : 2agpe160 + atp + hdca --> amp + pe160 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPEAT161"	"[c] : 2agpe161 + atp + hdcea --> amp + pe161 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPEAT180"	"[c] : 2agpe180 + atp + ocdca --> amp + pe180 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPEAT181"	"[c] : 2agpe181 + atp + ocdcea --> amp + pe181 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPGAT120"	"[c] : 2agpg120 + atp + ddca --> amp + pg120 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPGAT140"	"[c] : 2agpg140 + atp + ttdca --> amp + pg140 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPGAT141"	"[c] : 2agpg141 + atp + ttdcea --> amp + pg141 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPGAT160"	"[c] : 2agpg160 + atp + hdca --> amp + pg160 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPGAT161"	"[c] : 2agpg161 + atp + hdcea --> amp + pg161 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPGAT180"	"[c] : 2agpg180 + atp + ocdca --> amp + pg180 + ppi"	"forward only"		0	
"[""AAS-MONOMER""]"	"2.3.1.40"	"2AGPGAT181"	"[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi"	"forward only"		0	
"[""3-OXOACYL-ACP-SYNTHII-MONOMER""]"	"2.3.1.41"	"3OAS100"	"[c] : h + malACP + ocACP --> 3odecACP + ACP + co2"	"forward only"		0	
"[""3-OXOACYL-ACP-SYNTHII-MONOMER""]"	"2.3.1.41"	"3OAS120"	"[c] : dcaACP + h + malACP --> 3oddecACP + ACP + co2"	"forward only"		0	
"[""3-OXOACYL-ACP-SYNTHII-MONOMER""]"	"2.3.1.41"	"3OAS140"	"[c] : ddcaACP + h + malACP --> 3omrsACP + ACP + co2"	"forward only"		0	
"[""3-OXOACYL-ACP-SYNTHII-MONOMER""]"	"2.3.1.41"	"3OAS160"	"[c] : h + malACP + myrsACP --> 3opalmACP + ACP + co2"	"forward only"		0	
"[""3-OXOACYL-ACP-SYNTHII-MONOMER""]"	"2.3.1.41"	"3OAS180"	"[c] : h + malACP + palmACP --> 3ooctdACP + ACP + co2"	"forward only"		0	
"[""3-OXOACYL-ACP-SYNTHII-MONOMER""]"	"2.3.1.41"	"3OAS181"	"[c] : h + hdeACP + malACP --> 3ocvac11eACP + ACP + co2"	"forward only"		0	
"[""3-OXOACYL-ACP-SYNTHII-MONOMER""]"	"2.3.1.41"	"3OAS60"	"[c] : butACP + h + malACP --> 3ohexACP + ACP + co2"	"forward only"		0	
"[""3-OXOACYL-ACP-SYNTHII-MONOMER""]"	"2.3.1.41"	"3OAS80"	"[c] : h + hexACP + malACP --> 3ooctACP + ACP + co2"	"forward only"		0	
"[""3-OXOACYL-ACP-SYNTHII-MONOMER""]"	"2.3.1.41"	"KAS14"	"[c] : acACP + h + malACP --> ACP + actACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"3OAS100"	"[c] : h + malACP + ocACP --> 3odecACP + ACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"3OAS120"	"[c] : dcaACP + h + malACP --> 3oddecACP + ACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"3OAS121"	"[c] : cdec3eACP + h + malACP --> 3ocddec5eACP + ACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"3OAS140"	"[c] : ddcaACP + h + malACP --> 3omrsACP + ACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"3OAS141"	"[c] : cddec5eACP + h + malACP --> 3ocmrs7eACP + ACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"3OAS160"	"[c] : h + malACP + myrsACP --> 3opalmACP + ACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"3OAS161"	"[c] : h + malACP + tdeACP --> 3ocpalm9eACP + ACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"3OAS180"	"[c] : h + malACP + palmACP --> 3ooctdACP + ACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"3OAS60"	"[c] : butACP + h + malACP --> 3ohexACP + ACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"3OAS80"	"[c] : h + hexACP + malACP --> 3ooctACP + ACP + co2"	"forward only"		0	
"[""FABB-MONOMER""]"	"2.3.1.41"	"KAS14"	"[c] : acACP + h + malACP --> ACP + actACP + co2"	"forward only"		0	
"[""HOMSUCTRAN-MONOMER""]"	"2.3.1.46"	"HSST"	"[c] : hom-L + succoa --> coa + suchms"	"forward only"		0	
"[""7KAPSYN-MONOMER""]"	"2.3.1.47"	"AOXSr"	"[c] : ala-L + h + pmcoa <==> 8aonn + co2 + coa"	"reversible"			
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.51"	"AGPAT120"	"[c] : 1ddecg3p + ddcaACP --> ACP + pa120"	"forward only"		0	
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.51"	"AGPAT140"	"[c] : 1tdecg3p + myrsACP --> ACP + pa140"	"forward only"		0	
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.51"	"AGPAT141"	"[c] : 1tdec7eg3p + tdeACP --> ACP + pa141"	"forward only"		0	
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.51"	"AGPAT160"	"[c] : 1hdecg3p + palmACP --> ACP + pa160"	"forward only"		0	
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.51"	"AGPAT161"	"[c] : 1hdec9eg3p + hdeACP --> ACP + pa161"	"forward only"		0	
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.51"	"AGPAT180"	"[c] : 1odecg3p + ocdcaACP --> ACP + pa180"	"forward only"		0	
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	"2.3.1.51"	"AGPAT181"	"[c] : 1odec11eg3p + octeACP --> ACP + pa181"	"forward only"		0	
"[""SPERMACTRAN-MONOMER""]"	"2.3.1.57"	"SPMDAT1"	"[c] : accoa + spmd --> N1aspmd + coa + h"	"forward only"		0	
"[""SPERMACTRAN-MONOMER""]"	"2.3.1.57"	"SPMDAT2"	"[c] : accoa + spmd --> coa + h + n8aspmd"	"forward only"		0	
"[""MALTACETYLTRAN-MONOMER""]"	"2.3.1.79"	"GLCATr"	"[c] : accoa + glc-D <==> acglc-D + coa"	"reversible"			
"[""MALTACETYLTRAN-MONOMER""]"	"2.3.1.79"	"MALTATr"	"[c] : accoa + malt <==> acmalt + coa"	"reversible"			
"[""G7288-MONOMER""]"	"2.3.1.8"	"PTAr"	"[c] : accoa + pi <==> actp + coa"	"reversible"			
"[""PHOSACETYLTRANS-MONOMER""]"	"2.3.1.8"	"PTAr"	"[c] : accoa + pi <==> actp + coa"	"reversible"			
"[""ACETYL-COA-ACETYLTRANSFER-MONOMER""]"	"2.3.1.9"	"ACACT1r"	"[c] : (2) accoa <==> aacoa + coa"	"reversible"			
"[""GLYCOPHOSPHORYL-MONOMER""]"	"2.4.1.1"	"GLCP"	"[c] : glycogen + pi --> g1p"	"forward only"		0	
"[""GLYCOPHOSPHORYL-MONOMER""]"	"2.4.1.1"	"GLCP2"	"[c] : bglycogen + pi --> g1p"	"forward only"		0	
"[""MALDEXPHOSPHORYL-MONOMER""]"	"2.4.1.1"	"GLCP"	"[c] : glycogen + pi --> g1p"	"forward only"		0	
"[""MALDEXPHOSPHORYL-MONOMER""]"	"2.4.1.1"	"GLCP2"	"[c] : bglycogen + pi --> g1p"	"forward only"		0	
"[""TREHALOSE6PSYN-MONOMER""]"	"2.4.1.15"	"TRE6PS"	"[c] : g6p + udpg --> h + tre6p + udp"	"forward only"		0	
"[""GLYCOGEN-BRANCH-MONOMER""]"	"2.4.1.18"	"GLBRAN2"	"[c] : glycogen --> bglycogen"	"forward only"		0	
"[""LIPIDADISACCHARIDESYNTH-MONOMER""]"	"2.4.1.182"	"LPADSS"	"[c] : lipidX + u23ga --> h + lipidAds + udp"	"forward only"		0	
"[""GLYCOGENSYN-MONOMER""]"	"2.4.1.21"	"GLCS1"	"[c] : adpglc --> adp + glycogen + h"	"forward only"		0	
"[""AMYLOMALT-MONOMER""]"	"2.4.1.25"	"AMALT1"	"[c] : malt + malttr --> glc-D + maltttr"	"forward only"		0	
"[""AMYLOMALT-MONOMER""]"	"2.4.1.25"	"AMALT2"	"[c] : malt + maltttr --> glc-D + maltpt"	"forward only"		0	
"[""AMYLOMALT-MONOMER""]"	"2.4.1.25"	"AMALT3"	"[c] : malt + maltpt --> glc-D + malthx"	"forward only"		0	
"[""AMYLOMALT-MONOMER""]"	"2.4.1.25"	"AMALT4"	"[c] : malt + malthx --> glc-D + malthp"	"forward only"		0	
"[""DEOD-MONOMER""]"	"2.4.2.1"	"PUNP1"	"[c] : adn + pi <==> ade + r1p"	"reversible"			
"[""DEOD-MONOMER""]"	"2.4.2.1"	"PUNP2"	"[c] : dad-2 + pi <==> 2dr1p + ade"	"reversible"			
"[""DEOD-MONOMER""]"	"2.4.2.1"	"PUNP3"	"[c] : gsn + pi <==> gua + r1p"	"reversible"			
"[""DEOD-MONOMER""]"	"2.4.2.1"	"PUNP4"	"[c] : dgsn + pi <==> 2dr1p + gua"	"reversible"			
"[""DEOD-MONOMER""]"	"2.4.2.1"	"PUNP5"	"[c] : ins + pi <==> hxan + r1p"	"reversible"			
"[""DEOD-MONOMER""]"	"2.4.2.1"	"PUNP6"	"[c] : din + pi <==> 2dr1p + hxan"	"reversible"			
"[""XANTHOSINEPHOSPHORY-MONOMER""]"	"2.4.2.1"	"PUNP3"	"[c] : gsn + pi <==> gua + r1p"	"reversible"			
"[""XANTHOSINEPHOSPHORY-MONOMER""]"	"2.4.2.1"	"PUNP4"	"[c] : dgsn + pi <==> 2dr1p + gua"	"reversible"			
"[""XANTHOSINEPHOSPHORY-MONOMER""]"	"2.4.2.1"	"PUNP5"	"[c] : ins + pi <==> hxan + r1p"	"reversible"			
"[""XANTHOSINEPHOSPHORY-MONOMER""]"	"2.4.2.1"	"PUNP6"	"[c] : din + pi <==> 2dr1p + hxan"	"reversible"			
"[""XANTHOSINEPHOSPHORY-MONOMER""]"	"2.4.2.1"	"PUNP7"	"[c] : pi + xtsn <==> r1p + xan"	"reversible"			
"[""OROPRIBTRANS-MONOMER""]"	"2.4.2.10"	"ORPT"	"[c] : orot5p + ppi <==> orot + prpp"	"reversible"			
