abbreviation	original abbreviation	officialName	equation	reconstruction directionality	subSystem	proteinClass	Enzyme association	reaction with marvin charges (pH7)	reaction with marvin charges (pH 7.2)	delta G (pH 7)	mM delta G (pH 7)	min delta G (pH 7)	max delta G (pH 7)	delta G (pH 7.2)	uncertainty in delta G (pH 7 or pH 7.2)	mM delta G (pH 7.2)	min delta G (pH 7.2)	max delta G (pH 7.2)	directionality without uncertainty (pH 7.2)	directionality with uncertainty (pH 7.2)	Manual enzyme annotation comments
PSD140	PSD140	Phosphatidylserine decarboxylase (n-C14:0)	[c] : h + ps140 --> co2 + pe140	forward only	Glycerophospholipid Metabolism	4.1.1.65	(PHOSPHASERDECARB-ALPHA-MONOMER and PHOSPHASERDECARB-BETA-MONOMER)	(2) h + ps140 --> co2 + pe140	(2) h + ps140 --> co2 + pe140	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	reversible	reversible	Proenzyme PSD forms two monomers which act as a complex
PSD141	PSD141	Phosphatidylserine decarboxylase (n-C14:1)	[c] : h + ps141 --> co2 + pe141	forward only	Glycerophospholipid Metabolism	4.1.1.65	(PHOSPHASERDECARB-ALPHA-MONOMER and PHOSPHASERDECARB-BETA-MONOMER)	(2) h + ps141 --> co2 + pe141	(2) h + ps141 --> co2 + pe141	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	reversible	reversible	Proenzyme PSD forms two monomers which act as a complex
PSD160	PSD160	Phosphatidylserine decarboxylase (n-C16:0)	[c] : h + ps160 --> co2 + pe160	forward only	Glycerophospholipid Metabolism	4.1.1.65	(PHOSPHASERDECARB-ALPHA-MONOMER and PHOSPHASERDECARB-BETA-MONOMER)	(2) h + ps160 --> co2 + pe160	(2) h + ps160 --> co2 + pe160	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	reversible	reversible	Proenzyme PSD forms two monomers which act as a complex
PSD161	PSD161	Phosphatidylserine decarboxylase (n-C16:1)	[c] : h + ps161 --> co2 + pe161	forward only	Glycerophospholipid Metabolism	4.1.1.65	(PHOSPHASERDECARB-ALPHA-MONOMER and PHOSPHASERDECARB-BETA-MONOMER)	(2) h + ps161 --> co2 + pe161	(2) h + ps161 --> co2 + pe161	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	reversible	reversible	Proenzyme PSD forms two monomers which act as a complex
PSD180	PSD180	Phosphatidylserine decarboxylase (n-C18:0)	[c] : h + ps180 --> co2 + pe180	forward only	Glycerophospholipid Metabolism	4.1.1.65	(PHOSPHASERDECARB-ALPHA-MONOMER and PHOSPHASERDECARB-BETA-MONOMER)	(2) h + ps180 --> co2 + pe180	(2) h + ps180 --> co2 + pe180	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	reversible	reversible	Proenzyme PSD forms two monomers which act as a complex
PSD181	PSD181	Phosphatidylserine decarboxylase (n-C18:1)	[c] : h + ps181 --> co2 + pe181	forward only	Glycerophospholipid Metabolism	4.1.1.65	(PHOSPHASERDECARB-ALPHA-MONOMER and PHOSPHASERDECARB-BETA-MONOMER)	(2) h + ps181 --> co2 + pe181	(2) h + ps181 --> co2 + pe181	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	reversible	reversible	Proenzyme PSD forms two monomers which act as a complex
RIBabcpp	RIBabcpp	D-ribose transport via ABC system (periplasm)	atp[c] + h2o[c] + rib-D[p] --> adp[c] + h[c] + pi[c] + rib-D[c]	forward only	Transport, Inner Membrane		(ABC-28-CPLX and CPLX0-7646)	atp + h2o + rib-D[p] --> adp + h + pi + rib-D	atp + h2o + rib-D[p] --> adp + h + pi + rib-D	-6.7	-10.8	-23.5	0	-6.6	2.2	-10.7	-23.4	0.1	reversible	reversible	Taken from Feist
SBTptspp	SBTptspp	D-sorbitol transport via PEP:Pyr PTS (periplasm)	pep[c] + sbt-D[p] --> pyr[c] + sbt6p[c]	forward only	Transport, Inner Membrane		(CPLX-169 and PTSH-MONOMER and CPLX0-7938)	pep + sbt-D[p] --> pyr + sbt6p	pep + sbt-D[p] --> pyr + sbt6p	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	glucitol/sorbitol PTS permease AND general PTS components
THZPSN	THZPSN	thiazole phosphate synthesis	[c] : atp + cys-L + dxyl5p + tyr-L --> 4hba + 4mpetz + ala-L + amp + co2 + h + h2o + ppi	forward only	Cofactor and Prosthetic Group Biosynthesis		(CPLX0-248 and THIF-MONOMER and CPLX-8029 and THII-MONOMER)	atp + cys-L + dxyl5p + tyr-L --> 4hba + 4mpetz + ala-L + amp + co2 + h2o + ppi	atp + cys-L + dxyl5p + tyr-L --> 4hba + 4mpetz + ala-L + amp + co2 + h2o + ppi	-36.4	-44.6	-79.1	-24.6	-36.4	4.9	-44.6	-79	-24.6	forward only	forward only	Taken from Feist
TRDR	TRDR	thioredoxin reductase (NADPH)	[c] : h + nadph + trdox --> nadp + trdrd	forward only	Oxidative Phosphorylation	1.8.1.9	THIOREDOXIN-REDUCT-NADPH-CPLX	(2) h + nadph + trdox --> nadp + trdrd	h + nadph + trdox --> nadp + trdrd	Not calculated	Not calculated	Not calculated	Not calculated	Not calculated	Not calculated	Not calculated	Not calculated	Not calculated	reversible	reversible	Removed thioredoxin
TREptspp	TREptspp	trehalose transport via PEP:Pyr PTS (periplasm)	pep[c] + tre[p] --> pyr[c] + tre6p[c]	forward only	Transport, Inner Membrane		(CPLX-168 and PTSH-MONOMER and CPLX0-7938)	pep + tre[p] --> pyr + tre6p	pep + tre[p] --> pyr + tre6p	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	trehalose PTS permease AND general PTS components
